"Time (MJD)" B-4369.53 B-4369.53_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err UVW2-2083.95 UVW2-2083.95_err V-5467.57 V-5467.57_err g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err i-7503.03 i-7503.03_err r-6141.12 r-6141.12_err r-6155.47 r-6155.47_err u-3608.04 u-3608.04_err z-8922.78 z-8922.78_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-25.000 -19.168 -0.180 -19.227 -0.154 -19.304 -0.149 -19.241 -0.158 -19.174 -0.131 -19.179 -0.126 -19.204 -0.110 -19.123 -0.061 -19.121 -0.060 -18.924 -0.047 -18.914 -0.046 -18.403 -0.188 16.340 0.658 0.887 0.039 43.602 42.501
-24.600 -19.200 -0.176 -19.262 -0.151 -19.346 -0.147 -19.297 -0.156 -19.241 -0.128 -19.250 -0.122 -19.289 -0.105 -19.210 -0.052 -19.208 -0.052 -18.998 -0.043 -18.987 -0.042 -18.464 -0.185 16.093 0.640 0.935 0.041 43.621 42.514
-24.200 -19.232 -0.174 -19.296 -0.150 -19.388 -0.147 -19.353 -0.156 -19.308 -0.127 -19.322 -0.120 -19.373 -0.099 -19.298 -0.045 -19.296 -0.044 -19.071 -0.042 -19.060 -0.041 -18.524 -0.183 15.879 0.637 0.983 0.043 43.641 42.535
-23.800 -19.262 -0.174 -19.329 -0.150 -19.429 -0.149 -19.409 -0.157 -19.374 -0.126 -19.393 -0.118 -19.457 -0.095 -19.385 -0.038 -19.383 -0.038 -19.143 -0.044 -19.132 -0.043 -18.584 -0.183 15.673 0.653 1.034 0.048 43.662 42.567
-23.400 -19.292 -0.175 -19.362 -0.152 -19.469 -0.151 -19.464 -0.159 -19.440 -0.127 -19.463 -0.117 -19.540 -0.090 -19.473 -0.034 -19.471 -0.034 -19.215 -0.048 -19.203 -0.047 -18.643 -0.183 15.450 0.687 1.091 0.054 43.684 42.610
-23.000 -19.321 -0.178 -19.394 -0.156 -19.509 -0.156 -19.519 -0.162 -19.505 -0.129 -19.533 -0.117 -19.622 -0.086 -19.559 -0.031 -19.557 -0.031 -19.286 -0.053 -19.274 -0.053 -18.702 -0.185 15.213 0.726 1.152 0.062 43.705 42.655
-22.600 -19.349 -0.182 -19.425 -0.161 -19.548 -0.161 -19.573 -0.166 -19.570 -0.131 -19.602 -0.118 -19.703 -0.083 -19.644 -0.031 -19.642 -0.031 -19.356 -0.059 -19.344 -0.059 -18.761 -0.187 14.982 0.761 1.215 0.070 43.725 42.696
-22.200 -19.377 -0.187 -19.455 -0.167 -19.587 -0.167 -19.627 -0.171 -19.635 -0.135 -19.670 -0.120 -19.783 -0.080 -19.727 -0.033 -19.724 -0.034 -19.426 -0.065 -19.413 -0.065 -18.819 -0.190 14.779 0.786 1.277 0.079 43.744 42.729
-21.800 -19.403 -0.193 -19.485 -0.174 -19.625 -0.174 -19.681 -0.176 -19.699 -0.138 -19.738 -0.122 -19.861 -0.077 -19.807 -0.037 -19.805 -0.037 -19.494 -0.071 -19.481 -0.071 -18.877 -0.194 14.603 0.803 1.336 0.087 43.762 42.756
-21.400 -19.429 -0.199 -19.513 -0.182 -19.662 -0.182 -19.734 -0.182 -19.762 -0.143 -19.805 -0.125 -19.938 -0.074 -19.885 -0.042 -19.882 -0.042 -19.562 -0.076 -19.548 -0.076 -18.934 -0.198 14.450 0.815 1.394 0.095 43.781 42.780
