"Time (MJD)" B-4369.53 B-4369.53_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err UVW2-2083.95 UVW2-2083.95_err g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err u-3520.88 u-3520.88_err z-8922.78 z-8922.78_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-25.000 -18.585 -0.198 -18.627 -0.176 -18.729 -0.178 -18.942 -0.190 -19.135 -0.166 -19.188 -0.171 -19.295 -0.137 -19.070 -0.203 -18.808 -0.244 14.104 0.712 1.015 0.093 43.463 42.282
-24.600 -18.612 -0.194 -18.656 -0.172 -18.761 -0.175 -18.978 -0.187 -19.179 -0.163 -19.233 -0.168 -19.340 -0.134 -19.118 -0.200 -18.852 -0.240 14.039 0.705 1.043 0.096 43.478 42.296
-24.200 -18.639 -0.190 -18.685 -0.169 -18.792 -0.173 -19.013 -0.185 -19.222 -0.160 -19.279 -0.166 -19.385 -0.132 -19.165 -0.196 -18.895 -0.237 13.974 0.699 1.070 0.099 43.493 42.309
-23.800 -18.666 -0.187 -18.714 -0.166 -18.824 -0.171 -19.047 -0.183 -19.266 -0.159 -19.324 -0.164 -19.429 -0.130 -19.213 -0.194 -18.938 -0.234 13.910 0.694 1.098 0.101 43.508 42.323
-23.400 -18.693 -0.184 -18.742 -0.165 -18.855 -0.170 -19.081 -0.181 -19.309 -0.157 -19.369 -0.162 -19.473 -0.130 -19.260 -0.191 -18.982 -0.233 13.847 0.689 1.127 0.104 43.522 42.336
-23.000 -18.719 -0.182 -18.769 -0.164 -18.886 -0.170 -19.115 -0.180 -19.353 -0.157 -19.414 -0.161 -19.517 -0.130 -19.307 -0.190 -19.025 -0.232 13.783 0.684 1.156 0.107 43.536 42.350
-22.600 -18.744 -0.181 -18.796 -0.163 -18.916 -0.169 -19.147 -0.180 -19.396 -0.156 -19.459 -0.161 -19.560 -0.130 -19.355 -0.188 -19.068 -0.232 13.719 0.680 1.186 0.110 43.550 42.364
-22.200 -18.769 -0.180 -18.823 -0.163 -18.946 -0.169 -19.179 -0.179 -19.439 -0.156 -19.504 -0.160 -19.603 -0.131 -19.402 -0.187 -19.111 -0.232 13.654 0.677 1.216 0.114 43.564 42.378
-21.800 -18.793 -0.179 -18.849 -0.163 -18.976 -0.169 -19.211 -0.179 -19.482 -0.156 -19.548 -0.160 -19.645 -0.132 -19.449 -0.185 -19.154 -0.233 13.588 0.674 1.247 0.117 43.577 42.392
-21.400 -18.817 -0.179 -18.874 -0.163 -19.005 -0.169 -19.241 -0.178 -19.524 -0.156 -19.592 -0.160 -19.687 -0.134 -19.495 -0.184 -19.197 -0.234 13.520 0.671 1.280 0.121 43.591 42.406
-21.000 -18.840 -0.179 -18.899 -0.163 -19.033 -0.170 -19.271 -0.178 -19.566 -0.156 -19.636 -0.160 -19.728 -0.135 -19.542 -0.183 -19.239 -0.235 13.451 0.669 1.312 0.125 43.604 42.420
-20.600 -18.862 -0.178 -18.923 -0.164 -19.061 -0.170 -19.300 -0.178 -19.608 -0.156 -19.680 -0.160 -19.769 -0.136 -19.588 -0.182 -19.281 -0.236 13.381 0.668 1.346 0.130 43.617 42.435
-20.200 -18.883 -0.178 -18.947 -0.164 -19.088 -0.170 -19.328 -0.177 -19.649 -0.156 -19.723 -0.159 -19.810 -0.138 -19.634 -0.181 -19.323 -0.238 13.309 0.667 1.381 0.134 43.630 42.450
-19.800 -18.904 -0.177 -18.969 -0.164 -19.114 -0.170 -19.356 -0.177 -19.690 -0.155 -19.766 -0.159 -19.850 -0.139 -19.679 -0.179 -19.365 -0.239 13.235 0.666 1.416 0.139 43.642 42.465
-19.400 -18.923 -0.177 -18.991 -0.164 -19.139 -0.169 -19.382 -0.176 -19.731 -0.155 -19.808 -0.158 -19.889 -0.139 -19.724 -0.178 -19.406 -0.240 13.161 0.666 1.453 0.144 43.654 42.480
-19.000 -18.942 -0.176 -19.011 -0.163 -19.164 -0.169 -19.407 -0.175 -19.771 -0.154 -19.850 -0.157 -19.928 -0.140 -19.769 -0.176 -19.447 -0.242 13.085 0.666 1.490 0.150 43.666 42.495
-18.600 -18.960 -0.175 -19.031 -0.163 -19.187 -0.168 -19.432 -0.174 -19.810 -0.153 -19.891 -0.155 -19.967 -0.140 -19.813 -0.174 -19.488 -0.243 13.008 0.667 1.528 0.155 43.678 42.510
-18.200 -18.977 -0.174 -19.050 -0.162 -19.210 -0.167 -19.455 -0.172 -19.849 -0.151 -19.932 -0.154 -20.005 -0.141 -19.856 -0.172 -19.529 -0.244 12.930 0.668 1.567 0.162 43.689 42.526
-17.800 -18.992 -0.172 -19.067 -0.160 -19.232 -0.165 -19.477 -0.171 -19.887 -0.149 -19.972 -0.152 -20.042 -0.140 -19.899 -0.169 -19.569 -0.245 12.850 0.670 1.607 0.168 43.701 42.542
-17.400 -19.007 -0.170 -19.084 -0.159 -19.252 -0.163 -19.498 -0.169 -19.925 -0.147 -20.011 -0.149 -20.079 -0.140 -19.941 -0.167 -19.608 -0.246 12.770 0.672 1.648 0.175 43.711 42.557
-17.000 -19.020 -0.168 -19.099 -0.157 -19.272 -0.161 -19.517 -0.166 -19.962 -0.144 -20.050 -0.146 -20.115 -0.140 -19.983 -0.163 -19.647 -0.246 12.688 0.675 1.689 0.182 43.722 42.573
-16.600 -19.032 -0.165 -19.113 -0.154 -19.290 -0.159 -19.536 -0.164 -19.998 -0.141 -20.088 -0.143 -20.151 -0.139 -20.024 -0.160 -19.686 -0.247 12.606 0.678 1.732 0.190 43.732 42.589
-16.200 -19.042 -0.162 -19.125 -0.151 -19.307 -0.156 -19.553 -0.161 -20.033 -0.138 -20.125 -0.140 -20.186 -0.138 -20.064 -0.156 -19.724 -0.247 12.522 0.681 1.774 0.198 43.742 42.604
-15.800 -19.052 -0.159 -19.137 -0.148 -19.323 -0.153 -19.569 -0.158 -20.068 -0.134 -20.161 -0.136 -20.220 -0.137 -20.103 -0.152 -19.762 -0.246 12.438 0.684 1.818 0.207 43.751 42.620
