"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-18.000 -19.841 -0.108 -19.837 -0.105 -19.800 -0.093 -19.685 -0.090 -19.652 -0.091 -19.617 -0.092 -19.479 -0.098 -19.442 -0.102 -19.247 -0.156 14.237 0.089 1.334 0.009 43.717 41.763
-17.600 -19.872 -0.103 -19.868 -0.100 -19.833 -0.088 -19.721 -0.085 -19.689 -0.086 -19.655 -0.087 -19.520 -0.092 -19.483 -0.096 -19.288 -0.150 14.060 0.097 1.376 0.011 43.722 41.809
-17.200 -19.903 -0.099 -19.899 -0.097 -19.865 -0.085 -19.757 -0.081 -19.726 -0.082 -19.693 -0.082 -19.562 -0.086 -19.525 -0.090 -19.328 -0.145 13.875 0.106 1.420 0.012 43.726 41.854
-16.800 -19.932 -0.097 -19.929 -0.094 -19.896 -0.083 -19.793 -0.078 -19.763 -0.078 -19.731 -0.079 -19.603 -0.081 -19.567 -0.085 -19.369 -0.141 13.682 0.116 1.468 0.014 43.731 41.898
-16.400 -19.962 -0.096 -19.959 -0.093 -19.928 -0.082 -19.829 -0.076 -19.800 -0.076 -19.769 -0.076 -19.645 -0.077 -19.610 -0.080 -19.410 -0.137 13.483 0.127 1.518 0.017 43.734 41.942
-16.000 -19.990 -0.096 -19.987 -0.094 -19.958 -0.082 -19.864 -0.075 -19.837 -0.074 -19.807 -0.073 -19.687 -0.073 -19.652 -0.076 -19.450 -0.134 13.282 0.137 1.570 0.019 43.738 41.985
-15.600 -20.019 -0.097 -20.016 -0.095 -19.989 -0.083 -19.899 -0.075 -19.873 -0.073 -19.845 -0.072 -19.729 -0.069 -19.694 -0.072 -19.491 -0.131 13.079 0.149 1.626 0.022 43.741 42.027
-15.200 -20.046 -0.099 -20.044 -0.097 -20.018 -0.084 -19.934 -0.074 -19.909 -0.072 -19.882 -0.070 -19.770 -0.066 -19.736 -0.069 -19.531 -0.129 12.877 0.161 1.683 0.025 43.744 42.067
-14.800 -20.073 -0.101 -20.071 -0.099 -20.047 -0.087 -19.968 -0.075 -19.945 -0.072 -19.919 -0.070 -19.811 -0.063 -19.777 -0.066 -19.570 -0.127 12.678 0.172 1.743 0.028 43.748 42.106
-14.400 -20.099 -0.104 -20.097 -0.102 -20.076 -0.090 -20.002 -0.076 -19.979 -0.072 -19.955 -0.069 -19.852 -0.061 -19.818 -0.063 -19.609 -0.126 12.484 0.184 1.804 0.032 43.751 42.141
-14.000 -20.125 -0.108 -20.123 -0.106 -20.104 -0.093 -20.035 -0.076 -20.014 -0.073 -19.990 -0.069 -19.891 -0.059 -19.858 -0.061 -19.648 -0.126 12.297 0.195 1.867 0.035 43.754 42.174
-13.600 -20.150 -0.112 -20.148 -0.110 -20.131 -0.096 -20.067 -0.078 -20.047 -0.073 -20.025 -0.069 -19.930 -0.057 -19.897 -0.059 -19.685 -0.125 12.119 0.205 1.930 0.039 43.758 42.203
-13.200 -20.174 -0.115 -20.173 -0.113 -20.157 -0.099 -20.098 -0.079 -20.080 -0.074 -20.059 -0.069 -19.967 -0.056 -19.936 -0.058 -19.722 -0.126 11.952 0.214 1.993 0.043 43.762 42.228
-12.800 -20.197 -0.119 -20.196 -0.117 -20.183 -0.103 -20.129 -0.080 -20.111 -0.074 -20.092 -0.069 -20.004 -0.055 -19.972 -0.057 -19.758 -0.126 11.798 0.221 2.055 0.047 43.766 42.249
-12.400 -20.220 -0.123 -20.219 -0.121 -20.208 -0.106 -20.158 -0.081 -20.142 -0.075 -20.124 -0.069 -20.039 -0.055 -20.008 -0.057 -19.792 -0.127 11.659 0.227 2.116 0.050 43.770 42.266
-12.000 -20.242 -0.127 -20.241 -0.124 -20.232 -0.109 -20.187 -0.082 -20.172 -0.076 -20.155 -0.070 -20.072 -0.056 -20.041 -0.058 -19.826 -0.128 11.536 0.230 2.173 0.053 43.775 42.278
-11.600 -20.263 -0.130 -20.263 -0.128 -20.255 -0.112 -20.215 -0.083 -20.201 -0.076 -20.184 -0.070 -20.104 -0.057 -20.073 -0.060 -19.858 -0.130 11.429 0.232 2.228 0.056 43.781 42.286
-11.200 -20.284 -0.133 -20.283 -0.131 -20.278 -0.114 -20.242 -0.084 -20.229 -0.077 -20.213 -0.071 -20.134 -0.059 -20.104 -0.063 -19.889 -0.131 11.335 0.232 2.280 0.058 43.786 42.291
-10.800 -20.303 -0.136 -20.303 -0.134 -20.299 -0.117 -20.268 -0.084 -20.255 -0.077 -20.240 -0.071 -20.163 -0.062 -20.132 -0.066 -19.918 -0.133 11.252 0.232 2.329 0.060 43.792 42.294
-10.400 -20.322 -0.139 -20.322 -0.137 -20.320 -0.119 -20.292 -0.085 -20.281 -0.078 -20.267 -0.071 -20.190 -0.064 -20.159 -0.069 -19.946 -0.135 11.178 0.230 2.375 0.062 43.798 42.294
-10.000 -20.340 -0.142 -20.340 -0.139 -20.339 -0.121 -20.316 -0.086 -20.305 -0.078 -20.292 -0.072 -20.215 -0.067 -20.185 -0.072 -19.973 -0.138 11.111 0.228 2.419 0.063 43.803 42.294
-9.600 -20.357 -0.144 -20.357 -0.142 -20.358 -0.123 -20.338 -0.086 -20.329 -0.078 -20.316 -0.072 -20.239 -0.070 -20.209 -0.076 -19.999 -0.140 11.050 0.225 2.462 0.064 43.809 42.292
-9.200 -20.373 -0.146 -20.374 -0.144 -20.376 -0.124 -20.360 -0.086 -20.351 -0.078 -20.338 -0.072 -20.262 -0.073 -20.232 -0.079 -20.023 -0.142 10.994 0.222 2.502 0.065 43.814 42.290
-8.800 -20.388 -0.148 -20.389 -0.146 -20.393 -0.126 -20.380 -0.086 -20.371 -0.078 -20.360 -0.073 -20.283 -0.076 -20.253 -0.082 -20.045 -0.144 10.942 0.220 2.541 0.066 43.819 42.288
-8.400 -20.402 -0.150 -20.403 -0.147 -20.408 -0.127 -20.399 -0.086 -20.391 -0.078 -20.380 -0.073 -20.303 -0.079 -20.273 -0.086 -20.067 -0.146 10.894 0.217 2.577 0.067 43.824 42.285
-8.000 -20.416 -0.151 -20.417 -0.148 -20.423 -0.128 -20.416 -0.086 -20.409 -0.078 -20.398 -0.073 -20.321 -0.081 -20.291 -0.089 -20.087 -0.149 10.849 0.214 2.612 0.067 43.828 42.281
-7.600 -20.428 -0.152 -20.429 -0.149 -20.437 -0.128 -20.432 -0.085 -20.426 -0.077 -20.415 -0.072 -20.338 -0.084 -20.308 -0.091 -20.106 -0.150 10.807 0.211 2.645 0.068 43.833 42.277
-7.200 -20.440 -0.153 -20.441 -0.150 -20.449 -0.128 -20.447 -0.084 -20.441 -0.077 -20.431 -0.072 -20.354 -0.086 -20.324 -0.094 -20.123 -0.152 10.769 0.207 2.676 0.068 43.836 42.271
-6.800 -20.450 -0.153 -20.452 -0.150 -20.461 -0.128 -20.460 -0.084 -20.455 -0.076 -20.445 -0.072 -20.368 -0.088 -20.338 -0.096 -20.139 -0.154 10.733 0.203 2.704 0.068 43.840 42.264
-6.400 -20.460 -0.153 -20.462 -0.151 -20.472 -0.128 -20.472 -0.083 -20.467 -0.075 -20.457 -0.071 -20.380 -0.089 -20.351 -0.098 -20.155 -0.155 10.700 0.198 2.731 0.067 43.843 42.254
-6.000 -20.469 -0.153 -20.471 -0.151 -20.481 -0.128 -20.483 -0.081 -20.478 -0.074 -20.468 -0.070 -20.392 -0.091 -20.363 -0.100 -20.169 -0.156 10.669 0.192 2.755 0.066 43.846 42.242
-5.600 -20.477 -0.153 -20.479 -0.150 -20.490 -0.127 -20.493 -0.080 -20.487 -0.073 -20.477 -0.069 -20.402 -0.092 -20.373 -0.101 -20.182 -0.157 10.642 0.186 2.777 0.065 43.848 42.229
