"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-22.000 -20.963 -0.125 -20.914 -0.107 -20.779 -0.106 -20.750 -0.116 16.703 0.273 1.747 0.034 44.229 42.651
-21.600 -20.994 -0.120 -20.945 -0.103 -20.809 -0.103 -20.781 -0.114 16.733 0.267 1.768 0.034 44.242 42.654
-21.200 -21.025 -0.116 -20.977 -0.099 -20.840 -0.101 -20.811 -0.112 16.759 0.261 1.791 0.034 44.256 42.657
-20.800 -21.057 -0.113 -21.009 -0.097 -20.872 -0.100 -20.842 -0.111 16.781 0.255 1.814 0.033 44.269 42.659
-20.400 -21.089 -0.110 -21.041 -0.094 -20.903 -0.100 -20.874 -0.111 16.799 0.248 1.838 0.033 44.283 42.660
-20.000 -21.121 -0.108 -21.074 -0.093 -20.936 -0.100 -20.906 -0.111 16.815 0.241 1.864 0.032 44.296 42.659
-19.600 -21.154 -0.105 -21.106 -0.092 -20.968 -0.101 -20.938 -0.112 16.828 0.234 1.890 0.032 44.310 42.658
-19.200 -21.186 -0.104 -21.139 -0.091 -21.001 -0.102 -20.970 -0.113 16.839 0.226 1.917 0.031 44.323 42.656
-18.800 -21.219 -0.102 -21.172 -0.090 -21.033 -0.104 -21.003 -0.114 16.847 0.218 1.945 0.031 44.337 42.652
-18.400 -21.252 -0.100 -21.205 -0.089 -21.066 -0.105 -21.035 -0.116 16.854 0.210 1.974 0.030 44.350 42.647
-18.000 -21.284 -0.099 -21.238 -0.089 -21.099 -0.106 -21.068 -0.117 16.858 0.201 2.003 0.029 44.364 42.641
-17.600 -21.317 -0.097 -21.271 -0.089 -21.132 -0.108 -21.100 -0.119 16.860 0.193 2.033 0.028 44.377 42.633
-17.200 -21.349 -0.096 -21.304 -0.088 -21.165 -0.109 -21.133 -0.120 16.860 0.184 2.064 0.028 44.390 42.625
-16.800 -21.381 -0.095 -21.337 -0.088 -21.197 -0.110 -21.165 -0.121 16.858 0.175 2.095 0.027 44.403 42.615
-16.400 -21.413 -0.094 -21.369 -0.087 -21.229 -0.112 -21.197 -0.122 16.854 0.166 2.127 0.026 44.415 42.603
-16.000 -21.444 -0.092 -21.401 -0.087 -21.261 -0.112 -21.229 -0.123 16.848 0.157 2.160 0.025 44.428 42.591
-15.600 -21.475 -0.091 -21.432 -0.086 -21.293 -0.113 -21.260 -0.124 16.839 0.148 2.192 0.024 44.440 42.578
-15.200 -21.506 -0.090 -21.464 -0.086 -21.324 -0.114 -21.291 -0.124 16.828 0.140 2.226 0.023 44.452 42.563
-14.800 -21.536 -0.089 -21.494 -0.086 -21.355 -0.114 -21.321 -0.125 16.814 0.132 2.259 0.022 44.464 42.548
-14.400 -21.565 -0.088 -21.524 -0.085 -21.385 -0.114 -21.352 -0.125 16.797 0.124 2.294 0.021 44.475 42.532
-14.000 -21.594 -0.088 -21.554 -0.085 -21.415 -0.115 -21.381 -0.125 16.777 0.116 2.328 0.020 44.486 42.515
-13.600 -21.622 -0.087 -21.582 -0.085 -21.444 -0.114 -21.410 -0.125 16.753 0.109 2.363 0.019 44.496 42.498
-13.200 -21.650 -0.087 -21.610 -0.085 -21.473 -0.114 -21.438 -0.125 16.727 0.103 2.398 0.018 44.506 42.480
-12.800 -21.676 -0.086 -21.637 -0.084 -21.500 -0.114 -21.466 -0.124 16.698 0.096 2.434 0.018 44.516 42.463
-12.400 -21.702 -0.086 -21.664 -0.084 -21.527 -0.113 -21.493 -0.124 16.666 0.091 2.469 0.017 44.525 42.445
-12.000 -21.727 -0.085 -21.689 -0.084 -21.553 -0.113 -21.519 -0.123 16.632 0.086 2.505 0.016 44.534 42.429
-11.600 -21.751 -0.085 -21.714 -0.083 -21.579 -0.112 -21.545 -0.122 16.596 0.081 2.541 0.016 44.543 42.414
-11.200 -21.774 -0.084 -21.738 -0.083 -21.604 -0.111 -21.569 -0.121 16.558 0.077 2.576 0.015 44.551 42.401
-10.800 -21.797 -0.083 -21.761 -0.082 -21.627 -0.110 -21.593 -0.120 16.518 0.074 2.612 0.015 44.558 42.391
-10.400 -21.818 -0.082 -21.783 -0.081 -21.650 -0.109 -21.616 -0.119 16.476 0.072 2.647 0.015 44.566 42.383
-10.000 -21.839 -0.081 -21.804 -0.080 -21.672 -0.107 -21.638 -0.117 16.432 0.070 2.682 0.014 44.572 42.378
-9.600 -21.858 -0.080 -21.824 -0.078 -21.694 -0.106 -21.660 -0.115 16.386 0.069 2.717 0.014 44.579 42.377
-9.200 -21.877 -0.078 -21.843 -0.077 -21.714 -0.104 -21.680 -0.114 16.338 0.068 2.751 0.015 44.585 42.380
-8.800 -21.894 -0.076 -21.861 -0.075 -21.733 -0.102 -21.700 -0.112 16.287 0.069 2.786 0.015 44.590 42.386
-8.400 -21.911 -0.075 -21.879 -0.073 -21.752 -0.100 -21.719 -0.110 16.233 0.070 2.820 0.015 44.595 42.398
-8.000 -21.926 -0.073 -21.895 -0.071 -21.769 -0.098 -21.737 -0.108 16.176 0.072 2.854 0.016 44.599 42.413
-7.600 -21.941 -0.071 -21.910 -0.069 -21.786 -0.096 -21.754 -0.105 16.115 0.074 2.889 0.017 44.603 42.432
-7.200 -21.954 -0.069 -21.924 -0.068 -21.802 -0.094 -21.770 -0.103 16.049 0.078 2.923 0.018 44.606 42.456
-6.800 -21.967 -0.067 -21.937 -0.066 -21.817 -0.092 -21.785 -0.101 15.978 0.083 2.958 0.020 44.609 42.482
-6.400 -21.978 -0.065 -21.949 -0.064 -21.831 -0.090 -21.800 -0.099 15.901 0.088 2.994 0.021 44.611 42.510
-6.000 -21.988 -0.064 -21.960 -0.063 -21.844 -0.088 -21.813 -0.098 15.818 0.094 3.030 0.023 44.612 42.538
-5.600 -21.997 -0.063 -21.970 -0.062 -21.856 -0.087 -21.826 -0.096 15.726 0.099 3.068 0.025 44.613 42.563
-5.200 -22.005 -0.063 -21.978 -0.061 -21.868 -0.085 -21.838 -0.094 15.628 0.105 3.106 0.027 44.613 42.587
-4.800 -22.012 -0.062 -21.986 -0.060 -21.878 -0.084 -21.850 -0.093 15.525 0.111 3.146 0.030 44.612 42.610
-4.400 -22.018 -0.062 -21.993 -0.059 -21.888 -0.083 -21.860 -0.092 15.416 0.117 3.186 0.032 44.611 42.632
-4.000 -22.023 -0.062 -21.999 -0.059 -21.898 -0.082 -21.870 -0.091 15.305 0.124 3.228 0.035 44.610 42.654
-3.600 -22.027 -0.062 -22.005 -0.059 -21.907 -0.082 -21.880 -0.091 15.190 0.131 3.269 0.038 44.608 42.675
-3.200 -22.031 -0.062 -22.009 -0.059 -21.915 -0.081 -21.889 -0.090 15.074 0.138 3.312 0.041 44.606 42.694
-2.800 -22.034 -0.062 -22.013 -0.058 -21.923 -0.081 -21.897 -0.090 14.957 0.145 3.354 0.044 44.603 42.712
-2.400 -22.036 -0.063 -22.017 -0.058 -21.930 -0.081 -21.905 -0.090 14.841 0.152 3.397 0.047 44.601 42.728
-2.000 -22.038 -0.063 -22.020 -0.058 -21.937 -0.081 -21.913 -0.090 14.727 0.158 3.439 0.051 44.598 42.742
-1.600 -22.040 -0.063 -22.023 -0.058 -21.943 -0.081 -21.920 -0.090 14.616 0.164 3.481 0.054 44.596 42.754
-1.200 -22.041 -0.063 -22.025 -0.058 -21.949 -0.080 -21.927 -0.090 14.509 0.170 3.522 0.057 44.593 42.764
-0.800 -22.042 -0.063 -22.027 -0.057 -21.954 -0.080 -21.933 -0.090 14.407 0.176 3.561 0.061 44.590 42.774
-0.400 -22.043 -0.063 -22.029 -0.057 -21.959 -0.080 -21.939 -0.090 14.311 0.181 3.599 0.064 44.588 42.784
-0.000 -22.043 -0.063 -22.030 -0.057 -21.964 -0.080 -21.944 -0.089 14.220 0.187 3.635 0.067 44.585 42.792
0.400 -22.043 -0.063 -22.032 -0.057 -21.968 -0.080 -21.949 -0.089 14.134 0.191 3.670 0.070 44.583 42.799
0.800 -22.043 -0.064 -22.033 -0.057 -21.972 -0.079 -21.953 -0.089 14.051 0.195 3.703 0.073 44.581 42.803
1.200 -22.043 -0.064 -22.033 -0.057 -21.976 -0.079 -21.958 -0.088 13.971 0.198 3.736 0.076 44.578 42.807
1.600 -22.043 -0.064 -22.034 -0.057 -21.979 -0.079 -21.961 -0.088 13.892 0.200 3.768 0.078 44.576 42.808
2.000 -22.042 -0.064 -22.034 -0.057 -21.981 -0.078 -21.965 -0.088 13.815 0.202 3.799 0.080 44.574 42.809
2.400 -22.040 -0.065 -22.033 -0.057 -21.984 -0.078 -21.967 -0.087 13.739 0.204 3.830 0.082 44.571 42.809
2.800 -22.038 -0.066 -22.032 -0.057 -21.986 -0.077 -21.970 -0.087 13.664 0.205 3.860 0.084 44.568 42.807
3.200 -22.036 -0.066 -22.031 -0.058 -21.987 -0.077 -21.972 -0.087 13.593 0.205 3.888 0.085 44.565 42.805
3.600 -22.033 -0.068 -22.029 -0.059 -21.988 -0.077 -21.973 -0.086 13.515 0.205 3.918 0.087 44.562 42.802
4.000 -22.029 -0.069 -22.026 -0.060 -21.988 -0.077 -21.974 -0.086 13.440 0.205 3.947 0.088 44.559 42.798
4.400 -22.025 -0.070 -22.023 -0.061 -21.987 -0.077 -21.974 -0.086 13.366 0.204 3.975 0.089 44.555 42.793
4.800 -22.020 -0.072 -22.019 -0.063 -21.986 -0.077 -21.973 -0.086 13.292 0.204 4.002 0.090 44.552 42.789
5.200 -22.014 -0.074 -22.014 -0.065 -21.985 -0.077 -21.972 -0.086 13.217 0.203 4.028 0.091 44.548 42.784
5.600 -22.008 -0.076 -22.009 -0.067 -21.982 -0.078 -21.971 -0.087 13.158 0.203 4.047 0.092 44.544 42.782
6.000 -22.001 -0.078 -22.003 -0.069 -21.979 -0.079 -21.968 -0.087 13.090 0.204 4.069 0.093 44.540 42.778
6.400 -21.993 -0.081 -21.997 -0.071 -21.975 -0.080 -21.965 -0.088 13.000 0.203 4.100 0.095 44.534 42.770
6.800 -21.985 -0.083 -21.989 -0.073 -21.971 -0.081 -21.961 -0.089 12.946 0.205 4.114 0.096 44.530 42.769
7.200 -21.976 -0.085 -21.981 -0.075 -21.966 -0.082 -21.957 -0.090 12.861 0.205 4.141 0.098 44.524 42.763
7.600 -21.966 -0.086 -21.973 -0.077 -21.960 -0.083 -21.952 -0.091 12.793 0.206 4.160 0.100 44.519 42.759
8.000 -21.956 -0.088 -21.963 -0.079 -21.954 -0.085 -21.946 -0.092 12.742 0.209 4.169 0.102 44.514 42.758
8.400 -21.945 -0.090 -21.953 -0.080 -21.947 -0.086 -21.940 -0.093 12.681 0.211 4.182 0.105 44.508 42.756
8.800 -21.934 -0.091 -21.942 -0.082 -21.939 -0.087 -21.933 -0.094 12.618 0.213 4.196 0.107 44.502 42.753
9.200 -21.921 -0.092 -21.931 -0.083 -21.931 -0.088 -21.925 -0.095 12.554 0.216 4.208 0.110 44.496 42.750
9.600 -21.909 -0.093 -21.919 -0.084 -21.922 -0.088 -21.917 -0.095 12.463 0.216 4.235 0.112 44.489 42.740
10.000 -21.895 -0.094 -21.907 -0.084 -21.912 -0.089 -21.908 -0.096 12.399 0.219 4.246 0.114 44.482 42.736
10.400 -21.881 -0.094 -21.894 -0.085 -21.902 -0.089 -21.899 -0.096 12.335 0.221 4.256 0.117 44.475 42.732
10.800 -21.866 -0.095 -21.880 -0.085 -21.891 -0.089 -21.889 -0.096 12.271 0.223 4.266 0.120 44.468 42.728
11.200 -21.851 -0.095 -21.866 -0.085 -21.880 -0.089 -21.878 -0.096 12.208 0.226 4.275 0.122 44.461 42.723
11.600 -21.836 -0.095 -21.851 -0.085 -21.868 -0.088 -21.867 -0.096 12.145 0.228 4.282 0.125 44.454 42.718
12.000 -21.819 -0.095 -21.836 -0.085 -21.856 -0.088 -21.856 -0.095 12.082 0.231 4.290 0.128 44.446 42.713
12.400 -21.803 -0.096 -21.820 -0.085 -21.843 -0.087 -21.844 -0.095 12.019 0.233 4.296 0.130 44.438 42.708
12.800 -21.785 -0.096 -21.803 -0.085 -21.830 -0.087 -21.832 -0.094 11.956 0.235 4.302 0.133 44.430 42.702
13.200 -21.768 -0.096 -21.786 -0.085 -21.816 -0.086 -21.819 -0.093 11.893 0.237 4.307 0.135 44.422 42.696
13.600 -21.749 -0.097 -21.769 -0.086 -21.802 -0.085 -21.805 -0.092 11.830 0.239 4.312 0.138 44.414 42.690
14.000 -21.731 -0.098 -21.751 -0.086 -21.788 -0.084 -21.792 -0.092 11.767 0.241 4.316 0.140 44.406 42.683
14.400 -21.712 -0.098 -21.733 -0.086 -21.773 -0.084 -21.778 -0.091 11.705 0.243 4.320 0.142 44.397 42.676
14.800 -21.692 -0.099 -21.715 -0.087 -21.757 -0.083 -21.763 -0.091 11.642 0.245 4.323 0.145 44.388 42.669
15.200 -21.673 -0.099 -21.696 -0.087 -21.742 -0.083 -21.749 -0.090 11.580 0.247 4.325 0.147 44.380 42.662
15.600 -21.652 -0.100 -21.677 -0.087 -21.726 -0.082 -21.734 -0.090 11.519 0.249 4.327 0.150 44.371 42.654
16.000 -21.632 -0.101 -21.657 -0.088 -21.710 -0.082 -21.718 -0.090 11.458 0.250 4.329 0.152 44.362 42.646
16.400 -21.611 -0.101 -21.638 -0.088 -21.694 -0.082 -21.703 -0.090 11.398 0.252 4.330 0.155 44.353 42.637
16.800 -21.591 -0.101 -21.618 -0.088 -21.677 -0.082 -21.687 -0.090 11.338 0.254 4.331 0.158 44.344 42.628
17.200 -21.569 -0.102 -21.598 -0.088 -21.660 -0.082 -21.671 -0.090 11.278 0.256 4.331 0.161 44.335 42.619
17.600 -21.548 -0.102 -21.577 -0.088 -21.644 -0.082 -21.655 -0.090 11.219 0.258 4.332 0.164 44.326 42.609
18.000 -21.527 -0.102 -21.557 -0.088 -21.627 -0.083 -21.639 -0.091 11.159 0.260 4.332 0.167 44.317 42.598
18.400 -21.505 -0.102 -21.536 -0.088 -21.610 -0.083 -21.623 -0.091 11.100 0.262 4.333 0.170 44.308 42.587
18.800 -21.483 -0.102 -21.516 -0.088 -21.593 -0.084 -21.607 -0.092 11.041 0.265 4.334 0.173 44.299 42.576
19.200 -21.462 -0.101 -21.495 -0.088 -21.576 -0.085 -21.591 -0.093 10.982 0.267 4.335 0.177 44.289 42.564
19.600 -21.440 -0.101 -21.474 -0.087 -21.559 -0.085 -21.575 -0.094 10.923 0.269 4.336 0.180 44.280 42.552
20.000 -21.418 -0.100 -21.453 -0.087 -21.542 -0.086 -21.559 -0.095 10.865 0.271 4.337 0.184 44.271 42.540
20.400 -21.396 -0.100 -21.432 -0.086 -21.525 -0.087 -21.542 -0.096 10.807 0.274 4.338 0.188 44.262 42.527
20.800 -21.374 -0.099 -21.412 -0.086 -21.507 -0.087 -21.526 -0.096 10.750 0.276 4.339 0.191 44.253 42.514
21.200 -21.352 -0.099 -21.391 -0.085 -21.490 -0.088 -21.510 -0.097 10.694 0.278 4.339 0.195 44.244 42.501
21.600 -21.329 -0.098 -21.370 -0.085 -21.473 -0.089 -21.493 -0.098 10.639 0.281 4.340 0.199 44.235 42.488
22.000 -21.307 -0.098 -21.349 -0.085 -21.456 -0.090 -21.477 -0.099 10.584 0.283 4.340 0.203 44.226 42.476
22.400 -21.285 -0.098 -21.328 -0.084 -21.438 -0.090 -21.460 -0.100 10.530 0.285 4.339 0.206 44.217 42.463
22.800 -21.263 -0.098 -21.307 -0.084 -21.421 -0.091 -21.444 -0.101 10.478 0.287 4.339 0.210 44.209 42.450
23.200 -21.241 -0.098 -21.286 -0.084 -21.404 -0.092 -21.427 -0.102 10.426 0.289 4.338 0.214 44.200 42.437
23.600 -21.219 -0.098 -21.265 -0.084 -21.386 -0.092 -21.411 -0.102 10.375 0.290 4.336 0.217 44.191 42.425
24.000 -21.197 -0.098 -21.244 -0.084 -21.369 -0.093 -21.394 -0.103 10.325 0.292 4.335 0.220 44.182 42.413
24.400 -21.175 -0.098 -21.223 -0.084 -21.352 -0.093 -21.377 -0.104 10.276 0.293 4.333 0.223 44.174 42.400
24.800 -21.153 -0.099 -21.202 -0.084 -21.334 -0.094 -21.361 -0.104 10.228 0.295 4.331 0.226 44.165 42.389
25.200 -21.131 -0.099 -21.181 -0.084 -21.317 -0.094 -21.344 -0.105 10.181 0.295 4.329 0.229 44.157 42.377
25.600 -21.110 -0.100 -21.160 -0.085 -21.300 -0.094 -21.328 -0.105 10.134 0.296 4.326 0.231 44.148 42.366
26.000 -21.088 -0.100 -21.140 -0.085 -21.282 -0.095 -21.311 -0.105 10.089 0.297 4.323 0.233 44.140 42.355
26.400 -21.067 -0.101 -21.119 -0.086 -21.265 -0.095 -21.295 -0.106 10.045 0.297 4.320 0.235 44.132 42.345
26.800 -21.046 -0.102 -21.099 -0.086 -21.248 -0.095 -21.278 -0.106 10.003 0.297 4.315 0.237 44.123 42.335
27.200 -21.024 -0.103 -21.079 -0.087 -21.231 -0.095 -21.262 -0.106 9.962 0.297 4.310 0.238 44.115 42.325
27.600 -21.004 -0.104 -21.059 -0.088 -21.214 -0.095 -21.245 -0.107 9.923 0.297 4.304 0.239 44.107 42.315
28.000 -20.983 -0.106 -21.039 -0.089 -21.197 -0.096 -21.229 -0.107 9.886 0.297 4.297 0.240 44.099 42.306
28.400 -20.963 -0.108 -21.019 -0.090 -21.180 -0.096 -21.212 -0.108 9.852 0.297 4.288 0.241 44.091 42.297
28.800 -20.943 -0.110 -21.000 -0.092 -21.163 -0.097 -21.196 -0.109 9.821 0.297 4.277 0.242 44.084 42.288
29.200 -20.923 -0.112 -20.980 -0.094 -21.146 -0.099 -21.179 -0.111 9.794 0.297 4.264 0.242 44.076 42.280
29.600 -20.904 -0.115 -20.962 -0.097 -21.129 -0.101 -21.163 -0.113 9.770 0.296 4.247 0.241 44.069 42.272
30.000 -20.885 -0.118 -20.943 -0.100 -21.112 -0.104 -21.146 -0.115 9.752 0.296 4.228 0.241 44.061 42.264
30.400 -20.866 -0.122 -20.925 -0.104 -21.095 -0.107 -21.129 -0.119 9.739 0.296 4.205 0.240 44.054 42.257
30.800 -20.848 -0.127 -20.907 -0.109 -21.078 -0.112 -21.112 -0.123 9.731 0.295 4.177 0.238 44.047 42.250
31.200 -20.831 -0.132 -20.890 -0.114 -21.060 -0.117 -21.095 -0.128 9.728 0.295 4.147 0.236 44.040 42.243
31.600 -20.814 -0.138 -20.873 -0.120 -21.043 -0.122 -21.078 -0.133 9.729 0.294 4.114 0.234 44.034 42.237
