"Time (MJD)" B-4345.28 B-4345.28_err U-3520.88 U-3520.88_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err UVW2-2083.95 UVW2-2083.95_err V-5411.45 V-5411.45_err cyan-5182.42 cyan-5182.42_err g-4671.78 g-4671.78_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7457.89 i-7457.89_err i-7589.41 i-7589.41_err i-7645.77 i-7645.77_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6141.12 r-6141.12_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err u-3513.68 u-3513.68_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-28.000 -17.112 -0.137 -17.250 -0.116 -17.548 -0.104 -17.813 -0.093 -17.813 -0.093 -17.734 -0.080 -17.676 -0.065 -17.666 -0.064 -17.664 -0.064 -17.657 -0.064 -17.605 -0.074 -17.583 -0.080 -17.500 -0.070 -17.496 -0.070 -17.482 -0.069 -17.438 -0.073 -17.352 -0.084 -17.123 -0.081 -17.101 -0.079 -17.093 -0.079 -17.069 -0.087 -16.791 -0.152 15.501 0.285 0.439 0.010 42.900 41.409
-27.600 -17.219 -0.131 -17.360 -0.110 -17.666 -0.100 -17.943 -0.089 -17.943 -0.089 -17.872 -0.076 -17.818 -0.060 -17.808 -0.058 -17.807 -0.058 -17.800 -0.058 -17.752 -0.069 -17.733 -0.076 -17.657 -0.063 -17.652 -0.063 -17.639 -0.063 -17.594 -0.067 -17.505 -0.080 -17.272 -0.076 -17.250 -0.073 -17.242 -0.074 -17.218 -0.081 -16.926 -0.147 15.289 0.294 0.478 0.011 42.948 41.475
-27.200 -17.324 -0.127 -17.468 -0.107 -17.782 -0.098 -18.071 -0.087 -18.072 -0.087 -18.010 -0.074 -17.959 -0.057 -17.950 -0.055 -17.948 -0.055 -17.942 -0.055 -17.899 -0.066 -17.882 -0.073 -17.812 -0.059 -17.808 -0.058 -17.794 -0.058 -17.748 -0.063 -17.655 -0.076 -17.420 -0.073 -17.399 -0.069 -17.390 -0.069 -17.366 -0.076 -17.060 -0.142 15.083 0.306 0.519 0.013 42.997 41.544
-26.800 -17.428 -0.126 -17.575 -0.106 -17.897 -0.098 -18.198 -0.087 -18.199 -0.087 -18.146 -0.073 -18.099 -0.056 -18.090 -0.055 -18.089 -0.055 -18.083 -0.055 -18.044 -0.065 -18.029 -0.071 -17.966 -0.055 -17.961 -0.055 -17.948 -0.055 -17.900 -0.060 -17.804 -0.074 -17.568 -0.070 -17.546 -0.066 -17.538 -0.066 -17.513 -0.073 -17.193 -0.139 14.886 0.318 0.563 0.015 43.045 41.613
-26.400 -17.530 -0.126 -17.681 -0.108 -18.011 -0.101 -18.324 -0.089 -18.325 -0.089 -18.280 -0.074 -18.237 -0.058 -18.229 -0.057 -18.228 -0.056 -18.223 -0.056 -18.188 -0.066 -18.175 -0.071 -18.118 -0.054 -18.113 -0.054 -18.099 -0.053 -18.049 -0.059 -17.951 -0.073 -17.714 -0.069 -17.692 -0.065 -17.684 -0.065 -17.659 -0.070 -17.324 -0.138 14.703 0.331 0.609 0.017 43.092 41.683
-26.000 -17.631 -0.129 -17.785 -0.112 -18.123 -0.104 -18.448 -0.092 -18.449 -0.092 -18.413 -0.077 -18.373 -0.061 -18.366 -0.060 -18.365 -0.059 -18.361 -0.059 -18.329 -0.067 -18.318 -0.072 -18.266 -0.054 -18.262 -0.054 -18.248 -0.053 -18.196 -0.059 -18.095 -0.074 -17.858 -0.069 -17.837 -0.065 -17.829 -0.064 -17.803 -0.068 -17.454 -0.137 14.534 0.342 0.659 0.019 43.140 41.750
-25.600 -17.731 -0.133 -17.888 -0.116 -18.234 -0.109 -18.570 -0.096 -18.571 -0.096 -18.545 -0.080 -18.508 -0.065 -18.502 -0.064 -18.501 -0.063 -18.496 -0.063 -18.469 -0.070 -18.459 -0.074 -18.411 -0.055 -18.407 -0.055 -18.392 -0.055 -18.339 -0.060 -18.236 -0.075 -18.001 -0.070 -17.980 -0.065 -17.972 -0.064 -17.946 -0.067 -17.582 -0.138 14.382 0.350 0.710 0.022 43.187 41.812
-25.200 -17.829 -0.138 -17.989 -0.122 -18.343 -0.115 -18.690 -0.101 -18.691 -0.101 -18.674 -0.084 -18.640 -0.069 -18.635 -0.068 -18.634 -0.068 -18.630 -0.067 -18.606 -0.073 -18.597 -0.077 -18.551 -0.057 -18.547 -0.057 -18.532 -0.057 -18.478 -0.062 -18.374 -0.076 -18.141 -0.071 -18.122 -0.065 -18.114 -0.064 -18.087 -0.066 -17.708 -0.139 14.245 0.355 0.763 0.024 43.233 41.869
-24.800 -17.925 -0.143 -18.088 -0.129 -18.451 -0.121 -18.809 -0.107 -18.810 -0.106 -18.801 -0.088 -18.770 -0.074 -18.765 -0.073 -18.765 -0.072 -18.761 -0.072 -18.740 -0.076 -18.732 -0.080 -18.686 -0.060 -18.682 -0.060 -18.667 -0.060 -18.612 -0.064 -18.509 -0.078 -18.280 -0.072 -18.260 -0.066 -18.253 -0.064 -18.226 -0.066 -17.832 -0.140 14.120 0.356 0.819 0.026 43.279 41.920
-24.400 -18.020 -0.150 -18.186 -0.136 -18.556 -0.128 -18.926 -0.112 -18.927 -0.112 -18.926 -0.092 -18.898 -0.078 -18.893 -0.077 -18.893 -0.077 -18.890 -0.076 -18.871 -0.079 -18.863 -0.082 -18.816 -0.064 -18.812 -0.063 -18.797 -0.063 -18.742 -0.067 -18.639 -0.079 -18.415 -0.074 -18.397 -0.067 -18.389 -0.065 -18.363 -0.065 -17.955 -0.142 14.006 0.355 0.877 0.028 43.324 41.967
