"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-20.000 -20.989 -0.115 -20.971 -0.103 -20.912 -0.110 -20.898 -0.116 -20.836 -0.162 13.247 0.420 2.482 0.109 44.131 42.742
-19.600 -21.014 -0.110 -20.996 -0.098 -20.938 -0.106 -20.924 -0.112 -20.861 -0.158 13.245 0.410 2.512 0.108 44.141 42.740
-19.200 -21.039 -0.105 -21.022 -0.093 -20.964 -0.103 -20.950 -0.109 -20.886 -0.155 13.239 0.401 2.544 0.107 44.151 42.738
-18.800 -21.064 -0.101 -21.047 -0.090 -20.991 -0.100 -20.977 -0.106 -20.912 -0.151 13.231 0.391 2.576 0.107 44.161 42.735
-18.400 -21.089 -0.097 -21.073 -0.086 -21.017 -0.098 -21.003 -0.104 -20.938 -0.149 13.220 0.381 2.610 0.106 44.171 42.732
-18.000 -21.114 -0.094 -21.099 -0.084 -21.044 -0.097 -21.030 -0.103 -20.963 -0.147 13.207 0.371 2.646 0.105 44.181 42.729
-17.600 -21.139 -0.092 -21.125 -0.082 -21.071 -0.096 -21.057 -0.102 -20.989 -0.145 13.192 0.362 2.682 0.104 44.191 42.725
-17.200 -21.165 -0.090 -21.151 -0.081 -21.097 -0.095 -21.083 -0.101 -21.015 -0.143 13.175 0.352 2.719 0.103 44.201 42.721
-16.800 -21.190 -0.089 -21.176 -0.080 -21.124 -0.095 -21.110 -0.101 -21.040 -0.142 13.158 0.342 2.757 0.101 44.210 42.718
-16.400 -21.214 -0.088 -21.202 -0.080 -21.151 -0.096 -21.137 -0.101 -21.066 -0.142 13.139 0.332 2.796 0.100 44.220 42.713
-16.000 -21.239 -0.088 -21.227 -0.080 -21.177 -0.096 -21.163 -0.102 -21.091 -0.142 13.119 0.322 2.835 0.099 44.229 42.709
-15.600 -21.263 -0.088 -21.252 -0.081 -21.203 -0.097 -21.189 -0.102 -21.116 -0.142 13.098 0.312 2.875 0.098 44.239 42.704
-15.200 -21.287 -0.088 -21.277 -0.081 -21.229 -0.098 -21.215 -0.103 -21.141 -0.142 13.076 0.302 2.915 0.096 44.248 42.699
-14.800 -21.310 -0.088 -21.301 -0.082 -21.254 -0.098 -21.240 -0.104 -21.166 -0.142 13.053 0.292 2.956 0.094 44.257 42.693
-14.400 -21.333 -0.089 -21.325 -0.083 -21.279 -0.099 -21.265 -0.104 -21.190 -0.143 13.027 0.282 2.997 0.093 44.266 42.686
