"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-34.000 -21.468 -0.087 -21.406 -0.073 -21.269 -0.069 -21.235 -0.075 -21.200 -0.084 21.036 0.282 1.591 0.024 44.548 42.929
-33.600 -21.491 -0.085 -21.430 -0.070 -21.293 -0.066 -21.259 -0.071 -21.224 -0.081 21.004 0.276 1.611 0.024 44.556 42.929
-33.200 -21.514 -0.083 -21.453 -0.068 -21.317 -0.063 -21.283 -0.069 -21.248 -0.078 20.956 0.269 1.633 0.023 44.564 42.927
-32.800 -21.537 -0.082 -21.476 -0.067 -21.341 -0.061 -21.307 -0.067 -21.272 -0.076 20.893 0.261 1.657 0.023 44.571 42.922
-32.400 -21.560 -0.081 -21.500 -0.067 -21.366 -0.060 -21.332 -0.066 -21.297 -0.075 20.818 0.253 1.682 0.023 44.578 42.915
-32.000 -21.582 -0.081 -21.524 -0.067 -21.391 -0.060 -21.357 -0.065 -21.322 -0.074 20.734 0.244 1.709 0.022 44.585 42.907
-31.600 -21.605 -0.081 -21.547 -0.067 -21.416 -0.060 -21.382 -0.065 -21.347 -0.074 20.642 0.235 1.737 0.022 44.591 42.897
-31.200 -21.628 -0.082 -21.571 -0.068 -21.441 -0.061 -21.407 -0.066 -21.372 -0.074 20.545 0.226 1.766 0.022 44.597 42.887
-30.800 -21.651 -0.083 -21.594 -0.069 -21.466 -0.062 -21.432 -0.067 -21.397 -0.075 20.445 0.217 1.795 0.021 44.603 42.876
-30.400 -21.673 -0.084 -21.618 -0.071 -21.491 -0.063 -21.458 -0.068 -21.422 -0.076 20.343 0.209 1.826 0.021 44.609 42.865
-30.000 -21.695 -0.086 -21.641 -0.072 -21.516 -0.065 -21.483 -0.069 -21.447 -0.077 20.239 0.201 1.857 0.021 44.615 42.854
-29.600 -21.717 -0.087 -21.664 -0.074 -21.540 -0.067 -21.507 -0.071 -21.472 -0.078 20.135 0.193 1.889 0.021 44.621 42.844
-29.200 -21.739 -0.089 -21.687 -0.076 -21.565 -0.069 -21.532 -0.073 -21.497 -0.080 20.031 0.186 1.921 0.020 44.627 42.834
-28.800 -21.761 -0.090 -21.709 -0.078 -21.589 -0.071 -21.557 -0.074 -21.522 -0.081 19.926 0.180 1.953 0.020 44.632 42.824
-28.400 -21.782 -0.092 -21.732 -0.080 -21.613 -0.073 -21.581 -0.076 -21.546 -0.083 19.823 0.174 1.986 0.020 44.638 42.816
-28.000 -21.803 -0.093 -21.754 -0.081 -21.637 -0.074 -21.605 -0.078 -21.570 -0.085 19.721 0.169 2.019 0.020 44.643 42.809
-27.600 -21.824 -0.094 -21.775 -0.083 -21.660 -0.076 -21.628 -0.080 -21.593 -0.086 19.621 0.165 2.053 0.020 44.648 42.804
-27.200 -21.844 -0.096 -21.796 -0.084 -21.683 -0.078 -21.651 -0.081 -21.617 -0.088 19.523 0.162 2.086 0.020 44.654 42.800
-26.800 -21.864 -0.097 -21.817 -0.086 -21.705 -0.080 -21.674 -0.083 -21.640 -0.089 19.429 0.159 2.119 0.020 44.659 42.797
-26.400 -21.884 -0.098 -21.838 -0.087 -21.727 -0.081 -21.696 -0.085 -21.662 -0.091 19.338 0.157 2.152 0.020 44.664 42.796
-26.000 -21.903 -0.099 -21.858 -0.088 -21.748 -0.083 -21.718 -0.086 -21.684 -0.092 19.250 0.155 2.184 0.021 44.669 42.796
-25.600 -21.922 -0.100 -21.877 -0.089 -21.769 -0.084 -21.739 -0.087 -21.705 -0.094 19.165 0.154 2.216 0.021 44.674 42.797
-25.200 -21.940 -0.101 -21.896 -0.090 -21.790 -0.085 -21.760 -0.089 -21.726 -0.095 19.082 0.153 2.248 0.021 44.679 42.800
-24.800 -21.958 -0.101 -21.915 -0.091 -21.810 -0.086 -21.780 -0.090 -21.747 -0.096 19.002 0.152 2.280 0.022 44.684 42.804
-24.400 -21.975 -0.102 -21.933 -0.091 -21.829 -0.087 -21.800 -0.091 -21.767 -0.097 18.923 0.152 2.311 0.022 44.688 42.808
