"Time (MJD)" B-4345.28 B-4345.28_err U-3520.88 U-3520.88_err UVM2-2245.03 UVM2-2245.03_err UVW1-2681.67 UVW1-2681.67_err V-5411.45 V-5411.45_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err g-4793.46 g-4793.46_err i-7589.41 i-7589.41_err orange-6629.82 orange-6629.82_err r-6120.65 r-6120.65_err r-6366.38 r-6366.38_err z-8970.57 z-8970.57_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-49.000 -18.368 -0.238 -18.823 -0.185 -19.518 -0.172 -19.826 -0.126 -19.833 -0.102 -19.831 -0.101 -19.805 -0.102 -19.793 -0.108 -19.794 -0.094 -19.788 -0.084 -19.747 -0.098 -19.376 -0.166 -18.984 -0.203 12.496 0.491 1.553 0.096 43.622 42.336
-48.600 -18.381 -0.236 -18.839 -0.184 -19.541 -0.171 -19.855 -0.125 -19.864 -0.100 -19.861 -0.099 -19.835 -0.100 -19.822 -0.106 -19.824 -0.093 -19.818 -0.082 -19.776 -0.096 -19.402 -0.164 -19.007 -0.202 12.459 0.498 1.581 0.100 43.633 42.353
-48.200 -18.394 -0.235 -18.856 -0.183 -19.565 -0.170 -19.884 -0.123 -19.894 -0.098 -19.891 -0.097 -19.865 -0.099 -19.852 -0.105 -19.854 -0.091 -19.849 -0.080 -19.806 -0.094 -19.427 -0.163 -19.029 -0.200 12.422 0.505 1.609 0.103 43.643 42.369
-47.800 -18.407 -0.233 -18.872 -0.182 -19.588 -0.169 -19.913 -0.122 -19.924 -0.097 -19.921 -0.096 -19.895 -0.097 -19.882 -0.104 -19.884 -0.090 -19.879 -0.078 -19.836 -0.092 -19.453 -0.162 -19.052 -0.199 12.387 0.511 1.638 0.107 43.653 42.386
-47.400 -18.420 -0.232 -18.888 -0.182 -19.611 -0.169 -19.941 -0.121 -19.954 -0.095 -19.952 -0.094 -19.925 -0.096 -19.912 -0.102 -19.914 -0.089 -19.909 -0.077 -19.865 -0.091 -19.478 -0.161 -19.074 -0.199 12.352 0.517 1.667 0.110 43.663 42.402
-47.000 -18.433 -0.231 -18.905 -0.181 -19.634 -0.169 -19.970 -0.120 -19.984 -0.094 -19.982 -0.093 -19.955 -0.095 -19.941 -0.101 -19.944 -0.088 -19.939 -0.076 -19.894 -0.089 -19.504 -0.161 -19.097 -0.198 12.317 0.524 1.696 0.114 43.674 42.417
-46.600 -18.446 -0.230 -18.921 -0.181 -19.657 -0.169 -19.999 -0.119 -20.014 -0.093 -20.012 -0.092 -19.985 -0.094 -19.971 -0.100 -19.973 -0.088 -19.969 -0.075 -19.923 -0.088 -19.529 -0.160 -19.119 -0.198 12.283 0.530 1.725 0.118 43.684 42.433
-46.200 -18.458 -0.230 -18.937 -0.181 -19.679 -0.169 -20.027 -0.118 -20.044 -0.092 -20.042 -0.091 -20.015 -0.093 -20.001 -0.100 -20.003 -0.087 -19.999 -0.074 -19.952 -0.087 -19.554 -0.160 -19.141 -0.198 12.251 0.535 1.755 0.122 43.694 42.448
-45.800 -18.471 -0.229 -18.952 -0.181 -19.702 -0.169 -20.055 -0.118 -20.074 -0.092 -20.072 -0.090 -20.045 -0.092 -20.030 -0.099 -20.032 -0.087 -20.028 -0.074 -19.981 -0.087 -19.579 -0.160 -19.164 -0.198 12.219 0.541 1.785 0.126 43.704 42.463
-45.400 -18.483 -0.229 -18.968 -0.182 -19.725 -0.169 -20.084 -0.117 -20.104 -0.091 -20.102 -0.090 -20.074 -0.091 -20.059 -0.098 -20.061 -0.087 -20.057 -0.074 -20.009 -0.086 -19.605 -0.160 -19.186 -0.198 12.187 0.547 1.815 0.130 43.714 42.478
