"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-61.000 -18.029 -0.124 -18.007 -0.104 -17.940 -0.080 -17.923 -0.084 -17.847 -0.135 11.671 0.363 0.765 0.031 42.889 41.529
-60.600 -18.058 -0.121 -18.036 -0.101 -17.970 -0.078 -17.954 -0.081 -17.877 -0.133 11.666 0.356 0.776 0.031 42.901 41.533
-60.200 -18.087 -0.119 -18.066 -0.099 -18.001 -0.076 -17.984 -0.079 -17.907 -0.131 11.660 0.349 0.788 0.031 42.912 41.536
-59.800 -18.117 -0.116 -18.096 -0.096 -18.031 -0.074 -18.014 -0.078 -17.936 -0.129 11.654 0.342 0.799 0.031 42.924 41.538
-59.400 -18.146 -0.114 -18.126 -0.094 -18.062 -0.072 -18.045 -0.076 -17.966 -0.127 11.647 0.336 0.811 0.031 42.936 41.541
-59.000 -18.176 -0.112 -18.156 -0.092 -18.093 -0.071 -18.076 -0.075 -17.997 -0.126 11.639 0.329 0.823 0.031 42.948 41.544
-58.600 -18.206 -0.110 -18.186 -0.091 -18.123 -0.071 -18.106 -0.075 -18.027 -0.125 11.630 0.323 0.836 0.031 42.959 41.547
-58.200 -18.235 -0.108 -18.216 -0.090 -18.154 -0.070 -18.137 -0.074 -18.057 -0.124 11.621 0.317 0.849 0.031 42.971 41.549
-57.800 -18.265 -0.107 -18.246 -0.088 -18.185 -0.070 -18.168 -0.074 -18.088 -0.123 11.611 0.311 0.862 0.031 42.983 41.552
-57.400 -18.295 -0.105 -18.276 -0.087 -18.216 -0.070 -18.199 -0.074 -18.118 -0.123 11.600 0.305 0.875 0.031 42.995 41.555
-57.000 -18.324 -0.104 -18.307 -0.087 -18.246 -0.070 -18.230 -0.074 -18.149 -0.122 11.590 0.300 0.888 0.031 43.006 41.558
-56.600 -18.354 -0.103 -18.337 -0.086 -18.277 -0.071 -18.260 -0.075 -18.179 -0.122 11.579 0.295 0.902 0.031 43.018 41.561
-56.200 -18.384 -0.101 -18.367 -0.085 -18.308 -0.071 -18.291 -0.075 -18.210 -0.122 11.567 0.290 0.916 0.031 43.030 41.564
-55.800 -18.413 -0.100 -18.397 -0.085 -18.338 -0.072 -18.322 -0.076 -18.240 -0.121 11.556 0.286 0.930 0.031 43.041 41.568
-55.400 -18.443 -0.099 -18.427 -0.084 -18.369 -0.073 -18.352 -0.077 -18.271 -0.121 11.544 0.282 0.945 0.031 43.053 41.572
-55.000 -18.472 -0.098 -18.457 -0.084 -18.399 -0.074 -18.383 -0.078 -18.301 -0.121 11.532 0.278 0.959 0.031 43.064 41.576
-54.600 -18.502 -0.098 -18.486 -0.083 -18.430 -0.074 -18.413 -0.078 -18.331 -0.121 11.521 0.275 0.974 0.032 43.076 41.581
-54.200 -18.531 -0.097 -18.516 -0.083 -18.460 -0.075 -18.444 -0.079 -18.362 -0.121 11.509 0.272 0.989 0.032 43.087 41.587
-53.800 -18.560 -0.096 -18.546 -0.083 -18.490 -0.076 -18.474 -0.080 -18.392 -0.122 11.498 0.269 1.004 0.032 43.099 41.593
-53.400 -18.589 -0.095 -18.575 -0.082 -18.520 -0.077 -18.504 -0.081 -18.422 -0.122 11.486 0.267 1.019 0.032 43.110 41.600
-53.000 -18.618 -0.094 -18.604 -0.082 -18.549 -0.078 -18.533 -0.082 -18.452 -0.122 11.475 0.266 1.035 0.033 43.121 41.607
-52.600 -18.647 -0.093 -18.633 -0.082 -18.579 -0.078 -18.563 -0.083 -18.482 -0.122 11.463 0.264 1.050 0.033 43.133 41.614
-52.200 -18.675 -0.092 -18.662 -0.081 -18.608 -0.079 -18.593 -0.083 -18.512 -0.122 11.451 0.263 1.066 0.034 43.144 41.622
-51.800 -18.704 -0.091 -18.691 -0.081 -18.638 -0.080 -18.622 -0.084 -18.542 -0.122 11.439 0.262 1.082 0.034 43.155 41.629
-51.400 -18.732 -0.090 -18.719 -0.080 -18.667 -0.080 -18.651 -0.084 -18.571 -0.122 11.427 0.261 1.098 0.035 43.166 41.637
-51.000 -18.760 -0.089 -18.748 -0.080 -18.695 -0.081 -18.680 -0.085 -18.601 -0.122 11.415 0.260 1.114 0.035 43.177 41.646
-50.600 -18.788 -0.088 -18.776 -0.079 -18.724 -0.081 -18.709 -0.085 -18.630 -0.122 11.402 0.260 1.131 0.036 43.187 41.654
-50.200 -18.815 -0.087 -18.804 -0.078 -18.752 -0.081 -18.737 -0.086 -18.659 -0.121 11.389 0.259 1.147 0.036 43.198 41.663
-49.800 -18.842 -0.086 -18.831 -0.078 -18.780 -0.081 -18.766 -0.086 -18.688 -0.121 11.375 0.259 1.164 0.037 43.209 41.672
-49.400 -18.869 -0.085 -18.859 -0.077 -18.808 -0.082 -18.794 -0.086 -18.717 -0.121 11.361 0.259 1.181 0.038 43.219 41.680
-49.000 -18.896 -0.084 -18.886 -0.076 -18.836 -0.082 -18.822 -0.086 -18.745 -0.121 11.347 0.259 1.198 0.038 43.229 41.689
-48.600 -18.923 -0.082 -18.912 -0.075 -18.864 -0.081 -18.849 -0.086 -18.773 -0.120 11.332 0.259 1.216 0.039 43.240 41.698
-48.200 -18.949 -0.081 -18.939 -0.074 -18.891 -0.081 -18.877 -0.086 -18.802 -0.120 11.316 0.260 1.233 0.040 43.250 41.707
-47.800 -18.975 -0.080 -18.965 -0.073 -18.918 -0.081 -18.904 -0.085 -18.830 -0.119 11.300 0.260 1.251 0.041 43.260 41.716
-47.400 -19.001 -0.078 -18.991 -0.072 -18.945 -0.081 -18.931 -0.085 -18.857 -0.118 11.283 0.260 1.269 0.042 43.270 41.725
-47.000 -19.026 -0.077 -19.017 -0.071 -18.971 -0.080 -18.957 -0.085 -18.885 -0.118 11.266 0.261 1.287 0.042 43.279 41.734
-46.600 -19.051 -0.076 -19.042 -0.070 -18.997 -0.080 -18.984 -0.084 -18.912 -0.117 11.247 0.261 1.306 0.043 43.289 41.743
-46.200 -19.076 -0.075 -19.067 -0.069 -19.023 -0.079 -19.010 -0.084 -18.939 -0.116 11.227 0.262 1.325 0.044 43.298 41.752
-45.800 -19.100 -0.073 -19.092 -0.068 -19.049 -0.078 -19.036 -0.083 -18.966 -0.115 11.207 0.263 1.344 0.045 43.307 41.760
-45.400 -19.124 -0.072 -19.117 -0.067 -19.074 -0.078 -19.062 -0.082 -18.993 -0.114 11.185 0.263 1.363 0.046 43.316 41.769
-45.000 -19.148 -0.071 -19.141 -0.066 -19.099 -0.077 -19.087 -0.081 -19.019 -0.113 11.162 0.264 1.382 0.047 43.325 41.778
-44.600 -19.171 -0.070 -19.164 -0.065 -19.124 -0.076 -19.112 -0.080 -19.045 -0.112 11.138 0.264 1.402 0.048 43.334 41.786
-44.200 -19.194 -0.069 -19.188 -0.064 -19.149 -0.075 -19.137 -0.079 -19.071 -0.111 11.112 0.265 1.423 0.049 43.342 41.794
-43.800 -19.217 -0.068 -19.211 -0.063 -19.173 -0.074 -19.162 -0.078 -19.096 -0.109 11.084 0.266 1.443 0.050 43.350 41.803
-43.400 -19.239 -0.067 -19.233 -0.062 -19.197 -0.073 -19.186 -0.077 -19.122 -0.108 11.055 0.266 1.465 0.051 43.359 41.811
-43.000 -19.261 -0.067 -19.255 -0.062 -19.221 -0.072 -19.210 -0.076 -19.147 -0.106 11.025 0.266 1.486 0.052 43.366 41.818
-42.600 -19.282 -0.066 -19.277 -0.061 -19.244 -0.071 -19.234 -0.075 -19.171 -0.105 10.993 0.267 1.508 0.053 43.374 41.826
-42.200 -19.303 -0.066 -19.299 -0.060 -19.267 -0.070 -19.257 -0.074 -19.196 -0.103 10.960 0.267 1.530 0.054 43.382 41.834
-41.800 -19.324 -0.065 -19.320 -0.060 -19.290 -0.069 -19.280 -0.073 -19.220 -0.102 10.927 0.267 1.552 0.055 43.389 41.842
-41.400 -19.345 -0.065 -19.341 -0.059 -19.312 -0.068 -19.303 -0.072 -19.244 -0.100 10.892 0.268 1.575 0.057 43.396 41.850
-41.000 -19.365 -0.065 -19.361 -0.059 -19.334 -0.067 -19.325 -0.070 -19.267 -0.099 10.858 0.268 1.598 0.058 43.403 41.859
-40.600 -19.384 -0.065 -19.381 -0.059 -19.356 -0.066 -19.347 -0.069 -19.291 -0.097 10.822 0.269 1.621 0.059 43.410 41.867
-40.200 -19.404 -0.064 -19.401 -0.058 -19.377 -0.065 -19.369 -0.068 -19.313 -0.095 10.787 0.270 1.645 0.060 43.417 41.875
-39.800 -19.423 -0.064 -19.420 -0.058 -19.399 -0.064 -19.391 -0.067 -19.336 -0.094 10.752 0.270 1.668 0.062 43.423 41.884
-39.400 -19.441 -0.064 -19.440 -0.058 -19.419 -0.063 -19.412 -0.066 -19.358 -0.092 10.717 0.271 1.692 0.063 43.430 41.893
-39.000 -19.460 -0.065 -19.458 -0.058 -19.440 -0.062 -19.432 -0.064 -19.380 -0.090 10.682 0.272 1.715 0.064 43.436 41.902
-38.600 -19.478 -0.065 -19.477 -0.058 -19.460 -0.061 -19.453 -0.063 -19.402 -0.088 10.648 0.274 1.739 0.066 43.442 41.911
-38.200 -19.496 -0.065 -19.495 -0.058 -19.480 -0.060 -19.473 -0.062 -19.423 -0.087 10.614 0.275 1.762 0.067 43.449 41.920
-37.800 -19.514 -0.065 -19.513 -0.058 -19.499 -0.059 -19.493 -0.061 -19.444 -0.085 10.582 0.276 1.786 0.069 43.455 41.930
-37.400 -19.531 -0.065 -19.531 -0.058 -19.518 -0.059 -19.512 -0.060 -19.464 -0.083 10.550 0.278 1.809 0.070 43.461 41.940
-37.000 -19.548 -0.066 -19.548 -0.058 -19.537 -0.058 -19.531 -0.060 -19.484 -0.082 10.519 0.280 1.832 0.072 43.467 41.950
-36.600 -19.565 -0.066 -19.565 -0.058 -19.555 -0.057 -19.550 -0.059 -19.504 -0.080 10.489 0.282 1.855 0.073 43.473 41.960
-36.200 -19.582 -0.066 -19.582 -0.059 -19.573 -0.057 -19.568 -0.058 -19.524 -0.079 10.461 0.284 1.878 0.075 43.479 41.971
-35.800 -19.598 -0.067 -19.599 -0.059 -19.591 -0.057 -19.586 -0.058 -19.542 -0.078 10.434 0.286 1.900 0.077 43.484 41.981
-35.400 -19.614 -0.067 -19.615 -0.059 -19.608 -0.057 -19.604 -0.058 -19.561 -0.076 10.409 0.289 1.922 0.079 43.490 41.992
-35.000 -19.630 -0.068 -19.631 -0.060 -19.625 -0.056 -19.621 -0.057 -19.579 -0.075 10.385 0.291 1.944 0.080 43.496 42.003
-34.600 -19.646 -0.068 -19.647 -0.060 -19.642 -0.056 -19.638 -0.057 -19.597 -0.074 10.364 0.294 1.964 0.082 43.501 42.013
-34.200 -19.661 -0.069 -19.663 -0.061 -19.658 -0.056 -19.654 -0.057 -19.614 -0.073 10.344 0.297 1.985 0.084 43.507 42.024
-33.800 -19.676 -0.069 -19.678 -0.061 -19.674 -0.057 -19.670 -0.057 -19.631 -0.073 10.326 0.299 2.004 0.086 43.513 42.034
-33.400 -19.691 -0.070 -19.693 -0.062 -19.690 -0.057 -19.686 -0.057 -19.648 -0.072 10.311 0.302 2.023 0.087 43.518 42.045
-33.000 -19.706 -0.070 -19.708 -0.062 -19.705 -0.057 -19.701 -0.057 -19.664 -0.072 10.297 0.305 2.041 0.089 43.524 42.054
-32.600 -19.721 -0.071 -19.723 -0.063 -19.720 -0.057 -19.716 -0.057 -19.680 -0.072 10.286 0.307 2.059 0.090 43.529 42.064
-32.200 -19.735 -0.072 -19.737 -0.063 -19.734 -0.057 -19.731 -0.057 -19.695 -0.072 10.277 0.310 2.075 0.092 43.534 42.074
-31.800 -19.749 -0.072 -19.751 -0.064 -19.748 -0.057 -19.745 -0.057 -19.710 -0.072 10.269 0.312 2.091 0.093 43.540 42.083
-31.400 -19.763 -0.073 -19.765 -0.064 -19.762 -0.057 -19.759 -0.057 -19.725 -0.072 10.264 0.315 2.106 0.095 43.545 42.092
-31.000 -19.776 -0.073 -19.779 -0.065 -19.776 -0.057 -19.772 -0.057 -19.739 -0.072 10.260 0.317 2.121 0.096 43.550 42.101
-30.600 -19.789 -0.074 -19.792 -0.065 -19.789 -0.057 -19.786 -0.057 -19.753 -0.073 10.258 0.320 2.134 0.098 43.556 42.110
-30.200 -19.802 -0.074 -19.805 -0.065 -19.802 -0.057 -19.798 -0.057 -19.766 -0.073 10.257 0.322 2.147 0.099 43.561 42.119
-29.800 -19.815 -0.074 -19.818 -0.066 -19.814 -0.057 -19.811 -0.057 -19.780 -0.074 10.257 0.325 2.160 0.101 43.566 42.127
-29.400 -19.827 -0.075 -19.830 -0.066 -19.826 -0.057 -19.823 -0.057 -19.792 -0.074 10.259 0.328 2.171 0.102 43.571 42.136
-29.000 -19.839 -0.075 -19.842 -0.066 -19.838 -0.057 -19.835 -0.057 -19.805 -0.075 10.261 0.331 2.182 0.103 43.576 42.144
-28.600 -19.851 -0.075 -19.854 -0.066 -19.850 -0.057 -19.847 -0.057 -19.817 -0.076 10.265 0.334 2.193 0.105 43.580 42.153
-28.200 -19.863 -0.075 -19.865 -0.066 -19.861 -0.057 -19.858 -0.057 -19.829 -0.076 10.269 0.336 2.203 0.106 43.585 42.161
-27.800 -19.874 -0.075 -19.877 -0.066 -19.872 -0.056 -19.869 -0.057 -19.841 -0.077 10.274 0.339 2.212 0.107 43.590 42.169
-27.400 -19.885 -0.075 -19.887 -0.066 -19.882 -0.056 -19.879 -0.056 -19.852 -0.078 10.280 0.342 2.221 0.109 43.594 42.177
-27.000 -19.895 -0.075 -19.898 -0.066 -19.893 -0.055 -19.890 -0.056 -19.863 -0.079 10.286 0.345 2.230 0.110 43.598 42.185
-26.600 -19.906 -0.075 -19.908 -0.065 -19.903 -0.055 -19.900 -0.055 -19.873 -0.079 10.292 0.348 2.238 0.111 43.603 42.193
-26.200 -19.916 -0.075 -19.918 -0.065 -19.912 -0.054 -19.909 -0.055 -19.884 -0.080 10.299 0.351 2.246 0.112 43.607 42.201
-25.800 -19.925 -0.075 -19.928 -0.065 -19.922 -0.053 -19.919 -0.055 -19.894 -0.081 10.306 0.354 2.253 0.114 43.611 42.208
-25.400 -19.935 -0.074 -19.937 -0.064 -19.931 -0.053 -19.928 -0.054 -19.904 -0.081 10.312 0.357 2.261 0.115 43.615 42.216
-25.000 -19.944 -0.074 -19.946 -0.064 -19.940 -0.052 -19.937 -0.053 -19.913 -0.082 10.319 0.360 2.268 0.116 43.619 42.223
-24.600 -19.953 -0.073 -19.955 -0.063 -19.948 -0.051 -19.945 -0.053 -19.923 -0.082 10.326 0.363 2.274 0.117 43.622 42.229
-24.200 -19.961 -0.073 -19.963 -0.063 -19.956 -0.051 -19.954 -0.052 -19.932 -0.083 10.332 0.366 2.281 0.118 43.626 42.236
-23.800 -19.970 -0.072 -19.971 -0.062 -19.964 -0.050 -19.962 -0.052 -19.941 -0.083 10.337 0.368 2.288 0.119 43.629 42.242
-23.400 -19.977 -0.072 -19.979 -0.061 -19.972 -0.049 -19.969 -0.051 -19.950 -0.084 10.341 0.371 2.294 0.120 43.632 42.248
-23.000 -19.985 -0.071 -19.986 -0.061 -19.979 -0.048 -19.977 -0.051 -19.958 -0.084 10.345 0.373 2.301 0.121 43.635 42.253
-22.600 -19.992 -0.070 -19.994 -0.060 -19.987 -0.048 -19.984 -0.050 -19.966 -0.085 10.347 0.375 2.308 0.122 43.638 42.257
-22.200 -19.999 -0.070 -20.000 -0.059 -19.994 -0.047 -19.991 -0.050 -19.974 -0.085 10.348 0.376 2.315 0.123 43.641 42.261
-21.800 -20.006 -0.069 -20.007 -0.059 -20.000 -0.047 -19.998 -0.050 -19.982 -0.085 10.347 0.378 2.322 0.124 43.644 42.265
-21.400 -20.012 -0.068 -20.013 -0.058 -20.007 -0.047 -20.005 -0.050 -19.990 -0.086 10.345 0.379 2.330 0.125 43.646 42.267
-21.000 -20.018 -0.068 -20.019 -0.057 -20.013 -0.047 -20.011 -0.050 -19.997 -0.086 10.340 0.380 2.338 0.126 43.649 42.269
-20.600 -20.024 -0.067 -20.025 -0.057 -20.019 -0.047 -20.018 -0.050 -20.004 -0.086 10.334 0.380 2.347 0.127 43.651 42.270
-20.200 -20.029 -0.066 -20.030 -0.056 -20.025 -0.047 -20.024 -0.050 -20.011 -0.086 10.326 0.380 2.356 0.128 43.653 42.271
-19.800 -20.034 -0.066 -20.035 -0.055 -20.031 -0.047 -20.030 -0.050 -20.018 -0.086 10.317 0.381 2.365 0.129 43.655 42.272
-19.400 -20.039 -0.065 -20.040 -0.055 -20.037 -0.047 -20.036 -0.050 -20.025 -0.087 10.306 0.381 2.375 0.130 43.656 42.272
-19.000 -20.044 -0.064 -20.045 -0.054 -20.042 -0.047 -20.041 -0.050 -20.032 -0.087 10.295 0.381 2.385 0.131 43.658 42.272
-18.600 -20.049 -0.064 -20.050 -0.054 -20.048 -0.048 -20.047 -0.051 -20.038 -0.087 10.284 0.381 2.394 0.132 43.660 42.272
-18.200 -20.053 -0.063 -20.054 -0.053 -20.053 -0.048 -20.052 -0.051 -20.044 -0.087 10.272 0.382 2.404 0.134 43.661 42.272
-17.800 -20.057 -0.063 -20.059 -0.053 -20.058 -0.048 -20.057 -0.051 -20.051 -0.087 10.260 0.383 2.414 0.135 43.663 42.272
-17.400 -20.061 -0.062 -20.063 -0.052 -20.063 -0.048 -20.062 -0.052 -20.057 -0.087 10.248 0.383 2.423 0.136 43.664 42.272
-17.000 -20.066 -0.061 -20.067 -0.052 -20.067 -0.049 -20.067 -0.052 -20.062 -0.087 10.236 0.384 2.433 0.137 43.666 42.273
-16.600 -20.070 -0.061 -20.071 -0.052 -20.072 -0.049 -20.072 -0.052 -20.068 -0.086 10.225 0.386 2.442 0.139 43.667 42.274
-16.200 -20.074 -0.061 -20.075 -0.051 -20.077 -0.049 -20.077 -0.052 -20.074 -0.086 10.215 0.387 2.451 0.140 43.668 42.276
-15.800 -20.078 -0.060 -20.079 -0.051 -20.081 -0.050 -20.081 -0.053 -20.079 -0.086 10.205 0.389 2.460 0.142 43.670 42.278
-15.400 -20.082 -0.060 -20.083 -0.051 -20.085 -0.050 -20.086 -0.053 -20.085 -0.086 10.196 0.390 2.468 0.143 43.671 42.280
-15.000 -20.086 -0.060 -20.087 -0.051 -20.090 -0.050 -20.090 -0.053 -20.090 -0.085 10.187 0.393 2.476 0.145 43.673 42.283
-14.600 -20.090 -0.060 -20.091 -0.051 -20.094 -0.050 -20.095 -0.053 -20.096 -0.085 10.180 0.395 2.484 0.146 43.674 42.287
-14.200 -20.094 -0.060 -20.095 -0.051 -20.098 -0.050 -20.099 -0.053 -20.101 -0.085 10.172 0.398 2.492 0.148 43.675 42.291
-13.800 -20.098 -0.060 -20.099 -0.051 -20.102 -0.050 -20.103 -0.053 -20.106 -0.085 10.165 0.400 2.499 0.150 43.677 42.295
-13.400 -20.102 -0.060 -20.103 -0.051 -20.106 -0.050 -20.108 -0.053 -20.111 -0.084 10.157 0.403 2.507 0.151 43.678 42.299
-13.000 -20.106 -0.060 -20.107 -0.051 -20.110 -0.050 -20.112 -0.053 -20.116 -0.084 10.150 0.405 2.514 0.153 43.679 42.303
-12.600 -20.109 -0.060 -20.111 -0.051 -20.114 -0.050 -20.116 -0.053 -20.120 -0.083 10.142 0.408 2.522 0.154 43.681 42.307
-12.200 -20.113 -0.060 -20.114 -0.052 -20.118 -0.050 -20.120 -0.053 -20.125 -0.083 10.133 0.410 2.530 0.156 43.682 42.312
-11.800 -20.117 -0.060 -20.118 -0.052 -20.122 -0.050 -20.124 -0.053 -20.130 -0.083 10.123 0.412 2.538 0.157 43.683 42.315
-11.400 -20.120 -0.061 -20.122 -0.052 -20.126 -0.050 -20.128 -0.053 -20.134 -0.082 10.112 0.414 2.547 0.159 43.684 42.319
-11.000 -20.123 -0.061 -20.125 -0.053 -20.130 -0.050 -20.132 -0.053 -20.139 -0.082 10.100 0.416 2.556 0.160 43.685 42.322
-10.600 -20.126 -0.062 -20.128 -0.053 -20.134 -0.050 -20.136 -0.053 -20.143 -0.082 10.087 0.417 2.565 0.161 43.686 42.325
-10.200 -20.129 -0.062 -20.132 -0.054 -20.138 -0.051 -20.140 -0.053 -20.148 -0.082 10.074 0.418 2.575 0.163 43.687 42.327
-9.800 -20.132 -0.063 -20.135 -0.054 -20.141 -0.051 -20.143 -0.053 -20.152 -0.082 10.059 0.419 2.584 0.164 43.688 42.329
-9.400 -20.135 -0.063 -20.138 -0.055 -20.145 -0.051 -20.147 -0.053 -20.156 -0.081 10.045 0.419 2.594 0.165 43.689 42.331
-9.000 -20.137 -0.064 -20.141 -0.055 -20.148 -0.051 -20.151 -0.053 -20.160 -0.081 10.030 0.420 2.604 0.166 43.689 42.332
-8.600 -20.140 -0.065 -20.144 -0.056 -20.152 -0.052 -20.154 -0.054 -20.164 -0.081 10.015 0.420 2.614 0.167 43.690 42.333
-8.200 -20.142 -0.065 -20.146 -0.056 -20.155 -0.052 -20.158 -0.054 -20.168 -0.082 10.000 0.420 2.624 0.168 43.691 42.334
-7.800 -20.144 -0.066 -20.149 -0.057 -20.158 -0.052 -20.161 -0.054 -20.172 -0.082 9.985 0.419 2.633 0.169 43.691 42.334
-7.400 -20.146 -0.066 -20.152 -0.058 -20.162 -0.053 -20.164 -0.055 -20.176 -0.082 9.970 0.419 2.643 0.170 43.692 42.334
-7.000 -20.148 -0.067 -20.154 -0.058 -20.165 -0.053 -20.167 -0.055 -20.180 -0.082 9.956 0.419 2.652 0.170 43.692 42.334
-6.600 -20.150 -0.067 -20.156 -0.059 -20.168 -0.054 -20.171 -0.055 -20.183 -0.083 9.941 0.418 2.662 0.171 43.693 42.334
-6.200 -20.152 -0.068 -20.158 -0.059 -20.170 -0.054 -20.173 -0.056 -20.187 -0.083 9.926 0.417 2.671 0.172 43.693 42.333
-5.800 -20.153 -0.068 -20.160 -0.060 -20.173 -0.054 -20.176 -0.056 -20.190 -0.084 9.912 0.416 2.680 0.173 43.694 42.332
-5.400 -20.154 -0.069 -20.162 -0.060 -20.176 -0.055 -20.179 -0.057 -20.194 -0.084 9.897 0.416 2.689 0.173 43.694 42.330
-5.000 -20.156 -0.069 -20.164 -0.060 -20.178 -0.055 -20.182 -0.057 -20.197 -0.085 9.883 0.415 2.697 0.174 43.694 42.329
-4.600 -20.157 -0.069 -20.165 -0.061 -20.181 -0.055 -20.184 -0.057 -20.200 -0.085 9.868 0.414 2.706 0.175 43.694 42.327
-4.200 -20.157 -0.070 -20.167 -0.061 -20.183 -0.056 -20.186 -0.057 -20.204 -0.086 9.854 0.412 2.715 0.175 43.695 42.325
-3.800 -20.158 -0.070 -20.168 -0.061 -20.185 -0.056 -20.189 -0.058 -20.207 -0.086 9.839 0.411 2.723 0.176 43.695 42.323
-3.400 -20.159 -0.070 -20.169 -0.061 -20.187 -0.056 -20.191 -0.058 -20.210 -0.087 9.824 0.410 2.732 0.176 43.695 42.321
-3.000 -20.159 -0.070 -20.170 -0.061 -20.189 -0.056 -20.193 -0.058 -20.212 -0.087 9.809 0.409 2.740 0.177 43.695 42.319
-2.600 -20.159 -0.070 -20.170 -0.061 -20.190 -0.056 -20.195 -0.058 -20.215 -0.088 9.793 0.408 2.748 0.177 43.695 42.316
-2.200 -20.159 -0.070 -20.171 -0.061 -20.192 -0.056 -20.197 -0.058 -20.218 -0.088 9.777 0.406 2.757 0.178 43.694 42.314
-1.800 -20.159 -0.070 -20.171 -0.061 -20.194 -0.056 -20.198 -0.058 -20.221 -0.088 9.761 0.405 2.765 0.178 43.694 42.311
-1.400 -20.158 -0.070 -20.171 -0.061 -20.195 -0.055 -20.200 -0.058 -20.223 -0.089 9.744 0.404 2.773 0.179 43.694 42.308
-1.000 -20.158 -0.070 -20.171 -0.061 -20.196 -0.055 -20.201 -0.057 -20.226 -0.089 9.727 0.402 2.782 0.179 43.693 42.305
-0.600 -20.157 -0.069 -20.171 -0.061 -20.197 -0.055 -20.203 -0.057 -20.228 -0.089 9.708 0.401 2.791 0.180 43.693 42.301
-0.200 -20.156 -0.069 -20.171 -0.060 -20.198 -0.054 -20.204 -0.057 -20.230 -0.090 9.689 0.399 2.800 0.180 43.692 42.298
0.200 -20.155 -0.069 -20.170 -0.060 -20.199 -0.054 -20.205 -0.056 -20.232 -0.090 9.670 0.397 2.809 0.181 43.691 42.294
0.600 -20.153 -0.069 -20.169 -0.060 -20.200 -0.053 -20.206 -0.056 -20.234 -0.090 9.649 0.395 2.818 0.181 43.691 42.290
1.000 -20.152 -0.069 -20.168 -0.059 -20.200 -0.053 -20.207 -0.055 -20.236 -0.090 9.628 0.393 2.827 0.182 43.690 42.286
1.400 -20.150 -0.069 -20.167 -0.059 -20.201 -0.052 -20.208 -0.055 -20.238 -0.090 9.606 0.391 2.837 0.182 43.689 42.281
1.800 -20.148 -0.068 -20.166 -0.059 -20.201 -0.052 -20.208 -0.054 -20.240 -0.090 9.583 0.389 2.847 0.182 43.688 42.276
2.200 -20.146 -0.068 -20.164 -0.058 -20.201 -0.051 -20.209 -0.054 -20.242 -0.090 9.559 0.386 2.858 0.182 43.687 42.271
