"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-33.000 -17.841 -0.172 -17.758 -0.161 -17.533 -0.173 -17.484 -0.183 10.747 3.038 0.742 0.305 42.719 42.233
-32.600 -17.883 -0.166 -17.800 -0.155 -17.574 -0.168 -17.526 -0.179 18.536 0.134 0.391 0.003 43.109 41.267
-32.200 -17.926 -0.162 -17.842 -0.151 -17.616 -0.165 -17.567 -0.175 18.551 0.130 0.398 0.003 43.127 41.269
-31.800 -17.968 -0.158 -17.885 -0.147 -17.659 -0.162 -17.610 -0.173 18.550 0.125 0.406 0.003 43.144 41.271
-31.400 -18.011 -0.155 -17.928 -0.144 -17.702 -0.160 -17.653 -0.171 18.536 0.121 0.415 0.003 43.160 41.273
-31.000 -18.054 -0.152 -17.971 -0.142 -17.746 -0.159 -17.697 -0.170 18.513 0.117 0.424 0.003 43.177 41.275
-30.600 -18.098 -0.151 -18.015 -0.141 -17.790 -0.158 -17.741 -0.169 18.482 0.114 0.433 0.003 43.193 41.278
-30.200 -18.142 -0.149 -18.059 -0.140 -17.835 -0.158 -17.786 -0.169 18.446 0.110 0.443 0.003 43.209 41.281
-29.800 -18.186 -0.149 -18.104 -0.140 -17.880 -0.158 -17.831 -0.169 18.406 0.107 0.453 0.003 43.225 41.285
-29.400 -18.230 -0.148 -18.148 -0.140 -17.925 -0.158 -17.876 -0.169 18.362 0.105 0.464 0.003 43.241 41.290
-29.000 -18.274 -0.147 -18.193 -0.139 -17.970 -0.158 -17.921 -0.169 18.314 0.102 0.474 0.003 43.256 41.297
-28.600 -18.318 -0.147 -18.237 -0.139 -18.015 -0.159 -17.967 -0.169 18.263 0.101 0.486 0.003 43.272 41.305
-28.200 -18.362 -0.146 -18.282 -0.139 -18.060 -0.159 -18.012 -0.169 18.208 0.100 0.497 0.003 43.287 41.317
-27.800 -18.406 -0.145 -18.326 -0.139 -18.106 -0.159 -18.057 -0.169 18.149 0.100 0.509 0.003 43.302 41.332
-27.400 -18.450 -0.145 -18.370 -0.138 -18.151 -0.159 -18.103 -0.169 18.084 0.100 0.522 0.003 43.317 41.351
-27.000 -18.493 -0.144 -18.414 -0.138 -18.196 -0.158 -18.148 -0.169 18.012 0.103 0.535 0.003 43.332 41.375
-26.600 -18.536 -0.143 -18.458 -0.137 -18.241 -0.158 -18.193 -0.168 17.931 0.106 0.548 0.003 43.345 41.403
-26.200 -18.579 -0.142 -18.501 -0.136 -18.286 -0.157 -18.238 -0.167 17.840 0.110 0.563 0.004 43.359 41.433
-25.800 -18.622 -0.142 -18.544 -0.135 -18.331 -0.156 -18.284 -0.166 17.740 0.115 0.577 0.004 43.372 41.466
-25.400 -18.664 -0.140 -18.587 -0.134 -18.375 -0.154 -18.329 -0.164 17.636 0.120 0.593 0.004 43.384 41.501
-25.000 -18.706 -0.139 -18.630 -0.133 -18.420 -0.153 -18.374 -0.163 17.528 0.127 0.609 0.005 43.396 41.537
-24.600 -18.748 -0.138 -18.673 -0.132 -18.465 -0.151 -18.419 -0.161 17.418 0.134 0.625 0.005 43.409 41.573
-24.200 -18.791 -0.137 -18.715 -0.130 -18.509 -0.148 -18.464 -0.158 17.308 0.141 0.642 0.006 43.421 41.609
-23.800 -18.833 -0.135 -18.758 -0.128 -18.554 -0.146 -18.509 -0.156 17.197 0.148 0.660 0.006 43.433 41.643
-23.400 -18.876 -0.134 -18.801 -0.126 -18.599 -0.144 -18.555 -0.153 17.088 0.155 0.678 0.007 43.446 41.676
-23.000 -18.918 -0.132 -18.845 -0.124 -18.645 -0.141 -18.601 -0.151 16.981 0.161 0.696 0.007 43.458 41.707
-22.600 -18.962 -0.130 -18.889 -0.122 -18.690 -0.138 -18.647 -0.148 16.875 0.167 0.715 0.008 43.471 41.737
-22.200 -19.005 -0.129 -18.933 -0.120 -18.737 -0.135 -18.694 -0.145 16.771 0.173 0.735 0.008 43.484 41.764
-21.800 -19.049 -0.127 -18.978 -0.119 -18.783 -0.132 -18.741 -0.142 16.670 0.177 0.756 0.009 43.497 41.790
-21.400 -19.094 -0.126 -19.023 -0.117 -18.831 -0.130 -18.788 -0.139 16.572 0.181 0.777 0.009 43.511 41.813
-21.000 -19.139 -0.125 -19.069 -0.115 -18.878 -0.127 -18.837 -0.136 16.476 0.183 0.799 0.010 43.525 41.835
-20.600 -19.185 -0.124 -19.116 -0.114 -18.927 -0.125 -18.885 -0.134 16.382 0.185 0.822 0.010 43.540 41.854
-20.200 -19.232 -0.124 -19.163 -0.114 -18.976 -0.123 -18.935 -0.132 16.290 0.185 0.845 0.011 43.554 41.870
-19.800 -19.280 -0.123 -19.211 -0.113 -19.026 -0.121 -18.985 -0.130 16.201 0.184 0.870 0.011 43.570 41.883
-19.400 -19.328 -0.124 -19.260 -0.113 -19.077 -0.120 -19.036 -0.128 16.113 0.181 0.895 0.011 43.585 41.894
-19.000 -19.377 -0.124 -19.310 -0.113 -19.128 -0.119 -19.088 -0.127 16.029 0.177 0.921 0.011 43.601 41.902
-18.600 -19.426 -0.125 -19.360 -0.114 -19.180 -0.118 -19.140 -0.125 15.947 0.173 0.949 0.011 43.618 41.909
-18.200 -19.476 -0.125 -19.411 -0.114 -19.232 -0.117 -19.192 -0.124 15.868 0.168 0.977 0.011 43.634 41.913
-17.800 -19.526 -0.126 -19.463 -0.115 -19.285 -0.117 -19.245 -0.123 15.792 0.161 1.006 0.011 43.652 41.914
-17.400 -19.577 -0.127 -19.514 -0.116 -19.338 -0.116 -19.298 -0.123 15.718 0.154 1.035 0.011 43.669 41.912
-17.000 -19.628 -0.128 -19.566 -0.117 -19.391 -0.115 -19.351 -0.122 15.648 0.146 1.066 0.011 43.686 41.908
-16.600 -19.678 -0.129 -19.617 -0.117 -19.444 -0.115 -19.404 -0.121 15.580 0.138 1.097 0.011 43.703 41.902
-16.200 -19.728 -0.130 -19.668 -0.118 -19.496 -0.114 -19.456 -0.120 15.514 0.130 1.129 0.011 43.721 41.894
-15.800 -19.777 -0.130 -19.719 -0.118 -19.548 -0.113 -19.508 -0.118 15.451 0.122 1.161 0.010 43.738 41.883
-15.400 -19.826 -0.130 -19.768 -0.118 -19.599 -0.112 -19.559 -0.117 15.390 0.114 1.193 0.010 43.755 41.872
-15.000 -19.874 -0.130 -19.817 -0.118 -19.649 -0.110 -19.609 -0.115 15.333 0.106 1.225 0.010 43.772 41.858
-14.600 -19.920 -0.129 -19.864 -0.117 -19.697 -0.109 -19.657 -0.113 15.277 0.098 1.258 0.009 43.788 41.844
-14.200 -19.966 -0.129 -19.911 -0.116 -19.744 -0.107 -19.704 -0.111 15.226 0.091 1.290 0.009 43.804 41.828
-13.800 -20.009 -0.127 -19.955 -0.115 -19.790 -0.105 -19.750 -0.108 15.178 0.085 1.322 0.008 43.820 41.812
-13.400 -20.051 -0.126 -19.998 -0.113 -19.834 -0.102 -19.793 -0.106 15.134 0.078 1.353 0.008 43.835 41.794
