"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-21.000 -21.127 -0.142 -21.108 -0.137 -21.057 -0.150 -21.046 -0.157 14.646 0.324 2.279 0.071 44.231 42.669
-20.600 -21.149 -0.137 -21.130 -0.131 -21.079 -0.144 -21.068 -0.151 14.661 0.323 2.299 0.071 44.241 42.677
-20.200 -21.171 -0.132 -21.153 -0.126 -21.101 -0.138 -21.090 -0.145 14.675 0.322 2.319 0.071 44.250 42.686
-19.800 -21.194 -0.128 -21.175 -0.122 -21.123 -0.133 -21.112 -0.140 14.687 0.320 2.341 0.072 44.259 42.694
-19.400 -21.217 -0.124 -21.198 -0.118 -21.146 -0.128 -21.134 -0.135 14.698 0.319 2.363 0.072 44.269 42.701
-19.000 -21.241 -0.121 -21.222 -0.114 -21.168 -0.123 -21.157 -0.130 14.709 0.317 2.386 0.072 44.278 42.709
-18.600 -21.264 -0.118 -21.245 -0.111 -21.191 -0.119 -21.179 -0.126 14.718 0.314 2.409 0.072 44.288 42.716
-18.200 -21.288 -0.115 -21.269 -0.108 -21.215 -0.115 -21.202 -0.121 14.728 0.311 2.433 0.072 44.298 42.723
-17.800 -21.311 -0.113 -21.292 -0.105 -21.238 -0.111 -21.226 -0.117 14.737 0.308 2.457 0.072 44.307 42.730
-17.400 -21.335 -0.111 -21.316 -0.103 -21.261 -0.107 -21.249 -0.113 14.745 0.305 2.482 0.071 44.317 42.737
-17.000 -21.359 -0.109 -21.340 -0.100 -21.285 -0.104 -21.272 -0.110 14.754 0.302 2.507 0.071 44.327 42.744
-16.600 -21.383 -0.106 -21.364 -0.098 -21.308 -0.100 -21.295 -0.106 14.763 0.299 2.533 0.071 44.337 42.751
-16.200 -21.407 -0.104 -21.388 -0.095 -21.332 -0.096 -21.319 -0.102 14.772 0.296 2.558 0.071 44.346 42.757
-15.800 -21.431 -0.102 -21.412 -0.093 -21.355 -0.092 -21.342 -0.097 14.782 0.293 2.584 0.071 44.356 42.764
-15.400 -21.454 -0.099 -21.435 -0.090 -21.378 -0.088 -21.365 -0.093 14.791 0.289 2.609 0.070 44.366 42.770
