"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-171.000 -19.769 -0.134 -19.768 -0.133 -19.726 -0.112 -19.586 -0.094 -19.559 -0.096 -19.514 -0.102 -19.333 -0.161 16.397 0.204 1.057 0.015 43.760 42.109
-170.600 -19.771 -0.133 -19.770 -0.132 -19.728 -0.111 -19.589 -0.093 -19.562 -0.095 -19.516 -0.101 -19.336 -0.160 16.379 0.204 1.060 0.015 43.760 42.110
-170.200 -19.773 -0.133 -19.772 -0.132 -19.731 -0.111 -19.592 -0.092 -19.564 -0.094 -19.519 -0.101 -19.339 -0.160 16.360 0.205 1.063 0.015 43.761 42.111
-169.800 -19.775 -0.132 -19.775 -0.132 -19.733 -0.110 -19.594 -0.092 -19.567 -0.093 -19.522 -0.100 -19.342 -0.159 16.340 0.205 1.065 0.015 43.761 42.111
-169.400 -19.777 -0.132 -19.777 -0.131 -19.735 -0.110 -19.597 -0.091 -19.570 -0.093 -19.525 -0.099 -19.345 -0.159 16.321 0.205 1.068 0.015 43.761 42.112
-169.000 -19.780 -0.131 -19.779 -0.131 -19.737 -0.109 -19.600 -0.091 -19.572 -0.092 -19.527 -0.099 -19.348 -0.158 16.300 0.205 1.071 0.015 43.761 42.112
-168.600 -19.782 -0.131 -19.781 -0.130 -19.740 -0.109 -19.602 -0.090 -19.575 -0.092 -19.530 -0.098 -19.351 -0.158 16.279 0.205 1.073 0.015 43.761 42.112
-168.200 -19.784 -0.131 -19.783 -0.130 -19.742 -0.109 -19.605 -0.090 -19.578 -0.091 -19.533 -0.098 -19.354 -0.157 16.258 0.205 1.076 0.015 43.761 42.112
-167.800 -19.786 -0.130 -19.785 -0.130 -19.744 -0.108 -19.607 -0.089 -19.580 -0.091 -19.536 -0.097 -19.356 -0.157 16.236 0.205 1.079 0.015 43.761 42.112
-167.400 -19.788 -0.130 -19.787 -0.130 -19.746 -0.108 -19.610 -0.089 -19.583 -0.090 -19.538 -0.097 -19.359 -0.156 16.214 0.204 1.082 0.015 43.761 42.111
-167.000 -19.790 -0.130 -19.789 -0.129 -19.748 -0.108 -19.613 -0.088 -19.586 -0.090 -19.541 -0.096 -19.362 -0.156 16.192 0.204 1.085 0.015 43.761 42.111
-166.600 -19.792 -0.130 -19.791 -0.129 -19.750 -0.108 -19.615 -0.088 -19.589 -0.090 -19.544 -0.096 -19.365 -0.156 16.169 0.203 1.088 0.015 43.761 42.110
-166.200 -19.793 -0.130 -19.793 -0.129 -19.753 -0.107 -19.618 -0.088 -19.591 -0.089 -19.547 -0.096 -19.368 -0.155 16.146 0.203 1.091 0.015 43.761 42.109
-165.800 -19.795 -0.130 -19.795 -0.129 -19.755 -0.107 -19.621 -0.088 -19.594 -0.089 -19.550 -0.096 -19.371 -0.155 16.123 0.202 1.094 0.015 43.760 42.108
-165.400 -19.797 -0.129 -19.797 -0.129 -19.757 -0.107 -19.623 -0.087 -19.597 -0.089 -19.552 -0.095 -19.374 -0.155 16.099 0.201 1.097 0.015 43.760 42.106
-165.000 -19.799 -0.129 -19.798 -0.129 -19.759 -0.107 -19.626 -0.087 -19.599 -0.089 -19.555 -0.095 -19.377 -0.154 16.075 0.201 1.100 0.015 43.760 42.105
-164.600 -19.801 -0.129 -19.800 -0.129 -19.761 -0.107 -19.628 -0.087 -19.602 -0.089 -19.558 -0.095 -19.380 -0.154 16.051 0.200 1.103 0.016 43.760 42.103
-164.200 -19.803 -0.129 -19.802 -0.129 -19.763 -0.107 -19.631 -0.087 -19.605 -0.088 -19.561 -0.095 -19.384 -0.154 16.026 0.199 1.106 0.016 43.760 42.101
-163.800 -19.805 -0.129 -19.804 -0.129 -19.765 -0.107 -19.634 -0.087 -19.607 -0.088 -19.563 -0.095 -19.387 -0.154 16.001 0.198 1.109 0.016 43.760 42.099
-163.400 -19.807 -0.129 -19.806 -0.129 -19.767 -0.107 -19.636 -0.087 -19.610 -0.088 -19.566 -0.094 -19.390 -0.154 15.976 0.197 1.113 0.016 43.759 42.096
