"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-16.000 -18.735 -0.156 -18.714 -0.149 -18.661 -0.157 -18.650 -0.163 11.795 0.268 1.048 0.033 43.180 41.637
-15.600 -18.794 -0.150 -18.774 -0.143 -18.720 -0.150 -18.709 -0.157 11.807 0.267 1.075 0.034 43.204 41.660
-15.200 -18.855 -0.146 -18.835 -0.138 -18.780 -0.145 -18.769 -0.152 11.813 0.265 1.104 0.035 43.229 41.683
-14.800 -18.917 -0.144 -18.897 -0.136 -18.842 -0.143 -18.831 -0.149 11.816 0.264 1.136 0.035 43.254 41.705
-14.400 -18.980 -0.144 -18.960 -0.136 -18.906 -0.142 -18.894 -0.148 11.817 0.261 1.170 0.036 43.279 41.727
-14.000 -19.045 -0.144 -19.024 -0.137 -18.970 -0.142 -18.958 -0.148 11.817 0.258 1.205 0.037 43.305 41.748
-13.600 -19.110 -0.146 -19.089 -0.139 -19.035 -0.143 -19.023 -0.148 11.815 0.255 1.242 0.037 43.331 41.770
-13.200 -19.175 -0.148 -19.155 -0.141 -19.101 -0.144 -19.089 -0.149 11.814 0.252 1.280 0.038 43.357 41.791
-12.800 -19.241 -0.150 -19.222 -0.143 -19.167 -0.146 -19.155 -0.151 11.812 0.249 1.320 0.039 43.383 41.813
-12.400 -19.308 -0.152 -19.288 -0.145 -19.234 -0.147 -19.222 -0.152 11.810 0.246 1.361 0.039 43.410 41.834
-12.000 -19.374 -0.154 -19.355 -0.147 -19.301 -0.148 -19.288 -0.152 11.809 0.243 1.404 0.040 43.436 41.856
-11.600 -19.441 -0.155 -19.422 -0.148 -19.367 -0.149 -19.355 -0.153 11.807 0.240 1.448 0.041 43.463 41.877
-11.200 -19.507 -0.156 -19.488 -0.149 -19.434 -0.148 -19.421 -0.152 11.806 0.237 1.493 0.041 43.489 41.899
-10.800 -19.573 -0.156 -19.554 -0.148 -19.500 -0.148 -19.487 -0.151 11.805 0.234 1.539 0.042 43.516 41.920
-10.400 -19.638 -0.155 -19.619 -0.147 -19.565 -0.146 -19.552 -0.149 11.804 0.231 1.586 0.043 43.542 41.941
-10.000 -19.702 -0.153 -19.684 -0.146 -19.629 -0.144 -19.616 -0.147 11.803 0.228 1.634 0.044 43.567 41.961
-9.600 -19.765 -0.151 -19.747 -0.143 -19.692 -0.140 -19.679 -0.143 11.803 0.225 1.682 0.044 43.593 41.981
-9.200 -19.826 -0.147 -19.809 -0.140 -19.754 -0.136 -19.740 -0.139 11.802 0.222 1.731 0.045 43.617 42.001
-8.800 -19.886 -0.144 -19.869 -0.135 -19.814 -0.131 -19.801 -0.134 11.802 0.219 1.780 0.046 43.641 42.020
-8.400 -19.945 -0.139 -19.928 -0.130 -19.873 -0.126 -19.859 -0.129 11.802 0.216 1.828 0.046 43.665 42.039
-8.000 -20.002 -0.134 -19.985 -0.125 -19.930 -0.119 -19.915 -0.123 11.801 0.214 1.877 0.047 43.687 42.057
-7.600 -20.056 -0.129 -20.039 -0.119 -19.984 -0.113 -19.970 -0.116 11.801 0.211 1.925 0.047 43.709 42.075
-7.200 -20.108 -0.123 -20.092 -0.112 -20.036 -0.105 -20.022 -0.109 11.801 0.209 1.971 0.048 43.730 42.093
-6.800 -20.158 -0.117 -20.142 -0.106 -20.086 -0.098 -20.072 -0.101 11.800 0.207 2.017 0.048 43.750 42.110
-6.400 -20.205 -0.111 -20.189 -0.099 -20.133 -0.091 -20.119 -0.094 11.800 0.205 2.061 0.049 43.769 42.127
-6.000 -20.249 -0.105 -20.233 -0.093 -20.177 -0.083 -20.163 -0.087 11.800 0.204 2.104 0.050 43.786 42.144
-5.600 -20.291 -0.100 -20.275 -0.087 -20.218 -0.077 -20.204 -0.081 11.800 0.204 2.144 0.050 43.803 42.161
-5.200 -20.329 -0.095 -20.313 -0.082 -20.256 -0.071 -20.242 -0.076 11.800 0.203 2.182 0.051 43.818 42.177
-4.800 -20.364 -0.091 -20.348 -0.078 -20.291 -0.067 -20.277 -0.072 11.798 0.203 2.218 0.052 43.832 42.192
-4.400 -20.396 -0.088 -20.380 -0.075 -20.324 -0.064 -20.310 -0.069 11.789 0.204 2.254 0.053 43.845 42.205
-4.000 -20.426 -0.085 -20.410 -0.072 -20.355 -0.063 -20.341 -0.068 11.773 0.204 2.290 0.054 43.856 42.216
-3.600 -20.453 -0.083 -20.437 -0.071 -20.383 -0.063 -20.369 -0.068 11.750 0.205 2.325 0.056 43.866 42.226
-3.200 -20.477 -0.082 -20.462 -0.070 -20.409 -0.064 -20.395 -0.069 11.725 0.206 2.360 0.057 43.875 42.234
-2.800 -20.499 -0.081 -20.485 -0.069 -20.433 -0.065 -20.419 -0.070 11.698 0.207 2.392 0.059 43.883 42.241
-2.400 -20.518 -0.080 -20.504 -0.069 -20.454 -0.066 -20.440 -0.072 11.670 0.209 2.423 0.060 43.890 42.247
