"Time (MJD)" g-4810.16 g-4810.16_err i-7503.03 i-7503.03_err r-6155.47 r-6155.47_err z-8668.36 z-8668.36_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-16.000 -20.231 -0.222 -19.930 -0.176 -19.649 -0.173 -19.501 -0.226 18.843 4.416 0.945 0.247 43.904 43.533
-15.600 -20.291 -0.211 -19.994 -0.166 -19.713 -0.163 -19.565 -0.215 27.874 2.363 0.657 0.050 44.268 43.542
-15.200 -20.352 -0.200 -20.058 -0.158 -19.780 -0.156 -19.630 -0.206 27.626 2.229 0.682 0.050 44.286 43.536
-14.800 -20.412 -0.191 -20.123 -0.151 -19.848 -0.149 -19.697 -0.198 27.302 2.070 0.710 0.049 44.301 43.521
-14.400 -20.473 -0.182 -20.189 -0.146 -19.917 -0.145 -19.764 -0.190 26.919 1.897 0.742 0.048 44.314 43.500
-14.000 -20.533 -0.174 -20.254 -0.140 -19.988 -0.141 -19.833 -0.184 26.491 1.721 0.777 0.047 44.326 43.473
-13.600 -20.592 -0.167 -20.320 -0.135 -20.059 -0.137 -19.902 -0.177 26.034 1.549 0.814 0.046 44.336 43.441
-13.200 -20.652 -0.160 -20.385 -0.130 -20.130 -0.133 -19.972 -0.171 25.561 1.389 0.854 0.044 44.346 43.407
-12.800 -20.710 -0.152 -20.450 -0.125 -20.201 -0.130 -20.041 -0.165 25.081 1.245 0.896 0.043 44.355 43.373
-12.400 -20.767 -0.145 -20.514 -0.119 -20.271 -0.125 -20.110 -0.158 24.605 1.120 0.941 0.042 44.364 43.339
-12.000 -20.823 -0.137 -20.576 -0.113 -20.340 -0.120 -20.178 -0.151 24.138 1.016 0.987 0.041 44.373 43.309
-11.600 -20.878 -0.128 -20.637 -0.106 -20.408 -0.115 -20.245 -0.144 23.685 0.935 1.035 0.041 44.381 43.285
-11.200 -20.930 -0.120 -20.696 -0.098 -20.474 -0.108 -20.310 -0.135 23.251 0.877 1.084 0.041 44.389 43.268
-10.800 -20.981 -0.111 -20.753 -0.089 -20.538 -0.101 -20.374 -0.126 22.838 0.840 1.134 0.043 44.397 43.260
-10.400 -21.030 -0.102 -20.807 -0.081 -20.599 -0.094 -20.435 -0.117 22.446 0.825 1.185 0.045 44.405 43.262
-10.000 -21.077 -0.094 -20.859 -0.072 -20.657 -0.085 -20.494 -0.107 22.076 0.826 1.235 0.048 44.412 43.273
-9.600 -21.121 -0.086 -20.907 -0.063 -20.712 -0.077 -20.550 -0.096 21.724 0.841 1.285 0.053 44.418 43.290
-9.200 -21.162 -0.079 -20.953 -0.056 -20.763 -0.069 -20.602 -0.085 21.385 0.861 1.335 0.057 44.424 43.309
-8.800 -21.200 -0.074 -20.995 -0.051 -20.810 -0.063 -20.651 -0.075 21.055 0.874 1.385 0.061 44.429 43.325
-8.400 -21.234 -0.072 -21.033 -0.049 -20.852 -0.058 -20.696 -0.066 20.741 0.867 1.434 0.064 44.433 43.331
-8.000 -21.266 -0.072 -21.068 -0.051 -20.890 -0.056 -20.737 -0.059 20.459 0.851 1.480 0.066 44.437 43.334
-7.600 -21.293 -0.074 -21.099 -0.054 -20.923 -0.057 -20.774 -0.057 20.228 0.842 1.522 0.068 44.441 43.338
-7.200 -21.316 -0.076 -21.126 -0.059 -20.951 -0.060 -20.806 -0.058 20.055 0.846 1.556 0.071 44.446 43.347
-6.800 -21.336 -0.079 -21.148 -0.064 -20.975 -0.063 -20.835 -0.064 19.920 0.861 1.585 0.074 44.450 43.358
-6.400 -21.351 -0.083 -21.166 -0.069 -20.994 -0.067 -20.859 -0.071 19.799 0.883 1.609 0.079 44.453 43.370
-6.000 -21.362 -0.085 -21.180 -0.073 -21.010 -0.070 -20.881 -0.079 19.682 0.911 1.631 0.084 44.454 43.383
-5.600 -21.369 -0.087 -21.190 -0.076 -21.022 -0.072 -20.899 -0.087 19.565 0.944 1.650 0.089 44.454 43.397
-5.200 -21.373 -0.088 -21.197 -0.078 -21.030 -0.073 -20.914 -0.095 19.449 0.980 1.667 0.095 44.452 43.409
-4.800 -21.373 -0.087 -21.200 -0.079 -21.036 -0.072 -20.926 -0.101 19.334 1.014 1.682 0.100 44.450 43.420
-4.400 -21.371 -0.085 -21.201 -0.078 -21.040 -0.070 -20.937 -0.107 19.221 1.044 1.694 0.105 44.446 43.426
-4.000 -21.367 -0.080 -21.199 -0.075 -21.042 -0.068 -20.946 -0.113 19.116 1.065 1.704 0.110 44.441 43.428
-3.600 -21.360 -0.075 -21.195 -0.071 -21.043 -0.064 -20.954 -0.117 18.996 1.072 1.714 0.113 44.436 43.422
-3.200 -21.351 -0.068 -21.190 -0.066 -21.043 -0.062 -20.960 -0.121 18.879 1.069 1.723 0.115 44.429 43.409
-2.800 -21.341 -0.059 -21.184 -0.060 -21.043 -0.061 -20.966 -0.125 18.758 1.059 1.732 0.118 44.422 43.390
-2.400 -21.329 -0.050 -21.177 -0.053 -21.042 -0.062 -20.971 -0.128 18.639 1.055 1.739 0.122 44.415 43.368
-2.000 -21.315 -0.042 -21.169 -0.048 -21.043 -0.065 -20.976 -0.130 18.520 1.058 1.746 0.126 44.407 43.347
-1.600 -21.301 -0.039 -21.162 -0.045 -21.043 -0.071 -20.981 -0.133 18.327 1.068 1.762 0.133 44.397 43.329
-1.200 -21.285 -0.043 -21.155 -0.048 -21.044 -0.077 -20.985 -0.134 17.956 1.089 1.801 0.143 44.381 43.322
-0.800 -21.269 -0.053 -21.148 -0.055 -21.046 -0.083 -20.990 -0.135 17.437 1.101 1.864 0.155 44.359 43.315
-0.400 -21.252 -0.066 -21.142 -0.065 -21.048 -0.090 -20.995 -0.135 16.884 1.085 1.938 0.165 44.338 43.298
0.000 -21.235 -0.082 -21.136 -0.076 -21.050 -0.096 -20.999 -0.134 16.357 1.046 2.016 0.172 44.317 43.273
0.400 -21.217 -0.097 -21.130 -0.088 -21.053 -0.102 -21.004 -0.132 15.872 0.996 2.095 0.176 44.298 43.243
0.800 -21.199 -0.113 -21.125 -0.100 -21.056 -0.107 -21.009 -0.130 15.430 0.941 2.172 0.179 44.280 43.212
1.200 -21.180 -0.129 -21.120 -0.112 -21.059 -0.112 -21.014 -0.126 15.024 0.884 2.249 0.179 44.264 43.179
1.600 -21.162 -0.144 -21.115 -0.123 -21.062 -0.116 -21.018 -0.121 14.651 0.827 2.325 0.178 44.249 43.145
2.000 -21.142 -0.159 -21.109 -0.133 -21.066 -0.119 -21.023 -0.115 14.305 0.771 2.400 0.176 44.235 43.110
2.400 -21.123 -0.173 -21.104 -0.143 -21.069 -0.121 -21.027 -0.108 13.985 0.715 2.475 0.172 44.222 43.075
2.800 -21.103 -0.187 -21.099 -0.152 -21.072 -0.123 -21.031 -0.100 13.689 0.661 2.548 0.167 44.211 43.039
3.200 -21.084 -0.200 -21.093 -0.160 -21.074 -0.124 -21.035 -0.092 13.415 0.609 2.619 0.161 44.199 43.002
3.600 -21.063 -0.212 -21.087 -0.167 -21.077 -0.125 -21.038 -0.083 13.164 0.558 2.687 0.153 44.189 42.964
4.000 -21.043 -0.223 -21.080 -0.174 -21.079 -0.125 -21.040 -0.074 12.936 0.509 2.752 0.145 44.179 42.924
4.400 -21.022 -0.234 -21.074 -0.179 -21.080 -0.125 -21.042 -0.066 12.731 0.463 2.812 0.136 44.170 42.882
4.800 -21.000 -0.244 -21.066 -0.184 -21.081 -0.125 -21.043 -0.060 12.549 0.420 2.866 0.127 44.162 42.837
5.200 -20.978 -0.253 -21.059 -0.188 -21.081 -0.124 -21.043 -0.057 12.389 0.381 2.913 0.119 44.154 42.788
5.600 -20.956 -0.262 -21.051 -0.191 -21.081 -0.122 -21.042 -0.058 12.266 0.346 2.949 0.112 44.147 42.738
6.000 -20.933 -0.269 -21.042 -0.193 -21.080 -0.121 -21.041 -0.061 12.142 0.314 2.985 0.105 44.140 42.685
6.400 -20.909 -0.276 -21.032 -0.195 -21.078 -0.119 -21.038 -0.066 11.998 0.283 3.028 0.098 44.132 42.626
6.800 -20.885 -0.282 -21.022 -0.196 -21.075 -0.116 -21.035 -0.071 11.902 0.259 3.055 0.093 44.125 42.574
7.200 -20.861 -0.288 -21.011 -0.196 -21.072 -0.112 -21.031 -0.075 11.791 0.239 3.087 0.088 44.118 42.526
7.600 -20.836 -0.293 -21.000 -0.196 -21.069 -0.109 -21.027 -0.078 11.678 0.226 3.121 0.086 44.111 42.488
8.000 -20.810 -0.298 -20.988 -0.196 -21.064 -0.104 -21.022 -0.080 11.565 0.221 3.155 0.087 44.104 42.465
8.400 -20.783 -0.301 -20.975 -0.195 -21.059 -0.100 -21.016 -0.082 11.423 0.221 3.203 0.091 44.095 42.452
8.800 -20.756 -0.305 -20.961 -0.195 -21.054 -0.095 -21.011 -0.082 11.334 0.232 3.229 0.097 44.088 42.462
9.200 -20.728 -0.307 -20.946 -0.194 -21.048 -0.091 -21.005 -0.082 11.196 0.245 3.277 0.106 44.080 42.471
9.600 -20.700 -0.310 -20.931 -0.194 -21.041 -0.087 -20.999 -0.081 11.107 0.261 3.304 0.116 44.073 42.488
10.000 -20.671 -0.311 -20.915 -0.193 -21.034 -0.085 -20.993 -0.080 10.959 0.270 3.358 0.125 44.064 42.488
10.400 -20.641 -0.312 -20.898 -0.193 -21.025 -0.085 -20.988 -0.080 10.830 0.273 3.405 0.131 44.056 42.480
10.800 -20.611 -0.313 -20.881 -0.192 -21.017 -0.087 -20.983 -0.081 10.692 0.269 3.459 0.134 44.047 42.458
11.200 -20.580 -0.313 -20.863 -0.192 -21.007 -0.089 -20.979 -0.084 10.546 0.260 3.520 0.136 44.038 42.426
11.600 -20.548 -0.313 -20.844 -0.191 -20.998 -0.092 -20.976 -0.086 10.433 0.251 3.565 0.136 44.030 42.397
12.000 -20.516 -0.312 -20.825 -0.191 -20.988 -0.095 -20.972 -0.089 10.291 0.242 3.628 0.137 44.022 42.362
12.400 -20.483 -0.311 -20.805 -0.190 -20.979 -0.097 -20.969 -0.092 10.097 0.229 3.726 0.138 44.012 42.316
12.800 -20.450 -0.309 -20.785 -0.188 -20.969 -0.098 -20.966 -0.094 9.951 0.222 3.800 0.141 44.004 42.283
13.200 -20.417 -0.307 -20.765 -0.187 -20.959 -0.098 -20.963 -0.094 9.810 0.216 3.875 0.144 43.996 42.254
13.600 -20.383 -0.304 -20.745 -0.185 -20.949 -0.097 -20.959 -0.094 9.672 0.212 3.951 0.148 43.988 42.229
14.000 -20.349 -0.300 -20.724 -0.182 -20.939 -0.095 -20.956 -0.093 9.540 0.210 4.027 0.153 43.981 42.207
14.400 -20.314 -0.296 -20.704 -0.179 -20.930 -0.092 -20.952 -0.090 9.414 0.208 4.103 0.158 43.974 42.187
14.800 -20.279 -0.292 -20.683 -0.175 -20.920 -0.087 -20.947 -0.086 9.294 0.208 4.176 0.164 43.967 42.170
15.200 -20.244 -0.287 -20.663 -0.171 -20.909 -0.081 -20.942 -0.082 9.182 0.208 4.247 0.171 43.961 42.155
15.600 -20.209 -0.281 -20.642 -0.167 -20.899 -0.075 -20.936 -0.077 9.078 0.211 4.314 0.179 43.955 42.144
16.000 -20.174 -0.275 -20.622 -0.162 -20.889 -0.068 -20.929 -0.072 8.984 0.216 4.375 0.189 43.949 42.136
16.400 -20.138 -0.268 -20.602 -0.157 -20.879 -0.062 -20.921 -0.068 8.899 0.225 4.429 0.202 43.943 42.135
16.800 -20.102 -0.261 -20.582 -0.152 -20.868 -0.057 -20.912 -0.065 8.821 0.237 4.477 0.219 43.937 42.140
17.200 -20.066 -0.253 -20.562 -0.146 -20.857 -0.054 -20.902 -0.064 8.747 0.253 4.522 0.240 43.931 42.151
17.600 -20.031 -0.245 -20.542 -0.141 -20.847 -0.054 -20.890 -0.065 8.674 0.268 4.566 0.262 43.925 42.167
18.000 -19.995 -0.236 -20.523 -0.135 -20.836 -0.056 -20.876 -0.067 8.601 0.281 4.608 0.283 43.918 42.184
18.400 -19.959 -0.227 -20.503 -0.129 -20.825 -0.059 -20.862 -0.069 8.531 0.292 4.646 0.303 43.911 42.204
