"Time (MJD)" B-4369.53 B-4369.53_err V-5467.57 V-5467.57_err g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-20.000 -18.975 -0.163 -18.843 -0.142 -18.287 -0.130 -17.830 -0.100 -17.917 -0.201 40.000 88.123 0.276 0.417 44.143 44.906
-19.600 -19.166 -0.149 -19.043 -0.130 -18.484 -0.122 -18.019 -0.092 -18.086 -0.187 40.000 131.626 0.276 0.623 44.143 45.081
-19.200 -19.357 -0.137 -19.244 -0.120 -18.681 -0.116 -18.213 -0.090 -18.255 -0.175 40.000 86.504 0.331 0.491 44.300 45.055
-18.800 -19.548 -0.127 -19.445 -0.113 -18.877 -0.113 -18.410 -0.091 -18.425 -0.166 40.000 130.145 0.331 0.740 44.300 45.232
-18.400 -19.736 -0.118 -19.644 -0.106 -19.070 -0.109 -18.606 -0.095 -18.594 -0.157 40.000 78.264 0.403 0.543 44.471 45.181
-18.000 -19.920 -0.109 -19.839 -0.100 -19.259 -0.106 -18.802 -0.099 -18.762 -0.149 40.000 116.898 0.403 0.813 44.471 45.355
-17.600 -20.099 -0.100 -20.029 -0.092 -19.441 -0.103 -18.993 -0.102 -18.927 -0.141 40.000 68.954 0.488 0.583 44.638 45.292
-17.200 -20.269 -0.090 -20.211 -0.084 -19.616 -0.098 -19.179 -0.103 -19.089 -0.132 40.000 64.667 0.535 0.601 44.717 45.343
-16.800 -20.430 -0.079 -20.382 -0.074 -19.780 -0.091 -19.358 -0.104 -19.246 -0.122 40.000 60.605 0.584 0.618 44.794 45.390
-16.400 -20.578 -0.066 -20.542 -0.062 -19.932 -0.083 -19.529 -0.103 -19.397 -0.111 40.000 56.658 0.635 0.632 44.867 45.433
-16.000 -20.714 -0.052 -20.688 -0.049 -20.072 -0.074 -19.689 -0.100 -19.542 -0.098 40.000 52.764 0.689 0.643 44.937 45.470
-15.600 -20.835 -0.038 -20.817 -0.036 -20.197 -0.063 -19.838 -0.097 -19.679 -0.084 40.000 49.069 0.743 0.651 45.003 45.503
-15.200 -20.939 -0.027 -20.928 -0.024 -20.308 -0.051 -19.976 -0.093 -19.808 -0.069 40.000 46.169 0.794 0.661 45.061 45.532
-14.800 -21.028 -0.024 -21.018 -0.022 -20.404 -0.038 -20.101 -0.090 -19.927 -0.054 40.000 43.930 0.825 0.651 45.094 45.544
-14.400 -21.101 -0.031 -21.087 -0.030 -20.485 -0.026 -20.213 -0.087 -20.036 -0.040 40.000 42.005 0.825 0.608 45.094 45.530
-14.000 -21.161 -0.041 -21.140 -0.040 -20.552 -0.019 -20.311 -0.087 -20.133 -0.033 40.000 40.092 0.831 0.576 45.100 45.519
-13.600 -21.209 -0.049 -21.180 -0.049 -20.607 -0.020 -20.397 -0.087 -20.218 -0.036 40.000 40.565 0.849 0.595 45.119 45.543
-13.200 -21.248 -0.056 -21.211 -0.057 -20.651 -0.023 -20.472 -0.089 -20.293 -0.047 40.000 43.226 0.866 0.648 45.136 45.587
-12.800 -21.282 -0.063 -21.236 -0.063 -20.689 -0.023 -20.538 -0.090 -20.357 -0.058 40.000 46.846 0.877 0.713 45.147 45.633
-12.400 -21.313 -0.068 -21.257 -0.069 -20.721 -0.022 -20.596 -0.091 -20.413 -0.070 40.000 52.517 0.877 0.800 45.147 45.682
-12.000 -21.342 -0.073 -21.277 -0.073 -20.752 -0.024 -20.647 -0.092 -20.462 -0.079 40.000 50.869 0.899 0.795 45.169 45.690
-11.600 -21.369 -0.076 -21.297 -0.076 -20.784 -0.031 -20.693 -0.092 -20.504 -0.087 40.000 47.811 0.919 0.765 45.188 45.682
