 Filter     Telescope  Instrument  System   Cenwave  Zeropoint
      B            --          --    Vega   Generic    Generic
      B            LT          --      AB   Generic    3631.00
      B            LT          --    Vega   Generic    Generic
      B            LT      RATCam    Vega   4332.70    4210.22
      B           FTN     HawkCam    Vega   Generic    Generic
      B           LCO    Sinistro      AB   Generic    3631.00
      B           LCO    Sinistro    Vega   Generic    Generic
      B           MDM          --    Vega   Generic    Generic
      B           NOT          --    Vega   Generic    Generic
      B           NOT      ALFOSC      AB   Generic    3631.00
      B           NTT          --      AB   Generic    3631.00
      B           NTT          --    Vega   Generic    Generic
      B           NTT        EMII    Vega   Generic    Generic
      B           NTT      EFOSC2    Vega   Generic    Generic
      B           P60          --      AB   Generic    3631.00
      B           P60          --    Vega   Generic    Generic
      B           P60      GRBcam      AB   Generic    3631.00
      B           P60     P60-Cam    Vega   Generic    Generic
      B           PTF          --    Vega   Generic    Generic
      B           SLT          --      AB   Generic    3631.00
      B           TNG          --    Vega   Generic    Generic
      B           TNT          --    Vega   Generic    Generic
      B           VLT      RATCam    Vega   4332.70    4210.22
      B           WHT  AuxPortCam    Vega   Generic    Generic
      B          CPCS          --    Vega   Generic    Generic
      B          EKAR          --      AB   Generic    3631.00
      B          FLWO   KeplerCam    Vega   4317.22    3811.44
      B          Post          --      AB   Generic    3631.00
      B         LCOGT          --    Vega   Generic    Generic
      B           LCO          --    Vega   Generic    Generic
      B         Lulin          --    Vega   Generic    Generic
      B         Swift        UVOT      AB   4345.28    3631.00
      B         Swift        UVOT    Vega   4345.28    4088.50
      B         Swope         CCD    Vega   4395.02    4012.55
      B        duPont       WFCCD    Vega   Generic    Generic
      B        Helmos      LN2CCD      AB   Generic    3631.00
      B       Lijiang          --    Vega   Generic    Generic
      B       MPI2.2m      EFOSC2    Vega   Generic    Generic
      B       Schmidt          --      AB   Generic    3631.00
      B       Schmidt          --    Vega   Generic    Generic
      B       Spectra          --    Vega   Generic    Generic
      B      DOT-3.6m          --    Vega   Generic    Generic
      B      HCT-2.0m          --    Vega   Generic    Generic
      B      Magellan      LDSS-2    Vega   Generic    Generic
      B      Tsinghua          --    Vega   Generic    Generic
      B     Copernico          --    Vega   Generic    Generic
      B     Copernico       AFOSC      AB   Generic    3631.00
      B     Copernico       AFOSC    Vega   Generic    Generic
      B   Danish1.54m         CCD    Vega   Generic    Generic
      B   ESOESO3.6mm      EFOSC1    Vega   Generic    Generic
      B  Sampurnanand          --    Vega   Generic    Generic
      B  Sampurnanand      Camera    Vega   Generic    Generic
      C          CRTS          --    Vega   Generic    Generic
      C          KAIT          --    Vega   Generic    Generic
   cyan         ATLAS       ATLAS      AB   5182.42    3631.00
  F475W           HST         ACS      AB   4708.87    3631.00
  F625W           HST         ACS      AB   6266.20    3631.00
  F775W           HST         ACS      AB   7652.44    3631.00
  F775W           HST         ACS    Vega   7652.44    2516.53
 F850LP           HST         ACS    Vega   9004.99    2232.90
      g            --          --      AB   Generic    3631.00
      g            GN          --      AB   Generic    3631.00
      g            GS          --      AB   Generic    3631.00
      g            LT          --      AB   Generic    3631.00
      g            LT         IOO      AB   4793.46    3631.00
      g            LT      RATCam      AB   4026.73    3631.00
      g           DCT          --      AB   Generic    3631.00
      g           DES          --      AB   Generic    3631.00
      g           FTN          --      AB   Generic    3631.00
      g           FTS          --      AB   Generic    3631.00
      g           INT          --      AB   Generic    3631.00
      g           LBT          --      AB   Generic    3631.00
      g           LCO          --      AB   Generic    3631.00
      g           LCO         LCO      AB   Generic    3631.00
      g           LCO    Sinistro      AB   Generic    3631.00
      g           LOT          --      AB   Generic    3631.00
      g           MMT          --      AB   Generic    3631.00
      g           MMT      MMTCam      AB   Generic    3631.00
      g           MMT    Binospec      AB   Generic    3631.00
      g           NOT          --      AB   Generic    3631.00
      g           NOT      ALFOSC      AB   Generic    3631.00
      g           NTT          --      AB   Generic    3631.00
      g           NTT          --    Vega   Generic    Generic
      g           NTT      EFOSC2      AB   Generic    3631.00
      g           P48          --      AB   Generic    3631.00
      g           P48         ZTF      AB   4746.48    3631.00
      g           P60          --      AB   Generic    3631.00
      g           P60        SEDM      AB   Generic    3631.00
      g           P60      GRBcam      AB   Generic    3631.00
      g           PS1          --      AB   4810.16    3631.00
      g           PS1        GPC1      AB   4810.16    3631.00
      g           PTF          --      AB   Generic    3631.00
      g           TNG          --      AB   Generic    3631.00
      g           TNT          --      AB   Generic    3631.00
      g           WHT          --      AB   Generic    3631.00
      g           WHT        ACAM      AB   Generic    3631.00
      g          CFHT          --      AB   Generic    3631.00
      g          CPCS          --      AB   Generic    3631.00
      g          CRTS          --      AB   Generic    3631.00
      g          FLWO   KeplerCam      AB   4735.89    3631.00
      G          Gaia        Gaia      AB   5850.88    3631.00
      G          Gaia Astrometric      AB   5850.88    3631.00
      g          Gaia        Gaia      AB   Generic    3631.00
      g          Gaia Astrometric      AB   Generic    3631.00
      g          IO:O          --      AB   Generic    3631.00
      g          Keck        LRIS      AB   4706.33    3631.00
      g          P200        WASP      AB   Generic    3631.00
      g          SDSS          --      AB   4671.78    3631.00
      g          SNLS          --    Vega   Generic    Generic
      g         ATLAS       ATLAS      AB   Generic    3631.00
      g         GROND          --      AB   4502.97    3631.00
      g         LCOGT          --      AB   Generic    3631.00
      g        ASASSN      ASASSN      AB   4639.27    3631.00
      g        Blanco       DECam      AB   4769.90    3631.00
      g        Subaru         HSC      AB   Generic    3631.00
      g       C28Wise          --      AB   Generic    3631.00
      g       ESO2.2m         MPI      AB   Generic    3631.00
      g       ESO2.2m       GROND      AB   4502.97    3631.00
      g       Lijiang          --      AB   Generic    3631.00
      g       Schmidt          --      AB   Generic    3631.00
      g      Magellan       IMACS      AB   4677.22    3631.00
      g      Magellan      LDSS3c      AB   Generic    3631.00
      g      Tsinghua          --      AB   Generic    3631.00
      g     Copernico          --      AB   Generic    3631.00
