       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 48218.119    99.0    99.0    99.0  4369.53    4323.91       B 
 48218.119    99.0    99.0    99.0  5467.57     3617.5       V 
 48218.119    99.0    99.0    99.0  6695.83    2908.68       R 
 48220.582    99.0    99.0    99.0  4369.53    4323.91       B 
 48220.582    99.0    99.0    99.0  5467.57     3617.5       V 
 48220.582    99.0    99.0    99.0  6695.83    2908.68       R 
 48223.046    99.0    99.0    99.0  4369.53    4323.91       B 
 48223.046    99.0    99.0    99.0  5467.57     3617.5       V 
 48223.046    99.0    99.0    99.0  6695.83    2908.68       R 
  48225.51    99.0    99.0    99.0  4369.53    4323.91       B 
  48225.51    99.0    99.0    99.0  5467.57     3617.5       V 
  48225.51    99.0    99.0    99.0  6695.83    2908.68       R 
 48227.973    99.0    99.0    99.0  4369.53    4323.91       B 
 48227.973    99.0    99.0    99.0  5467.57     3617.5       V 
 48227.973    99.0    99.0    99.0  6695.83    2908.68       R 
 48230.437    99.0    99.0    99.0  4369.53    4323.91       B 
 48230.437    99.0    99.0    99.0  5467.57     3617.5       V 
 48230.437    99.0    99.0    99.0  6695.83    2908.68       R 
 48232.901    99.0    99.0    99.0  4369.53    4323.91       B 
 48232.901    99.0    99.0    99.0  5467.57     3617.5       V 
 48232.901    99.0    99.0    99.0  6695.83    2908.68       R 
 48235.364    99.0    99.0    99.0  4369.53    4323.91       B 
 48235.364    99.0    99.0    99.0  5467.57     3617.5       V 
 48235.364    99.0    99.0    99.0  6695.83    2908.68       R 
 48237.828    99.0    99.0    99.0  4369.53    4323.91       B 
 48237.828    99.0    99.0    99.0  5467.57     3617.5       V 
 48237.828    99.0    99.0    99.0  6695.83    2908.68       R 
 48240.291    99.0    99.0    99.0  4369.53    4323.91       B 
 48240.291    99.0    99.0    99.0  5467.57     3617.5       V 
 48240.291    99.0    99.0    99.0  6695.83    2908.68       R 
 48242.755    99.0    99.0    99.0  4369.53    4323.91       B 
 48242.755    99.0    99.0    99.0  5467.57     3617.5       V 
 48242.755    99.0    99.0    99.0  6695.83    2908.68       R 
 48245.219    99.0    99.0    99.0  4369.53    4323.91       B 
 48245.219    99.0    99.0    99.0  5467.57     3617.5       V 
 48245.219    99.0    99.0    99.0  6695.83    2908.68       R 
 48247.682    99.0    99.0    99.0  4369.53    4323.91       B 
 48247.682    99.0    99.0    99.0  5467.57     3617.5       V 
 48247.682    99.0    99.0    99.0  6695.83    2908.68       R 
 48250.146    99.0    99.0    99.0  4369.53    4323.91       B 
 48250.146    99.0    99.0    99.0  5467.57     3617.5       V 
 48250.146    99.0    99.0    99.0  6695.83    2908.68       R 
  48252.61    99.0    99.0    99.0  4369.53    4323.91       B 
  48252.61    99.0    99.0    99.0  5467.57     3617.5       V 
  48252.61    99.0    99.0    99.0  6695.83    2908.68       R 
 48255.073    99.0    99.0  17.719  4369.53    4323.91       B 
 48255.073    99.0    99.0  17.957  5467.57     3617.5       V 
 48255.073    99.0    99.0  18.041  6695.83    2908.68       R 
 48257.537    99.0    99.0  16.709  4369.53    4323.91       B 
 48257.537    99.0    99.0  16.901  5467.57     3617.5       V 
 48257.537    99.0    99.0  16.955  6695.83    2908.68       R 
 48260.001    99.0    99.0  16.412  4369.53    4323.91       B 
 48260.001    99.0    99.0  16.599  5467.57     3617.5       V 
 48260.001    99.0    99.0  16.633  6695.83    2908.68       R 
 48262.464    99.0  60.276  15.851  4369.53    4323.91       B 
 48262.464    99.0  60.433  15.977  5467.57     3617.5       V 
 48262.464    99.0  60.492  16.016  6695.83    2908.68       R 
 48264.928    99.0  17.384  15.594  4369.53    4323.91       B 
 48264.928    99.0  17.552  15.695  5467.57     3617.5       V 
 48264.928    99.0  17.598  15.748  6695.83    2908.68       R 
 48267.391    99.0  16.812  15.508  4369.53    4323.91       B 
 48267.391    99.0  16.914  15.562  6695.83    2908.68       R 
 48267.391    99.0  16.917  15.536  5467.57     3617.5       V 
 48269.855  17.948  16.311  15.448  4369.53    4323.91       B 
 48269.855  18.108  16.342  15.511  5467.57     3617.5       V 
 48269.855  18.196  16.337  15.442  6695.83    2908.68       R 
 48272.319  17.027  16.104  15.396  4369.53    4323.91       B 
 48272.319  17.127  16.129  15.438  5467.57     3617.5       V 
 48272.319  17.131  16.118  15.439  6695.83    2908.68       R 
 48274.782  16.695  15.981  15.415  4369.53    4323.91       B 
 48274.782  16.742  16.033  15.401  5467.57     3617.5       V 
 48274.782  16.753  16.005   15.39  6695.83    2908.68       R 
 48277.246  16.512  16.004  15.471  4369.53    4323.91       B 
 48277.246  16.528  15.923  15.409  6695.83    2908.68       R 
 48277.246  16.546  15.974  15.442  5467.57     3617.5       V 
  48279.71   16.39  15.911  15.434  6695.83    2908.68       R 
  48279.71  16.442   15.99  15.512  5467.57     3617.5       V 
  48279.71  16.499  16.059  15.577  4369.53    4323.91       B 
 48282.173  16.331  15.938  15.542  6695.83    2908.68       R 
 48282.173  16.417  16.054  15.623  5467.57     3617.5       V 
 48282.173  16.552   16.14  15.763  4369.53    4323.91       B 
 48284.637  16.335  16.008   15.68  6695.83    2908.68       R 
 48284.637  16.453  16.131   15.78  5467.57     3617.5       V 
 48284.637  16.627  16.288  15.954  4369.53    4323.91       B 
 48287.101  16.362  16.101  15.836  6695.83    2908.68       R 
 48287.101  16.528  16.248   15.96  5467.57     3617.5       V 
 48287.101  16.802   16.48  16.163  4369.53    4323.91       B 
 48289.564  16.434  16.211  16.003  6695.83    2908.68       R 
 48289.564  16.641  16.396  16.169  5467.57     3617.5       V 
 48289.564  16.955  16.707  16.419  4369.53    4323.91       B 
 48292.028  16.542  16.348  16.189  6695.83    2908.68       R 
 48292.028  16.783  16.583   16.39  5467.57     3617.5       V 
 48292.028  17.151  16.954  16.687  4369.53    4323.91       B 
 48294.492  16.669  16.521  16.397  6695.83    2908.68       R 
 48294.492  16.951  16.791   16.65  5467.57     3617.5       V 
 48294.492  17.377  17.235  17.023  4369.53    4323.91       B 
 48296.955   16.81  16.711  16.615  6695.83    2908.68       R 
 48296.955  17.138   17.03  16.918  5467.57     3617.5       V 
 48296.955  17.665  17.537   17.39  4369.53    4323.91       B 
   48299.3   16.98    16.9  16.832  6695.83    2908.68       R 
   48299.3   17.34   17.26   17.19  5467.57     3617.5       V 
   48299.3  17.954  17.839  17.747  4369.53    4323.91       B 
 48299.419  16.987   16.91  16.842  6695.83    2908.68       R 
 48299.419  17.351  17.273  17.203  5467.57     3617.5       V 
 48299.419  17.972  17.854  17.766  4369.53    4323.91       B 
   48300.3   17.06  16.981  16.919  6695.83    2908.68       R 
   48300.3  17.436  17.362  17.304  5467.57     3617.5       V 
   48300.3  18.092   17.98  17.892  4369.53    4323.91       B 
 48301.882  17.178  17.111  17.054  6695.83    2908.68       R 
 48301.882  17.589  17.532  17.479  5467.57     3617.5       V 
 48301.882  18.312  18.201  18.122  4369.53    4323.91       B 
 48304.346  17.378  17.325  17.266  6695.83    2908.68       R 
 48304.346  17.838  17.792  17.748  5467.57     3617.5       V 
 48304.346  18.653  18.544  18.481  4369.53    4323.91       B 
  48306.81  17.586  17.522  17.468  6695.83    2908.68       R 
  48306.81  18.101  18.049  17.997  5467.57     3617.5       V 
  48306.81  18.996  18.898  18.814  4369.53    4323.91       B 
  48308.29  17.709   17.64   17.58  6695.83    2908.68       R 
  48308.29  18.254    18.2  18.142  5467.57     3617.5       V 
  48308.29  19.196  19.099  19.012  4369.53    4323.91       B 
 48309.273  17.788  17.723  17.656  6695.83    2908.68       R 
 48309.273  18.352  18.296  18.234  5467.57     3617.5       V 
 48309.273  19.314  19.221  19.141  4369.53    4323.91       B 
   48311.3  17.933  17.868  17.794  6695.83    2908.68       R 
   48311.3  18.525  18.475  18.416  5467.57     3617.5       V 
   48311.3  19.518  19.444   19.38  4369.53    4323.91       B 
 48311.737  17.964  17.898  17.822  6695.83    2908.68       R 
 48311.737  18.565  18.512  18.451  5467.57     3617.5       V 
 48311.737  19.565   19.49   19.42  4369.53    4323.91       B 
 48314.201  18.127   18.05  17.971  6695.83    2908.68       R 
 48314.201  18.762   18.69  18.605  5467.57     3617.5       V 
 48314.201  19.817  19.715  19.594  4369.53    4323.91       B 
 48316.664  18.262  18.175  18.083  6695.83    2908.68       R 
 48316.664   18.93  18.811  18.733  5467.57     3617.5       V 
 48316.664  20.015  19.848  19.718  4369.53    4323.91       B 
 48319.128  18.365  18.281  18.189  6695.83    2908.68       R 
 48319.128   19.04  18.914  18.838  5467.57     3617.5       V 
