# STATUS =
# OBJECT = 2002gh
# TELESCOPE = Baade
# INSTRUMENT = LDSS-2
# DATE-OBS = 2002-10-25 00:00:00.000
# MJD = 52571.99
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 1.820805e+00
3010.000000 1.986854e+00
3020.000000 1.931014e+00
3030.000000 1.949225e+00
3040.000000 2.107576e+00
3050.000000 2.073266e+00
3060.000000 2.009016e+00
3070.000000 1.873144e+00
3080.000000 1.681350e+00
3090.000000 1.921480e+00
3100.000000 2.008873e+00
3110.000000 2.069981e+00
3120.000000 1.985280e+00
3130.000000 1.833951e+00
3140.000000 1.957895e+00
3150.000000 2.121757e+00
3160.000000 2.105212e+00
3170.000000 2.027712e+00
3180.000000 1.865670e+00
3190.000000 1.755335e+00
3200.000000 1.750735e+00
3210.000000 1.713660e+00
3220.000000 1.689135e+00
3230.000000 1.815887e+00
3240.000000 1.760379e+00
3250.000000 1.658111e+00
3260.000000 1.673561e+00
3270.000000 1.665189e+00
3280.000000 1.799568e+00
3290.000000 1.832220e+00
3300.000000 1.844095e+00
3310.000000 1.811718e+00
3320.000000 1.858559e+00
3330.000000 1.912245e+00
3340.000000 1.894380e+00
3350.000000 1.720576e+00
3360.000000 1.638468e+00
3370.000000 1.757137e+00
3380.000000 1.829060e+00
3390.000000 1.829909e+00
3400.000000 1.736925e+00
3410.000000 1.697884e+00
3420.000000 1.648078e+00
3430.000000 1.612720e+00
3440.000000 1.619589e+00
3450.000000 1.657056e+00
3460.000000 1.813567e+00
3470.000000 1.834757e+00
3480.000000 1.833925e+00
3490.000000 1.813513e+00
3500.000000 1.752617e+00
3510.000000 1.723368e+00
3520.000000 1.770187e+00
3530.000000 1.686342e+00
3540.000000 1.670835e+00
3550.000000 1.742860e+00
3560.000000 1.846639e+00
3570.000000 1.878949e+00
3580.000000 1.741799e+00
3590.000000 1.585670e+00
3600.000000 1.475389e+00
3610.000000 1.441967e+00
3620.000000 1.450905e+00
3630.000000 1.460996e+00
3640.000000 1.568530e+00
3650.000000 1.696033e+00
3660.000000 1.717958e+00
3670.000000 1.643539e+00
3680.000000 1.555459e+00
3690.000000 1.481605e+00
3700.000000 1.458492e+00
3710.000000 1.405466e+00
3720.000000 1.404316e+00
3730.000000 1.483544e+00
3740.000000 1.553636e+00
3750.000000 1.513105e+00
3760.000000 1.474189e+00
3770.000000 1.420492e+00
3780.000000 1.375499e+00
3790.000000 1.381214e+00
3800.000000 1.363030e+00
3810.000000 1.358880e+00
3820.000000 1.352232e+00
3830.000000 1.342539e+00
3840.000000 1.322605e+00
3850.000000 1.339491e+00
3860.000000 1.389247e+00
3870.000000 1.413622e+00
3880.000000 1.425548e+00
3890.000000 1.382688e+00
3900.000000 1.352907e+00
3910.000000 1.305273e+00
3920.000000 1.344758e+00
3930.000000 1.405562e+00
3940.000000 1.484851e+00
3950.000000 1.474900e+00
3960.000000 1.372772e+00
3970.000000 1.350162e+00
3980.000000 1.314290e+00
3990.000000 1.352682e+00
4000.000000 1.368490e+00
4010.000000 1.363268e+00
4020.000000 1.380534e+00
4030.000000 1.348522e+00
4040.000000 1.354916e+00
4050.000000 1.339973e+00
4060.000000 1.327856e+00
4070.000000 1.313149e+00
4080.000000 1.292301e+00
4090.000000 1.296629e+00
4100.000000 1.299493e+00
4110.000000 1.299497e+00
4120.000000 1.311872e+00
4130.000000 1.292644e+00
4140.000000 1.297405e+00
4150.000000 1.264900e+00
4160.000000 1.178725e+00
4170.000000 1.114783e+00
4180.000000 1.069347e+00
4190.000000 1.015863e+00
4200.000000 9.845594e-01
4210.000000 9.579146e-01
4220.000000 9.476090e-01
4230.000000 9.789294e-01
4240.000000 9.843787e-01
4250.000000 1.017606e+00
4260.000000 1.085771e+00
4270.000000 1.071106e+00
4280.000000 1.055658e+00
4290.000000 9.974477e-01
4300.000000 1.020447e+00
4310.000000 1.048737e+00
4320.000000 1.039961e+00
4330.000000 1.050124e+00
4340.000000 1.024962e+00
4350.000000 1.028340e+00
4360.000000 1.031314e+00
4370.000000 1.033279e+00
4380.000000 1.078697e+00
4390.000000 1.095600e+00
4400.000000 1.070414e+00
4410.000000 1.058632e+00
4420.000000 1.022938e+00
4430.000000 1.002121e+00
4440.000000 1.031936e+00
4450.000000 9.533175e-01
4460.000000 9.770128e-01
4470.000000 9.780281e-01
4480.000000 9.794537e-01
4490.000000 1.023097e+00
4500.000000 9.770367e-01
4510.000000 1.020606e+00
4520.000000 1.024877e+00
4530.000000 1.018017e+00
4540.000000 1.077329e+00
4550.000000 1.083169e+00
4560.000000 1.040496e+00
4570.000000 1.028903e+00
4580.000000 1.028997e+00
4590.000000 1.071509e+00
4600.000000 1.045647e+00
4610.000000 9.713729e-01
4620.000000 9.941498e-01
4630.000000 1.054413e+00
4640.000000 1.098946e+00
4650.000000 1.064184e+00
4660.000000 1.012403e+00
4670.000000 9.810456e-01
4680.000000 9.914668e-01
4690.000000 1.010475e+00
4700.000000 1.018628e+00
4710.000000 9.788260e-01
4720.000000 9.243878e-01
4730.000000 8.919458e-01
4740.000000 8.495003e-01
4750.000000 8.745726e-01
4760.000000 8.712102e-01
4770.000000 8.401409e-01
4780.000000 8.396823e-01
4790.000000 8.613919e-01
4800.000000 9.242565e-01
4810.000000 9.144722e-01
4820.000000 9.051271e-01
4830.000000 8.641434e-01
4840.000000 8.662930e-01
4850.000000 8.593749e-01
4860.000000 8.532847e-01
4870.000000 8.341524e-01
4880.000000 8.287660e-01
4890.000000 8.497065e-01
4900.000000 8.386622e-01
4910.000000 8.123403e-01
4920.000000 7.938533e-01
4930.000000 8.082140e-01
4940.000000 8.592166e-01
4950.000000 8.656855e-01
4960.000000 8.432193e-01
4970.000000 8.768982e-01
4980.000000 9.243544e-01
4990.000000 9.308923e-01
5000.000000 9.154435e-01
5010.000000 8.487271e-01
5020.000000 8.663319e-01
5030.000000 8.919685e-01
5040.000000 8.674072e-01
5050.000000 8.219342e-01
5060.000000 7.590540e-01
5070.000000 7.544124e-01
5080.000000 7.896230e-01
5090.000000 8.127046e-01
5100.000000 8.251074e-01
5110.000000 8.112616e-01
5120.000000 7.917712e-01
5130.000000 7.798977e-01
5140.000000 8.232022e-01
5150.000000 8.297728e-01
5160.000000 8.719031e-01
5170.000000 8.511026e-01
5180.000000 8.656388e-01
5190.000000 8.496362e-01
5200.000000 7.983964e-01
5210.000000 7.752131e-01
5220.000000 7.368965e-01
5230.000000 7.511615e-01
5240.000000 7.617821e-01
5250.000000 7.509673e-01
5260.000000 7.536572e-01
5270.000000 7.600514e-01
5280.000000 7.295349e-01
5290.000000 7.346201e-01
5300.000000 7.957020e-01
5310.000000 7.664182e-01
5320.000000 7.552216e-01
5330.000000 7.177337e-01
5340.000000 7.295110e-01
5350.000000 7.775674e-01
5360.000000 7.688941e-01
5370.000000 7.233863e-01
5380.000000 7.010697e-01
5390.000000 7.016930e-01
5400.000000 6.444522e-01
5410.000000 6.114027e-01
5420.000000 5.604932e-01
5430.000000 5.354599e-01
5440.000000 4.942047e-01
5450.000000 4.743398e-01
5460.000000 5.068904e-01
5470.000000 5.921305e-01
5480.000000 6.206753e-01
5490.000000 6.529161e-01
5500.000000 6.756000e-01
5510.000000 6.622194e-01
5520.000000 6.239199e-01
5530.000000 5.543242e-01
5540.000000 5.486301e-01
5550.000000 5.532582e-01
5560.000000 5.423249e-01
5570.000000 5.653649e-01
5580.000000 5.894676e-01
5590.000000 5.835945e-01
5600.000000 5.824906e-01
5610.000000 6.072834e-01
5620.000000 6.259876e-01
5630.000000 5.623663e-01
5640.000000 5.318009e-01
5650.000000 5.538608e-01
5660.000000 5.117455e-01
5670.000000 5.674851e-01
5680.000000 6.048951e-01
5690.000000 6.326091e-01
5700.000000 6.298310e-01
5710.000000 6.527713e-01
5720.000000 6.494229e-01
5730.000000 6.555442e-01
5740.000000 6.919215e-01
5750.000000 6.022887e-01
5760.000000 5.877764e-01
5770.000000 5.329537e-01
5780.000000 4.300671e-01
5790.000000 4.799285e-01
5800.000000 5.388133e-01
5810.000000 5.496496e-01
5820.000000 4.798317e-01
5830.000000 4.066006e-01
5840.000000 3.486945e-01
5850.000000 3.898434e-01
5860.000000 4.452169e-01
5870.000000 4.631828e-01
5880.000000 5.053380e-01
5890.000000 4.521361e-01
5900.000000 4.361203e-01
5910.000000 4.528315e-01
5920.000000 4.630860e-01
5930.000000 4.335237e-01
5940.000000 4.300894e-01
5950.000000 4.479506e-01
5960.000000 5.272494e-01
5970.000000 5.465060e-01
5980.000000 4.972298e-01
5990.000000 5.146156e-01
6000.000000 4.757788e-01
6010.000000 5.171830e-01
6020.000000 4.919150e-01
6030.000000 4.777165e-01
6040.000000 4.755278e-01
6050.000000 4.927303e-01
6060.000000 5.464577e-01
6070.000000 5.165572e-01
6080.000000 5.004098e-01
6090.000000 4.220865e-01
6100.000000 3.930826e-01
6110.000000 4.820549e-01
6120.000000 4.462884e-01
6130.000000 4.570371e-01
6140.000000 4.332564e-01
6150.000000 3.530605e-01
6160.000000 3.280853e-01
6170.000000 3.844928e-01
6180.000000 4.665684e-01
6190.000000 4.875975e-01
6200.000000 4.965297e-01
6210.000000 3.639572e-01
6220.000000 2.658499e-01
6230.000000 3.093041e-01
6240.000000 4.210551e-01
6250.000000 5.797257e-01
6260.000000 6.186753e-01
6270.000000 4.815942e-01
6280.000000 4.163980e-01
6290.000000 3.483545e-01
6300.000000 4.520135e-01
6310.000000 5.759858e-01
6320.000000 5.692318e-01
6330.000000 4.972855e-01
6340.000000 3.327225e-01
6350.000000 3.301060e-01
6360.000000 4.292282e-01
6370.000000 5.231211e-01
6380.000000 4.695990e-01
6390.000000 3.568150e-01
6400.000000 2.515853e-01
6410.000000 3.695402e-01
6420.000000 5.190627e-01
6430.000000 5.963146e-01
6440.000000 4.688605e-01
6450.000000 2.915038e-01
6460.000000 1.937962e-01
6470.000000 2.743954e-01
6480.000000 4.023591e-01
6490.000000 4.645009e-01
6500.000000 4.649019e-01
6510.000000 3.695824e-01
6520.000000 3.111671e-01
6530.000000 3.725790e-01
6540.000000 3.695529e-01
6550.000000 4.182992e-01
6560.000000 4.480779e-01
6570.000000 4.859290e-01
6580.000000 6.017114e-01
6590.000000 5.358245e-01
6600.000000 nan
6610.000000 nan
6620.000000 nan
6630.000000 nan
6640.000000 nan
6650.000000 nan
6660.000000 nan
6670.000000 nan
6680.000000 nan
6690.000000 nan
6700.000000 nan
6710.000000 nan
6720.000000 nan
6730.000000 nan
6740.000000 nan
6750.000000 nan
6760.000000 nan
6770.000000 nan
6780.000000 nan
6790.000000 nan
6800.000000 nan
6810.000000 nan
6820.000000 nan
6830.000000 nan
6840.000000 nan
6850.000000 nan
6860.000000 nan
6870.000000 nan
6880.000000 nan
6890.000000 nan
6900.000000 nan
6910.000000 nan
6920.000000 nan
6930.000000 nan
6940.000000 nan
6950.000000 nan
6960.000000 nan
6970.000000 nan
6980.000000 nan
6990.000000 nan
7000.000000 nan
7010.000000 nan
7020.000000 nan
7030.000000 nan
7040.000000 nan
7050.000000 nan
7060.000000 nan
7070.000000 nan
7080.000000 nan
7090.000000 nan
7100.000000 nan
7110.000000 nan
7120.000000 nan
7130.000000 nan
7140.000000 nan
7150.000000 nan
7160.000000 nan
7170.000000 nan
7180.000000 nan
7190.000000 nan
7200.000000 nan
7210.000000 nan
7220.000000 nan
7230.000000 nan
7240.000000 nan
7250.000000 nan
7260.000000 nan
7270.000000 nan
7280.000000 nan
7290.000000 nan
7300.000000 nan
7310.000000 nan
7320.000000 nan
7330.000000 nan
7340.000000 nan
7350.000000 nan
7360.000000 nan
7370.000000 nan
7380.000000 nan
7390.000000 nan
7400.000000 nan
7410.000000 nan
7420.000000 nan
7430.000000 nan
7440.000000 nan
7450.000000 nan
7460.000000 nan
7470.000000 nan
7480.000000 nan
7490.000000 nan
7500.000000 nan
7510.000000 nan
7520.000000 nan
7530.000000 nan
7540.000000 nan
7550.000000 nan
7560.000000 nan
7570.000000 nan
7580.000000 nan
7590.000000 nan
7600.000000 nan
7610.000000 nan
7620.000000 nan
7630.000000 nan
7640.000000 nan
7650.000000 nan
7660.000000 nan
7670.000000 nan
7680.000000 nan
7690.000000 nan
7700.000000 nan
7710.000000 nan
7720.000000 nan
7730.000000 nan
7740.000000 nan
7750.000000 nan
7760.000000 nan
7770.000000 nan
7780.000000 nan
7790.000000 nan
7800.000000 nan
7810.000000 nan
7820.000000 nan
7830.000000 nan
7840.000000 nan
7850.000000 nan
7860.000000 nan
7870.000000 nan
7880.000000 nan
7890.000000 nan
7900.000000 nan
7910.000000 nan
7920.000000 nan
7930.000000 nan
7940.000000 nan
7950.000000 nan
7960.000000 nan
7970.000000 nan
7980.000000 nan
7990.000000 nan
8000.000000 nan
8010.000000 nan
8020.000000 nan
8030.000000 nan
8040.000000 nan
8050.000000 nan
8060.000000 nan
8070.000000 nan
8080.000000 nan
8090.000000 nan
8100.000000 nan
8110.000000 nan
8120.000000 nan
8130.000000 nan
8140.000000 nan
8150.000000 nan
8160.000000 nan
8170.000000 nan
8180.000000 nan
8190.000000 nan
8200.000000 nan
8210.000000 nan
8220.000000 nan
8230.000000 nan
8240.000000 nan
8250.000000 nan
8260.000000 nan
8270.000000 nan
8280.000000 nan
8290.000000 nan
8300.000000 nan
8310.000000 nan
8320.000000 nan
8330.000000 nan
8340.000000 nan
8350.000000 nan
8360.000000 nan
8370.000000 nan
8380.000000 nan
8390.000000 nan
8400.000000 nan
8410.000000 nan
8420.000000 nan
8430.000000 nan
8440.000000 nan
8450.000000 nan
8460.000000 nan
8470.000000 nan
8480.000000 nan
8490.000000 nan
8500.000000 nan
8510.000000 nan
8520.000000 nan
8530.000000 nan
8540.000000 nan
8550.000000 nan
8560.000000 nan
8570.000000 nan
8580.000000 nan
8590.000000 nan
8600.000000 nan
8610.000000 nan
8620.000000 nan
8630.000000 nan
8640.000000 nan
8650.000000 nan
8660.000000 nan
8670.000000 nan
8680.000000 nan
8690.000000 nan
8700.000000 nan
8710.000000 nan
8720.000000 nan
8730.000000 nan
8740.000000 nan
8750.000000 nan
8760.000000 nan
8770.000000 nan
8780.000000 nan
8790.000000 nan
8800.000000 nan
8810.000000 nan
8820.000000 nan
8830.000000 nan
8840.000000 nan
8850.000000 nan
8860.000000 nan
8870.000000 nan
8880.000000 nan
8890.000000 nan
8900.000000 nan
8910.000000 nan
8920.000000 nan
8930.000000 nan
8940.000000 nan
8950.000000 nan
8960.000000 nan
8970.000000 nan
8980.000000 nan
8990.000000 nan
