# STATUS =
# OBJECT = 2002gh
# TELESCOPE = du Pont
# INSTRUMENT = Mod. Spec.
# DATE-OBS = 2003-01-03 00:00:00.000
# MJD = 52641.99
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 1.235016e+00
3010.000000 1.486468e+00
3020.000000 1.098944e+00
3030.000000 8.300328e-01
3040.000000 5.216452e-01
3050.000000 5.947443e-01
3060.000000 8.675757e-01
3070.000000 7.965591e-01
3080.000000 1.173339e+00
3090.000000 1.257193e+00
3100.000000 7.228365e-01
3110.000000 4.960799e-01
3120.000000 1.272281e+00
3130.000000 8.766123e-01
3140.000000 8.718244e-01
3150.000000 1.163419e+00
3160.000000 8.786181e-01
3170.000000 8.041402e-01
3180.000000 1.017461e+00
3190.000000 6.182089e-01
3200.000000 8.367456e-01
3210.000000 1.055083e+00
3220.000000 8.844569e-01
3230.000000 1.172195e+00
3240.000000 1.045453e+00
3250.000000 6.180293e-01
3260.000000 6.646335e-01
3270.000000 8.051311e-01
3280.000000 8.826174e-01
3290.000000 9.913786e-01
3300.000000 9.845221e-01
3310.000000 1.068554e+00
3320.000000 9.766861e-01
3330.000000 9.863990e-01
3340.000000 1.128180e+00
3350.000000 1.070312e+00
3360.000000 9.512574e-01
3370.000000 9.394979e-01
3380.000000 1.166285e+00
3390.000000 1.070971e+00
3400.000000 9.611941e-01
3410.000000 1.183569e+00
3420.000000 1.057348e+00
3430.000000 9.400815e-01
3440.000000 1.055263e+00
3450.000000 1.239115e+00
3460.000000 1.220367e+00
3470.000000 1.253922e+00
3480.000000 1.435083e+00
3490.000000 1.349967e+00
3500.000000 1.244482e+00
3510.000000 1.337717e+00
3520.000000 1.360467e+00
3530.000000 1.343634e+00
3540.000000 1.317461e+00
3550.000000 1.332955e+00
3560.000000 1.189107e+00
3570.000000 1.280108e+00
3580.000000 1.240421e+00
3590.000000 1.386615e+00
3600.000000 1.375331e+00
3610.000000 1.245285e+00
3620.000000 1.220942e+00
3630.000000 1.358915e+00
3640.000000 1.403337e+00
3650.000000 1.389472e+00
3660.000000 1.393150e+00
3670.000000 1.490183e+00
3680.000000 1.397846e+00
3690.000000 1.351719e+00
3700.000000 1.327403e+00
3710.000000 1.315693e+00
3720.000000 1.286589e+00
3730.000000 1.275646e+00
3740.000000 1.256795e+00
3750.000000 1.137512e+00
3760.000000 1.247849e+00
3770.000000 1.213040e+00
3780.000000 1.180918e+00
3790.000000 1.153970e+00
3800.000000 1.234961e+00
3810.000000 1.257309e+00
3820.000000 1.337386e+00
3830.000000 1.350678e+00
3840.000000 1.304629e+00
3850.000000 1.352729e+00
3860.000000 1.353053e+00
3870.000000 1.341647e+00
3880.000000 1.362286e+00
3890.000000 1.391984e+00
3900.000000 1.373914e+00
3910.000000 1.337797e+00
3920.000000 1.325067e+00
3930.000000 1.278952e+00
3940.000000 1.411146e+00
3950.000000 1.346376e+00
3960.000000 1.316452e+00
3970.000000 1.341837e+00
3980.000000 1.357016e+00
3990.000000 1.358582e+00
4000.000000 1.302292e+00
4010.000000 1.154107e+00
4020.000000 1.118648e+00
4030.000000 1.164751e+00
4040.000000 1.154522e+00
4050.000000 1.117210e+00
4060.000000 1.149899e+00
4070.000000 1.259098e+00
4080.000000 1.227436e+00
4090.000000 1.143013e+00
4100.000000 1.152043e+00
4110.000000 1.209273e+00
4120.000000 1.196414e+00
4130.000000 1.144009e+00
4140.000000 1.046080e+00
4150.000000 1.086708e+00
4160.000000 1.100733e+00
4170.000000 1.100264e+00
4180.000000 1.068032e+00
4190.000000 1.028273e+00
4200.000000 1.029090e+00
4210.000000 9.630425e-01
4220.000000 8.478903e-01
4230.000000 8.169945e-01
4240.000000 9.702301e-01
4250.000000 9.708259e-01
4260.000000 7.776977e-01
4270.000000 7.693210e-01
4280.000000 8.851051e-01
4290.000000 8.561967e-01
4300.000000 7.354155e-01
4310.000000 7.929279e-01
4320.000000 7.671755e-01
4330.000000 7.466758e-01
4340.000000 7.606487e-01
4350.000000 7.635361e-01
4360.000000 7.500161e-01
4370.000000 7.236337e-01
4380.000000 7.283772e-01
4390.000000 7.916527e-01
4400.000000 7.567268e-01
4410.000000 7.561921e-01
4420.000000 8.300619e-01
4430.000000 8.450092e-01
4440.000000 8.307130e-01
4450.000000 8.395780e-01
4460.000000 8.823150e-01
4470.000000 9.084411e-01
4480.000000 8.701428e-01
4490.000000 8.690514e-01
4500.000000 8.929190e-01
4510.000000 9.682811e-01
4520.000000 8.910898e-01
4530.000000 8.543758e-01
4540.000000 9.229084e-01
4550.000000 9.272152e-01
4560.000000 1.024153e+00
4570.000000 9.778773e-01
4580.000000 8.987819e-01
4590.000000 9.064601e-01
4600.000000 8.567286e-01
4610.000000 1.002903e+00
4620.000000 1.024366e+00
4630.000000 9.073190e-01
4640.000000 8.796177e-01
4650.000000 8.582202e-01
4660.000000 8.600515e-01
4670.000000 9.358783e-01
4680.000000 9.237900e-01
4690.000000 7.906188e-01
4700.000000 8.070329e-01
4710.000000 8.002401e-01
4720.000000 7.715699e-01
4730.000000 7.789486e-01
4740.000000 7.560851e-01
4750.000000 7.739213e-01
4760.000000 7.473097e-01
4770.000000 7.560222e-01
4780.000000 7.478110e-01
4790.000000 8.023360e-01
4800.000000 7.756406e-01
4810.000000 7.017792e-01
4820.000000 8.140809e-01
4830.000000 8.245929e-01
4840.000000 8.326715e-01
4850.000000 8.847196e-01
4860.000000 8.199527e-01
4870.000000 7.991995e-01
4880.000000 8.534840e-01
4890.000000 8.291925e-01
4900.000000 7.769663e-01
4910.000000 7.588706e-01
4920.000000 7.332114e-01
4930.000000 8.052604e-01
4940.000000 8.442092e-01
4950.000000 7.899477e-01
4960.000000 8.044581e-01
4970.000000 7.886798e-01
4980.000000 8.052276e-01
4990.000000 7.622228e-01
5000.000000 7.229134e-01
5010.000000 7.615409e-01
5020.000000 6.672226e-01
5030.000000 5.802238e-01
5040.000000 6.542997e-01
5050.000000 8.185068e-01
5060.000000 8.090033e-01
5070.000000 7.810414e-01
5080.000000 8.092989e-01
5090.000000 8.163405e-01
5100.000000 8.076419e-01
5110.000000 8.231149e-01
5120.000000 8.504394e-01
5130.000000 8.648709e-01
5140.000000 8.827320e-01
5150.000000 8.474019e-01
5160.000000 8.087487e-01
5170.000000 8.900918e-01
5180.000000 9.391324e-01
5190.000000 9.796802e-01
5200.000000 9.395536e-01
5210.000000 1.093765e+00
