# STATUS =
# OBJECT = 2007bi
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2007-04-16 00:00:00.00
# MJD = 54206.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 1.599344e+00
3010.000000 1.452199e+00
3020.000000 1.447667e+00
3030.000000 1.373724e+00
3040.000000 1.318918e+00
3050.000000 1.316923e+00
3060.000000 1.213315e+00
3070.000000 1.155662e+00
3080.000000 1.161016e+00
3090.000000 1.196674e+00
3100.000000 1.241475e+00
3110.000000 1.255973e+00
3120.000000 1.272505e+00
3130.000000 1.342860e+00
3140.000000 1.366900e+00
3150.000000 1.394295e+00
3160.000000 1.493414e+00
3170.000000 1.503552e+00
3180.000000 1.564689e+00
3190.000000 1.583572e+00
3200.000000 1.506997e+00
3210.000000 1.473010e+00
3220.000000 1.468036e+00
3230.000000 1.441686e+00
3240.000000 1.406339e+00
3250.000000 1.440123e+00
3260.000000 1.465930e+00
3270.000000 1.472102e+00
3280.000000 1.471834e+00
3290.000000 1.488016e+00
3300.000000 1.510811e+00
3310.000000 1.525925e+00
3320.000000 1.493402e+00
3330.000000 1.486518e+00
3340.000000 1.476679e+00
3350.000000 1.447378e+00
3360.000000 1.404153e+00
3370.000000 1.364084e+00
3380.000000 1.390012e+00
3390.000000 1.462175e+00
3400.000000 1.490312e+00
3410.000000 1.507845e+00
3420.000000 1.552069e+00
3430.000000 1.574400e+00
3440.000000 1.574047e+00
3450.000000 1.651766e+00
3460.000000 1.709183e+00
3470.000000 1.702260e+00
3480.000000 1.738954e+00
3490.000000 1.865772e+00
3500.000000 2.008613e+00
3510.000000 2.013504e+00
3520.000000 1.988443e+00
3530.000000 2.003151e+00
3540.000000 2.013768e+00
3550.000000 2.055094e+00
3560.000000 2.081206e+00
3570.000000 2.057735e+00
3580.000000 1.995437e+00
3590.000000 1.946572e+00
3600.000000 1.930070e+00
3610.000000 1.897252e+00
3620.000000 1.915204e+00
3630.000000 2.068287e+00
3640.000000 2.184774e+00
3650.000000 2.183838e+00
3660.000000 2.154766e+00
3670.000000 2.088482e+00
3680.000000 2.000619e+00
3690.000000 1.888729e+00
3700.000000 1.790312e+00
3710.000000 1.775025e+00
3720.000000 1.795893e+00
3730.000000 1.747170e+00
3740.000000 1.650778e+00
3750.000000 1.566439e+00
3760.000000 1.476524e+00
3770.000000 1.401069e+00
3780.000000 1.386397e+00
3790.000000 1.409552e+00
3800.000000 1.479146e+00
3810.000000 1.532795e+00
3820.000000 1.526122e+00
3830.000000 1.578227e+00
3840.000000 1.658142e+00
3850.000000 1.709145e+00
3860.000000 1.774640e+00
3870.000000 1.824206e+00
3880.000000 1.859146e+00
3890.000000 1.889340e+00
3900.000000 1.907897e+00
3910.000000 1.975292e+00
3920.000000 2.026477e+00
3930.000000 2.008255e+00
3940.000000 1.961254e+00
3950.000000 1.900631e+00
3960.000000 1.829670e+00
3970.000000 1.795888e+00
3980.000000 1.782989e+00
3990.000000 1.720936e+00
4000.000000 1.678957e+00
4010.000000 1.685550e+00
4020.000000 1.726986e+00
4030.000000 1.727963e+00
4040.000000 1.685818e+00
4050.000000 1.661623e+00
4060.000000 1.635515e+00
4070.000000 1.634551e+00
4080.000000 1.656657e+00
4090.000000 1.675367e+00
4100.000000 1.659835e+00
4110.000000 1.664122e+00
4120.000000 1.683340e+00
4130.000000 1.682311e+00
4140.000000 1.725294e+00
4150.000000 1.758207e+00
4160.000000 1.738068e+00
4170.000000 1.712760e+00
4180.000000 1.671661e+00
4190.000000 1.620458e+00
4200.000000 1.602467e+00
4210.000000 1.581471e+00
4220.000000 1.555326e+00
4230.000000 1.565275e+00
4240.000000 1.575595e+00
4250.000000 1.584155e+00
4260.000000 1.592415e+00
4270.000000 1.565588e+00
4280.000000 1.492059e+00
4290.000000 1.408437e+00
4300.000000 1.332284e+00
4310.000000 1.258612e+00
4320.000000 1.221836e+00
4330.000000 1.214900e+00
4340.000000 1.220623e+00
4350.000000 1.244353e+00
4360.000000 1.237777e+00
4370.000000 1.220731e+00
4380.000000 1.218499e+00
4390.000000 1.249355e+00
4400.000000 1.338762e+00
4410.000000 1.431302e+00
4420.000000 1.525909e+00
4430.000000 1.611030e+00
4440.000000 1.633090e+00
4450.000000 1.666520e+00
4460.000000 1.754019e+00
4470.000000 1.823512e+00
4480.000000 1.867695e+00
4490.000000 1.925099e+00
4500.000000 1.996515e+00
4510.000000 1.989547e+00
4520.000000 1.950780e+00
4530.000000 1.927231e+00
4540.000000 1.893562e+00
4550.000000 1.881641e+00
4560.000000 1.919420e+00
4570.000000 1.947256e+00
4580.000000 1.922461e+00
4590.000000 1.891349e+00
4600.000000 1.813473e+00
4610.000000 1.713850e+00
4620.000000 1.689950e+00
4630.000000 1.689480e+00
4640.000000 1.668649e+00
4650.000000 1.672690e+00
4660.000000 1.704517e+00
4670.000000 1.683503e+00
4680.000000 1.645090e+00
4690.000000 1.581928e+00
4700.000000 1.483936e+00
4710.000000 1.374959e+00
4720.000000 1.289976e+00
4730.000000 1.221596e+00
4740.000000 1.202285e+00
4750.000000 1.263822e+00
4760.000000 1.278167e+00
4770.000000 1.237829e+00
4780.000000 1.170777e+00
4790.000000 1.116371e+00
4800.000000 1.040100e+00
4810.000000 1.010420e+00
4820.000000 9.905427e-01
4830.000000 9.641485e-01
4840.000000 1.025374e+00
4850.000000 1.078855e+00
4860.000000 1.079741e+00
4870.000000 1.076687e+00
4880.000000 1.087054e+00
4890.000000 1.096890e+00
4900.000000 1.086830e+00
4910.000000 1.063816e+00
4920.000000 1.032603e+00
4930.000000 9.908433e-01
4940.000000 9.776838e-01
4950.000000 9.918426e-01
4960.000000 9.871811e-01
4970.000000 9.717660e-01
4980.000000 9.724807e-01
4990.000000 1.022664e+00
5000.000000 1.082612e+00
5010.000000 1.099611e+00
5020.000000 1.107693e+00
5030.000000 1.115990e+00
5040.000000 1.116783e+00
5050.000000 1.135167e+00
5060.000000 1.156162e+00
5070.000000 1.164657e+00
5080.000000 1.160915e+00
5090.000000 1.181505e+00
5100.000000 1.211747e+00
5110.000000 1.228214e+00
5120.000000 1.243597e+00
5130.000000 1.275707e+00
5140.000000 1.324038e+00
5150.000000 1.357915e+00
5160.000000 1.357953e+00
5170.000000 1.347931e+00
5180.000000 1.353616e+00
5190.000000 1.346370e+00
5200.000000 1.339190e+00
5210.000000 1.335130e+00
5220.000000 1.315943e+00
5230.000000 1.316612e+00
5240.000000 1.323570e+00
5250.000000 1.324127e+00
5260.000000 1.304425e+00
5270.000000 1.270554e+00
5280.000000 1.239600e+00
5290.000000 1.213732e+00
5300.000000 1.214776e+00
5310.000000 1.184671e+00
5320.000000 1.163517e+00
5330.000000 1.180866e+00
5340.000000 1.176251e+00
5350.000000 1.164422e+00
5360.000000 1.145964e+00
5370.000000 1.137219e+00
