 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -14.65976  0.01526  1.90485     14.17951  1.64141  0.54279  48.17958  0.03895     0.07975   4186.77003   3401.65911  2.18515         4371.23195     18.53114  0.00189  54995.97324   5.03789  0.73513    241959.25576   46.5406  19.13008  55072.95076    51.31567       44.32693   48.06491   74.10007   79.5      0.065  -21.62107  0.98492 
  -14.16889  0.02127  1.13322      13.9754  1.62119  0.92696  32.88361  0.18115     0.01152   7145.49878   3885.89669  3.51074         2628.84333     18.20045  0.00088  54996.46411  10.01548  0.69939    216510.92466  47.03457  19.61031  55086.46801    51.22976        44.2376   38.05138   86.11629   75.0    0.04503    -21.574  0.99484 
   -3.65117  0.01282  1.50548      14.6627  1.99046  0.35258  36.31488  0.07715     0.04872   5793.59397   8554.20671  3.92879         2755.70435      17.3801  0.00013  55006.98183   7.27123  0.46554     19802.78094  47.91572  19.58329  55081.06111    51.26531       44.31047   34.04598   80.10818   64.5    0.06851  -21.28836  0.99564 
   -7.07993  0.00536  1.48382     14.30561  1.77403  0.48625  33.86749  0.11553     0.16515   6407.10498   3733.69895  2.07685         3147.86328     17.53202  0.00019  55003.55307   8.29342  0.18169     88779.36932  47.22673  19.35247    55081.227    51.22502       44.28625   50.06761   66.08925   77.0    0.05691  -21.59045  0.99798 
   -13.8008  0.00207  3.18429     13.64258  1.75885  1.52766   7.39087   0.0602     0.02021   5342.46156   3978.49646  2.00151         3062.59527     17.56067   0.0002   54996.8322   1.25836  0.01527   8588207.12924  44.57414  19.22308  55062.13695    51.38618       44.46747   36.04868   68.09195   97.0    0.09964  -21.42026  0.99915 
   -4.94629  0.22491  3.11403     13.89753  2.13539    1.228   9.51669  0.06152       0.034   6781.26942   3228.70147  2.30215         2903.77556     20.69031   0.2723  55005.68671   2.61057  2.14044   3082311.51516   45.1228  19.14935    55072.574    51.34534       44.43385    44.0595   60.08113   88.0    0.13489  -21.87863  0.92395 
   -7.29687  0.00276  2.38829     14.61733   1.6184  0.20032  12.90143  0.11737      0.0312   5180.03393   4939.19455  3.17773         2842.30494     19.01373  0.00573  55003.33613   2.06505   0.0356     49936.10605  47.02334  19.49529   55064.8404    51.19081       44.30058   40.05409   56.07572   70.5    0.08569  -21.32114  0.99881 
   -9.23728  0.02584  2.76693     13.72128  1.69268  1.56226  12.65764   0.0957     0.01037   5494.88582    3839.7451  4.95404         2746.16569     19.20855  0.00898  55001.39572    2.2798  0.32709   4343457.52813  44.97559  19.19995  55070.24731    51.38847       44.51615   36.04868   56.07572   73.0    0.08633  -21.61131  0.98608 
  -14.16574  0.00611  1.29691     13.75449  1.41819  1.31556  27.82034  0.16402     0.01291   7032.97691    3688.7265  3.00761         2318.17783     16.48344    2e-05  54996.46726   8.20858  0.17007    686115.31543  46.35836   19.5526   55064.8404    51.20392       44.38106   28.03786   56.07572   71.5    0.05529  -21.64359  0.99797 
   -5.02265  0.03533  1.80097      13.9835  1.73624  0.92629  12.15437  0.13998     0.01161   4448.48987   3883.07146  3.44118          2859.8289     20.39351  0.13748  55005.61035   1.43478  0.42937    564211.15561    46.246  19.70866  55078.35766    51.20771       44.19347   64.08654   80.10818   76.5    0.06563  -21.58892   0.9927 
