       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 55251.355    99.0    99.0    99.0  3520.88     3631.0       U 
 55251.355    99.0    99.0    99.0  3608.04     3631.0       u 
 55251.355    99.0    99.0    99.0  4369.53     3631.0    B-AB 
 55251.355    99.0    99.0    99.0  4369.53    4323.91  B-Vega 
 55251.355    99.0    99.0    99.0  4671.78     3631.0       g 
 55251.355    99.0    99.0    99.0  4810.16     3631.0   g-PS1 
 55251.355    99.0    99.0    99.0  6141.12     3631.0       r 
 55251.355    99.0    99.0    99.0  6155.47     3631.0   r-PS1 
 55251.355    99.0    99.0    99.0  6695.83    2908.68       R 
 55251.355    99.0    99.0    99.0  7457.89     3631.0       i 
 55251.355    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
 55251.355    99.0    99.0    99.0  8922.78     3631.0       z 
 55253.721    99.0  24.932  23.085  3520.88     3631.0       U 
 55253.721    99.0  24.948  23.099  3608.04     3631.0       u 
 55253.721    99.0  24.997  23.126  4369.53     3631.0    B-AB 
 55253.721    99.0  25.018  23.138  4671.78     3631.0       g 
 55253.721    99.0  25.034  23.151  4810.16     3631.0   g-PS1 
 55253.721    99.0  25.102  23.231  4369.53    4323.91  B-Vega 
 55253.721    99.0   25.16  23.267  6695.83    2908.68       R 
 55253.721    99.0  25.297  23.406  6141.12     3631.0       r 
 55253.721    99.0  25.299  23.408  6155.47     3631.0   r-PS1 
 55253.721    99.0  25.611   23.71  7457.89     3631.0       i 
 55253.721    99.0  25.629  23.728  7503.03     3631.0   i-PS1 
 55253.721    99.0  25.938   24.03  8922.78     3631.0       z 
 55256.087   21.85  21.363  20.985  3520.88     3631.0       U 
 55256.087  21.867  21.376  21.004  3608.04     3631.0       u 
 55256.087  21.921  21.437  21.069  4369.53     3631.0    B-AB 
 55256.087  21.937  21.463  21.089  4671.78     3631.0       g 
 55256.087  21.949  21.481  21.101  4810.16     3631.0   g-PS1 
 55256.087  22.026  21.542  21.174  4369.53    4323.91  B-Vega 
 55256.087  22.047    21.6  21.214  6695.83    2908.68       R 
 55256.087  22.186  21.738  21.353  6141.12     3631.0       r 
 55256.087  22.189   21.74  21.357  6155.47     3631.0   r-PS1 
 55256.087  22.497  22.048  21.659  7457.89     3631.0       i 
 55256.087  22.515  22.065  21.677  7503.03     3631.0   i-PS1 
 55256.087  22.822  22.371   21.98  8922.78     3631.0       z 
 55258.452  20.427  20.215  20.028  3520.88     3631.0       U 
 55258.452  20.441  20.227  20.041  3608.04     3631.0       u 
 55258.452  20.455  20.275  20.095  4369.53     3631.0    B-AB 
 55258.452  20.483  20.297  20.107  4671.78     3631.0       g 
 55258.452  20.499  20.313  20.119  4810.16     3631.0   g-PS1 
 55258.452  20.561   20.38    20.2  4369.53    4323.91  B-Vega 
 55258.452   20.59  20.418  20.228  6695.83    2908.68       R 
 55258.452  20.729  20.557  20.367  6141.12     3631.0       r 
 55258.452  20.734  20.559  20.369  6155.47     3631.0   r-PS1 
 55258.452   21.04  20.863  20.673  7457.89     3631.0       i 
 55258.452  21.057  20.881   20.69  7503.03     3631.0   i-PS1 
 55258.452  21.363  21.182  20.995  8922.78     3631.0       z 
  55259.27  20.122  19.951  19.804  3520.88     3631.0       U 
