       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 55252.361     99.0     99.0     99.0   3608.04     3631.0       u 
 55253.612     99.0  -14.809  -17.155   3608.04     3631.0       u 
 55254.864  -16.947  -17.948  -18.701   3608.04     3631.0       u 
 55256.116  -18.716  -19.116  -19.508   3608.04     3631.0       u 
 55257.367  -19.549  -19.809  -20.063   3608.04     3631.0       u 
 55258.619  -20.107  -20.292   -20.46   3608.04     3631.0       u 
  55259.87  -20.523  -20.657  -20.773   3608.04     3631.0       u 
 55260.496  -20.689  -20.809  -20.905   3608.04     3631.0       u 
 55261.122  -20.836  -20.939  -21.024   3608.04     3631.0       u 
 55262.373  -21.083  -21.158  -21.222   3608.04     3631.0       u 
 55263.625  -21.278  -21.339   -21.39   3608.04     3631.0       u 
 55264.876  -21.437  -21.483  -21.524   3608.04     3631.0       u 
 55266.128  -21.561  -21.599  -21.631   3608.04     3631.0       u 
  55267.38  -21.662   -21.69  -21.718   3608.04     3631.0       u 
 55268.631  -21.739  -21.762  -21.788   3608.04     3631.0       u 
 55269.883  -21.793  -21.816  -21.839   3608.04     3631.0       u 
 55271.134  -21.832  -21.853  -21.876   3608.04     3631.0       u 
 55272.386  -21.856  -21.877  -21.899   3608.04     3631.0       u 
 55273.637  -21.868  -21.888  -21.908   3608.04     3631.0       u 
 55274.889  -21.866  -21.887  -21.906   3608.04     3631.0       u 
 55276.141  -21.853  -21.876  -21.895   3608.04     3631.0       u 
 55277.392  -21.831  -21.854  -21.872   3608.04     3631.0       u 
 55278.644  -21.799  -21.823  -21.841   3608.04     3631.0       u 
 55279.895  -21.761  -21.783  -21.802   3608.04     3631.0       u 
 55281.147  -21.713  -21.735  -21.756   3608.04     3631.0       u 
 55282.398   -21.66   -21.68  -21.703   3608.04     3631.0       u 
  55283.65    -21.6   -21.62  -21.642   3608.04     3631.0       u 
 55284.902  -21.533  -21.553  -21.576   3608.04     3631.0       u 
 55286.153  -21.461  -21.482  -21.506   3608.04     3631.0       u 
 55287.405  -21.386  -21.406   -21.43   3608.04     3631.0       u 
