# STATUS =
# OBJECT = 2010gx
# TELESCOPE = Gemini-S
# INSTRUMENT = GMOS-S
# DATE-OBS = 2010-06-05 00:00:00.00
# MJD = 55352.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 -6.810011e-01
3030.000000 9.245223e-01
3040.000000 -2.041888e-01
3050.000000 -3.517659e-02
3060.000000 1.039457e+00
3070.000000 6.126944e-01
3080.000000 6.619559e-01
3090.000000 3.164091e-01
3100.000000 6.193239e-01
3110.000000 2.680260e-01
3120.000000 4.038161e-01
3130.000000 6.601006e-01
3140.000000 2.374638e-01
3150.000000 8.894167e-02
3160.000000 5.653845e-01
3170.000000 5.235929e-01
3180.000000 6.416542e-01
3190.000000 9.610806e-01
3200.000000 3.193480e-01
3210.000000 3.824487e-01
3220.000000 4.790128e-01
3230.000000 3.510377e-01
3240.000000 4.406022e-01
3250.000000 5.807220e-01
3260.000000 7.118387e-01
3270.000000 4.059867e-01
3280.000000 2.844814e-01
3290.000000 6.184281e-01
3300.000000 6.139453e-01
3310.000000 3.050895e-01
3320.000000 3.344488e-01
3330.000000 4.957005e-01
3340.000000 4.439523e-01
3350.000000 4.916098e-01
3360.000000 7.301189e-01
3370.000000 5.940590e-01
3380.000000 7.071452e-01
3390.000000 5.309148e-01
3400.000000 4.856317e-01
3410.000000 6.829658e-01
3420.000000 4.236492e-01
3430.000000 6.775558e-01
3440.000000 6.016728e-01
3450.000000 4.847388e-01
3460.000000 5.615345e-01
3470.000000 6.207787e-01
3480.000000 6.564127e-01
3490.000000 5.384009e-01
3500.000000 6.774837e-01
3510.000000 5.392722e-01
3520.000000 5.540401e-01
3530.000000 6.123056e-01
3540.000000 5.949126e-01
3550.000000 5.723074e-01
3560.000000 5.803289e-01
3570.000000 5.662937e-01
3580.000000 4.964441e-01
3590.000000 6.381209e-01
3600.000000 5.458253e-01
3610.000000 5.595154e-01
3620.000000 3.991817e-01
3630.000000 6.259579e-01
3640.000000 6.635704e-01
3650.000000 4.894328e-01
3660.000000 5.019442e-01
3670.000000 5.751464e-01
3680.000000 3.522289e-01
3690.000000 5.312824e-01
3700.000000 4.963843e-01
3710.000000 5.735808e-01
3720.000000 4.843373e-01
3730.000000 5.632829e-01
3740.000000 5.058032e-01
3750.000000 5.358083e-01
3760.000000 5.078333e-01
3770.000000 5.361665e-01
3780.000000 5.756987e-01
3790.000000 5.082534e-01
3800.000000 6.844769e-01
3810.000000 6.154459e-01
3820.000000 6.319990e-01
3830.000000 7.129708e-01
3840.000000 7.161967e-01
3850.000000 7.594076e-01
3860.000000 8.320798e-01
3870.000000 9.277846e-01
3880.000000 9.195772e-01
3890.000000 8.760608e-01
3900.000000 8.821840e-01
3910.000000 9.427508e-01
3920.000000 1.007492e+00
3930.000000 1.007011e+00
3940.000000 1.005465e+00
3950.000000 1.033397e+00
3960.000000 1.024012e+00
3970.000000 1.108997e+00
3980.000000 1.016427e+00
3990.000000 1.107540e+00
4000.000000 1.105805e+00
4010.000000 1.025512e+00
4020.000000 1.005106e+00
4030.000000 1.137668e+00
4040.000000 9.789682e-01
4050.000000 1.000042e+00
4060.000000 8.416522e-01
4070.000000 8.900284e-01
4080.000000 8.560064e-01
4090.000000 8.634167e-01
4100.000000 8.673113e-01
4110.000000 9.169592e-01
4120.000000 7.874400e-01
4130.000000 8.870003e-01
4140.000000 8.290271e-01
4150.000000 8.084079e-01
4160.000000 9.001154e-01
4170.000000 7.548245e-01
4180.000000 7.985780e-01
4190.000000 8.273879e-01
4200.000000 7.008721e-01
4210.000000 9.384964e-01
4220.000000 8.593313e-01
4230.000000 9.322099e-01
4240.000000 9.006615e-01
4250.000000 9.114141e-01
4260.000000 1.041307e+00
4270.000000 9.496968e-01
4280.000000 8.819613e-01
4290.000000 8.812742e-01
4300.000000 9.950406e-01
4310.000000 9.209522e-01
4320.000000 1.018385e+00
4330.000000 9.017691e-01
4340.000000 1.073268e+00
4350.000000 1.027013e+00
4360.000000 9.938022e-01
4370.000000 9.802065e-01
4380.000000 9.648729e-01
4390.000000 1.008522e+00
4400.000000 1.095919e+00
4410.000000 1.052080e+00
