 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.79735  1.42854    2.9031        4.4037         4230.50021  0.33358  0.01422     0.02681  17.69949     20.65481   6507.30324     -2.5639  0.36534   2443.81053  0.25092   55397.8371  51.42657  25.00383  18.20697  55430.49383 
    13.80609  1.51891   3.78291       2.39335         2435.41714  0.02136  0.01378     0.06589  54.72429     19.52359    6588.2762   -25.69923  0.89953   8805.70186  0.01855  55374.70177  52.62554   1.95006   17.8917  55423.94947 
    14.91108  1.82141   6.15423       4.98178         4333.88088  0.17392  0.02767     0.16288  13.83319     19.40775   5988.29047    -11.9834  0.15202   4202.30107  0.01421   55388.4176  51.87626  12.41682  18.01303     55430.18 
    13.93016  2.08318   4.84755       3.59456         4037.73537  0.09569   0.1926     0.45947   3.78772     19.13736   5896.30338   -17.56919  1.19229   5804.14071  0.00762  55382.83181  52.02458    5.0392   18.0763     55431.29 
    14.63163  1.69081   3.63152       0.24242         5841.71303  0.08538  0.01343      0.1494   68.8269     16.51224   5381.67117   -17.66776  0.32335   9032.71762    2e-05  55382.73324  52.66314   8.07705  18.05933     55436.32 
    14.35127  1.56702   1.91983       3.00482         4946.84567  0.08515  0.01296     0.07989  34.89227     18.06635   8119.52559    -2.73403  1.06017   2099.36854  0.00065  55397.66697  51.34806   7.21819  18.18096  55437.03818 
    14.07092  1.65323  10.32134       3.72703         3662.19308  0.27981  0.03355     0.04578  33.92912     16.94276   8161.29725   -10.66927  1.20975  18397.53386    5e-05  55389.73173  53.23132  23.60743  17.84328     55434.29 
     14.6825  1.35935   4.77148       4.94936         2383.15966  0.26722  0.06496     0.41784  27.98154      19.9857   7262.35074   -10.78874  0.20035  21057.35639  0.05376  55389.61226  53.33402  21.79969  18.14095     55431.29 
     14.1642  1.64781   6.80052       2.88727          2694.3508  0.21786  0.04925       0.199  28.97455     16.21215   3213.09926    -10.2717  0.98633   19621.7037    1e-05   55390.1293  53.27537  17.88332   18.0298    55431.246 
    13.94013  1.44749   7.82936       2.21749         5039.17725  0.11036  0.01919     0.08094  80.82025     16.36426   6863.36948   -17.87588  1.49523  14942.89322    1e-05  55382.52512  53.11091  10.69603   18.0005    55430.242 
    14.00467  1.68488   4.89574        4.4239         4532.45441  0.36073  0.09562     0.26486   3.69249     20.33244   5829.55657   -17.42545  0.62946    5923.8014  0.11945  55382.97555  52.03926  18.86336  18.02573     55431.29 
    14.00135  1.53621   4.96258       4.04036         5065.83804  0.18597  0.01205     0.02534  30.12143     20.93558   6538.55245   -18.35474  1.13832   2705.91497  0.47897  55382.04626  51.55748  15.36998  18.21168     55431.29 
    13.88344  1.98565   5.23627       3.64524         4731.06114  0.04971  0.03937     0.07933  15.89978     18.66062   6585.56823   -14.42605  1.10586   9225.65619  0.00254  55385.97495  52.57136   3.64925   18.0337     55433.16 
    13.99457  1.42008   5.43055       0.84689         4058.50846   0.4713  0.12984     0.29513  19.99303     20.50566    6231.8789   -15.46785  0.63946  24255.27251  0.17799  55384.93315  53.43014  36.15793   18.0103    55427.261 
    14.50292  1.67763   5.16291       2.71013         2489.08581   0.3274  0.11577     0.46421  15.00346      18.6847   3792.41505   -18.49323  0.24162  18104.88767  0.00269  55381.90777  53.15196  23.75856  17.97791     55436.32 
    14.16105  1.81709   7.73182         2.879         3921.96041  0.33474  0.05697     0.29424  19.00285     17.01819   7096.57668    -9.62745  1.56717  14292.41543    6e-05  55390.77355  52.96656  25.43495   18.0749    55435.296 
    13.84517  1.23147   3.80685       4.67212         3520.47638  0.09207   0.0296     0.08156   29.3966     16.21382   4916.06876    -7.58689  0.83176  13717.25037    1e-05  55392.81411  52.96553   7.57646  18.08808     55433.16 
    13.84504  1.58183   3.69722        4.3929         2896.66142  0.03212  0.04207     0.29228  16.69391     17.15979   5909.03218   -16.25579  1.01727   9326.14023    8e-05  55384.14521  52.58491   2.38063  18.07414  55433.76601 
    14.25558  1.99452   5.82683        4.9423         5011.99286  0.01591   0.0161     0.06397  22.43285     18.99425    7938.3911   -17.18475  0.45147   4087.23596  0.00548  55383.21625  51.89272   1.24674  18.11219    55435.252 
    14.00174  1.36737   3.70391       3.31911          2646.9212   0.1087  0.04194     0.46248  28.24135     19.39523   3337.18064   -19.96515  0.63589  14927.42491   0.0138  55380.43585   53.0359   8.88243  18.15237    55430.242 
    14.05426   1.7593   5.61296       1.24793         2222.27742  0.37159  0.07686     0.29193  12.46736     17.90833   3994.69674    -6.87308  1.44829  18640.36188  0.00045  55393.52792  53.16095  25.97047  18.22392  55437.03818 
    14.28709  1.51325   5.85774       4.33146         3011.30701  0.22647   0.0376     0.30727  21.98908     18.27199    3201.7355   -10.54184  0.53074    17151.877  0.00104  55389.85916  53.13688  17.68619  18.01786  55437.03818 
    13.78402  1.62625   4.56848       4.78481         4256.13308  0.48239  0.26471     0.35645  12.36698      18.3424   4597.60028    -17.2745   0.9442  25991.35528  0.00122   55383.1265  53.44897  33.65719  18.01985    55430.242 
    13.98385  1.52826   4.79571       1.06308         3809.24851  0.08252  0.01718     0.10484  80.71494      16.2144   5436.49152    -9.17073  1.31651  17358.11051    1e-05  55391.23027  53.24096   7.99643  17.98606  55430.49383 
    14.71906  1.54984   5.18097       1.22154         2753.72795  0.16022  0.03506      0.0878  65.85499     16.75305   5686.20252    -6.52072  1.06321  22264.41089    3e-05  55393.88028  53.44379  15.05366  18.13742     55431.29 
    14.85279  1.98003    3.1762       0.75811          4728.5042  0.42929    0.094     0.40205   23.7153     18.36283   3733.33164    -7.51524  1.32692  21370.26383  0.00128  55392.88576  53.33391  33.99492  17.98576    55435.296 
    14.00148  1.60788   7.34115       4.67444         4911.21134  0.18407  0.01819     0.17206   23.9106     17.17466   8867.72482     -7.8384  1.46575   7554.56477    8e-05   55392.5626  52.43136  14.59785  18.12501  55443.58254 
    14.87669  2.01809   2.14746       2.16291         5646.76374  0.38622  0.06196     0.41687  13.27333     16.83205   6974.95835    -5.64448  0.42246   4855.51402    4e-05  55394.75652   51.9981  27.34224  18.00196     55434.29 
    14.50588  1.83756   4.37051       0.48895         3486.84878  0.06434  0.10393     0.16064   7.41887     18.77503   6653.23602   -15.38834  0.19768  13161.60596  0.00331  55385.01266  52.80931    4.0139  18.01837    55435.296 
    13.69318  1.32398   9.47382       4.73061          4179.5161  0.26163   0.0612     0.23703  44.99581     17.32235    3072.9508   -10.87766  0.55347  22025.56044  0.00012  55389.52334  53.40818   23.1416  18.03572     55434.29 
    14.51393  1.71582   4.87086       0.46091         4346.57197  0.30123  0.14974     0.40298  12.05475     17.89965   3898.99451   -13.24275  0.22689  22409.40708  0.00044  55387.15825  53.31786  20.90632    18.229  55437.03818 
    13.71214   1.4647   4.39088       2.51728         3590.32859  0.23562  0.10067     0.16601  25.73701     19.14358    4562.6179   -11.64581  1.29799  22428.19238  0.00773  55388.75519  53.38232  18.93717  18.09737    55431.246 
    14.34493  1.55809    2.6847       1.43175          4806.2603   0.0586  0.01098     0.19934   32.4103     20.16966   7625.96394   -17.72371  0.40586   2796.28118  0.08211  55382.67729  51.59154   4.90527  17.85454    55428.257 
