 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -22.74959  0.00101  2.91089      14.1325  1.55775  0.35189   2.89468  0.15007     0.04426  4495.85989   8742.00421  2.70796         3234.28549     17.38427  0.00013  55499.25041  0.34902  0.00292    665827.06131  45.70993  16.69326  55552.38621    51.28243       44.42857   39.23281  53.07969   81.0    0.12648  -21.49176  0.99984 
  -24.51796  0.00195  3.04767     13.60191  1.84519  1.26928   2.58633  0.10946     0.01221  3670.97003   8460.43764  2.69916         3396.24754     18.27985  0.00106  55497.48204  0.20791  0.00504   9953565.15396  44.56897  16.63987  55553.04841    51.29264       44.44422    39.3556  55.26471   82.0    0.10423  -21.50331  0.99976 
  -25.37478   0.0025   2.8922     13.65024  1.65178  1.52397   5.46417  0.07683     0.01208  4095.62275   9213.81279   2.4973         3307.13947     19.05517  0.00631  55496.62522  0.54675  0.01364   6423142.32052  44.75659  16.65615  55555.58932    51.29919       44.44001   41.54062   55.3875   76.5    0.10996   -21.5042  0.99932 
   -28.6827  0.35842  2.97602     13.74126  1.68853  0.92265   5.52761  0.08392      0.0115  4235.27261   9046.81523  2.07919         3462.67875     18.57793   0.0021   55493.3173  0.59146   1.9812   4571598.25861  44.88902  16.67599  55552.38621    51.33671       44.49221   39.23281  53.07969   77.0    0.09664  -21.52848  0.90788 
  -28.84936  0.00202  2.13762     13.70999  1.16844  0.62131   11.5132  0.06573     0.01002  4734.47881    8935.9293  2.45291         3116.32162     17.29856  0.00011  55493.15064  1.53946  0.02321   1884989.81222  45.40128  16.65955  55553.04841    51.29686       44.45089     36.925   55.3875   72.0    0.09741  -21.51479  0.99895 
  -26.56713  0.00321  2.92446     13.86508  1.73639  0.93118   9.15027  0.07427     0.01423  4534.67917   8380.82266  2.47425         3244.21096     18.71862  0.00291  55495.43287  1.12242   0.0294   2566866.03878    45.167  16.65609  55553.04841    51.29507        44.4445    39.3556  57.57252   76.0    0.10758  -21.51327  0.99864 
  -21.89503  0.00271  2.87292     13.56385  1.75744  1.36895   3.55136    0.069     0.01024  3912.01217   9329.74435  2.58448         3376.29153     20.12412  0.07393  55500.10497  0.32421  0.00963  10037960.01946  44.59543  16.63912  55553.04841    51.29656       44.44367   39.23281   55.3875   79.0    0.10575  -21.56971  0.99956 
  -24.31021  0.04704   3.1056     13.82647   1.8216  1.03238   7.50698  0.06011     0.01051  3888.98463   8137.35266  2.59724         3341.40678     19.64123  0.02432  55497.68979  0.67727  0.35314   3627634.59736  44.98538  16.67536  55555.81981    51.31127        44.4296   43.97123  59.88033   84.0    0.10728    -21.511  0.98299 
  -24.54899  0.00159  2.86793     13.71224  1.68403   1.5518   6.44424  0.08106     0.01402  4268.46996   8423.56513  2.37622         3320.38882     19.76817  0.03258  55497.45101   0.7004  0.01027   4839841.00364  44.89523  16.70866  55555.81981    51.31147       44.42513   43.97123  59.88033   78.5    0.11021  -21.52926  0.99952 
  -24.28648  0.01358  3.02208     13.78361  1.80762  1.13295   8.34156  0.06144     0.01214  4605.75829     8716.259  2.50387         3252.94524     19.90086  0.04422  55497.71352  1.05554  0.11325   4152651.47706  44.94701  16.63479  55553.04841    51.29234       44.44429    39.3556  55.26471   77.5    0.11336  -21.58702  0.99471 
