# STATUS =
# OBJECT = 2010kd
# TELESCOPE = HET
# INSTRUMENT = HET-LRS
# DATE-OBS = 2010-11-28 12:18:43.00
# MJD = 55528.51
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 nan
3700.000000 nan
3710.000000 nan
3720.000000 nan
3730.000000 nan
3740.000000 nan
3750.000000 nan
3760.000000 nan
3770.000000 nan
3780.000000 nan
3790.000000 nan
3800.000000 nan
3810.000000 nan
3820.000000 2.922302e+00
3830.000000 2.907751e+00
3840.000000 2.900366e+00
3850.000000 2.899360e+00
3860.000000 2.909865e+00
3870.000000 2.921124e+00
3880.000000 2.929328e+00
3890.000000 2.935872e+00
3900.000000 2.948653e+00
3910.000000 2.929631e+00
3920.000000 2.953963e+00
3930.000000 2.968201e+00
3940.000000 2.970792e+00
3950.000000 2.930054e+00
3960.000000 2.887031e+00
3970.000000 2.813929e+00
3980.000000 2.710518e+00
3990.000000 2.690055e+00
4000.000000 2.707404e+00
4010.000000 2.743467e+00
4020.000000 2.797690e+00
4030.000000 2.874159e+00
4040.000000 2.927538e+00
4050.000000 2.957462e+00
4060.000000 2.966236e+00
4070.000000 2.924926e+00
4080.000000 2.843871e+00
4090.000000 2.772624e+00
4100.000000 2.712086e+00
4110.000000 2.685875e+00
4120.000000 2.692882e+00
4130.000000 2.680609e+00
4140.000000 2.653153e+00
4150.000000 2.631289e+00
4160.000000 2.580310e+00
4170.000000 2.510032e+00
4180.000000 2.436599e+00
4190.000000 2.337832e+00
4200.000000 2.228376e+00
4210.000000 2.179780e+00
4220.000000 2.164904e+00
4230.000000 2.158975e+00
4240.000000 2.147254e+00
4250.000000 2.161884e+00
4260.000000 2.166386e+00
4270.000000 2.180771e+00
4280.000000 2.188098e+00
4290.000000 2.192074e+00
4300.000000 2.201272e+00
4310.000000 2.199187e+00
4320.000000 2.224322e+00
4330.000000 2.264903e+00
4340.000000 2.294042e+00
4350.000000 2.312063e+00
4360.000000 2.329941e+00
4370.000000 2.348503e+00
4380.000000 2.327647e+00
4390.000000 2.301146e+00
4400.000000 2.259086e+00
4410.000000 2.211561e+00
4420.000000 2.198231e+00
4430.000000 2.189486e+00
4440.000000 2.182629e+00
4450.000000 2.158220e+00
4460.000000 2.117747e+00
4470.000000 2.063345e+00
4480.000000 2.013127e+00
4490.000000 1.961473e+00
4500.000000 1.913247e+00
4510.000000 1.896363e+00
4520.000000 1.880468e+00
4530.000000 1.858066e+00
4540.000000 1.865819e+00
4550.000000 1.904284e+00
4560.000000 1.928657e+00
4570.000000 1.963100e+00
4580.000000 2.020435e+00
4590.000000 2.063769e+00
4600.000000 2.081740e+00
4610.000000 2.091203e+00
4620.000000 2.088034e+00
4630.000000 2.054582e+00
4640.000000 2.028478e+00
4650.000000 2.021451e+00
4660.000000 2.030328e+00
4670.000000 2.032640e+00
4680.000000 2.034058e+00
4690.000000 2.034757e+00
4700.000000 2.019799e+00
