# STATUS =
# OBJECT = 2010md
# TELESCOPE = VLT-UT1
# INSTRUMENT = FORS1
# DATE-OBS = 2010-09-11 00:00:00.00
# MJD = 55450.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 7.767738e-01
3200.000000 7.361489e-01
3210.000000 7.007627e-01
3220.000000 8.334321e-01
3230.000000 8.097101e-01
3240.000000 1.025772e+00
3250.000000 1.138028e+00
3260.000000 9.324256e-01
3270.000000 6.549160e-01
3280.000000 5.566775e-01
3290.000000 6.631447e-01
3300.000000 6.777424e-01
3310.000000 6.953115e-01
3320.000000 7.127458e-01
3330.000000 7.131814e-01
3340.000000 6.798671e-01
3350.000000 5.792100e-01
3360.000000 7.668300e-01
3370.000000 8.845418e-01
3380.000000 7.950451e-01
3390.000000 8.079279e-01
3400.000000 8.619721e-01
3410.000000 7.657271e-01
3420.000000 6.038835e-01
3430.000000 5.206869e-01
3440.000000 7.009671e-01
3450.000000 8.904508e-01
3460.000000 8.974840e-01
3470.000000 7.998555e-01
3480.000000 7.834555e-01
3490.000000 8.168369e-01
3500.000000 9.573567e-01
3510.000000 9.731569e-01
3520.000000 9.148809e-01
3530.000000 8.346819e-01
3540.000000 9.156179e-01
3550.000000 9.387330e-01
3560.000000 8.664291e-01
3570.000000 7.765645e-01
3580.000000 8.140999e-01
3590.000000 8.802596e-01
3600.000000 8.734826e-01
3610.000000 8.609145e-01
3620.000000 8.801352e-01
3630.000000 8.810696e-01
3640.000000 8.122768e-01
3650.000000 8.285715e-01
3660.000000 9.438561e-01
3670.000000 1.041334e+00
3680.000000 1.008111e+00
3690.000000 9.977487e-01
3700.000000 1.026599e+00
3710.000000 1.038116e+00
3720.000000 1.028974e+00
3730.000000 9.907635e-01
3740.000000 1.001462e+00
3750.000000 9.470191e-01
3760.000000 8.807467e-01
3770.000000 7.834420e-01
3780.000000 7.111307e-01
3790.000000 7.049685e-01
3800.000000 7.619264e-01
3810.000000 7.979496e-01
3820.000000 7.955222e-01
3830.000000 7.941071e-01
3840.000000 8.492788e-01
3850.000000 9.054623e-01
3860.000000 9.626011e-01
3870.000000 1.018887e+00
3880.000000 1.075172e+00
3890.000000 1.140025e+00
3900.000000 1.185548e+00
3910.000000 1.159732e+00
3920.000000 1.198994e+00
3930.000000 1.303759e+00
3940.000000 1.435162e+00
3950.000000 1.474158e+00
3960.000000 1.419497e+00
3970.000000 1.434251e+00
3980.000000 1.467483e+00
3990.000000 1.512688e+00
4000.000000 1.545645e+00
4010.000000 1.508760e+00
4020.000000 1.505162e+00
4030.000000 1.513962e+00
4040.000000 1.504810e+00
4050.000000 1.451952e+00
4060.000000 1.353771e+00
4070.000000 1.285986e+00
4080.000000 1.279631e+00
4090.000000 1.279933e+00
4100.000000 1.282018e+00
4110.000000 1.308081e+00
4120.000000 1.323456e+00
4130.000000 1.356788e+00
4140.000000 1.374586e+00
4150.000000 1.368205e+00
4160.000000 1.303195e+00
4170.000000 1.222174e+00
4180.000000 1.121469e+00
4190.000000 1.094650e+00
4200.000000 1.024601e+00
4210.000000 1.013084e+00
4220.000000 1.010833e+00
4230.000000 1.058278e+00
4240.000000 1.098805e+00
4250.000000 1.138489e+00
4260.000000 1.157519e+00
4270.000000 1.157665e+00
4280.000000 1.164863e+00
4290.000000 1.131429e+00
4300.000000 1.142893e+00
4310.000000 1.156225e+00
4320.000000 1.164174e+00
4330.000000 1.143983e+00
4340.000000 1.114929e+00
4350.000000 1.110553e+00
4360.000000 1.115996e+00
4370.000000 1.094535e+00
4380.000000 1.065649e+00
4390.000000 1.074747e+00
4400.000000 1.107962e+00
4410.000000 1.150941e+00
4420.000000 1.158237e+00
4430.000000 1.131762e+00
4440.000000 1.125005e+00
4450.000000 1.114434e+00
4460.000000 1.134775e+00
4470.000000 1.174875e+00
4480.000000 1.214085e+00
