# STATUS =
# OBJECT = 2011ke
# TELESCOPE = Mayall
# INSTRUMENT = RC-Spec
# DATE-OBS = 2011-05-13 00:00:00.00
# MJD = 55693.99
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 1.622013e+00
3040.000000 1.629959e+00
3050.000000 1.651917e+00
3060.000000 1.680128e+00
3070.000000 1.711645e+00
3080.000000 1.737666e+00
3090.000000 1.754944e+00
3100.000000 1.763593e+00
3110.000000 1.759412e+00
3120.000000 1.749193e+00
3130.000000 1.731527e+00
3140.000000 1.713186e+00
3150.000000 1.694743e+00
3160.000000 1.674230e+00
3170.000000 1.653015e+00
3180.000000 1.630564e+00
3190.000000 1.610359e+00
3200.000000 1.592832e+00
3210.000000 1.573344e+00
3220.000000 1.557948e+00
3230.000000 1.546552e+00
3240.000000 1.537602e+00
3250.000000 1.534670e+00
3260.000000 1.531441e+00
3270.000000 1.534151e+00
3280.000000 1.542527e+00
3290.000000 1.544402e+00
3300.000000 1.541104e+00
3310.000000 1.537386e+00
3320.000000 1.532257e+00
3330.000000 1.533280e+00
3340.000000 1.537231e+00
3350.000000 1.537592e+00
3360.000000 1.540168e+00
3370.000000 1.537146e+00
3380.000000 1.533546e+00
3390.000000 1.538193e+00
3400.000000 1.550617e+00
3410.000000 1.564661e+00
3420.000000 1.574618e+00
3430.000000 1.573581e+00
3440.000000 1.571478e+00
3450.000000 1.581322e+00
3460.000000 1.604765e+00
3470.000000 1.633492e+00
3480.000000 1.654389e+00
3490.000000 1.656135e+00
3500.000000 1.648321e+00
3510.000000 1.644277e+00
3520.000000 1.649556e+00
3530.000000 1.663242e+00
3540.000000 1.675652e+00
3550.000000 1.674390e+00
3560.000000 1.666865e+00
3570.000000 1.661556e+00
3580.000000 1.658263e+00
3590.000000 1.653033e+00
3600.000000 1.643246e+00
3610.000000 1.626302e+00
3620.000000 1.604410e+00
3630.000000 1.595639e+00
3640.000000 1.596004e+00
3650.000000 1.594974e+00
3660.000000 1.592821e+00
3670.000000 1.584615e+00
3680.000000 1.564296e+00
3690.000000 1.541505e+00
3700.000000 1.520824e+00
3710.000000 1.498598e+00
3720.000000 1.479983e+00
3730.000000 1.472117e+00
3740.000000 1.470854e+00
3750.000000 1.473648e+00
3760.000000 1.481714e+00
3770.000000 1.488711e+00
3780.000000 1.486359e+00
3790.000000 1.480405e+00
3800.000000 1.478347e+00
3810.000000 1.477628e+00
3820.000000 1.487487e+00
3830.000000 1.510635e+00
3840.000000 1.536241e+00
3850.000000 1.556095e+00
3860.000000 1.572371e+00
3870.000000 1.580617e+00
3880.000000 1.580384e+00
3890.000000 1.580357e+00
3900.000000 1.581734e+00
3910.000000 1.576514e+00
3920.000000 1.564358e+00
3930.000000 1.542963e+00
3940.000000 1.513480e+00
3950.000000 1.482847e+00
3960.000000 1.456491e+00
3970.000000 1.436174e+00
3980.000000 1.420168e+00
3990.000000 1.410776e+00
4000.000000 1.403602e+00
4010.000000 1.401456e+00
4020.000000 1.408209e+00
4030.000000 1.419885e+00
4040.000000 1.430337e+00
4050.000000 1.438895e+00
4060.000000 1.443741e+00
4070.000000 1.439201e+00
4080.000000 1.430822e+00
4090.000000 1.422184e+00
4100.000000 1.414953e+00
4110.000000 1.404435e+00
4120.000000 1.393559e+00
4130.000000 1.380983e+00
4140.000000 1.364108e+00
4150.000000 1.346770e+00
4160.000000 1.328060e+00
4170.000000 1.311997e+00
4180.000000 1.295401e+00
4190.000000 1.278022e+00
4200.000000 1.261242e+00
4210.000000 1.245773e+00
4220.000000 1.232992e+00
4230.000000 1.221751e+00
4240.000000 1.213800e+00
4250.000000 1.208922e+00
4260.000000 1.205885e+00
4270.000000 1.205217e+00
4280.000000 1.204743e+00
4290.000000 1.203288e+00
4300.000000 1.200084e+00
4310.000000 1.196221e+00
4320.000000 1.193119e+00
4330.000000 1.191844e+00
4340.000000 1.193318e+00
4350.000000 1.195687e+00
4360.000000 1.196885e+00
4370.000000 1.199291e+00
4380.000000 1.205633e+00
4390.000000 1.218525e+00
4400.000000 1.235852e+00
4410.000000 1.253348e+00
4420.000000 1.268429e+00
