 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -2.61202  0.28261   1.1659     14.70704  1.43025  0.52622  10.39869  0.01298     0.49762  6233.84584   5448.46043  3.74872         2361.84494     21.46729  1.62936  55911.45261  2.41056  2.93874     6957.65333  48.44847  22.84008  55930.39654    51.20292       44.82904    7.06528  17.34892   26.5    0.66383  -21.34019  0.98551 
   -1.79322  0.48836  1.06561      14.8875  2.00521  0.73854   8.67642  0.01068     0.45721  4362.27704   5352.21015  4.04669         2550.12873     21.46683  1.62763  55912.27141   0.9849   4.2372     3549.56962  48.96563  22.85636  55930.39654    51.11476       44.78945   10.85076  16.27614   18.0    0.84823  -22.25045  0.99575 
   -3.44438  0.00485  2.21018     14.79419  1.45997  0.30673   4.53595  0.02969     0.35477  7209.43208   8287.78282  4.21901         2211.06895     21.43697  1.51949  55910.62025  1.40636  0.02199    17086.19853  47.51169  22.78924  55930.39654    51.04808       44.73695    8.26821  16.14599   24.0    0.74462  -21.35767  0.99929 
   -6.05483  0.04981  2.57062     14.53025   1.8286  0.66234   6.47644  0.01553     0.09195  5521.52295   7626.83249  3.51347         2186.78865      21.4883  1.71012   55908.0098  1.17783   0.3226    97613.84656  46.72138  22.87341  55930.39654    50.97731       44.64559    9.43738  15.24225   33.5    0.64429  -21.18557  0.98988 
   -3.76622  0.36144  2.30325     14.70325  1.34136  0.29635   5.28383  0.01884     0.11362  7303.32848   5747.79534  4.95254         2085.22657     21.47248  1.64893  55910.29841  1.68119  1.90977    25915.08304  47.25816  22.72082  55930.39654    51.18797       44.88807    8.13807  16.27614   30.5    0.77335  -21.49872  0.92819 
   -3.67721   0.2922  3.82147     14.48654  1.90564  1.02938   3.16843   0.0228     0.35284  5645.66468   8309.58236  4.29646         2403.30142     21.43159  1.50078  55910.38742  0.60242  0.92582   274944.32756  45.94518  22.79383  55930.39654    51.12574       44.86972    7.06528  13.73304   23.5    0.82469  -21.32139  0.94208 
   -3.04454  0.02514  2.35056     14.47342   1.6919  0.74686   6.60423  0.01306     0.38233  5287.16821   9958.51608  4.27549         2351.03118     21.51152  1.80405  55911.02009  1.10127  0.16601    98106.81419  46.76318  22.80446  55928.12195    51.16834       44.90922    7.02608  14.41863   19.5    0.85631  -21.59936  0.99512 
   -4.15016  0.04347  1.45981     14.09575  1.11162  1.05882   8.44695  0.01233     0.06092  5119.38534   3272.23332  2.71026         2593.52251     21.47233  1.64839  55909.91447  1.32057  0.36717   141538.23111  46.83533  22.77331  55930.39654    51.11622       44.73729    8.26821  16.41141   23.5    0.71125  -21.42517  0.99237 
   -2.84533  0.10193  1.34997     14.39057  1.32744  0.94859   2.79582  0.04175     0.42633   6742.9241   5178.99999  2.54957         2350.31489     21.44278  1.53996   55911.2193  0.75829  0.28498    37181.74999  47.56088  22.75647  55930.39654       51.26       45.01203    6.78172  14.91979   21.0    0.80975  -21.25906  0.99692 
   -3.64212  0.06745  1.40533     14.37363  1.35925   0.8096   8.74581  0.01316     0.09976  5066.32622   7240.31487  3.17846          2488.9889     21.48169  1.68431   55910.4225   1.3391  0.58988    44607.67521  47.45718  22.81748  55930.39654    51.32351       45.05459    8.13807  14.41863   22.5    0.70417  -21.42018   0.9924 
    -2.8807  0.09907  1.26223     14.18528   1.1142  1.55983   6.83705  0.01595     0.40552  7018.19328   6693.31703   2.3015         2464.51643     21.43358  1.50769  55911.18393  2.00885  0.67736    70225.12581  47.26704  22.72988  55930.39654    51.29175       44.95393    9.62456  14.78964   21.5    0.88799    -21.285  0.99129 
   -1.57294  0.00216   0.7739     14.51565  1.58333  1.15752   8.39593  0.01989     0.29493  6117.71552   8088.13253  4.44464         2259.72602     21.48599  1.70107  55912.49169  1.87445  0.01816     8193.13432   48.7776  22.77044  55928.12195    51.28484       44.85776    10.9809  17.50233   21.5    0.62788   -21.3224  0.99998 
   -4.59974  0.00325  2.58599     14.50796  1.32976   0.5974   2.32803  0.04815     0.39556  8199.17228   9615.20047  3.19262         2245.92058     21.38424  1.34575  55909.46489  0.93359  0.00757    79601.48883  46.66644  22.74911  55930.39654    51.25919       44.88252    9.62456  16.14599   25.0    0.83409  -21.10884  0.99961 
   -6.17294  0.02362   3.5649      14.6174  1.98977  0.59568   4.95772  0.01138     0.07229  3824.13688   7442.23547  3.40387         2753.46991     21.46718  1.62896  55907.89169  0.43249   0.1171   136743.42059  46.32765   22.7892  55928.12195    51.37098       45.09096    7.06528  13.73304   23.0    0.76027  -21.31795  0.99368 
   -4.51901  0.02093  4.17954      14.4105   1.8914  1.19633   3.94671   0.0232     0.27772  7027.68599   7996.08087  3.13427         2502.53441     21.39893  1.39205  55909.54562  1.16275   0.0826   463302.13935  45.63751  22.72775  55930.39654    51.37779       45.11921    6.78172   14.0166   31.5    0.72831  -21.18445  0.99338 
    -3.2706  0.01049  1.72796     14.32617  1.50026  1.49886   6.49225  0.02681     0.04877  7310.93781   8064.68462  4.19605         2416.45417     21.48544   1.6989  55910.79403  2.06999  0.06808    92621.23039  47.00323  22.73138  55930.39654    51.07536        44.6119    12.2071  17.63248   23.0    0.71634  -21.56121  0.99881 
   -5.05533   0.0101  2.27956      14.4247  1.45342  0.67652   5.90101   0.0182     0.45433  5535.09671   7483.24635  3.85674         2320.99506     21.45705  1.59138   55909.0093  1.07846  0.05963    99199.92463  46.71902  22.81819  55932.09309    51.31624       45.07546    5.42538  14.91979   25.5    0.71463  -21.25175  0.99792 
   -3.35361  0.00146  2.06029      14.4231  1.40159  0.94919   4.44497  0.04793     0.18794  7794.37629   4109.68751   4.9254         2460.89079     21.44275  1.53984  55910.71102  1.61086  0.00649    78720.24366  46.89152  22.86196  55930.39654    51.10263       44.77215    8.13807  17.63248   24.0    0.67543  -21.34124  0.99982 
   -4.84497  0.04224  3.93326     14.61239  2.00084  0.78652   5.72566  0.02324     0.37356  7640.57584   7555.67149  4.30181         2438.75398     21.43855  1.52501  55909.21966  1.99391  0.24184   171296.41241   46.1468   22.7778  55930.39654    51.27925       45.01733    7.06528  14.63623   27.0    0.73535  -21.29368  0.98445 
   -3.15253  0.00301  3.29816      14.6343  1.81585   0.7057    3.7256  0.02158     0.42761  6261.71898   7341.46052  3.14531         2485.52582     21.39931  1.39329   55910.9121  0.87139  0.01121    98817.79599  46.49655  22.68186  55930.39654    51.22485       44.92784    9.62456   13.4333   21.0    0.92166  -21.20602  0.99941 
   -6.67465  0.02868  2.68745     14.43044  2.19532  1.03456   6.20341  0.01145     0.24605   6990.1826   6888.76243  1.27331         2542.26836     21.44363  1.54296  55907.38998  1.80815  0.17789   202824.30821  46.44454   22.7707  55928.12195    51.08021       44.69558   10.79372  15.24225   51.5    0.54098  -21.16877  0.99532 
   -3.79772  0.00102  2.02171     14.40817  2.12242  1.01469   5.94346  0.01198     0.11087  6954.97318   3476.13779  2.22028         2092.48651      21.5181  1.83157  55910.26691  1.71497  0.00609   122957.43691  46.89448  22.79152  55928.12195    51.25051       44.97584    8.26821  12.50411   30.5    0.81773  -21.62593  0.99991 
