       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 55914.419     99.0     99.0     99.0   3608.04     3631.0       u 
  55915.67     99.0     99.0     99.0   3608.04     3631.0       u 
 55916.922     99.0     99.0  -16.937   3608.04     3631.0       u 
 55918.173     99.0  -16.926  -18.714   3608.04     3631.0       u 
 55919.425  -16.462  -18.852  -19.544   3608.04     3631.0       u 
 55920.676  -18.613  -19.554  -20.023   3608.04     3631.0       u 
 55921.928  -19.472  -20.036  -20.342   3608.04     3631.0       u 
  55923.18  -20.026  -20.363  -20.593   3608.04     3631.0       u 
 55924.431  -20.387  -20.596  -20.785   3608.04     3631.0       u 
 55925.683  -20.638  -20.783  -20.937   3608.04     3631.0       u 
 55926.934  -20.812  -20.929   -21.05   3608.04     3631.0       u 
  55927.56  -20.878  -20.982  -21.097   3608.04     3631.0       u 
 55928.186  -20.944  -21.036  -21.147   3608.04     3631.0       u 
 55929.437   -21.04   -21.13  -21.236   3608.04     3631.0       u 
 55930.689  -21.113  -21.202  -21.301   3608.04     3631.0       u 
  55931.94  -21.165  -21.256  -21.351   3608.04     3631.0       u 
 55933.192  -21.201  -21.288  -21.382   3608.04     3631.0       u 
 55934.444  -21.217   -21.31  -21.403   3608.04     3631.0       u 
 55935.695  -21.222  -21.319  -21.412   3608.04     3631.0       u 
 55936.947  -21.221  -21.317  -21.414   3608.04     3631.0       u 
 55938.198  -21.205  -21.303  -21.407   3608.04     3631.0       u 
  55939.45  -21.186  -21.282  -21.382   3608.04     3631.0       u 
 55940.701  -21.157  -21.249  -21.347   3608.04     3631.0       u 
 55941.953  -21.123  -21.213  -21.303   3608.04     3631.0       u 
 55943.205  -21.082  -21.166  -21.253   3608.04     3631.0       u 
 55944.456  -21.031  -21.108  -21.198   3608.04     3631.0       u 
 55945.708  -20.974  -21.047  -21.143   3608.04     3631.0       u 
 55946.959  -20.912  -20.985  -21.073   3608.04     3631.0       u 
 55948.211  -20.848  -20.911  -21.001   3608.04     3631.0       u 
 55949.462   -20.78  -20.834  -20.927   3608.04     3631.0       u 
 55950.714  -20.705  -20.754  -20.846   3608.04     3631.0       u 
 55951.966  -20.621  -20.671  -20.762   3608.04     3631.0       u 
 55953.217  -20.532  -20.584  -20.673   3608.04     3631.0       u 
 55954.469  -20.445  -20.497   -20.58   3608.04     3631.0       u 
  55955.72  -20.358   -20.41  -20.486   3608.04     3631.0       u 
 55956.972   -20.27   -20.32  -20.394   3608.04     3631.0       u 
