 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.81787  2.02981  26.29176       2.71105         3264.42459  0.16829  0.01505     0.07567  12.89946     18.56996   6424.91477   -16.60437  1.01697  4475.47103  0.00206  56517.67563  51.92477  11.84482   22.4725  56560.38667 
    15.07909  1.62119   19.9401        3.0425         3186.83039  0.16661  0.01852     0.27994   14.4042     18.61817   6812.84069   -18.31408  1.51277  4412.99273  0.00231  56515.96592  51.92229  11.99206  22.51422     56563.21 
    15.15357  2.00451  10.17161       1.65745         3930.63465  0.11259   0.0134      0.4488  18.41435     17.59745   8282.30977   -14.21169  1.31124  3913.38448  0.00022  56520.06831  51.83885   8.50356  22.47969  56560.38667 
    15.10416  1.52745  19.67532       1.83423         3559.67534  0.18286  0.01451     0.08689  13.18747     18.15064   8608.08037   -15.57465   1.2697  4279.58673  0.00079  56518.70535  51.88786  12.92816  22.51405  56560.38667 
    15.06024   1.6401  26.60777       4.73397         3043.19454   0.4831  0.04918     0.05169    4.8086     19.13748   8150.03231   -16.05691  0.75406   4832.6618  0.00762  56518.22309  51.89305  27.10738   22.5417  56560.38667 
    14.75531  1.34577  17.41765        4.0387         3138.74858  0.15677  0.01726     0.02666  14.06105     19.54027   8798.40214   -18.09628  1.25318  4073.52235  0.01928  56516.18372  51.85066  11.22927  22.57653  56560.38667 
    15.12188  2.12854  29.98235       2.50196         3206.88875  0.17966  0.01349     0.45128  12.97636     20.10443   6273.38087   -16.86566  0.54605  4636.26808  0.07066  56517.41434  51.95596  12.65997  22.55856     56563.21 
     14.2107  1.41688   8.99753       0.70681         3776.78902  0.10014  0.02091     0.03166   10.0264     17.11063   7773.65129   -23.41357  0.63414  5144.38528    7e-05  56510.86643  52.02267   6.68343  22.58948     56563.21 
    15.08006  1.68841  14.30856       1.04894         3881.60111  0.14195  0.01201      0.0684  18.45882     20.15648   7182.64513   -16.99766    1.434  4627.01663  0.07965  56517.28234  51.98455  10.72653  22.48873  56560.38667 
      14.202  1.70731  11.75381       1.68899         3425.55627  0.15363  0.02307     0.15305   7.62144     19.48817   7630.62686   -22.76656  1.39782  4278.56093   0.0171  56511.51344  51.83599   9.64379  22.50386     56559.21 
     15.1586  1.65174  27.77884       2.10839         3344.20282  0.21021  0.02122     0.02039   11.0966     17.95623   8185.62373   -16.92855  0.63602  4935.18103   0.0005  56517.35145  51.99605  14.33709  22.51367     56563.21 
