# STATUS =
# OBJECT = 2015bn
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2015-02-26 07:17:16.00
# MJD = 57079.303657399956
# EXPTIME = 1800
# AIRMASS = 1.233
# SLIT = 1.0
# DISPERSER = OG530
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 5989.1796875
# MAX_WAVE = 10309.9453125
# COMMENT = --
    Wavelength          Flux 
 5993.39918518   4.92627e-16 
 5997.61868286   4.90796e-16 
 6001.83818054   4.85077e-16 
 6006.05767822    4.8986e-16 
  6010.2771759    4.7949e-16 
 6014.49667358   4.81189e-16 
 6018.71617126   4.83448e-16 
 6022.93566895   4.83638e-16 
 6027.15516663   4.75267e-16 
 6031.37466431   4.81152e-16 
 6035.59416199   4.77308e-16 
 6039.81365967   4.70643e-16 
 6044.03315735   4.72974e-16 
 6048.25265503   4.79056e-16 
 6052.47215271   4.82035e-16 
 6056.69165039   4.63152e-16 
 6060.91114807   4.66334e-16 
 6065.13064575   4.57712e-16 
 6069.35014343   4.58752e-16 
 6073.56964111   4.56377e-16 
 6077.78913879   4.52955e-16 
 6082.00863647   4.53985e-16 
 6086.22813416   4.43086e-16 
 6090.44763184   4.55376e-16 
 6094.66712952   4.48762e-16 
  6098.8866272   4.37527e-16 
 6103.10612488   4.30539e-16 
 6107.32562256   4.42444e-16 
 6111.54512024   4.24643e-16 
 6115.76461792   4.27199e-16 
  6119.9841156   4.25655e-16 
 6124.20361328   4.24242e-16 
 6128.42311096   4.24214e-16 
 6132.64260864   4.21437e-16 
 6136.86210632   4.22645e-16 
   6141.081604   4.23063e-16 
 6145.30110168   4.14017e-16 
 6149.52059937   4.14862e-16 
 6153.74009705   4.11241e-16 
 6157.95959473   4.10413e-16 
 6162.17909241   4.03802e-16 
 6166.39859009   4.06339e-16 
 6170.61808777   4.00781e-16 
 6174.83758545   3.99366e-16 
 6179.05708313   4.04492e-16 
 6183.27658081   3.90284e-16 
 6187.49607849   3.91938e-16 
 6191.71557617   3.93982e-16 
 6195.93507385   3.85169e-16 
 6200.15457153   3.93682e-16 
 6204.37406921   3.84419e-16 
 6208.59356689   3.84063e-16 
 6212.81306458   3.80023e-16 
 6217.03256226   3.87294e-16 
 6221.25205994   3.74507e-16 
 6225.47155762   3.80867e-16 
  6229.6910553   3.91424e-16 
 6233.91055298   3.92611e-16 
 6238.13005066   3.89388e-16 
 6242.34954834   3.90489e-16 
 6246.56904602   3.92042e-16 
  6250.7885437    3.9347e-16 
 6255.00804138   3.86407e-16 
 6259.22753906   3.92166e-16 
 6263.44703674   3.91248e-16 
 6267.66653442   4.00184e-16 
  6271.8860321   3.91121e-16 
 6276.10552979   3.77655e-16 
 6280.32502747   3.84213e-16 
 6284.54452515   3.85692e-16 
 6288.76402283   3.91248e-16 
 6292.98352051   3.93562e-16 
 6297.20301819   3.99955e-16 
 6301.42251587   3.82604e-16 
 6305.64201355   3.86961e-16 
 6309.86151123    3.8477e-16 
 6314.08100891    3.9588e-16 
 6318.30050659   4.00762e-16 
 6322.52000427   3.92315e-16 
 6326.73950195    3.9641e-16 
 6330.95899963   3.91944e-16 
 6335.17849731   3.98384e-16 
   6339.397995    3.9615e-16 
 6343.61749268   3.96494e-16 
 6347.83699036   3.98867e-16 
 6352.05648804   3.86802e-16 
 6356.27598572   3.93697e-16 
  6360.4954834   3.90936e-16 
 6364.71498108   3.93361e-16 
 6368.93447876   3.93014e-16 
 6373.15397644   3.97513e-16 
 6377.37347412   3.98389e-16 
  6381.5929718   3.98854e-16 
 6385.81246948   3.85898e-16 
