# STATUS =
# OBJECT = 2015bn
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2015-03-19 06:08:42.00
# MJD = 57100.25604170002
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3340.3716
# MAX_WAVE = 7462.281
# COMMENT = Released as part of DR3
 Wavelength           Flux           Error 
  3340.3716  1.4421599e-15    5.778432e-17 
  3344.4526  1.5232507e-15   5.7130466e-17 
   3348.534  1.4453226e-15    5.505015e-17 
   3352.615  1.4202303e-15   5.4096725e-17 
   3356.696   1.530673e-15   5.2727877e-17 
   3360.777  1.5755276e-15   5.2021498e-17 
  3364.8582  1.5518373e-15   5.0571646e-17 
  3368.9392  1.5936812e-15   4.9493124e-17 
  3373.0205  1.6289236e-15   4.9010435e-17 
  3377.1016  1.5878456e-15    4.779039e-17 
  3381.1826   1.795321e-15   4.8649155e-17 
  3385.2637  1.6145842e-15   4.6504316e-17 
  3389.3447  1.6212528e-15   4.5483926e-17 
   3393.426  1.5976123e-15   4.3984988e-17 
   3397.507  1.6339198e-15   4.4112004e-17 
  3401.5881   1.622315e-15   4.3342563e-17 
  3405.6692  1.5788478e-15   4.2344233e-17 
  3409.7502  1.6082409e-15   4.1690356e-17 
  3413.8313  1.6698405e-15   4.1540183e-17 
  3417.9126  1.5601188e-15   4.0003682e-17 
  3421.9937  1.5353831e-15   3.9666798e-17 
  3426.0747  1.6211889e-15     3.93364e-17 
  3430.1558  1.5208339e-15    3.821071e-17 
  3434.2368  1.5899546e-15   3.8496317e-17 
  3438.3179  1.6637519e-15   3.8091654e-17 
  3442.3992  1.5318666e-15   3.6679468e-17 
  3446.4802  1.5368483e-15   3.6144166e-17 
  3450.5613  1.5481506e-15   3.5628006e-17 
  3454.6423  1.4747392e-15    3.464272e-17 
  3458.7234  1.5103588e-15   3.4346875e-17 
  3462.8047  1.5800391e-15   3.4780116e-17 
  3466.8857   1.582876e-15   3.4607142e-17 
  3470.9668  1.5584018e-15   3.4164296e-17 
  3475.0479  1.5752713e-15   3.3729884e-17 
   3479.129  1.5648801e-15   3.3014502e-17 
    3483.21   1.598238e-15   3.2634016e-17 
  3487.2913  1.5477672e-15    3.198255e-17 
  3491.3723  1.5071416e-15   3.1134516e-17 
  3495.4534  1.5647457e-15   3.1263917e-17 
  3499.5344  1.5499172e-15   3.0853076e-17 
  3503.6155   1.550527e-15   3.0494394e-17 
  3507.6968  1.5436533e-15   2.9901272e-17 
  3511.7778  1.4412294e-15   2.8896473e-17 
   3515.859  1.4730492e-15   2.8978102e-17 
    3519.94   1.449375e-15    2.851634e-17 
   3524.021  1.4909225e-15   2.8633942e-17 
   3528.102  1.4474015e-15   2.8304426e-17 
  3532.1833  1.4986102e-15   2.8493947e-17 
  3536.2644  1.4907548e-15   2.8425066e-17 
  3540.3455  1.4356451e-15     2.77581e-17 
  3544.4265  1.4930475e-15   2.7826756e-17 
  3548.5076  1.4343873e-15   2.7087156e-17 
  3552.5886  1.4361961e-15   2.6651066e-17 
    3556.67  1.4072072e-15     2.61662e-17 
   3560.751    1.41795e-15   2.5920315e-17 
   3564.832  1.4005778e-15    2.540795e-17 
   3568.913  1.4050085e-15   2.5317345e-17 
  3572.9941  1.4393381e-15   2.5200054e-17 
  3577.0754  1.4578865e-15   2.5120049e-17 
  3581.1565  1.4318438e-15   2.5755675e-17 
  3585.2375  1.3677512e-15   2.6962544e-17 
  3589.3186  1.4366697e-15   2.4483453e-17 
  3593.3997    1.46479e-15    2.437949e-17 
  3597.4807  1.3674829e-15   2.3675163e-17 
   3601.562  1.4501553e-15    2.399194e-17 
   3605.643  1.4289525e-15   2.3811238e-17 
   3609.724  1.4274426e-15   2.3599999e-17 
  3613.8052  1.4430793e-15   2.3559508e-17 
  3617.8862  1.4418624e-15   2.3543754e-17 
  3621.9675  1.4494004e-15   2.3283142e-17 
  3626.0486  1.4363864e-15   2.3178861e-17 
  3630.1296  1.4387261e-15   2.2962135e-17 
  3634.2107  1.4327479e-15   2.2756404e-17 
  3638.2917  1.4428768e-15    2.254313e-17 
  3642.3728  1.4369831e-15   2.2286329e-17 
   3646.454  1.4039911e-15   2.1902192e-17 
  3650.5352   1.458987e-15   2.2117147e-17 
  3654.6162  1.4415056e-15   2.1825513e-17 
  3658.6973  1.4343673e-15   2.1675835e-17 
  3662.7783  1.4204165e-15   2.1411183e-17 
  3666.8594  1.4395842e-15    2.131321e-17 
  3670.9407  1.4071258e-15   2.0826818e-17 
  3675.0217  1.4742556e-15    2.101885e-17 
  3679.1028  1.4301997e-15   2.0649029e-17 
  3683.1838  1.4162556e-15   2.0472973e-17 
   3687.265  1.4441856e-15   2.0453991e-17 
  3691.3462   1.452636e-15   2.0511227e-17 
  3695.4272  1.4545098e-15   2.0483743e-17 
  3699.5083  1.4723092e-15   2.0432125e-17 
  3703.5894  1.4908063e-15   2.0343149e-17 
  3707.6704   1.460938e-15   2.0088586e-17 
  3711.7515  1.4661184e-15   1.9919373e-17 
  3715.8328   1.455494e-15   1.9627165e-17 
  3719.9138   1.493627e-15    1.967759e-17 
  3723.9949  1.5000562e-15   1.9711658e-17 
   3728.076  1.5091828e-15    1.969251e-17 
   3732.157  1.4866306e-15   1.9595613e-17 
  3736.2383   1.491021e-15   1.9424255e-17 
  3740.3193  1.4972568e-15   1.9306037e-17 
  3744.4004  1.4713677e-15   1.8991235e-17 
  3748.4814   1.456545e-15   1.8800517e-17 
  3752.5625  1.4846324e-15    1.876905e-17 
  3756.6436  1.4191506e-15   1.8265862e-17 
  3760.7249  1.4472624e-15   1.8273449e-17 
   3764.806  1.4282514e-15   1.8043865e-17 
   3768.887  1.4295105e-15   1.8016095e-17 
   3772.968  1.4259071e-15    1.792746e-17 
   3777.049  1.4297663e-15   1.7861534e-17 
  3781.1301  1.4012874e-15   1.7499016e-17 
  3785.2114  1.4273421e-15   1.7465623e-17 
  3789.2925    1.41509e-15   1.7339497e-17 
  3793.3735  1.3680444e-15    1.703096e-17 
  3797.4546  1.3301928e-15    1.675157e-17 
  3801.5356  1.3189469e-15   1.6599803e-17 
   3805.617  1.3160354e-15   1.6639387e-17 
   3809.698  1.3344764e-15   1.6607297e-17 
   3813.779  1.2403462e-15   1.6244411e-17 
    3817.86  1.2759554e-15   1.6224886e-17 
  3821.9412  1.3065507e-15   1.6227083e-17 
  3826.0222  1.3456121e-15   1.6368619e-17 
  3830.1035  1.3240228e-15   1.6262121e-17 
  3834.1846  1.3259676e-15   1.6229517e-17 
  3838.2656   1.322652e-15    1.607377e-17 
  3842.3467  1.3641641e-15   1.6086383e-17 
  3846.4277  1.3908134e-15   1.6193612e-17 
   3850.509  1.3996528e-15   1.6077511e-17 
    3854.59    1.41531e-15   1.6081397e-17 
  3858.6711  1.4245224e-15   1.6017128e-17 
  3862.7522  1.3891935e-15   1.5863986e-17 
  3866.8333  1.4425736e-15   1.5919185e-17 
  3870.9143   1.424429e-15    1.576129e-17 
  3874.9956  1.4162213e-15   1.5695785e-17 
  3879.0767  1.4329017e-15   1.5674841e-17 
  3883.1577  1.3949657e-15   1.5418056e-17 
  3887.2388  1.3668157e-15   1.5199464e-17 
  3891.3198  1.3599836e-15   1.5133418e-17 
   3895.401  1.3256947e-15   1.5007576e-17 
  3899.4822  1.3387333e-15   1.5054929e-17 
  3903.5632   1.330697e-15   1.4988336e-17 
  3907.6443  1.3377165e-15   1.5001483e-17 
  3911.7253   1.318816e-15   1.4938144e-17 
  3915.8064  1.3045437e-15   1.4773593e-17 
  3919.8877  1.2930132e-15     1.46633e-17 
  3923.9688  1.3035253e-15   1.4571011e-17 
  3928.0498  1.3389173e-15   1.4636645e-17 
  3932.1309  1.3199575e-15    1.449914e-17 
   3936.212   1.305164e-15   1.4428004e-17 
   3940.293  1.3447826e-15   1.4630234e-17 
  3944.3743  1.3604746e-15   1.4681515e-17 
  3948.4553  1.4120543e-15   1.4923501e-17 
  3952.5364  1.4439703e-15   1.4959613e-17 
  3956.6174  1.4355834e-15    1.485898e-17 
  3960.6985  1.4341874e-15   1.4789237e-17 
  3964.7798  1.5017902e-15   1.5000937e-17 
  3968.8608   1.463013e-15   1.4790408e-17 
   3972.942   1.489855e-15   1.4909019e-17 
   3977.023  1.4936321e-15   1.4908845e-17 
   3981.104  1.5042661e-15   1.4960882e-17 
   3985.185  1.5175439e-15   1.4990978e-17 
  3989.2664  1.5568871e-15   1.5079256e-17 
  3993.3474  1.4918377e-15   1.4846775e-17 
  3997.4285  1.5032144e-15   1.4842707e-17 
  4001.5095   1.486815e-15   1.4750046e-17 
  4005.5906  1.4816763e-15   1.4687558e-17 
  4009.6719  1.5120132e-15   1.4844228e-17 
   4013.753  1.5042307e-15     1.47951e-17 
   4017.834  1.4902969e-15   1.4693679e-17 
   4021.915  1.4808775e-15   1.4608264e-17 
   4025.996  1.5052451e-15   1.4629655e-17 
  4030.0771  1.4567802e-15    1.444437e-17 
  4034.1584  1.4639474e-15   1.4444299e-17 
  4038.2395  1.3990718e-15    1.413806e-17 
  4042.3206  1.4144995e-15   1.4205317e-17 
  4046.4016  1.3701776e-15   1.4028153e-17 
  4050.4827  1.3534804e-15   1.3919711e-17 
  4054.5637  1.3615676e-15   1.3922214e-17 
   4058.645  1.3510848e-15   1.3836794e-17 
   4062.726  1.3571036e-15   1.3865988e-17 
  4066.8071  1.3425408e-15   1.3776169e-17 
  4070.8882  1.3357626e-15   1.3736813e-17 
  4074.9692  1.3413382e-15   1.3744199e-17 
  4079.0505  1.3296631e-15   1.3670074e-17 
  4083.1316  1.2960791e-15  1.34983625e-17 
  4087.2126  1.3238819e-15   1.3550437e-17 
  4091.2937  1.3048514e-15   1.3477021e-17 
  4095.3748  1.3122701e-15   1.3498654e-17 
   4099.456   1.338469e-15   1.3554277e-17 
   4103.537  1.3675369e-15  1.36300216e-17 
   4107.618  1.3592999e-15    1.359238e-17 
   4111.699  1.3719861e-15  1.36215595e-17 
  4115.7803  1.3734574e-15   1.3615763e-17 
  4119.8613  1.3796346e-15  1.36417245e-17 
  4123.9424  1.3821397e-15   1.3568694e-17 
  4128.0234  1.4000802e-15   1.3667837e-17 
  4132.1045  1.4125504e-15  1.37094615e-17 
   4136.186  1.4101836e-15   1.3704783e-17 
   4140.267  1.4215084e-15   1.3691598e-17 
   4144.348  1.4219432e-15   1.3659257e-17 
   4148.429  1.4306276e-15   1.3676964e-17 
  4152.5103  1.4387324e-15  1.37093995e-17 
  4156.5913  1.4345358e-15   1.3727631e-17 
  4160.6724  1.4363933e-15   1.3728173e-17 
  4164.7534  1.4440727e-15   1.3780802e-17 
  4168.8345  1.4304804e-15   1.3714212e-17 
  4172.9155  1.4258073e-15  1.36187454e-17 
  4176.9966  1.4139347e-15   1.3541627e-17 
   4181.078  1.4009135e-15  1.34598325e-17 
   4185.159  1.3942764e-15   1.3437329e-17 
    4189.24  1.3864266e-15   1.3352603e-17 
  4193.3213  1.3755536e-15   1.3292158e-17 
  4197.4023  1.3972502e-15   1.3348656e-17 
  4201.4834  1.3089424e-15   1.2981556e-17 
  4205.5645  1.3383881e-15   1.3079738e-17 
  4209.6455  1.3424792e-15   1.3055461e-17 
  4213.7266  1.3278297e-15    1.297314e-17 
  4217.8076  1.3390074e-15   1.3014152e-17 
  4221.8887  1.3399497e-15  1.30356385e-17 
  4225.9697  1.3302827e-15   1.2963273e-17 
  4230.0513    1.31379e-15   1.2875347e-17 
  4234.1323  1.2967296e-15   1.2764262e-17 
  4238.2134   1.301961e-15   1.2774668e-17 
  4242.2944  1.2784321e-15   1.2647894e-17 
  4246.3755  1.2885293e-15   1.2716231e-17 
  4250.4565  1.2492666e-15  1.25411185e-17 
  4254.5376  1.2497585e-15   1.2533834e-17 
  4258.6187  1.2529253e-15   1.2593911e-17 
  4262.6997  1.2635322e-15   1.2595533e-17 
   4266.781  1.2554728e-15   1.2548022e-17 
   4270.862  1.2336842e-15   1.2437916e-17 
  4274.9434  1.2012732e-15   1.2321003e-17 
  4279.0244  1.1901517e-15  1.22323725e-17 
  4283.1055  1.1862916e-15   1.2176924e-17 
  4287.1865  1.1810812e-15   1.2197366e-17 
  4291.2676  1.2130935e-15   1.2298467e-17 
  4295.3486  1.2102231e-15   1.2269627e-17 
  4299.4297  1.2054372e-15  1.22218334e-17 
  4303.5107  1.1927195e-15   1.2165454e-17 
   4307.592  1.1958894e-15   1.2131532e-17 
   4311.673  1.1722647e-15   1.2040803e-17 
   4315.754  1.1670493e-15    1.205081e-17 
  4319.8354  1.1708848e-15   1.2061487e-17 
  4323.9165  1.1561536e-15   1.2023555e-17 
  4327.9976  1.1718213e-15   1.2023257e-17 
  4332.0786  1.1900696e-15   1.2089205e-17 
  4336.1597  1.1726244e-15   1.2030078e-17 
  4340.2407  1.1811114e-15   1.2015327e-17 
   4344.322  1.2126264e-15  1.21518465e-17 
   4348.403  1.2148671e-15   1.2144498e-17 
   4352.484  1.2195333e-15    1.218688e-17 
   4356.565  1.2427747e-15   1.2276956e-17 
   4360.646  1.2445628e-15  1.22770295e-17 
  4364.7275   1.270742e-15   1.2377538e-17 
  4368.8086  1.3061351e-15   1.2499872e-17 
  4372.8896  1.2922128e-15   1.2441002e-17 
  4376.9707   1.304022e-15   1.2505182e-17 
   4381.052  1.3197049e-15   1.2558942e-17 
   4385.133  1.3001107e-15   1.2474011e-17 
   4389.214  1.3387556e-15   1.2591898e-17 
   4393.295  1.3227541e-15   1.2538079e-17 
   4397.376  1.3436486e-15   1.2615452e-17 
   4401.457   1.337968e-15   1.2605434e-17 
   4405.538  1.3433812e-15   1.2665069e-17 
  4409.6196  1.3473466e-15   1.2667721e-17 
  4413.7007  1.3256672e-15   1.2569615e-17 
  4417.7817  1.3211485e-15     1.25286e-17 
   4421.863  1.2981643e-15   1.2462812e-17 
   4425.944  1.2900856e-15   1.2384499e-17 
   4430.025  1.2670132e-15  1.22837405e-17 
   4434.106  1.2415664e-15   1.2170787e-17 
   4438.187  1.2260547e-15   1.2080421e-17 
   4442.268  1.2210851e-15  1.20951466e-17 
   4446.349  1.1793273e-15   1.1863068e-17 
    4450.43  1.1582972e-15  1.17981424e-17 
   4454.511   1.164797e-15  1.17810694e-17 
   4458.593  1.1793297e-15   1.1811905e-17 
   4462.674  1.1565993e-15   1.1697069e-17 
   4466.755   1.153568e-15   1.1711489e-17 
   4470.836  1.1585387e-15   1.1742398e-17 
   4474.917  1.1501942e-15   1.1690931e-17 
   4478.998  1.1328952e-15   1.1615318e-17 
   4483.079  1.1044899e-15   1.1466579e-17 
    4487.16  1.1447713e-15   1.1631184e-17 
   4491.241  1.1421083e-15   1.1633974e-17 
  4495.3223  1.1242432e-15     1.15899e-17 
  4499.4033  1.1337456e-15   1.1598273e-17 
   4503.485  1.1282536e-15   1.1533646e-17 
   4507.566  1.1380944e-15  1.15949794e-17 
   4511.647  1.1558248e-15   1.1684913e-17 
   4515.728  1.1786965e-15   1.1773676e-17 
   4519.809   1.177676e-15   1.1786134e-17 
    4523.89  1.1507668e-15  1.16657414e-17 
   4527.971  1.1715953e-15   1.1748912e-17 
  4532.0522  1.1766197e-15   1.1771189e-17 
  4536.1333   1.182468e-15   1.1757683e-17 
  4540.2144  1.1761859e-15   1.1733309e-17 
  4544.2954  1.1953064e-15   1.1780166e-17 
   4548.377  1.2012061e-15   1.1808675e-17 
   4552.458  1.1895308e-15   1.1751721e-17 
   4556.539  1.1725046e-15   1.1666244e-17 
    4560.62  1.1812835e-15   1.1686728e-17 
   4564.701  1.2183631e-15   1.1853245e-17 
   4568.782  1.1692614e-15   1.1659501e-17 
  4572.8633   1.212349e-15   1.1815967e-17 
  4576.9443  1.1873873e-15   1.1717257e-17 
  4581.0254  1.1995135e-15   1.1740431e-17 
  4585.1064   1.180345e-15  1.16885335e-17 
  4589.1875   1.202197e-15  1.17958015e-17 
   4593.269  1.1864212e-15  1.16998204e-17 
    4597.35  1.1906148e-15   1.1677046e-17 
   4601.431  1.1980689e-15   1.1723655e-17 
   4605.512  1.1688802e-15   1.1586115e-17 
  4609.5933  1.1830071e-15   1.1640085e-17 
  4613.6743  1.1772517e-15   1.1621223e-17 
  4617.7554  1.1752713e-15   1.1621932e-17 
  4621.8364  1.1781681e-15   1.1622684e-17 
  4625.9175  1.1776377e-15  1.16127125e-17 
  4629.9985  1.1344921e-15   1.1406985e-17 
  4634.0796  1.1195708e-15   1.1346075e-17 
   4638.161  1.1209816e-15  1.13643855e-17 
