# STATUS =
# OBJECT = 2015bn
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2015-03-28 06:35:56.00
# MJD = 57109.27495370014
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 5992.2925
# MAX_WAVE = 9989.67
# COMMENT = Released as part of DR3
 Wavelength            Flux           Error 
  5992.2925   4.0293508e-16    6.593643e-18 
   5996.505   4.1356638e-16    6.615183e-18 
   6000.717   4.1786134e-16   6.6049036e-18 
   6004.929   4.0443904e-16    6.523345e-18 
  6009.1416   4.0810013e-16    6.531968e-18 
  6013.3535   3.9452322e-16    6.457999e-18 
   6017.566   4.0186327e-16   6.5005407e-18 
   6021.778   4.0123133e-16   6.4668666e-18 
    6025.99   4.0192444e-16   6.4584244e-18 
  6030.2026   4.0212577e-16     6.46963e-18 
  6034.4146   3.9675195e-16    6.420882e-18 
   6038.627   3.9657267e-16    6.411624e-18 
   6042.839   4.0190175e-16    6.422808e-18 
  6047.0513   3.9436086e-16   6.3082043e-18 
   6051.263   3.8382988e-16   6.2921495e-18 
  6055.4756    3.946386e-16   6.3027275e-18 
   6059.688    3.919044e-16   6.2920887e-18 
     6063.9   3.9177042e-16    6.332492e-18 
  6068.1123   3.7691082e-16   6.1862985e-18 
   6072.324   3.8714906e-16   6.2397265e-18 
  6076.5366    3.800896e-16    6.182343e-18 
   6080.749   3.8283475e-16    6.208579e-18 
   6084.961   3.6831497e-16    6.123325e-18 
  6089.1733   3.7167443e-16   6.1294224e-18 
  6093.3853   3.7228797e-16   6.1147718e-18 
  6097.5977    3.579737e-16   6.0674538e-18 
  6101.8096   3.5771872e-16    6.059317e-18 
   6106.022    3.584359e-16    6.049831e-18 
  6110.2344   3.5378414e-16     5.97891e-18 
  6114.4463   3.4949916e-16     5.98922e-18 
  6118.6587   3.4841882e-16   5.9267354e-18 
  6122.8706   3.6076777e-16   6.0027525e-18 
   6127.083   3.5649219e-16    5.960339e-18 
  6131.2954    3.465955e-16   5.9473715e-18 
  6135.5073   3.3997195e-16   5.9026153e-18 
  6139.7197   3.4139417e-16   5.9369065e-18 
  6143.9316     3.36823e-16   5.9053412e-18 
   6148.144   3.3540557e-16    5.888725e-18 
   6152.356   3.3074037e-16    5.844576e-18 
  6156.5684   3.3069032e-16    5.845886e-18 
   6160.781   3.3941314e-16   5.9006697e-18 
  6164.9927   3.3474435e-16    5.862348e-18 
   6169.205   3.2765124e-16   5.7820144e-18 
   6173.417   3.3735578e-16    5.845643e-18 
  6177.6294    3.336388e-16   5.8028114e-18 
   6181.842   3.2798254e-16   5.8364077e-18 
  6186.0537   3.3603496e-16    6.009733e-18 
   6190.266   3.2730634e-16   5.7306105e-18 
   6194.478   3.2582438e-16    5.796017e-18 
  6198.6904    3.289494e-16    5.695191e-18 
   6202.903   3.1532223e-16    5.663273e-18 
  6207.1147   3.1640707e-16    5.670189e-18 
   6211.327    3.267147e-16   5.7011012e-18 
   6215.539    3.141434e-16     5.66441e-18 
  6219.7515   3.1641705e-16    5.725423e-18 
  6223.9634   3.1774961e-16    5.812484e-18 
   6228.176   3.1389725e-16   5.7982156e-18 
   6232.388   3.1000633e-16   5.7702875e-18 
     6236.6   3.0779624e-16   5.7553043e-18 
  6240.8125    3.104007e-16   5.7695724e-18 
  6245.0244   3.1434436e-16   5.7731553e-18 
   6249.237   3.0793528e-16    5.712697e-18 
   6253.449   3.1197166e-16    5.716912e-18 
   6257.661    3.143063e-16    5.747249e-18 
  6261.8735   3.0878237e-16    5.684025e-18 
  6266.0854   3.1421217e-16    5.636516e-18 
   6270.298     3.12376e-16    5.610669e-18 
    6274.51   3.0347923e-16    5.591025e-18 
   6278.722    3.082733e-16   5.6631403e-18 
  6282.9346   3.3153788e-16    6.796355e-18 
  6287.1465   3.2645314e-16    7.908206e-18 
   6291.359    3.076738e-16    8.009273e-18 
   6295.571   3.0592345e-16     7.94794e-18 
   6299.783   3.2558417e-16     8.01276e-18 
  6303.9956   3.1940877e-16   7.7739815e-18 
  6308.2075   3.0574536e-16    6.350106e-18 
    6312.42   3.0358362e-16    5.580036e-18 
   6316.632   3.3519508e-16   5.7230422e-18 
   6320.844    3.131589e-16   5.5910316e-18 
  6325.0566   3.1821948e-16    5.614012e-18 
  6329.2686   3.2017612e-16   5.5988415e-18 
   6333.481   3.2081272e-16   5.5613818e-18 
   6337.693     3.11842e-16   5.4991137e-18 
  6341.9053   3.0570843e-16   5.4660645e-18 
   6346.117   3.0958977e-16   5.8349345e-18 
  6350.3296   3.0842304e-16    6.318663e-18 
   6354.542    3.050383e-16   6.3250916e-18 
   6358.754   3.1384535e-16    6.321422e-18 
  6362.9663   3.1110443e-16   6.2802865e-18 
   6367.178    2.994116e-16   6.1721343e-18 
  6371.3906    3.137377e-16   5.7592512e-18 
   6375.603   3.1462353e-16   5.4092848e-18 
   6379.815   3.0723584e-16   5.3533136e-18 
  6384.0273   2.9855386e-16    5.304046e-18 
  6388.2393   3.0375716e-16    5.335317e-18 
  6392.4517   3.0216153e-16   5.2907676e-18 
  6396.6636   2.9902076e-16   5.2259348e-18 
   6400.876   2.9822524e-16   5.2404746e-18 
  6405.0884    3.002085e-16   5.2298304e-18 
  6409.3003    2.829952e-16    5.153825e-18 
  6413.5127   2.9719512e-16    5.216891e-18 
  6417.7246   2.9312843e-16    5.174763e-18 
   6421.937   3.0080112e-16   5.1847528e-18 
  6426.1494    2.863878e-16    5.130114e-18 
  6430.3613   3.1163663e-16   5.5754256e-18 
  6434.5737   3.7146887e-16   6.6936096e-18 
  6438.7856   3.7399427e-16    6.824297e-18 
   6442.998   3.3814418e-16    6.502434e-18 
    6447.21    2.953188e-16   5.1754946e-18 
  6451.4224   2.8173502e-16    5.145615e-18 
   6455.635     2.82449e-16    5.185808e-18 
  6459.8467   2.9854044e-16   5.2673166e-18 
   6464.059   2.8593672e-16   5.1624793e-18 
   6468.271   2.8576808e-16   5.1382206e-18 
  6472.4834   2.8004172e-16    5.089879e-18 
   6476.696   2.8660154e-16    5.055943e-18 
  6480.9077   2.7688636e-16   5.0069156e-18 
    6485.12    2.786786e-16    5.050475e-18 
   6489.332    2.842239e-16    5.116415e-18 
  6493.5444   2.7821946e-16    5.141543e-18 
   6497.757   2.8905838e-16   5.1480102e-18 
  6501.9688   2.8112796e-16    5.124992e-18 
   6506.181   2.8903176e-16    5.064352e-18 
   6510.393   2.7700574e-16   4.9794044e-18 
  6514.6055   2.7653611e-16   4.9570308e-18 
  6518.8174    2.835763e-16    5.029599e-18 
    6523.03   2.8205567e-16    5.038847e-18 
   6527.242   2.8416055e-16   5.0563814e-18 
   6531.454   2.7772035e-16    5.037357e-18 
  6535.6665    2.748327e-16   5.0554864e-18 
  6539.8784   2.6943004e-16   5.0375907e-18 
   6544.091   2.7789936e-16   5.0322207e-18 
   6548.303   2.7571113e-16   5.0221212e-18 
   6552.515   2.7153708e-16   4.9897172e-18 
  6556.7275   2.7708496e-16     5.00165e-18 
  6560.9395   2.7364683e-16   4.9701825e-18 
   6565.152   2.7131204e-16   4.9467973e-18 
   6569.364   2.7540053e-16   4.9710234e-18 
   6573.576   2.8197674e-16   4.9967714e-18 
  6577.7886   2.7000888e-16   4.9059404e-18 
  6582.0005   2.6369912e-16   4.8540782e-18 
   6586.213    2.678392e-16   4.8377096e-18 
   6590.425   2.6142648e-16      4.8057e-18 
   6594.637   2.7948336e-16   4.8743743e-18 
  6598.8496   2.6308007e-16   4.8149075e-18 
  6603.0615   2.5870049e-16    4.789152e-18 
   6607.274   2.6208557e-16   4.7721832e-18 
   6611.486   2.5945752e-16   4.7518838e-18 
   6615.698   2.6395934e-16     4.75377e-18 
    6619.91   2.6414445e-16   4.7481813e-18 
  6624.1226   2.5733364e-16    4.722735e-18 
   6628.335   2.5958788e-16   4.7346433e-18 
   6632.547   2.6228801e-16   4.7154047e-18 
  6636.7593   2.6189073e-16    4.724839e-18 
   6640.971   2.6321004e-16    4.714655e-18 
  6645.1836   2.5106782e-16   4.6559573e-18 
   6649.396   2.6031459e-16   4.6984554e-18 
   6653.608    2.640209e-16    4.722426e-18 
  6657.8203    2.548201e-16    4.664389e-18 
   6662.032   2.5560829e-16    4.653929e-18 
  6666.2446    2.576375e-16   4.6664484e-18 
   6670.457   2.5777703e-16     4.67688e-18 
   6674.669    2.596048e-16   4.6473025e-18 
  6678.8813   2.5922345e-16   4.6606698e-18 
  6683.0933   2.5811249e-16   4.6359643e-18 
  6687.3057   2.6159234e-16    4.670869e-18 
  6691.5176    2.616433e-16    4.652945e-18 
    6695.73   2.5652398e-16    4.658707e-18 
  6699.9424   2.6097165e-16   4.6539063e-18 
  6704.1543   2.5372033e-16     4.62492e-18 
  6708.3667   2.5978784e-16   4.6377767e-18 
  6712.5786    2.594464e-16   4.6293444e-18 
   6716.791   2.5183227e-16   4.5952187e-18 
  6721.0034   2.5346879e-16    4.607604e-18 
  6725.2153    2.606323e-16   4.6427096e-18 
  6729.4277    2.565567e-16   4.6033387e-18 
  6733.6396    2.557914e-16    4.608574e-18 
   6737.852   2.5139962e-16    4.567087e-18 
   6742.064   2.4450546e-16    4.534913e-18 
  6746.2764   2.5802122e-16   4.6088986e-18 
   6750.489   2.5177435e-16    4.584715e-18 
  6754.7007    2.472642e-16   4.5561695e-18 
   6758.913   2.6403798e-16    4.614185e-18 
   6763.125    2.604361e-16   4.5709335e-18 
  6767.3374   2.4613623e-16   4.5131164e-18 
    6771.55   2.4786108e-16    4.528212e-18 
  6775.7617   2.4993086e-16    4.531211e-18 
   6779.974   2.4881611e-16    4.521271e-18 
   6784.186    2.427533e-16   4.4791743e-18 
  6788.3984   2.5069007e-16   4.5359917e-18 
  6792.6104   2.4480184e-16    4.493123e-18 
  6796.8228    2.488465e-16   4.4950835e-18 
   6801.035   2.5200154e-16    4.537997e-18 
   6805.247   2.5514101e-16    4.539791e-18 
  6809.4595   2.5049634e-16    4.522543e-18 
  6813.6714   2.5090564e-16   4.6597627e-18 
   6817.884   2.4585973e-16   4.7588242e-18 
   6822.096   2.4114716e-16    4.821139e-18 
   6826.308    2.433774e-16   4.8384726e-18 
  6830.5205   2.3999773e-16   4.8625064e-18 
  6834.7324    2.418611e-16   4.7866063e-18 
   6838.945   2.3836095e-16   4.6487588e-18 
   6843.157   2.4057589e-16     4.54638e-18 
   6847.369    2.384445e-16   4.5838036e-18 
  6851.5815   2.3040757e-16    4.655738e-18 
  6855.7935   2.3585016e-16   4.6531416e-18 
   6860.006   2.3272693e-16    4.592909e-18 
   6864.218   2.3496906e-16   4.5210913e-18 
    6868.43   2.3207975e-16    4.440713e-18 
  6872.6426   2.1069819e-16    4.200567e-18 
  6876.8545   2.1292821e-16    4.120107e-18 
   6881.067   2.2789895e-16    4.216818e-18 
   6885.279    2.279419e-16   4.2445007e-18 
   6889.491    2.282747e-16    4.278658e-18 
  6893.7036     2.20866e-16    4.231496e-18 
  6897.9155   2.1920261e-16   4.2690134e-18 
   6902.128   2.1643379e-16   4.2788647e-18 
    6906.34   2.1440989e-16    4.309946e-18 
  6910.5522    2.315978e-16   4.4621816e-18 
   6914.764   2.2995327e-16   4.4854485e-18 
  6918.9766   2.3174925e-16   4.4628363e-18 
   6923.189   2.2994896e-16   4.4691907e-18 
   6927.401   2.2888358e-16   4.4975237e-18 
  6931.6133    2.408264e-16   4.4955397e-18 
   6935.825   2.3728024e-16   4.5094673e-18 
  6940.0376    2.349625e-16   4.5525163e-18 
    6944.25   2.3060387e-16   4.5189865e-18 
   6948.462   2.3245252e-16   4.4896448e-18 
  6952.6743   2.3282392e-16    4.500583e-18 
   6956.886   2.3618405e-16    4.473062e-18 
  6961.0986    2.394796e-16    4.457148e-18 
  6965.3105    2.517186e-16   4.5669456e-18 
   6969.523   2.4693522e-16   4.5603476e-18 
  6973.7354   2.4426633e-16    4.566199e-18 
  6977.9473    2.446267e-16    4.525691e-18 
  6982.1597    2.498048e-16   4.5163073e-18 
  6986.3716    2.462544e-16    4.462584e-18 
   6990.584    2.474806e-16    4.431451e-18 
  6994.7964   2.5515928e-16   4.4666177e-18 
  6999.0083   2.5675247e-16   4.4885322e-18 
  7003.2207   2.4395407e-16     4.43989e-18 
  7007.4326   2.5302105e-16    4.475326e-18 
   7011.645   2.5415674e-16   4.4367933e-18 
  7015.8574    2.474531e-16   4.4156373e-18 
  7020.0693   2.5696605e-16   4.4204404e-18 
  7024.2817   2.5196409e-16    4.408431e-18 
  7028.4937   2.6614545e-16    4.480822e-18 
   7032.706   2.5174065e-16   4.4376573e-18 
   7036.918   2.6032716e-16   4.5015334e-18 
  7041.1304   2.6391998e-16    4.545357e-18 
   7045.343   2.5268062e-16   4.4991297e-18 
  7049.5547   2.6155782e-16   4.5670445e-18 
   7053.767   2.6359954e-16   4.5407997e-18 
   7057.979   2.5688333e-16   4.4827486e-18 
  7062.1914   2.6261454e-16     4.49642e-18 
   7066.404   2.6184435e-16   4.5215045e-18 
  7070.6157   2.4717515e-16    4.467929e-18 
   7074.828    2.562076e-16    4.497227e-18 
    7079.04   2.5915516e-16    4.491572e-18 
  7083.2524    2.552041e-16   4.4529246e-18 
  7087.4644   2.4617406e-16   4.4149185e-18 
   7091.677   2.4299896e-16   4.3845825e-18 
   7095.889   2.5336119e-16   4.4151373e-18 
   7100.101   2.4569122e-16    4.365689e-18 
  7104.3135   2.4858358e-16   4.3663556e-18 
  7108.5254   2.4394125e-16   4.3284335e-18 
   7112.738    2.511258e-16   4.3453208e-18 
    7116.95    2.477131e-16    4.353126e-18 
   7121.162    2.451413e-16    4.349622e-18 
  7125.3745    2.501963e-16    4.382844e-18 
  7129.5864   2.4603078e-16   4.3804673e-18 
   7133.799    2.481233e-16    4.392242e-18 
   7138.011   2.4833005e-16   4.3924366e-18 
   7142.223   2.4875788e-16    4.403494e-18 
  7146.4355   2.4441482e-16   4.3990644e-18 
  7150.6475   2.4150222e-16   4.3658113e-18 
    7154.86   2.5118172e-16    4.374525e-18 
   7159.072   2.4872956e-16    4.345517e-18 
   7163.284   2.4587294e-16   4.3125955e-18 
  7167.4966   2.3978518e-16   4.2449503e-18 
  7171.7085   2.3500296e-16    4.170927e-18 
   7175.921   2.4554548e-16   4.1547057e-18 
   7180.133   2.3900475e-16    4.091725e-18 
   7184.345   2.4003963e-16   4.0687203e-18 
  7188.5576   2.3752636e-16   4.0346016e-18 
  7192.7695   2.3363345e-16    4.036301e-18 
   7196.982   2.3515006e-16   4.0449235e-18 
   7201.194   2.3653464e-16   4.0519087e-18 
  7205.4062   2.3490458e-16   4.0957265e-18 
   7209.618   2.3168434e-16    4.115536e-18 
  7213.8306    2.384875e-16      4.2137e-18 
   7218.043   2.4495486e-16    4.248508e-18 
   7222.255    2.419942e-16    4.353894e-18 
  7226.4673   2.4014038e-16   4.6033263e-18 
   7230.679   2.3396583e-16   4.8437244e-18 
  7234.8916   2.3930044e-16      4.9072e-18 
   7239.104   2.2858722e-16   4.8992998e-18 
   7243.316    2.325883e-16   4.9492855e-18 
  7247.5283   2.3554046e-16    4.846737e-18 
    7251.74   2.3262873e-16   4.5706287e-18 
  7255.9526   2.1877534e-16    4.270057e-18 
  7260.1646   2.2266776e-16   4.4727087e-18 
   7264.377   2.3836338e-16   4.7583366e-18 
  7268.5894   2.2704927e-16    4.816955e-18 
  7272.8013    2.240385e-16   4.8979035e-18 
  7277.0137   2.3282471e-16   4.9113874e-18 
  7281.2256   2.3542696e-16    4.938988e-18 
   7285.438   2.1417891e-16    4.550749e-18 
  7289.6504    2.330531e-16    4.545309e-18 
  7293.8623   2.3143754e-16    4.415112e-18 
  7298.0747   2.2793818e-16    4.397483e-18 
  7302.2866   2.2755357e-16   4.6882227e-18 
   7306.499   2.4563765e-16    4.791839e-18 
  7310.7114   2.3138134e-16   4.7062826e-18 
  7314.9233    2.319327e-16   4.7857155e-18 
  7319.1357   2.2316155e-16     4.77955e-18 
  7323.3477   2.2523162e-16    4.762464e-18 
    7327.56   2.3094202e-16   4.8697893e-18 
   7331.772   2.1864209e-16   4.9015534e-18 
  7335.9844   2.2653091e-16   4.8959724e-18 
   7340.197   2.2418712e-16    4.764547e-18 
  7344.4087   2.1674329e-16    4.838036e-18 
   7348.621    2.293885e-16    4.729531e-18 
   7352.833   2.1596395e-16     4.53441e-18 
  7357.0454    2.259744e-16   4.7649776e-18 
   7361.258   2.1711302e-16    4.730923e-18 
  7365.4697     2.25778e-16   4.7054504e-18 
   7369.682   2.1983789e-16   4.5971944e-18 
   7373.894   2.1772003e-16    4.566461e-18 
  7378.1064   2.2231716e-16   4.4682713e-18 
  7382.3184   2.1887387e-16   4.3432342e-18 
   7386.531   2.1713998e-16    4.454101e-18 
   7390.743   2.1663742e-16   4.5549726e-18 
   7394.955   2.0801062e-16   4.5053153e-18 
  7399.1675    2.278609e-16   4.5611355e-18 
  7403.3794   2.1407171e-16    4.439975e-18 
   7407.592   2.1575079e-16    4.404032e-18 
   7411.804   2.0601676e-16    4.169506e-18 
   7416.016   2.0841942e-16     4.19703e-18 
  7420.2285    2.090541e-16    4.223998e-18 
  7424.4404   2.0636618e-16   4.2939905e-18 
   7428.653   2.1664309e-16   4.3773223e-18 
  7432.8647   2.0720447e-16    4.302304e-18 
   7437.077    2.126081e-16   4.2961974e-18 
  7441.2896   2.0261941e-16    4.223684e-18 
