# STATUS =
# OBJECT = 2015bn
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2016-01-02 06:25:43.00
# MJD = 57389.26785880001
# EXPTIME = 1800
# AIRMASS = 1.681
# SLIT = 1.0
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3640.04785156
# MAX_WAVE = 9235.22745228
# COMMENT = --
    Wavelength          Flux 
 3645.56578016   4.88005e-17 
 3651.08370876   5.10957e-17 
 3656.60163736   4.12301e-17 
 3662.11956596   5.35611e-17 
 3667.63749456   3.22163e-17 
 3673.15542316    4.9647e-17 
 3678.67335176   4.53329e-17 
 3684.19128036   5.48886e-17 
 3689.70920897   4.40198e-17 
 3695.22713757   6.02823e-17 
 3700.74506617    6.2814e-17 
 3706.26299477   5.21413e-17 
 3711.78092337   5.53978e-17 
 3717.29885197   3.22571e-17 
 3722.81678057   4.94056e-17 
 3728.33470917    6.7103e-17 
 3733.85263777   6.86908e-17 
 3739.37056637  -5.17595e-17 
 3744.88849497           0.0 
 3750.40642357   7.96274e-17 
 3755.92435217   4.56307e-17 
 3761.44228077   5.72391e-17 
 3766.96020937   4.14758e-17 
 3772.47813797    4.4641e-17 
 3777.99606657   6.22204e-17 
 3783.51399517   4.33442e-17 
 3789.03192377   5.14589e-17 
 3794.54985237   5.77607e-17 
 3800.06778097   5.84452e-17 
 3805.58570957   4.88371e-17 
 3811.10363817   4.88511e-17 
 3816.62156677   4.78549e-17 
 3822.13949537   5.73958e-17 
 3827.65742397   5.76302e-17 
 3833.17535257   5.54532e-17 
 3838.69328117   6.17767e-17 
 3844.21120977   5.94821e-17 
 3849.72913837   6.01838e-17 
 3855.24706697   5.80932e-17 
 3860.76499557   6.04628e-17 
 3866.28292418   5.75192e-17 
 3871.80085278   5.33836e-17 
 3877.31878138    5.0486e-17 
 3882.83670998   5.25771e-17 
 3888.35463858   6.10113e-17 
 3893.87256718    5.2852e-17 
 3899.39049578   4.58591e-17 
 3904.90842438   6.39134e-17 
 3910.42635298   4.91368e-17 
 3915.94428158   4.51497e-17 
 3921.46221018   5.21242e-17 
 3926.98013878   4.34337e-17 
 3932.49806738   4.96751e-17 
 3938.01599598   4.56603e-17 
 3943.53392458   5.20882e-17 
 3949.05185318   4.37194e-17 
 3954.56978178   5.19987e-17 
 3960.08771038   4.67053e-17 
 3965.60563898   5.46457e-17 
 3971.12356758   4.53004e-17 
 3976.64149618   4.01957e-17 
 3982.15942478   5.57897e-17 
 3987.67735338   5.65309e-17 
 3993.19528198   4.61484e-17 
 3998.71321058   5.31987e-17 
 4004.23113918   4.77384e-17 
 4009.74906778   4.38312e-17 
 4015.26699638   5.08611e-17 
 4020.78492498   3.47221e-17 
 4026.30285358   4.66738e-17 
 4031.82078218    5.1012e-17 
 4037.33871078   4.16911e-17 
 4042.85663939   3.51421e-17 
 4048.37456799   3.92405e-17 
 4053.89249659   4.08698e-17 
 4059.41042519    4.1066e-17 
 4064.92835379   3.61163e-17 
 4070.44628239   4.14174e-17 
 4075.96421099   3.39474e-17 
 4081.48213959    3.5691e-17 
 4087.00006819   4.16103e-17 
 4092.51799679   3.67694e-17 
 4098.03592539   3.97567e-17 
 4103.55385399   4.96689e-17 
 4109.07178259   4.61554e-17 
 4114.58971119   4.92551e-17 
 4120.10763979   5.10918e-17 
 4125.62556839   3.76886e-17 
 4131.14349699   4.70367e-17 
 4136.66142559   4.81289e-17 
 4142.17935419   5.02976e-17 
 4147.69728279   6.10184e-17 
 4153.21521139     6.852e-17 
 4158.73313999   5.51361e-17 
 4164.25106859   6.83193e-17 
 4169.76899719   5.89809e-17 
 4175.28692579    5.4228e-17 
 4180.80485439   5.59955e-17 
 4186.32278299   5.31122e-17 
 4191.84071159   4.82273e-17 
 4197.35864019   4.55626e-17 
 4202.87656879   4.03629e-17 
 4208.39449739   5.16657e-17 
 4213.91242599   3.95386e-17 
  4219.4303546   4.53776e-17 
  4224.9482832   4.06948e-17 
  4230.4662118   3.82729e-17 
  4235.9841404   4.46234e-17 
   4241.502069   4.76241e-17 
  4247.0199976   5.09317e-17 
  4252.5379262   4.78062e-17 
  4258.0558548   4.89585e-17 
  4263.5737834   4.57149e-17 
   4269.091712   5.18052e-17 
  4274.6096406   5.05282e-17 
  4280.1275692   4.44239e-17 
  4285.6454978   6.31568e-17 
  4291.1634264   5.48493e-17 
   4296.681355   4.95541e-17 
  4302.1992836   5.56508e-17 
  4307.7172122   5.07493e-17 
  4313.2351408   4.95528e-17 
  4318.7530694   5.07321e-17 
   4324.270998   4.88456e-17 
  4329.7889266    5.0185e-17 
  4335.3068552   4.32268e-17 
  4340.8247838   5.07594e-17 
  4346.3427124   4.77009e-17 
   4351.860641   3.98124e-17 
  4357.3785696   5.48639e-17 
  4362.8964982   5.00544e-17 
  4368.4144268   5.77495e-17 
  4373.9323554   6.27498e-17 
   4379.450284    6.3776e-17 
  4384.9682126   6.04526e-17 
  4390.4861412   6.14904e-17 
 4396.00406981   7.27059e-17 
 4401.52199841   6.75531e-17 
 4407.03992701   6.67012e-17 
 4412.55785561   7.37116e-17 
 4418.07578421   7.47097e-17 
 4423.59371281   7.23609e-17 
 4429.11164141   6.48746e-17 
 4434.62957001   6.25289e-17 
 4440.14749861   5.09019e-17 
 4445.66542721   5.65255e-17 
 4451.18335581   5.80608e-17 
 4456.70128441    6.1163e-17 
 4462.21921301   5.80062e-17 
 4467.73714161   5.74593e-17 
 4473.25507021   6.82702e-17 
 4478.77299881   5.49995e-17 
 4484.29092741   5.12118e-17 
 4489.80885601   6.03196e-17 
 4495.32678461   5.99743e-17 
 4500.84471321   5.37782e-17 
 4506.36264181   5.35607e-17 
 4511.88057041   5.52736e-17 
 4517.39849901   5.91873e-17 
