# STATUS =
# OBJECT = 2015bn
# TELESCOPE = MMT
# INSTRUMENT = MMT-Blue
# DATE-OBS = 2015-03-11 00:00:00.00
# MJD = 57092.0
# EXPTIME = 300
# AIRMASS = --
# SLIT = 0.0
# DISPERSER = --
# SOURCE = 2016ApJ...826...39N
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3349.0
# MAX_WAVE = 8569.15
# COMMENT = [Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]
       Wavelength                    Flux 
          3350.95  1.9825106400000002e-15 
           3352.9  1.8890496000000003e-15 
          3354.85  1.9383105600000004e-15 
           3356.8  1.9309420799999998e-15 
          3358.75  1.9082412000000002e-15 
           3360.7  1.8584092800000003e-15 
          3362.65          1.82271456e-15 
           3364.6  1.7909424000000002e-15 
          3366.55  1.7695260000000001e-15 
           3368.5  1.7325338399999999e-15 
          3370.45          1.71646848e-15 
           3372.4          1.70624088e-15 
          3374.35  1.7241444000000002e-15 
           3376.3  1.7063618400000002e-15 
          3378.25  1.7234193600000002e-15 
           3380.2          1.76287176e-15 
          3382.15  1.8042487200000003e-15 
           3384.1  1.8420660000000003e-15 
          3386.05  1.7746675200000002e-15 
           3388.0          1.83273696e-15 
          3389.95  1.8377200799999998e-15 
           3391.9  1.8788688000000003e-15 
          3393.85           1.8812232e-15 
           3395.8          1.93714056e-15 
          3397.75          1.91222928e-15 
           3399.7          1.91285856e-15 
          3401.65          1.89311472e-15 
           3403.6          1.86949512e-15 
          3405.55          1.88037936e-15 
           3407.5          1.87490376e-15 
          3409.45  1.8546854400000002e-15 
           3411.4          1.88719056e-15 
          3413.35          1.85960232e-15 
           3415.3          1.86303816e-15 
          3417.25          1.85671944e-15 
           3419.2  1.8060084000000002e-15 
          3421.15  1.7868938400000002e-15 
           3423.1          1.76759784e-15 
          3425.05          1.86069312e-15 
           3427.0          1.83023352e-15 
          3428.95  1.7778023999999998e-15 
           3430.9          1.85438592e-15 
          3432.85            1.848132e-15 
           3434.8          1.83889008e-15 
          3436.75          1.80810288e-15 
           3438.7          1.84087944e-15 
          3440.65             1.86741e-15 
           3442.6          1.82552184e-15 
          3444.55  1.8412423200000003e-15 
           3446.5          1.86690816e-15 
          3448.45          1.89917712e-15 
           3450.4          1.89803736e-15 
          3452.35          1.83823992e-15 
           3454.3          1.84585968e-15 
          3456.25  1.8682149600000003e-15 
           3458.2           1.8441072e-15 
          3460.15  1.8249559200000003e-15 
           3462.1          1.80474912e-15 
          3464.05          1.78174008e-15 
           3466.0  1.7913758400000003e-15 
          3467.95  1.8021196800000002e-15 
           3469.9          1.76088024e-15 
          3471.85          1.77252552e-15 
           3473.8  1.8318765600000003e-15 
          3475.75          1.80605592e-15 
