# STATUS =
# OBJECT = 2015bn
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# DATE-OBS = 2015-06-21 00:00:00.00
# MJD = 57194.0
# EXPTIME = 1800
# AIRMASS = --
# SLIT = 0.0
# DISPERSER = --
# SOURCE = 2016ApJ...826...39N
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3301.06
# MAX_WAVE = 9701.23
# COMMENT = [Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]
       Wavelength          Flux 
          3303.44  1.446444e-16 
          3305.82   1.02055e-16 
           3308.2  8.912862e-17 
         3310.581  9.466072e-17 
         3312.961   1.02324e-16 
         3315.341  7.806492e-17 
         3317.721  8.774662e-17 
         3320.101  1.509209e-16 
         3322.481  1.482078e-16 
         3324.861  1.430139e-16 
         3327.241  1.056972e-16 
         3329.622  9.484561e-17 
         3332.002  2.417629e-16 
         3334.382  1.445417e-16 
         3336.762  1.111513e-16 
         3339.142   8.82553e-17 
         3341.522  1.039981e-16 
         3343.902  1.317836e-16 
         3346.282  7.440664e-17 
         3348.663  4.614417e-17 
         3351.043  1.866316e-16 
         3353.423  1.052123e-16 
         3355.803  1.020711e-16 
         3358.183  1.598567e-17 
         3360.563  4.725071e-17 
         3362.943  1.280267e-16 
         3365.323  1.171715e-16 
         3367.704  5.409624e-17 
         3370.084   1.74198e-17 
         3372.464  7.372636e-17 
         3374.844  2.920886e-17 
         3377.224  4.396263e-17 
         3379.604  9.742519e-17 
         3381.984  1.779648e-16 
         3384.365  1.636575e-16 
         3386.745  1.520953e-16 
         3389.125  2.134345e-16 
         3391.505  1.489032e-16 
         3393.885  9.807155e-17 
         3396.265   6.65078e-17 
         3398.646  2.398769e-17 
         3401.026  2.332342e-17 
         3403.406  8.307239e-17 
         3405.786   1.27334e-16 
         3408.166  2.391897e-16 
         3410.546  1.921179e-16 
         3412.926  1.355056e-16 
         3415.306  1.104143e-16 
         3417.687  6.473205e-17 
         3420.067  8.610079e-17 
         3422.447   1.45978e-16 
         3424.827  9.371623e-17 
         3427.207  1.207231e-16 
         3429.587  9.228112e-17 
         3431.967  1.008791e-16 
         3434.347  1.762732e-16 
         3436.728  1.469545e-16 
         3439.108   1.08113e-16 
         3441.488  6.226897e-17 
         3443.868  7.330363e-17 
         3446.248  1.209607e-16 
         3448.628  5.204099e-17 
         3451.008    8.8605e-17 
         3453.388  1.261315e-16 
         3455.769   1.49412e-16 
         3458.149  9.883739e-17 
         3460.529  9.535962e-17 
         3462.909  1.202359e-16 
         3465.289  1.179954e-16 
         3467.669  9.806664e-17 
         3470.049  9.415503e-17 
         3472.429  8.961407e-17 
          3474.81  1.476399e-16 
          3477.19  1.611759e-16 
          3479.57  1.296352e-16 
          3481.95  7.367501e-17 
          3484.33  4.164801e-17 
          3486.71  5.749398e-17 
          3489.09  9.858068e-17 
          3491.47  1.288798e-16 
         3493.851  1.618452e-16 
         3496.231   1.72311e-16 
         3498.611  1.647238e-16 
         3500.991  2.146576e-16 
         3503.371  1.990176e-16 
         3505.751  1.725531e-16 
         3508.131   1.19141e-16 
         3510.511  1.500378e-16 
         3512.892  1.881121e-16 
         3515.272  1.499939e-16 
         3517.652  1.249977e-16 
         3520.032  1.591648e-16 
         3522.412  1.593767e-16 
         3524.792   1.20702e-16 
         3527.172  1.626913e-16 
         3529.552  2.166906e-16 
         3531.933  1.825507e-16 
         3534.313  1.805916e-16 
         3536.693   1.71162e-16 
         3539.073  1.819016e-16 
         3541.453  1.543024e-16 
         3543.833   1.39841e-16 
         3546.213   1.33995e-16 
         3548.594  1.196361e-16 
         3550.974  1.544761e-16 
         3553.354  1.639301e-16 
         3555.734  1.511122e-16 
         3558.114  1.573921e-16 
         3560.494  1.919332e-16 
         3562.875   2.07622e-16 
         3565.255   1.73656e-16 
         3567.635  1.883157e-16 
         3570.015   1.80724e-16 
         3572.395  1.545214e-16 
         3574.775  1.649689e-16 
         3577.155  1.702071e-16 
         3579.535  1.711659e-16 
         3581.916  1.585446e-16 
         3584.296  1.806223e-16 
         3586.676   1.56718e-16 
         3589.056  1.671162e-16 
         3591.436  1.399591e-16 
         3593.816  1.542556e-16 
         3596.196  1.840798e-16 
         3598.576  1.988002e-16 
         3600.957  1.734884e-16 
         3603.337  1.645435e-16 
         3605.717   1.59697e-16 
         3608.097  1.274924e-16 
         3610.477   1.78648e-16 
         3612.857  1.934851e-16 
         3615.237  1.416859e-16 
         3617.617  1.287564e-16 
         3619.998  1.267046e-16 
         3622.378  1.698502e-16 
         3624.758  1.617114e-16 
         3627.138  1.331149e-16 
         3629.518  1.305733e-16 
         3631.898  1.516483e-16 
         3634.278  1.731359e-16 
         3636.658  1.644787e-16 
         3639.039  1.929917e-16 
