# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = 2016aj
# TELESCOPE =
# INSTRUMENT =
# DATE-OBS =
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE = 2016TNSCR..68....1Y
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3642.04785156 9.24959e-17
3647.56578016 8.7265e-17
3653.08370876 8.75517e-17
3658.60163736 9.67159e-17
3664.11956596 1.00618e-16
3669.63749456 1.06045e-16
3675.15542316 9.95278e-17
3680.67335176 1.12355e-16
3686.19128036 1.07942e-16
3691.70920897 1.06069e-16
3697.22713757 1.00252e-16
3702.74506617 1.0302e-16
3708.26299477 1.06814e-16
3713.78092337 1.18764e-16
3719.29885197 1.11065e-16
3724.81678057 1.16494e-16
3730.33470917 1.12427e-16
3735.85263777 1.0846e-16
3741.37056637 1.14443e-16
3746.88849497 1.18019e-16
3752.40642357 1.20445e-16
3757.92435217 1.08917e-16
3763.44228077 1.05294e-16
3768.96020937 1.12146e-16
3774.47813797 1.04845e-16
3779.99606657 1.09939e-16
3785.51399517 1.04694e-16
3791.03192377 1.02458e-16
3796.54985237 1.03878e-16
3802.06778097 9.41591e-17
3807.58570957 9.39186e-17
3813.10363817 9.90063e-17
3818.62156677 9.55975e-17
3824.13949537 9.08757e-17
3829.65742397 9.15693e-17
3835.17535257 8.41089e-17
3840.69328117 7.61547e-17
3846.21120977 8.19693e-17
3851.72913837 2.64612e-17
3857.24706697 0.0
3862.76499557 1.83206e-17
3868.28292418 8.31384e-17
3873.80085278 7.41464e-17
3879.31878138 7.22026e-17
3884.83670998 7.54387e-17
3890.35463858 6.9483e-17
3895.87256718 7.31241e-17
3901.39049578 7.43381e-17
3906.90842438 7.01457e-17
3912.42635298 6.91844e-17
3917.94428158 6.64753e-17
3923.46221018 6.49302e-17
3928.98013878 6.36208e-17
3934.49806738 6.52312e-17
3940.01599598 7.40535e-17
3945.53392458 6.83485e-17
3951.05185318 6.98095e-17
3956.56978178 7.04464e-17
3962.08771038 6.86608e-17
3967.60563898 6.83293e-17
3973.12356758 7.50022e-17
3978.64149618 7.17339e-17
3984.15942478 8.01925e-17
3989.67735338 7.46209e-17
3995.19528198 7.76058e-17
4000.71321058 7.89182e-17
4006.23113918 8.25896e-17
4011.74906778 8.30613e-17
4017.26699638 9.34558e-17
4022.78492498 9.07244e-17
