       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 57325.409     99.0     99.0     99.0   3608.04     3631.0       u 
  57326.66     99.0     99.0     99.0   3608.04     3631.0       u 
 57327.912     99.0     99.0     99.0   3608.04     3631.0       u 
 57329.163     99.0     99.0     99.0   3608.04     3631.0       u 
 57330.415     99.0     99.0     99.0   3608.04     3631.0       u 
 57331.667     99.0     99.0     99.0   3608.04     3631.0       u 
 57332.918     99.0     99.0     99.0   3608.04     3631.0       u 
  57334.17     99.0     99.0     99.0   3608.04     3631.0       u 
 57335.421     99.0     99.0     99.0   3608.04     3631.0       u 
 57336.673     99.0     99.0     99.0   3608.04     3631.0       u 
 57337.924     99.0     99.0     99.0   3608.04     3631.0       u 
 57339.176     99.0     99.0     99.0   3608.04     3631.0       u 
 57340.428     99.0     99.0     99.0   3608.04     3631.0       u 
 57341.679     99.0     99.0     99.0   3608.04     3631.0       u 
 57342.931     99.0     99.0     99.0   3608.04     3631.0       u 
 57344.182     99.0     99.0     99.0   3608.04     3631.0       u 
 57345.434     99.0     99.0     99.0   3608.04     3631.0       u 
 57346.685     99.0     99.0     99.0   3608.04     3631.0       u 
 57347.937     99.0     99.0  -17.799   3608.04     3631.0       u 
 57349.189     99.0     99.0  -18.756   3608.04     3631.0       u 
  57350.44     99.0     99.0  -19.424   3608.04     3631.0       u 
 57351.692     99.0     99.0  -19.875   3608.04     3631.0       u 
 57352.943     99.0     99.0  -20.304   3608.04     3631.0       u 
 57354.195     99.0     99.0  -20.657   3608.04     3631.0       u 
 57355.446     99.0     99.0  -20.868   3608.04     3631.0       u 
 57356.698     99.0     99.0  -21.039   3608.04     3631.0       u 
 57357.949     99.0     99.0   -21.24   3608.04     3631.0       u 
 57359.201     99.0     99.0  -21.387   3608.04     3631.0       u 
 57360.453     99.0     99.0  -21.491   3608.04     3631.0       u 
 57361.704     99.0  -18.313   -21.58   3608.04     3631.0       u 
 57362.956     99.0  -19.486  -21.657   3608.04     3631.0       u 
 57364.207     99.0    -20.1  -21.724   3608.04     3631.0       u 
 57365.459     99.0    -20.5  -21.782   3608.04     3631.0       u 
  57366.71     99.0  -20.806  -21.834   3608.04     3631.0       u 
 57367.962     99.0  -21.039  -21.876   3608.04     3631.0       u 
 57369.214     99.0  -21.227  -21.913   3608.04     3631.0       u 
 57370.465     99.0  -21.381  -21.937   3608.04     3631.0       u 
 57371.717     99.0  -21.505  -21.983   3608.04     3631.0       u 
 57372.968  -18.141  -21.608  -22.001   3608.04     3631.0       u 
  57374.22  -19.639  -21.693  -22.025   3608.04     3631.0       u 
 57375.471  -20.321  -21.766  -22.033   3608.04     3631.0       u 
 57376.723  -20.746  -21.819  -22.051   3608.04     3631.0       u 
 57377.974  -21.064  -21.884  -22.071   3608.04     3631.0       u 
 57379.226  -21.296  -21.919  -22.073   3608.04     3631.0       u 
 57380.478  -21.492  -21.956  -22.092   3608.04     3631.0       u 
 57381.729  -21.669  -21.972  -22.098   3608.04     3631.0       u 
 57382.981  -21.794  -21.994  -22.101   3608.04     3631.0       u 
 57384.232  -21.879  -22.012  -22.101   3608.04     3631.0       u 
 57385.484  -21.902  -22.031  -22.107   3608.04     3631.0       u 
 57386.735   -21.92  -22.042  -22.124   3608.04     3631.0       u 
 57387.987  -21.935  -22.045  -22.147   3608.04     3631.0       u 
 57389.239  -21.946  -22.051  -22.167   3608.04     3631.0       u 
  57390.49   -21.94  -22.058  -22.176   3608.04     3631.0       u 
 57391.742  -21.929  -22.054  -22.189   3608.04     3631.0       u 
 57392.993  -21.908  -22.055  -22.194   3608.04     3631.0       u 
 57394.245  -21.884  -22.037  -22.198   3608.04     3631.0       u 
 57395.496  -21.855  -22.022  -22.199   3608.04     3631.0       u 
 57396.748  -21.828    -22.0  -22.206   3608.04     3631.0       u 
   57398.0  -21.794  -21.967  -22.194   3608.04     3631.0       u 
 57398.625  -21.775  -21.952  -22.184   3608.04     3631.0       u 
 57399.251  -21.757  -21.936  -22.173   3608.04     3631.0       u 
 57400.503  -21.712  -21.901  -22.155   3608.04     3631.0       u 
 57401.754  -21.664  -21.861  -22.129   3608.04     3631.0       u 
 57403.006  -21.614  -21.822  -22.095   3608.04     3631.0       u 
 57404.257  -21.561  -21.782  -22.057   3608.04     3631.0       u 
 57405.509  -21.507  -21.743  -22.014   3608.04     3631.0       u 
  57406.76  -21.458  -21.698  -21.968   3608.04     3631.0       u 
 57408.012  -21.399  -21.645  -21.917   3608.04     3631.0       u 
 57409.264   -21.34  -21.584  -21.865   3608.04     3631.0       u 
 57410.515  -21.283  -21.521   -21.81   3608.04     3631.0       u 
 57411.767  -21.219  -21.459  -21.751   3608.04     3631.0       u 
 57413.018  -21.155  -21.387   -21.69   3608.04     3631.0       u 
  57414.27  -21.089   -21.32  -21.627   3608.04     3631.0       u 
 57415.521  -21.021  -21.257  -21.557   3608.04     3631.0       u 
 57416.773  -20.951  -21.187  -21.487   3608.04     3631.0       u 
 57418.025  -20.879   -21.12  -21.421   3608.04     3631.0       u 
 57419.276  -20.805  -21.054  -21.357   3608.04     3631.0       u 
 57420.528   -20.73  -20.975  -21.287   3608.04     3631.0       u 
 57421.779  -20.662  -20.907  -21.219   3608.04     3631.0       u 
 57423.031  -20.591  -20.837  -21.148   3608.04     3631.0       u 
 57424.282  -20.537  -20.756  -21.092   3608.04     3631.0       u 
 57425.534  -20.464  -20.673  -21.032   3608.04     3631.0       u 
 57426.786  -20.384  -20.608  -20.966   3608.04     3631.0       u 
 57428.037  -20.308  -20.542   -20.91   3608.04     3631.0       u 
 57429.289   -20.23  -20.478  -20.836   3608.04     3631.0       u 
  57430.54  -20.161  -20.407  -20.779   3608.04     3631.0       u 
 57431.792  -20.102  -20.336  -20.724   3608.04     3631.0       u 
 57433.043  -20.045  -20.292   -20.67   3608.04     3631.0       u 
