       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 57410.442     99.0     99.0     99.0   3608.04     3631.0       u 
 57411.694     99.0     99.0     99.0   3608.04     3631.0       u 
 57412.945     99.0     99.0     99.0   3608.04     3631.0       u 
 57414.197     99.0     99.0   60.957   3608.04     3631.0       u 
 57415.449     99.0     99.0  -16.478   3608.04     3631.0       u 
   57416.7     99.0     99.0  -17.916   3608.04     3631.0       u 
 57417.952     99.0  -16.021  -18.752   3608.04     3631.0       u 
 57419.203     99.0  -17.909  -19.273   3608.04     3631.0       u 
 57420.455  -16.629  -18.904  -19.666   3608.04     3631.0       u 
 57421.706   -18.62  -19.475  -20.008   3608.04     3631.0       u 
 57422.958  -19.308  -19.882  -20.313   3608.04     3631.0       u 
  57424.21  -19.798  -20.186  -20.547   3608.04     3631.0       u 
 57425.461  -20.138  -20.463  -20.761   3608.04     3631.0       u 
 57426.713  -20.387  -20.669  -20.958   3608.04     3631.0       u 
 57427.964  -20.591  -20.803  -21.108   3608.04     3631.0       u 
  57428.59  -20.674  -20.875  -21.171   3608.04     3631.0       u 
 57429.216  -20.744  -20.935  -21.231   3608.04     3631.0       u 
 57430.467  -20.868  -21.041  -21.347   3608.04     3631.0       u 
 57431.719  -20.977  -21.129  -21.435   3608.04     3631.0       u 
  57432.97  -21.053  -21.202  -21.519   3608.04     3631.0       u 
 57434.222  -21.132  -21.259  -21.584   3608.04     3631.0       u 
 57435.474  -21.194  -21.322  -21.648   3608.04     3631.0       u 
 57436.725  -21.244  -21.364  -21.703   3608.04     3631.0       u 
 57437.977  -21.282  -21.397  -21.747   3608.04     3631.0       u 
 57439.228  -21.309  -21.419  -21.779   3608.04     3631.0       u 
  57440.48  -21.329  -21.433  -21.801   3608.04     3631.0       u 
 57441.731  -21.342  -21.446  -21.816   3608.04     3631.0       u 
 57442.983  -21.349  -21.455  -21.824   3608.04     3631.0       u 
 57444.235   -21.35  -21.464  -21.824   3608.04     3631.0       u 
 57445.486  -21.349  -21.462  -21.815   3608.04     3631.0       u 
 57446.738  -21.341  -21.447  -21.809   3608.04     3631.0       u 
 57447.989  -21.329  -21.427    -21.8   3608.04     3631.0       u 
 57449.241  -21.314  -21.408  -21.786   3608.04     3631.0       u 
 57450.492  -21.293  -21.381  -21.766   3608.04     3631.0       u 
 57451.744  -21.269  -21.356   -21.74   3608.04     3631.0       u 
 57452.996  -21.243  -21.325  -21.708   3608.04     3631.0       u 
 57454.247  -21.213   -21.29  -21.669   3608.04     3631.0       u 
 57455.499  -21.174  -21.252  -21.627   3608.04     3631.0       u 
  57456.75  -21.137  -21.212  -21.581   3608.04     3631.0       u 
 57458.002  -21.095  -21.166  -21.532   3608.04     3631.0       u 
 57459.253  -21.049  -21.117  -21.486   3608.04     3631.0       u 
 57460.505  -20.998  -21.066  -21.434   3608.04     3631.0       u 
 57461.756  -20.948  -21.011   -21.38   3608.04     3631.0       u 
 57463.008  -20.894  -20.959  -21.324   3608.04     3631.0       u 
  57464.26  -20.838  -20.904  -21.266   3608.04     3631.0       u 
 57465.511  -20.777  -20.848  -21.207   3608.04     3631.0       u 
 57466.763  -20.713   -20.79  -21.146   3608.04     3631.0       u 
 57468.014  -20.648  -20.728  -21.083   3608.04     3631.0       u 
 57469.266  -20.581  -20.664  -21.019   3608.04     3631.0       u 
 57470.517  -20.513  -20.596  -20.953   3608.04     3631.0       u 
 57471.769  -20.441  -20.528  -20.887   3608.04     3631.0       u 
 57473.021  -20.369   -20.46   -20.82   3608.04     3631.0       u 
 57474.272  -20.294  -20.389  -20.749   3608.04     3631.0       u 
 57475.524  -20.218  -20.315  -20.677   3608.04     3631.0       u 
 57476.775  -20.142  -20.239  -20.603   3608.04     3631.0       u 
 57478.027  -20.067  -20.161  -20.526   3608.04     3631.0       u 
 57479.278  -19.989  -20.086   -20.45   3608.04     3631.0       u 
  57480.53  -19.911  -20.008  -20.373   3608.04     3631.0       u 
 57481.781  -19.829   -19.93  -20.294   3608.04     3631.0       u 
 57483.033  -19.748  -19.849  -20.212   3608.04     3631.0       u 
 57484.285  -19.667  -19.765  -20.127   3608.04     3631.0       u 
 57485.536  -19.583  -19.681  -20.039   3608.04     3631.0       u 
 57486.788  -19.497  -19.601  -19.949   3608.04     3631.0       u 
 57488.039  -19.411  -19.512  -19.856   3608.04     3631.0       u 
 57489.291  -19.321  -19.423  -19.766   3608.04     3631.0       u 
 57490.542  -19.231  -19.332  -19.677   3608.04     3631.0       u 
 57491.794  -19.144  -19.244  -19.588   3608.04     3631.0       u 
 57493.046  -19.051  -19.154  -19.498   3608.04     3631.0       u 
 57494.297   -18.96  -19.064  -19.405   3608.04     3631.0       u 
 57495.549  -18.869  -18.969  -19.311   3608.04     3631.0       u 
   57496.8  -18.776  -18.874  -19.216   3608.04     3631.0       u 
 57498.052   -18.68  -18.778  -19.121   3608.04     3631.0       u 
 57499.303  -18.585  -18.684  -19.029   3608.04     3631.0       u 
 57500.555  -18.486  -18.587   -18.94   3608.04     3631.0       u 
 57501.807  -18.385  -18.493   -18.85   3608.04     3631.0       u 
 57503.058  -18.285  -18.398   -18.76   3608.04     3631.0       u 
  57504.31  -18.185  -18.305  -18.668   3608.04     3631.0       u 
 57505.561  -18.082  -18.211  -18.575   3608.04     3631.0       u 
 57506.813   -17.98  -18.117   -18.48   3608.04     3631.0       u 
 57508.064  -17.878  -18.018  -18.384   3608.04     3631.0       u 
 57509.316  -17.774   -17.92  -18.287   3608.04     3631.0       u 
 57510.567   -17.67  -17.821  -18.189   3608.04     3631.0       u 
 57511.819  -17.565  -17.721  -18.091   3608.04     3631.0       u 
 57513.071  -17.472  -17.621  -17.991   3608.04     3631.0       u 
 57514.322  -17.386  -17.521  -17.918   3608.04     3631.0       u 
 57515.574  -17.301  -17.431   -17.83   3608.04     3631.0       u 
 57516.825  -17.223  -17.343  -17.762   3608.04     3631.0       u 
 57518.077  -17.144   -17.26  -17.688   3608.04     3631.0       u 
 57519.328  -17.051  -17.186  -17.584   3608.04     3631.0       u 
  57520.58   -16.97  -17.127   -17.48   3608.04     3631.0       u 
 57521.832  -16.899  -17.065  -17.412   3608.04     3631.0       u 
 57523.083  -16.835  -17.027  -17.333   3608.04     3631.0       u 
 57524.335  -16.795  -16.991  -17.282   3608.04     3631.0       u 
 57525.586  -16.753  -16.956  -17.244   3608.04     3631.0       u 
 57526.838  -16.718   -16.92  -17.198   3608.04     3631.0       u 
 57528.089  -16.683  -16.885  -17.161   3608.04     3631.0       u 
 57529.341   -16.65   -16.85  -17.124   3608.04     3631.0       u 
 57530.593  -16.617  -16.815  -17.087   3608.04     3631.0       u 
 57531.844  -16.584  -16.781  -17.051   3608.04     3631.0       u 
 57533.096  -16.551  -16.747  -17.016   3608.04     3631.0       u 
 57534.347  -16.518  -16.714  -16.982   3608.04     3631.0       u 
 57535.599  -16.486   -16.68  -16.949   3608.04     3631.0       u 
  57536.85  -16.454  -16.647  -16.916   3608.04     3631.0       u 
 57538.102  -16.421  -16.613  -16.883   3608.04     3631.0       u 
 57539.353   -16.39   -16.58  -16.851   3608.04     3631.0       u 
 57540.605  -16.359  -16.546   -16.82   3608.04     3631.0       u 
 57541.857  -16.328  -16.513  -16.789   3608.04     3631.0       u 
 57543.108  -16.298   -16.48  -16.758   3608.04     3631.0       u 
  57544.36  -16.267  -16.447  -16.728   3608.04     3631.0       u 
 57545.611  -16.237  -16.414  -16.698   3608.04     3631.0       u 
 57546.863  -16.205  -16.382  -16.668   3608.04     3631.0       u 
 57548.114  -16.174   -16.35  -16.638   3608.04     3631.0       u 
