# STATUS =
# OBJECT = 2016ard
# TELESCOPE = Magellan-Baade
# INSTRUMENT = IMACS
# DATE-OBS = 2016-04-05 00:00:00.00
# MJD = 57483.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 2.000769e+00
3430.000000 1.635597e+00
3440.000000 2.735670e+00
3450.000000 1.830346e+00
3460.000000 1.827325e+00
3470.000000 1.497350e+00
3480.000000 2.619454e+00
3490.000000 1.492601e+00
3500.000000 1.360804e+00
3510.000000 2.065648e+00
3520.000000 1.121107e+00
3530.000000 1.604383e+00
3540.000000 1.953017e+00
3550.000000 2.029820e+00
3560.000000 2.103443e+00
3570.000000 2.610472e+00
3580.000000 2.285865e+00
3590.000000 1.729215e+00
3600.000000 2.004599e+00
3610.000000 1.798271e+00
3620.000000 1.977345e+00
3630.000000 2.233128e+00
3640.000000 1.934452e+00
3650.000000 1.839947e+00
3660.000000 1.620887e+00
3670.000000 1.310303e+00
3680.000000 1.191381e+00
3690.000000 1.203978e+00
3700.000000 1.244269e+00
3710.000000 1.331996e+00
3720.000000 1.366470e+00
3730.000000 1.397042e+00
3740.000000 1.227892e+00
3750.000000 1.459450e+00
3760.000000 1.518009e+00
3770.000000 1.549462e+00
3780.000000 1.519116e+00
3790.000000 1.440684e+00
3800.000000 1.627776e+00
3810.000000 1.774421e+00
3820.000000 1.821830e+00
3830.000000 1.885083e+00
3840.000000 1.801786e+00
3850.000000 1.835961e+00
3860.000000 1.961791e+00
3870.000000 1.911863e+00
3880.000000 1.817039e+00
3890.000000 1.792875e+00
3900.000000 1.830528e+00
3910.000000 1.785234e+00
3920.000000 1.595927e+00
3930.000000 1.807474e+00
3940.000000 1.781878e+00
3950.000000 1.593146e+00
3960.000000 1.649786e+00
3970.000000 1.705457e+00
3980.000000 1.707067e+00
3990.000000 1.752374e+00
4000.000000 1.682834e+00
4010.000000 1.700120e+00
4020.000000 1.788953e+00
4030.000000 1.640902e+00
4040.000000 1.600506e+00
4050.000000 1.658394e+00
4060.000000 1.589909e+00
4070.000000 1.517901e+00
4080.000000 1.546681e+00
4090.000000 1.592051e+00
4100.000000 1.511612e+00
4110.000000 1.516230e+00
4120.000000 1.608519e+00
4130.000000 1.583229e+00
4140.000000 1.508566e+00
4150.000000 1.601252e+00
4160.000000 1.590836e+00
4170.000000 1.584498e+00
4180.000000 1.568450e+00
4190.000000 1.486574e+00
4200.000000 1.481491e+00
4210.000000 1.384688e+00
4220.000000 1.363881e+00
4230.000000 1.392544e+00
4240.000000 1.326735e+00
4250.000000 1.320083e+00
4260.000000 1.227101e+00
4270.000000 1.227602e+00
4280.000000 1.133575e+00
4290.000000 1.126061e+00
4300.000000 1.176701e+00
4310.000000 1.195900e+00
4320.000000 1.218830e+00
4330.000000 1.221251e+00
4340.000000 1.245205e+00
4350.000000 1.314984e+00
4360.000000 1.362928e+00
4370.000000 1.395952e+00
4380.000000 1.400350e+00
4390.000000 1.498562e+00
4400.000000 1.549170e+00
4410.000000 1.630587e+00
4420.000000 1.710069e+00
4430.000000 1.760070e+00
4440.000000 1.863020e+00
4450.000000 1.860436e+00
4460.000000 1.905673e+00
4470.000000 1.983153e+00
4480.000000 2.101789e+00
4490.000000 2.180763e+00
4500.000000 2.222233e+00
4510.000000 2.280039e+00
4520.000000 2.176091e+00
4530.000000 2.103683e+00
4540.000000 2.142004e+00
4550.000000 2.077290e+00
4560.000000 2.007573e+00
