# STATUS =
# OBJECT = 2016ard
# TELESCOPE = Magellan-Clay
# INSTRUMENT = LDSS-3
# DATE-OBS = 2016-07-29 00:00:00.00
# MJD = 57598.01
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 9.031563e-01
3340.000000 1.695526e+00
3350.000000 1.352833e+00
3360.000000 1.218540e+00
3370.000000 5.209913e-01
3380.000000 1.010450e+00
3390.000000 8.149735e-01
3400.000000 9.229245e-01
3410.000000 6.042072e-01
3420.000000 5.822138e-01
3430.000000 9.316250e-01
3440.000000 8.314379e-01
3450.000000 4.582094e-01
3460.000000 9.109983e-01
3470.000000 9.209177e-01
3480.000000 8.413328e-01
3490.000000 9.737069e-01
3500.000000 6.595439e-01
3510.000000 6.679097e-01
3520.000000 2.138335e-01
3530.000000 5.370632e-01
3540.000000 9.536283e-01
3550.000000 8.143582e-01
3560.000000 6.781405e-01
3570.000000 6.019136e-01
3580.000000 7.192968e-01
3590.000000 7.255274e-01
3600.000000 7.924358e-01
3610.000000 1.084800e+00
3620.000000 8.077050e-01
3630.000000 4.550525e-01
3640.000000 2.457791e-01
3650.000000 4.697808e-01
3660.000000 7.146248e-01
3670.000000 5.761763e-01
3680.000000 4.213487e-01
3690.000000 6.087496e-01
3700.000000 8.620205e-01
3710.000000 7.987923e-01
3720.000000 7.283840e-01
3730.000000 6.553474e-01
3740.000000 5.539284e-01
3750.000000 4.302304e-01
3760.000000 6.611224e-01
3770.000000 5.554321e-01
3780.000000 3.560112e-01
3790.000000 5.470633e-01
3800.000000 7.070489e-01
3810.000000 7.229852e-01
3820.000000 4.477387e-01
3830.000000 5.154626e-01
3840.000000 6.142223e-01
3850.000000 6.070895e-01
3860.000000 5.995412e-01
3870.000000 5.759218e-01
3880.000000 6.410947e-01
3890.000000 5.291727e-01
3900.000000 3.829211e-01
3910.000000 6.150480e-01
3920.000000 6.545890e-01
3930.000000 8.454465e-01
3940.000000 8.294891e-01
3950.000000 7.104103e-01
3960.000000 7.953339e-01
3970.000000 6.893707e-01
3980.000000 7.320464e-01
3990.000000 8.779975e-01
4000.000000 6.651005e-01
4010.000000 6.949777e-01
4020.000000 6.844506e-01
4030.000000 8.043845e-01
4040.000000 8.137585e-01
4050.000000 7.828183e-01
4060.000000 8.248117e-01
4070.000000 8.034820e-01
4080.000000 8.187251e-01
4090.000000 6.162410e-01
4100.000000 5.666876e-01
4110.000000 5.483237e-01
4120.000000 6.186520e-01
4130.000000 5.462606e-01
4140.000000 6.129734e-01
4150.000000 5.110746e-01
4160.000000 7.223355e-01
4170.000000 8.825218e-01
4180.000000 6.707318e-01
4190.000000 5.591783e-01
4200.000000 4.868079e-01
4210.000000 5.709208e-01
4220.000000 7.434392e-01
4230.000000 5.335768e-01
4240.000000 6.009025e-01
4250.000000 7.405627e-01
4260.000000 8.037407e-01
4270.000000 7.210169e-01
4280.000000 6.528820e-01
4290.000000 7.658943e-01
4300.000000 8.198504e-01
4310.000000 7.165688e-01
4320.000000 7.383407e-01
4330.000000 6.903275e-01
4340.000000 7.223980e-01
4350.000000 7.869249e-01
4360.000000 8.119864e-01
4370.000000 8.290142e-01
4380.000000 8.348938e-01
4390.000000 9.411106e-01
4400.000000 8.524622e-01
4410.000000 9.010365e-01
4420.000000 8.900874e-01
4430.000000 1.121740e+00
4440.000000 1.153475e+00
4450.000000 1.055486e+00
4460.000000 1.137963e+00
4470.000000 1.266551e+00
4480.000000 1.266330e+00
4490.000000 1.192994e+00
4500.000000 1.240388e+00
4510.000000 1.310844e+00
4520.000000 1.239457e+00
