# STATUS =
# OBJECT = 2017egm
# TELESCOPE = NOT
# INSTRUMENT = ALFOSC
# DATE-OBS = 2017-06-07 23:31:12.00
# MJD = 57911.98
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 1.852307e+00
3310.000000 1.921568e+00
3320.000000 2.047312e+00
3330.000000 2.176156e+00
3340.000000 2.292824e+00
3350.000000 2.421942e+00
3360.000000 2.537072e+00
3370.000000 2.723045e+00
3380.000000 2.934510e+00
3390.000000 3.194101e+00
3400.000000 3.407051e+00
3410.000000 3.582158e+00
3420.000000 3.654161e+00
3430.000000 3.657033e+00
3440.000000 3.602759e+00
3450.000000 3.538295e+00
3460.000000 3.422758e+00
3470.000000 3.294578e+00
3480.000000 3.194964e+00
3490.000000 3.174174e+00
3500.000000 3.210501e+00
3510.000000 3.235681e+00
3520.000000 3.177312e+00
3530.000000 3.107782e+00
3540.000000 3.037146e+00
3550.000000 3.007711e+00
3560.000000 3.013312e+00
3570.000000 3.009185e+00
3580.000000 2.989947e+00
3590.000000 2.961963e+00
3600.000000 2.971421e+00
3610.000000 2.989737e+00
3620.000000 3.001203e+00
3630.000000 2.976459e+00
3640.000000 2.923660e+00
3650.000000 2.894367e+00
3660.000000 2.901200e+00
3670.000000 2.924241e+00
3680.000000 2.934510e+00
3690.000000 2.916682e+00
3700.000000 2.884403e+00
3710.000000 2.848845e+00
3720.000000 2.836474e+00
3730.000000 2.834009e+00
3740.000000 2.795576e+00
3750.000000 2.743596e+00
3760.000000 2.680356e+00
3770.000000 2.635929e+00
3780.000000 2.617690e+00
3790.000000 2.614164e+00
3800.000000 2.582543e+00
3810.000000 2.547911e+00
3820.000000 2.523937e+00
3830.000000 2.525982e+00
3840.000000 2.541568e+00
3850.000000 2.549887e+00
3860.000000 2.550306e+00
3870.000000 2.545572e+00
3880.000000 2.541212e+00
3890.000000 2.547848e+00
3900.000000 2.559927e+00
3910.000000 2.549847e+00
3920.000000 2.505935e+00
3930.000000 2.465219e+00
3940.000000 2.442086e+00
3950.000000 2.437510e+00
3960.000000 2.434893e+00
3970.000000 2.423263e+00
3980.000000 2.417582e+00
3990.000000 2.446439e+00
4000.000000 2.485773e+00
4010.000000 2.520372e+00
4020.000000 2.543595e+00
4030.000000 2.521787e+00
4040.000000 2.473256e+00
4050.000000 2.399611e+00
4060.000000 2.315796e+00
4070.000000 2.248993e+00
4080.000000 2.190722e+00
4090.000000 2.150314e+00
4100.000000 2.119250e+00
4110.000000 2.084790e+00
4120.000000 2.055490e+00
4130.000000 2.013732e+00
4140.000000 1.974204e+00
4150.000000 1.947729e+00
4160.000000 1.934392e+00
4170.000000 1.943933e+00
4180.000000 1.960737e+00
4190.000000 1.974549e+00
4200.000000 1.994002e+00
4210.000000 2.004824e+00
4220.000000 2.011285e+00
4230.000000 2.016348e+00
4240.000000 2.019842e+00
4250.000000 2.026309e+00
4260.000000 2.030883e+00
4270.000000 2.029334e+00
4280.000000 2.030117e+00
4290.000000 2.019902e+00
4300.000000 1.993077e+00
4310.000000 1.957028e+00
4320.000000 1.916351e+00
4330.000000 1.878700e+00
4340.000000 1.846779e+00
4350.000000 1.806830e+00
4360.000000 1.776542e+00
4370.000000 1.751487e+00
4380.000000 1.740030e+00
4390.000000 1.738049e+00
4400.000000 1.729957e+00
4410.000000 1.718226e+00
4420.000000 1.694408e+00
4430.000000 1.667280e+00
4440.000000 1.645338e+00
4450.000000 1.634533e+00
4460.000000 1.640580e+00
4470.000000 1.658007e+00
4480.000000 1.676443e+00
4490.000000 1.693367e+00
4500.000000 1.711478e+00
4510.000000 1.729907e+00
4520.000000 1.755575e+00
