# STATUS =
# OBJECT = 2017egm
# TELESCOPE = XLT
# INSTRUMENT = BFOSC
# DATE-OBS = 2017-10-19 20:24:55.00
# MJD = 58045.85
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 1.014971e-01
3640.000000 1.417017e-01
3650.000000 1.535133e-01
3660.000000 1.576211e-01
3670.000000 9.996861e-02
3680.000000 1.050633e-01
3690.000000 9.844833e-02
3700.000000 9.168798e-02
3710.000000 8.121596e-02
3720.000000 7.444571e-02
3730.000000 9.748353e-02
3740.000000 1.154129e-01
3750.000000 1.208129e-01
3760.000000 1.284054e-01
3770.000000 1.040014e-01
3780.000000 9.510638e-02
3790.000000 8.466419e-02
3800.000000 8.723208e-02
3810.000000 9.670554e-02
3820.000000 1.125932e-01
3830.000000 1.130701e-01
3840.000000 1.137571e-01
3850.000000 1.361290e-01
3860.000000 1.553462e-01
3870.000000 1.819549e-01
3880.000000 2.098804e-01
3890.000000 2.178369e-01
3900.000000 2.117114e-01
3910.000000 2.197415e-01
3920.000000 2.290335e-01
3930.000000 2.436001e-01
3940.000000 2.627476e-01
3950.000000 2.810475e-01
3960.000000 2.854306e-01
3970.000000 3.058105e-01
3980.000000 3.283635e-01
3990.000000 3.398756e-01
4000.000000 3.491503e-01
4010.000000 3.169870e-01
4020.000000 3.130548e-01
4030.000000 3.075556e-01
4040.000000 3.352679e-01
4050.000000 3.311077e-01
4060.000000 3.105537e-01
4070.000000 3.165375e-01
4080.000000 3.235110e-01
4090.000000 3.190820e-01
4100.000000 2.989814e-01
4110.000000 3.009718e-01
4120.000000 2.963932e-01
4130.000000 2.995107e-01
4140.000000 3.160268e-01
4150.000000 3.268703e-01
4160.000000 3.266520e-01
4170.000000 3.307249e-01
4180.000000 3.083556e-01
4190.000000 2.967354e-01
4200.000000 2.970447e-01
4210.000000 3.408081e-01
4220.000000 3.462579e-01
4230.000000 3.273868e-01
4240.000000 2.978986e-01
4250.000000 3.117379e-01
4260.000000 3.356973e-01
4270.000000 3.461021e-01
4280.000000 3.513330e-01
4290.000000 3.508483e-01
4300.000000 3.747441e-01
4310.000000 3.878611e-01
4320.000000 4.089218e-01
4330.000000 4.050189e-01
4340.000000 4.058419e-01
4350.000000 4.095626e-01
4360.000000 4.082218e-01
4370.000000 4.036374e-01
4380.000000 3.969773e-01
4390.000000 3.895672e-01
4400.000000 3.897252e-01
4410.000000 3.699348e-01
4420.000000 3.854069e-01
4430.000000 4.077969e-01
4440.000000 4.379949e-01
4450.000000 4.262205e-01
4460.000000 4.240087e-01
4470.000000 4.488007e-01
4480.000000 5.055387e-01
4490.000000 5.639329e-01
4500.000000 5.933833e-01
4510.000000 6.180004e-01
4520.000000 6.608265e-01
4530.000000 6.661535e-01
4540.000000 6.599004e-01
4550.000000 6.669492e-01
4560.000000 6.975715e-01
4570.000000 7.371613e-01
4580.000000 7.290944e-01
4590.000000 7.493543e-01
4600.000000 7.761880e-01
4610.000000 7.828789e-01
4620.000000 8.123848e-01
4630.000000 8.326151e-01
