# STATUS =
# OBJECT = 2017egm
# TELESCOPE = Ekar
# INSTRUMENT = AFOSC
# DATE-OBS = 2017-07-18 20:29:02.00
# MJD = 57952.85349539993
# EXPTIME = 1200
# AIRMASS = --
# SLIT = 1.7
# DISPERSER = --
# SOURCE = 2018ApJ...853...57B
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3500.2367
# MAX_WAVE = 9295.5576
# COMMENT = [Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]
 Wavelength        Flux 
  3504.9948   9.0116934 
  3509.7528   7.4160074 
  3514.5109   10.760597 
   3519.269   10.356961 
   3524.027   9.3066065 
  3528.7851   8.7487129 
  3533.5432   12.164775 
  3538.3012   10.549961 
  3543.0593   10.104772 
  3547.8173   8.1960553 
  3552.5754   7.5019048 
  3557.3335   6.9869094 
  3562.0915   9.4478419 
  3566.8496   6.7372212 
  3571.6077   8.6575344 
  3576.3657   6.9645475 
  3581.1238   9.2820922 
  3585.8819   9.9257477 
  3590.6399   6.6020922 
   3595.398   7.5984568 
   3600.156   10.087174 
  3604.9141   8.3160001 
  3609.6722   7.2518102 
  3614.4302   9.1074537 
  3619.1883   7.4884433 
  3623.9464   8.2658175 
  3628.7044   7.9784876 
  3633.4625   9.4509948 
  3638.2205   8.8569339 
  3642.9786   7.6632147 
  3647.7367   7.5399137 
  3652.4947   8.4160417 
  3657.2528   8.7379295 
  3662.0109   7.0990539 
  3666.7689   7.4957726 
   3671.527   7.8742958 
  3676.2851   7.9900684 
  3681.0431   8.7247865 
  3685.8012   8.6193427 
  3690.5592   7.7040932 
  3695.3173   8.2172993 
  3700.0754   7.6639384 
  3704.8334   7.4524579 
  3709.5915   8.8663642 
  3714.3496   8.8816147 
  3719.1076   8.0483232 
  3723.8657    7.736671 
  3728.6237   8.0931098 
  3733.3818    7.620997 
  3738.1399   7.1912909 
  3742.8979   7.6604001 
   3747.656   7.8910036 
  3752.4141   7.4321801 
  3757.1721   8.0198437 
  3761.9302   7.3761073 
  3766.6883   7.8190497 
  3771.4463   8.2331762 
  3776.2044    8.190695 
  3780.9624   7.5147861 
  3785.7205   8.2112555 
  3790.4786   8.5558927 
  3795.2366   7.8168674 
  3799.9947   7.7945699 
  3804.7528   8.3303709 
  3809.5108   7.8357842 
  3814.2689   7.8336394 
  3819.0269   7.4663541 
   3823.785   7.3454796 
  3828.5431   8.4386935 
  3833.3011   8.3146611 
  3838.0592   7.9029309 
  3842.8173   7.4091476 
  3847.5753   7.1185583 
  3852.3334   7.2638885 
  3857.0915   7.3399641 
  3861.8495   6.9929041 
  3866.6076   6.6324757 
  3871.3656   7.1371362 
  3876.1237   7.5071187 
  3880.8818   7.5431584 
  3885.6398    6.992237 
  3890.3979   6.6056515 
   3895.156   6.8802422 
   3899.914   7.0670629 
  3904.6721   6.6653842 
  3909.4301   6.8962918 
  3914.1882   7.2082619 
  3918.9463   6.7194942 
  3923.7043   6.5827028 
  3928.4624   6.5900898 
  3933.2205   6.3936909 
  3937.9785   6.3392695 
  3942.7366   6.4665215 
  3947.4947   6.4244437 
  3952.2527   6.6434234 
  3957.0108   6.5240807 
  3961.7688   6.3483359 
  3966.5269   6.5655962 
   3971.285   6.9897584 
   3976.043   7.0274573 
  3980.8011   6.7106789 
  3985.5592   6.8810486 
  3990.3172   7.4400227 
  3995.0753   7.4319248 
  3999.8333   7.7150957 
  4004.5914   8.0679542 
  4009.3495   7.9575356 
  4014.1075   8.1483541 
  4018.8656   8.0921961 
  4023.6237   7.7003825 
  4028.3817   7.5888851 
  4033.1398   7.7363393 
  4037.8978   7.7533426 
  4042.6559   7.9343029 
   4047.414   8.0989879 
   4052.172   8.1749708 
  4056.9301   8.1308971 
  4061.6882   8.0830959 
  4066.4462   8.0135622 
  4071.2043   7.6921902 
  4075.9624   7.8829909 
  4080.7204   8.1716938 
  4085.4785   8.0246897 
  4090.2365   7.7171747 
  4094.9946   7.5818226 
  4099.7527   7.4706181 
  4104.5107   7.5026868 
  4109.2688   7.5628946 
  4114.0269   7.4100234 
  4118.7849   7.2441333 
   4123.543   7.0031025 
   4128.301   7.3387476 
  4133.0591   7.2080877 
  4137.8172   7.1164688 
  4142.5752   6.9716708 
  4147.3333    6.738588 
  4152.0914   6.9177415 
  4156.8494    7.060167 
  4161.6075   6.8841119 
  4166.3656   7.0896393 
  4171.1236    7.190935 
  4175.8817   7.2073417 
  4180.6397   6.9961262 
  4185.3978    7.055882 
  4190.1559   7.0102475 
  4194.9139   6.9232176 
   4199.672   6.8337463 
  4204.4301   7.0049398 
  4209.1881    7.292546 
  4213.9462   7.2460425 
  4218.7042   7.3217073 
  4223.4623   6.9493521 
  4228.2204   7.0437153 
  4232.9784   6.9925109 
  4237.7365   7.1152917 
  4242.4946   7.2313027 
  4247.2526   7.1271791 
  4252.0107   7.1908372 
  4256.7688   7.0742471 
  4261.5268   6.7849673 
  4266.2849   6.7979221 
  4271.0429    6.615061 
   4275.801   6.7971074 
  4280.5591   7.0403323 
  4285.3171   6.7203578 
  4290.0752   6.3482034 
  4294.8333   6.3803559 
  4299.5913    6.565555 
  4304.3494   6.5422835 
  4309.1074   6.3465353 
  4313.8655    6.215254 
  4318.6236   6.1935419 
  4323.3816   6.1456424 
  4328.1397   6.1666092 
  4332.8978   6.1830628 
  4337.6558   6.0444663 
  4342.4139   6.2621489 
   4347.172   6.1817251 
    4351.93   5.9119144 
  4356.6881   6.2902445 
  4361.4461   5.8787764 
  4366.2042   5.8101645 
  4370.9623   5.9638569 
  4375.7203   6.1391849 
  4380.4784   5.9531488 
  4385.2365   5.7563687 
  4389.9945   5.7673006 
  4394.7526   5.6187842 
  4399.5106   5.4819682 
  4404.2687   5.5334631 
  4409.0268   5.6362542 
  4413.7848   5.4820306 
  4418.5429   5.5894706 
   4423.301   5.6467234 
   4428.059   5.5207761 
  4432.8171   5.4819479 
  4437.5752   5.4371131 
  4442.3332   5.4715581 
