# STATUS =
# OBJECT = 2017egm
# TELESCOPE = Galileo
# INSTRUMENT = BC-Asi
# DATE-OBS = 2017-06-11 21:07:12.00
# MJD = 57915.87999999989
# EXPTIME = 1800
# AIRMASS = --
# SLIT = 2.2
# DISPERSER = --
# SOURCE = 2018ApJ...853...57B
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3502.2193
# MAX_WAVE = 7888.4966
# COMMENT = [Data obtained from:Bose, S.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]
 Wavelength           Flux 
   3504.517  8.3694944e-15 
  3506.8147  8.5098492e-15 
  3509.1123  8.7868136e-15 
    3511.41  7.8081109e-15 
  3513.7077  7.5415712e-15 
  3516.0054  8.1776877e-15 
  3518.3031  9.3568982e-15 
  3520.6008  1.0021999e-14 
  3522.8984  9.8741101e-15 
  3525.1961  9.4155513e-15 
  3527.4938  9.3676427e-15 
  3529.7915  9.0325928e-15 
  3532.0892  8.6448559e-15 
  3534.3869  9.3743708e-15 
  3536.6845  9.3623459e-15 
  3538.9822  9.1999676e-15 
  3541.2799  8.7970988e-15 
  3543.5776  8.8052158e-15 
  3545.8753  9.6177315e-15 
   3548.173  9.0843357e-15 
  3550.4706   8.961178e-15 
  3552.7683  9.1232013e-15 
   3555.066  9.4276698e-15 
  3557.3637  9.7590984e-15 
  3559.6614  9.1715192e-15 
  3561.9591   8.766428e-15 
  3564.2567  8.9450169e-15 
  3566.5544  8.9991123e-15 
  3568.8521  8.4604554e-15 
  3571.1498   8.194946e-15 
  3573.4475  8.1578171e-15 
  3575.7452  8.2567725e-15 
  3578.0428  8.4162401e-15 
  3580.3405  8.1346179e-15 
  3582.6382  7.9604937e-15 
  3584.9359  8.7238846e-15 
  3587.2336  8.5429534e-15 
  3589.5313  8.0786222e-15 
  3591.8289  7.9218985e-15 
  3594.1266  8.3724364e-15 
  3596.4243  8.4346807e-15 
   3598.722  8.0303487e-15 
  3601.0197  7.8823407e-15 
  3603.3174  7.9528783e-15 
   3605.615  8.1391491e-15 
  3607.9127  8.4496475e-15 
  3610.2104  8.4077767e-15 
  3612.5081  8.5436052e-15 
  3614.8058  8.4432478e-15 
  3617.1035  7.9833543e-15 
  3619.4011  8.3504196e-15 
  3621.6988  8.6072574e-15 
  3623.9965  7.9204927e-15 
  3626.2942  7.5934719e-15 
  3628.5919  7.8905743e-15 
  3630.8896  8.1637895e-15 
  3633.1872  7.9355933e-15 
  3635.4849   7.880209e-15 
  3637.7826   8.306183e-15 
  3640.0803  8.3052046e-15 
   3642.378  7.9424437e-15 
  3644.6757  7.4979561e-15 
  3646.9733  7.2261596e-15 
   3649.271  7.3444476e-15 
  3651.5687  7.6624105e-15 
  3653.8664  7.7905159e-15 
  3656.1641  7.9150474e-15 
  3658.4618   7.786474e-15 
  3660.7594  7.2222716e-15 
  3663.0571  7.4732482e-15 
  3665.3548  8.1408056e-15 
  3667.6525  8.4517342e-15 
  3669.9502  8.0601848e-15 
  3672.2479  7.3740125e-15 
  3674.5455  7.3426963e-15 
  3676.8432  7.6186142e-15 
  3679.1409  7.2451098e-15 
  3681.4386  6.8971203e-15 
  3683.7363  7.0931271e-15 
   3686.034  7.3838461e-15 
  3688.3316  7.4040161e-15 
  3690.6293  7.3205019e-15 
   3692.927  6.9669376e-15 
  3695.2247  7.0910523e-15 
  3697.5224  7.6652036e-15 
  3699.8201  7.8108938e-15 
  3702.1177  7.5371851e-15 
  3704.4154  7.3722318e-15 
  3706.7131  7.2398942e-15 
  3709.0108   7.246793e-15 
  3711.3085   7.301865e-15 
  3713.6061  6.9994609e-15 
  3715.9038  7.0359859e-15 
  3718.2015  7.6120846e-15 
  3720.4992   7.375395e-15 
  3722.7969  6.8801787e-15 
  3725.0946  6.8921762e-15 
  3727.3922  7.0949204e-15 
  3729.6899  6.9202769e-15 
  3731.9876  6.9612929e-15 
  3734.2853  7.1449946e-15 
   3736.583  6.9702928e-15 
  3738.8807  6.9844077e-15 
  3741.1783  6.6586954e-15 
   3743.476  6.2182545e-15 
  3745.7737  6.9608373e-15 
  3748.0714  7.8393959e-15 
  3750.3691  7.5903184e-15 
  3752.6668  7.1979694e-15 
  3754.9644  7.4181372e-15 
  3757.2621  7.3374339e-15 
  3759.5598  7.3768016e-15 
  3761.8575  7.2525383e-15 
  3764.1552  7.0951438e-15 
  3766.4529  6.9126188e-15 
  3768.7505  7.3017683e-15 
  3771.0482  7.5326076e-15 
  3773.3459  7.2103438e-15 
  3775.6436  7.0762787e-15 
  3777.9413  7.0303845e-15 
   3780.239  7.1337045e-15 
  3782.5366  7.2669432e-15 
  3784.8343   7.360276e-15 
   3787.132  7.1615037e-15 
  3789.4297  7.0196111e-15 
  3791.7274  7.2402889e-15 
  3794.0251  7.1467802e-15 
  3796.3227  6.9344092e-15 
  3798.6204  7.1026249e-15 
  3800.9181  7.3979631e-15 
  3803.2158  7.3004397e-15 
  3805.5135  7.1432764e-15 
  3807.8112  7.2549814e-15 
  3810.1088    7.06694e-15 
  3812.4065    7.03983e-15 
  3814.7042  7.3832355e-15 
  3817.0019  7.6462831e-15 
  3819.2996  7.6267199e-15 
  3821.5973  7.5778972e-15 
  3823.8949  7.5685769e-15 
  3826.1926  7.4952735e-15 
  3828.4903  7.3607551e-15 
   3830.788  7.3885555e-15 
  3833.0857  7.4652744e-15 
  3835.3834  7.4296815e-15 
   3837.681  7.0149576e-15 
  3839.9787  6.7561172e-15 
  3842.2764  6.8194838e-15 
  3844.5741   6.908476e-15 
  3846.8718  6.8812181e-15 
  3849.1695  7.2289575e-15 
  3851.4671   7.509461e-15 
  3853.7648  7.3452701e-15 
  3856.0625  7.1420013e-15 
  3858.3602  6.7345812e-15 
  3860.6579  6.4933872e-15 
  3862.9556  6.7865767e-15 
  3865.2532  6.8397271e-15 
  3867.5509  6.9653486e-15 
  3869.8486  6.9757315e-15 
  3872.1463  6.9926068e-15 
   3874.444  7.1108364e-15 
  3876.7417  7.0143991e-15 
  3879.0393  6.7654986e-15 
   3881.337  6.7599561e-15 
  3883.6347  6.8723638e-15 
  3885.9324  6.9973592e-15 
  3888.2301  6.6418908e-15 
  3890.5278  6.3954787e-15 
  3892.8254  6.5893444e-15 
  3895.1231  6.8842425e-15 
  3897.4208  6.8607391e-15 
  3899.7185  6.6799856e-15 
  3902.0162  6.7517778e-15 
  3904.3139  6.9611324e-15 
  3906.6115  6.9850154e-15 
  3908.9092  6.8025453e-15 
  3911.2069  6.9239161e-15 
  3913.5046  6.7738003e-15 
  3915.8023  6.5264017e-15 
     3918.1  6.6552491e-15 
  3920.3976  6.8507595e-15 
  3922.6953  7.0817915e-15 
   3924.993   6.832585e-15 
  3927.2907  6.3122858e-15 
  3929.5884   6.187831e-15 
  3931.8861  6.4473854e-15 
  3934.1837  6.6827174e-15 
  3936.4814  6.7189089e-15 
  3938.7791  6.5510379e-15 
  3941.0768  6.4352342e-15 
  3943.3745  6.5682398e-15 
  3945.6722  6.5919904e-15 
  3947.9698  6.7047767e-15 
  3950.2675  6.7250865e-15 
  3952.5652  6.5304196e-15 
  3954.8629     6.4889e-15 
  3957.1606  6.5157299e-15 
  3959.4583  6.5342277e-15 
  3961.7559  6.5684355e-15 
  3964.0536  6.9118526e-15 
  3966.3513   6.955278e-15 
   3968.649  6.7079106e-15 
  3970.9467   6.948791e-15 
  3973.2444  6.9813096e-15 
   3975.542  6.3957509e-15 
  3977.8397  6.4497304e-15 
  3980.1374  6.9798869e-15 
  3982.4351  6.9609713e-15 
  3984.7328  6.7004097e-15 
  3987.0305  6.5450446e-15 
  3989.3281  6.5628156e-15 
  3991.6258  6.3761254e-15 
  3993.9235  6.3757655e-15 
  3996.2212  6.6220748e-15 
  3998.5189  6.6675083e-15 
  4000.8166  6.7449318e-15 
  4003.1142  6.8102196e-15 
  4005.4119   6.746636e-15 
  4007.7096  6.5173564e-15 
  4010.0073  6.6088145e-15 
   4012.305  6.7884518e-15 
  4014.6027  6.7475637e-15 
  4016.9003  6.6819899e-15 
   4019.198  6.6531105e-15 
  4021.4957  6.7947046e-15 
  4023.7934  6.5913531e-15 
  4026.0911  6.4547424e-15 
  4028.3888  6.7736625e-15 
  4030.6864  6.7679607e-15 
  4032.9841  6.4989026e-15 
  4035.2818  6.5708794e-15 
  4037.5795  6.7342533e-15 
  4039.8772  6.7629761e-15 
  4042.1749  6.8765665e-15 
  4044.4725  6.7387882e-15 
  4046.7702  6.6064594e-15 
  4049.0679  6.1522148e-15 
  4051.3656  5.9788267e-15 
  4053.6633  6.2317159e-15 
   4055.961   6.492286e-15 
  4058.2586  6.5889357e-15 
  4060.5563  6.6088375e-15 
   4062.854  6.5225121e-15 
  4065.1517  6.4726433e-15 
  4067.4494  6.4554418e-15 
  4069.7471  6.2777255e-15 
  4072.0447  5.9949202e-15 
  4074.3424  5.8663949e-15 
  4076.6401  5.9190425e-15 
  4078.9378  6.1389954e-15 
  4081.2355  6.2737944e-15 
  4083.5331  6.3314343e-15 
  4085.8308  6.4560859e-15 
  4088.1285  6.2837651e-15 
  4090.4262  6.1004268e-15 
  4092.7239  6.0533635e-15 
  4095.0216  6.1846989e-15 
  4097.3192  6.3153211e-15 
  4099.6169  6.4354845e-15 
  4101.9146  6.2075016e-15 
  4104.2123  6.0225314e-15 
    4106.51  6.0423092e-15 
  4108.8077  6.1279182e-15 
  4111.1053  6.1613109e-15 
   4113.403  6.0980567e-15 
  4115.7007  6.2209178e-15 
  4117.9984   6.237011e-15 
  4120.2961  6.2086207e-15 
  4122.5938  6.3130652e-15 
  4124.8914   6.500186e-15 
  4127.1891  6.4432197e-15 
  4129.4868  6.2124655e-15 
  4131.7845  6.5140469e-15 
  4134.0822  6.7797349e-15 
  4136.3799  6.7209618e-15 
  4138.6775  6.7471944e-15 
  4140.9752  6.4019494e-15 
  4143.2729  6.4938285e-15 
  4145.5706  6.8578657e-15 
  4147.8683   6.841838e-15 
   4150.166  6.6790127e-15 
  4152.4636  6.7567714e-15 
  4154.7613  6.8688227e-15 
   4157.059  6.7054436e-15 
  4159.3567  6.9137913e-15 
  4161.6544  7.0578937e-15 
  4163.9521  6.7510611e-15 
  4166.2497   6.623676e-15 
  4168.5474  6.7947473e-15 
  4170.8451  6.4338521e-15 
  4173.1428  6.2987776e-15 
  4175.4405  6.4220111e-15 
  4177.7382  6.6379864e-15 
  4180.0358  6.5794605e-15 
  4182.3335  6.4318424e-15 
  4184.6312  6.4213357e-15 
  4186.9289  6.2158541e-15 
  4189.2266  6.1177192e-15 
  4191.5243  6.0927415e-15 
  4193.8219  6.0792573e-15 
  4196.1196  6.1866944e-15 
  4198.4173   6.091747e-15 
   4200.715  6.0444841e-15 
  4203.0127   6.177874e-15 
  4205.3104  6.1595926e-15 
   4207.608  5.9924874e-15 
  4209.9057  5.8456754e-15 
  4212.2034  5.7696874e-15 
  4214.5011  5.9369211e-15 
  4216.7988  6.0405261e-15 
  4219.0965  5.8413861e-15 
  4221.3941  5.8688806e-15 
  4223.6918  5.9475058e-15 
  4225.9895  5.7626124e-15 
  4228.2872  5.4408457e-15 
  4230.5849  5.3410437e-15 
  4232.8826  5.5027881e-15 
  4235.1802  5.6378076e-15 
  4237.4779  5.6752032e-15 
  4239.7756  5.6780013e-15 
  4242.0733  5.6942092e-15 
   4244.371  5.9279956e-15 
  4246.6687  5.8500598e-15 
  4248.9663  5.2826498e-15 
   4251.264  5.3747864e-15 
  4253.5617  5.7106779e-15 
  4255.8594  5.7294606e-15 
  4258.1571  5.6556495e-15 
  4260.4548  5.5291926e-15 
  4262.7524  5.5671128e-15 
  4265.0501  5.4968543e-15 
  4267.3478  5.2110678e-15 
  4269.6455  5.1304445e-15 
  4271.9432  5.3859254e-15 
  4274.2409  5.5683293e-15 
  4276.5385  5.2033139e-15 
  4278.8362  5.1029245e-15 
  4281.1339  5.4540323e-15 
  4283.4316  5.5446855e-15 
  4285.7293  5.3670194e-15 
   4288.027  5.2614729e-15 
  4290.3246  5.2159481e-15 
  4292.6223  5.1974139e-15 
    4294.92  5.1675655e-15 
  4297.2177  5.4396606e-15 
  4299.5154  5.2129536e-15 
  4301.8131  5.0348145e-15 
  4304.1107  5.1570644e-15 
  4306.4084  5.3147562e-15 
  4308.7061  5.2264342e-15 
  4311.0038  5.0695128e-15 
  4313.3015  4.9998945e-15 
  4315.5992   5.124236e-15 
  4317.8968  5.3551532e-15 
  4320.1945  5.0859358e-15 
  4322.4922  5.0227952e-15 
  4324.7899   5.286557e-15 
  4327.0876  5.2139545e-15 
  4329.3853  5.3541756e-15 
  4331.6829  5.5256528e-15 
  4333.9806  5.3562073e-15 
  4336.2783  5.3195162e-15 
   4338.576  5.4516164e-15 
  4340.8737  5.2091195e-15 
  4343.1714  5.1508321e-15 
   4345.469  5.1656273e-15 
  4347.7667  5.2435604e-15 
  4350.0644  5.3877843e-15 
  4352.3621  5.3512178e-15 
  4354.6598  5.6822529e-15 
  4356.9575  6.1174809e-15 
  4359.2551  6.1977912e-15 
  4361.5528   5.849683e-15 
  4363.8505  5.8565248e-15 
  4366.1482  5.6978267e-15 
  4368.4459    5.29703e-15 
  4370.7436  5.2825955e-15 
  4373.0412  5.5664847e-15 
  4375.3389  5.5287968e-15 
  4377.6366  5.3423544e-15 
  4379.9343  5.4418594e-15 
   4382.232  5.5512111e-15 
  4384.5297  5.4304624e-15 
  4386.8273  5.3169864e-15 
   4389.125   5.332144e-15 
  4391.4227   5.320474e-15 
  4393.7204  5.2838326e-15 
  4396.0181  5.3274832e-15 
  4398.3158  5.5530757e-15 
  4400.6134   5.620154e-15 
  4402.9111  5.5185556e-15 
  4405.2088  5.4531736e-15 
  4407.5065  5.4230438e-15 
  4409.8042  5.4494915e-15 
  4412.1019  5.4141245e-15 
  4414.3995  5.4241633e-15 
  4416.6972  5.6509551e-15 
  4418.9949  5.5590893e-15 
  4421.2926  5.4085519e-15 
  4423.5903  5.4808522e-15 
   4425.888  5.5917748e-15 
  4428.1856  5.6404488e-15 
  4430.4833  5.8335044e-15 
   4432.781  5.8644592e-15 
  4435.0787  5.6400809e-15 
  4437.3764  5.5073124e-15 
  4439.6741  5.5208865e-15 
  4441.9717  5.4476875e-15 
  4444.2694  5.4601478e-15 
  4446.5671  5.5678465e-15 
  4448.8648  5.4450323e-15 
  4451.1625  5.2377719e-15 
  4453.4602  5.4239115e-15 
  4455.7578  5.5937827e-15 
  4458.0555  5.4571415e-15 
  4460.3532  5.4067182e-15 
  4462.6509  5.2749872e-15 
  4464.9486  5.1387653e-15 
  4467.2462  5.0540838e-15 
  4469.5439  5.0529238e-15 
  4471.8416  5.1767282e-15 
  4474.1393  5.1220786e-15 
   4476.437  5.0363191e-15 
  4478.7347  5.1744367e-15 
  4481.0323    5.34448e-15 
    4483.33  5.2073509e-15 
  4485.6277  5.1654696e-15 
  4487.9254  5.2114803e-15 
  4490.2231  5.3309022e-15 
  4492.5208  5.3544592e-15 
  4494.8184   5.195954e-15 
  4497.1161  5.2001266e-15 
  4499.4138  5.1887778e-15 
  4501.7115  5.1950113e-15 
  4504.0092  5.2752243e-15 
  4506.3069  5.1230049e-15 
  4508.6045  5.0670553e-15 
  4510.9022  5.0732057e-15 
  4513.1999  5.0084159e-15 
  4515.4976  5.1396472e-15 
  4517.7953  4.9549943e-15 
   4520.093  4.5122976e-15 
  4522.3906  4.3842127e-15 
  4524.6883  4.6161537e-15 
   4526.986  4.9286439e-15 
  4529.2837  5.0682159e-15 
  4531.5814  4.9476108e-15 
  4533.8791  4.8919266e-15 
  4536.1767  4.9201337e-15 
  4538.4744   4.950845e-15 
  4540.7721  4.8939429e-15 
  4543.0698  4.7650351e-15 
  4545.3675  4.8992618e-15 
  4547.6652  4.9902982e-15 
  4549.9628  4.7687173e-15 
  4552.2605  4.7235155e-15 
  4554.5582  4.5383434e-15 
  4556.8559   4.492804e-15 
  4559.1536  4.7170798e-15 
  4561.4513  4.8645767e-15 
  4563.7489  4.5578429e-15 
  4566.0466  4.4468469e-15 
  4568.3443  4.3476499e-15 
   4570.642   4.031367e-15 
  4572.9397  4.0284659e-15 
  4575.2374   4.383789e-15 
   4577.535  4.5770367e-15 
  4579.8327  4.5533413e-15 
  4582.1304  4.4756722e-15 
  4584.4281  4.4442316e-15 
  4586.7258  4.6372616e-15 
  4589.0235  4.6578555e-15 
  4591.3211  4.5591509e-15 
  4593.6188  4.4930487e-15 
  4595.9165  4.4450841e-15 
  4598.2142  4.6427488e-15 
  4600.5119  4.5787283e-15 
  4602.8096  4.3027686e-15 
  4605.1072   4.221516e-15 
  4607.4049  4.1594986e-15 
  4609.7026   4.220894e-15 
  4612.0003  4.3785439e-15 
   4614.298  4.5539264e-15 
  4616.5957  4.7569236e-15 
  4618.8933  4.6838972e-15 
   4621.191  4.5361584e-15 
  4623.4887  4.6381688e-15 
  4625.7864   4.705253e-15 
  4628.0841  4.4723569e-15 
  4630.3818  4.4855015e-15 
  4632.6794   4.584896e-15 
  4634.9771  4.6366155e-15 
  4637.2748  4.6201652e-15 
  4639.5725  4.5666232e-15 
  4641.8702  4.5136983e-15 
  4644.1679  4.6851657e-15 
  4646.4655  4.7193709e-15 
  4648.7632  4.5805245e-15 
  4651.0609   4.638894e-15 
  4653.3586  4.7688453e-15 
  4655.6563   4.799448e-15 
   4657.954  4.8502109e-15 
  4660.2516  4.6571247e-15 
  4662.5493  4.6065657e-15 
   4664.847  4.9276831e-15 
  4667.1447  5.1269774e-15 
  4669.4424  4.9941802e-15 
  4671.7401  4.9110422e-15 
  4674.0377  4.8563287e-15 
  4676.3354  5.0137736e-15 
  4678.6331  5.0381489e-15 
  4680.9308  4.9334126e-15 
  4683.2285  4.9851139e-15 
  4685.5262  4.9400494e-15 
  4687.8238  5.0554378e-15 
  4690.1215  5.1441368e-15 
  4692.4192   4.966928e-15 
  4694.7169  4.7834052e-15 
  4697.0146   4.901002e-15 
  4699.3123   4.934652e-15 
  4701.6099  5.1112145e-15 
  4703.9076  5.2672469e-15 
  4706.2053  5.0066723e-15 
   4708.503  5.0296384e-15 
  4710.8007  5.2076099e-15 
  4713.0984  5.2657873e-15 
   4715.396  5.2124449e-15 
  4717.6937  5.1482678e-15 
  4719.9914  5.1242243e-15 
  4722.2891   5.336782e-15 
  4724.5868  5.3885285e-15 
  4726.8845  5.1588851e-15 
  4729.1821  4.9107613e-15 
  4731.4798  5.0697572e-15 
  4733.7775  4.9363807e-15 
  4736.0752  4.8572154e-15 
  4738.3729  4.9219473e-15 
  4740.6706  4.7845052e-15 
  4742.9682  4.7327786e-15 
  4745.2659  4.9664827e-15 
  4747.5636  5.0149238e-15 
  4749.8613  4.8239202e-15 
   4752.159  4.5416669e-15 
  4754.4567  4.3472512e-15 
  4756.7543  4.5134076e-15 
   4759.052  4.8871443e-15 
  4761.3497  5.0093467e-15 
  4763.6474  4.8513527e-15 
  4765.9451  4.7147879e-15 
  4768.2428  4.7175484e-15 
  4770.5404  4.6164989e-15 
  4772.8381  4.4646377e-15 
  4775.1358  4.6016909e-15 
  4777.4335  4.7077046e-15 
  4779.7312  4.6165406e-15 
  4782.0289  4.3518142e-15 
  4784.3265  4.1300273e-15 
  4786.6242  4.3643306e-15 
  4788.9219  4.5713718e-15 
  4791.2196  4.4923938e-15 
  4793.5173  4.3562913e-15 
   4795.815  4.5436912e-15 
  4798.1126  4.5405117e-15 
  4800.4103  4.3115939e-15 
   4802.708  4.3371556e-15 
  4805.0057  4.3158008e-15 
  4807.3034  4.2832234e-15 
  4809.6011  4.5459019e-15 
  4811.8987  4.5044124e-15 
  4814.1964  4.4868611e-15 
  4816.4941  4.5726518e-15 
  4818.7918  4.5223084e-15 
  4821.0895   4.474881e-15 
  4823.3872  4.3044676e-15 
  4825.6848  4.0618493e-15 
  4827.9825  4.0406728e-15 
  4830.2802  4.2208714e-15 
  4832.5779  4.2904742e-15 
  4834.8756  4.1680524e-15 
  4837.1732   4.139333e-15 
  4839.4709  4.3670157e-15 
  4841.7686  4.3139063e-15 
  4844.0663  3.9485596e-15 
   4846.364  3.9350391e-15 
  4848.6617   4.212966e-15 
  4850.9593  4.1233238e-15 
   4853.257  3.9617234e-15 
  4855.5547  4.1862571e-15 
  4857.8524  4.3343488e-15 
  4860.1501  4.1646364e-15 
  4862.4478  4.1210242e-15 
  4864.7454  4.2320572e-15 
  4867.0431  4.1003441e-15 
  4869.3408  3.9655669e-15 
  4871.6385  3.9986737e-15 
  4873.9362  4.1458688e-15 
  4876.2339  4.2475423e-15 
  4878.5315  4.1600136e-15 
  4880.8292  4.0651887e-15 
  4883.1269  4.1520117e-15 
  4885.4246  4.1737305e-15 
  4887.7223  4.1213788e-15 
    4890.02   4.145718e-15 
  4892.3176  4.1139539e-15 
  4894.6153  4.0150051e-15 
   4896.913  4.0061539e-15 
  4899.2107  4.0433189e-15 
  4901.5084  4.1752146e-15 
  4903.8061  4.1295409e-15 
  4906.1037  4.0063681e-15 
  4908.4014  4.1369714e-15 
  4910.6991  4.1038888e-15 
  4912.9968  3.9951021e-15 
  4915.2945   4.046276e-15 
  4917.5922  4.1303234e-15 
  4919.8898  4.0399647e-15 
  4922.1875  3.8809915e-15 
  4924.4852  3.9879525e-15 
  4926.7829  4.0145678e-15 
  4929.0806  4.0010138e-15 
  4931.3783  4.0665335e-15 
  4933.6759  4.1611606e-15 
  4935.9736  4.0356841e-15 
  4938.2713  3.9595747e-15 
   4940.569  3.9948916e-15 
  4942.8667  4.1328158e-15 
  4945.1644  4.1559301e-15 
   4947.462  3.9600794e-15 
  4949.7597  3.7843314e-15 
  4952.0574  3.8320735e-15 
  4954.3551  3.9036336e-15 
