# STATUS =
# OBJECT = 2017egm
# TELESCOPE = Lick-3m
# INSTRUMENT = KAST
# DATE-OBS = 2017-12-12 11:31:12.00
# MJD = 58099.47999999998
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2023arXiv230303424Z
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = Medium
# MIN_WAVE = 3632.0
# MAX_WAVE = 10716.0
# COMMENT = --
 Wavelength       Flux      Error 
     3634.0   0.749982  0.0785313 
     3636.0   0.738279  0.0790101 
     3638.0   0.809284  0.0805976 
     3640.0   0.659391   0.080194 
     3642.0    0.77884  0.0812604 
     3644.0   0.683867  0.0815661 
     3646.0   0.868867  0.0825694 
     3648.0   0.657211  0.0942243 
     3650.0    0.80415   0.109906 
     3652.0   0.585383   0.107981 
     3654.0   0.745177  0.0980246 
     3656.0   0.562673  0.0921389 
     3658.0   0.736663  0.0829553 
     3660.0   0.566681  0.0807587 
     3662.0   0.653438  0.0881599 
     3664.0   0.751536  0.0882883 
     3666.0   0.830463  0.0808982 
     3668.0   0.732609  0.0731918 
     3670.0   0.611318  0.0708878 
     3672.0   0.774142  0.0729117 
     3674.0   0.737231  0.0712511 
     3676.0   0.718106    0.06965 
     3678.0   0.728814  0.0684038 
     3680.0    0.62223  0.0668104 
     3682.0   0.661262  0.0676498 
     3684.0   0.747782  0.0676696 
     3686.0    0.72207  0.0664362 
     3688.0   0.579933  0.0639962 
     3690.0   0.737189  0.0676101 
     3692.0   0.673816  0.0683649 
     3694.0   0.625742  0.0670329 
     3696.0   0.663102  0.0672824 
     3698.0   0.642248  0.0686381 
     3700.0   0.671817  0.0688893 
     3702.0   0.760208  0.0693593 
     3704.0   0.688116  0.0668032 
     3706.0   0.695549  0.0666034 
     3708.0   0.716874  0.0661714 
     3710.0   0.628005  0.0662035 
     3712.0   0.616136   0.065895 
     3714.0   0.683668  0.0660138 
     3716.0   0.799325  0.0662629 
     3718.0   0.589072   0.063385 
     3720.0   0.656125  0.0628013 
     3722.0   0.620469  0.0612495 
     3724.0   0.674362  0.0632577 
     3726.0   0.724365   0.063491 
     3728.0   0.672591  0.0645279 
     3730.0   0.648367  0.0643865 
     3732.0   0.648446  0.0633243 
     3734.0   0.656801  0.0613459 
     3736.0   0.768336  0.0615086 
     3738.0   0.641441  0.0629688 
     3740.0   0.624116  0.0642347 
     3742.0   0.672241  0.0639496 
     3744.0   0.671007   0.060786 
     3746.0   0.728653  0.0606313 
     3748.0   0.735106    0.05927 
     3750.0   0.673351   0.059652 
     3752.0    0.75486  0.0618736 
     3754.0   0.787042  0.0626616 
     3756.0   0.768316  0.0617328 
     3758.0   0.624397  0.0598987 
     3760.0   0.540429  0.0594761 
     3762.0   0.642319  0.0591242 
     3764.0   0.632964  0.0581693 
     3766.0   0.707635  0.0580034 
     3768.0   0.829788  0.0583264 
     3770.0     0.6909  0.0585207 
     3772.0   0.735405   0.059702 
     3774.0   0.814813  0.0602067 
     3776.0   0.638802  0.0589216 
     3778.0   0.639262  0.0585301 
     3780.0   0.736244  0.0594851 
     3782.0   0.695779   0.058639 
     3784.0   0.636991    0.05805 
     3786.0    0.59193  0.0564466 
     3788.0   0.685753  0.0564364 
     3790.0   0.663931  0.0570608 
     3792.0   0.741965  0.0574804 
     3794.0   0.725176  0.0566197 
     3796.0   0.745054  0.0555271 
     3798.0   0.804743  0.0545993 
     3800.0   0.682909  0.0549328 
     3802.0   0.659589  0.0556496 
     3804.0   0.886489  0.0570815 
     3806.0   0.683515  0.0545285 
     3808.0   0.637204  0.0537959 
     3810.0   0.729327  0.0550138 
     3812.0   0.709584  0.0550028 
     3814.0   0.782139  0.0539199 
     3816.0   0.646311  0.0522444 
     3818.0   0.730118  0.0528565 
     3820.0   0.720005  0.0521889 
     3822.0   0.736719  0.0525516 
     3824.0   0.673883  0.0514951 
     3826.0   0.716332  0.0515948 
     3828.0   0.590213   0.052415 
     3830.0   0.707721  0.0540935 
     3832.0   0.720269   0.053945 
     3834.0   0.691782  0.0517701 
     3836.0   0.687812  0.0507386 
     3838.0   0.888698    0.05521 
     3840.0    1.34485  0.0614672 
     3842.0    1.77686  0.0656821 
     3844.0    1.63649  0.0640093 
     3846.0   0.822339  0.0537863 
     3848.0   0.643667  0.0499997 
     3850.0   0.672406    0.04858 
     3852.0   0.719284  0.0499648 
     3854.0   0.715836  0.0528049 
     3856.0   0.794086  0.0539193 
     3858.0   0.770069  0.0519794 
     3860.0   0.672444   0.050554 
     3862.0   0.725918  0.0516357 
     3864.0   0.610467  0.0504105 
     3866.0   0.588339  0.0499143 
     3868.0   0.649945  0.0506603 
     3870.0   0.743058  0.0512623 
     3872.0       0.76  0.0513745 
     3874.0   0.802343  0.0544844 
     3876.0    0.86284  0.0548742 
     3878.0   0.819385  0.0524025 
     3880.0   0.805786  0.0510489 
     3882.0   0.685139  0.0491386 
     3884.0   0.640946  0.0479783 
     3886.0   0.635458  0.0476196 
     3888.0   0.495597  0.0471683 
     3890.0   0.725946  0.0491536 
     3892.0   0.814029  0.0507826 
     3894.0   0.770783  0.0522789 
     3896.0   0.793482  0.0531281 
     3898.0   0.862777  0.0530155 
     3900.0   0.904672  0.0530162 
     3902.0   0.832117  0.0526789 
     3904.0   0.778005   0.053442 
     3906.0   0.794495  0.0567144 
     3908.0   0.682745   0.058198 
     3910.0   0.821334  0.0579656 
     3912.0   0.653013  0.0562879 
     3914.0   0.559119  0.0533645 
     3916.0   0.678289  0.0521954 
     3918.0   0.774633  0.0511888 
     3920.0   0.766909  0.0498158 
     3922.0   0.826684  0.0491866 
     3924.0   0.805751  0.0494826 
     3926.0   0.810769  0.0492187 
     3928.0   0.798825  0.0479005 
     3930.0    0.80638  0.0467467 
     3932.0   0.718953  0.0462426 
     3934.0   0.703817  0.0462904 
     3936.0   0.767821  0.0455851 
     3938.0   0.796508  0.0459346 
     3940.0   0.848913  0.0473994 
     3942.0    0.78609  0.0483467 
     3944.0   0.746762  0.0486822 
     3946.0   0.730944  0.0485468 
     3948.0   0.766922  0.0472069 
     3950.0   0.604252  0.0451361 
     3952.0   0.501225  0.0440872 
     3954.0    0.67791  0.0437404 
     3956.0   0.576188  0.0435117 
     3958.0   0.737508  0.0456316 
     3960.0   0.795545  0.0477745 
     3962.0   0.802453   0.047704 
     3964.0   0.779302   0.045925 
     3966.0    0.86872  0.0444696 
     3968.0   0.838096  0.0436422 
     3970.0   0.839336  0.0432983 
     3972.0   0.814123  0.0449578 
     3974.0   0.879644  0.0462546 
     3976.0   0.884313  0.0464885 
     3978.0    0.87061  0.0463784 
     3980.0   0.928278   0.047541 
     3982.0   0.901134  0.0477722 
     3984.0   0.926239  0.0468712 
     3986.0   0.943225   0.047713 
     3988.0   0.982508  0.0482134 
     3990.0     0.8955  0.0478054 
     3992.0   0.832149  0.0470137 
     3994.0   0.894149  0.0473967 
     3996.0   0.923476  0.0488505 
     3998.0   0.860267  0.0483342 
     4000.0   0.747515  0.0467184 
     4002.0   0.854252  0.0457717 
     4004.0   0.790737  0.0438377 
     4006.0   0.679036  0.0433909 
     4008.0   0.775327  0.0454117 
     4010.0   0.767977  0.0467645 
     4012.0    0.75051  0.0461379 
     4014.0   0.786037  0.0465526 
     4016.0   0.864133  0.0469876 
     4018.0   0.924977  0.0495218 
     4020.0   0.924646  0.0536809 
     4022.0   0.963691   0.055697 
     4024.0   0.854518  0.0541218 
     4026.0   0.867844  0.0520997 
     4028.0    1.00682  0.0501651 
     4030.0    1.00193  0.0497238 
     4032.0    1.03249  0.0493752 
     4034.0    1.10923   0.049133 
     4036.0   0.916918  0.0487044 
     4038.0    1.00426  0.0486973 
     4040.0    1.01894  0.0486275 
     4042.0   0.983374  0.0493852 
     4044.0   0.852439   0.061568 
     4046.0   0.808262  0.0794853 
     4048.0   0.972794  0.0780655 
     4050.0   0.965077  0.0568871 
     4052.0   0.847068  0.0485795 
     4054.0   0.965413  0.0483373 
     4056.0   0.932408     0.0478 
     4058.0    0.94055  0.0471636 
     4060.0   0.892361  0.0464839 
     4062.0   0.993314   0.046389 
     4064.0   0.969571  0.0464365 
     4066.0   0.996135  0.0468668 
     4068.0    1.04792  0.0471747 
     4070.0    1.00773   0.046588 
     4072.0   0.999934  0.0463371 
     4074.0    1.04885  0.0461175 
     4076.0    1.05597  0.0499353 
     4078.0   0.946092  0.0507188 
     4080.0    1.04806  0.0508366 
     4082.0   0.933073  0.0479263 
     4084.0   0.943542  0.0470581 
     4086.0   0.899631   0.045536 
     4088.0   0.807617  0.0438134 
     4090.0   0.806842  0.0420612 
     4092.0   0.904401  0.0418243 
     4094.0   0.840561  0.0419392 
     4096.0   0.888691  0.0417874 
     4098.0   0.932014  0.0423463 
     4100.0   0.949909  0.0425564 
     4102.0    1.00936  0.0426795 
     4104.0   0.972303  0.0424696 
     4106.0    1.05179  0.0436214 
     4108.0     1.0947  0.0439498 
     4110.0    1.09757  0.0442405 
     4112.0     1.1038     0.0443 
     4114.0    1.13969  0.0444963 
     4116.0    1.11235  0.0442237 
     4118.0    1.06814  0.0439621 
     4120.0    1.06879  0.0433166 
     4122.0     1.0693  0.0435631 
     4124.0    1.16045  0.0441994 
     4126.0    1.17671  0.0445347 
     4128.0   0.965617  0.0432664 
     4130.0     1.0476  0.0436866 
     4132.0    1.06674  0.0448062 
     4134.0    1.11332  0.0452871 
     4136.0    1.11004  0.0442171 
     4138.0    1.07295  0.0446224 
     4140.0    1.17885  0.0456967 
     4142.0    1.09069  0.0445395 
     4144.0    1.12192  0.0428134 
     4146.0    1.07769  0.0425761 
     4148.0    1.08337  0.0427455 
