 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma  mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    13.84843   1.6523  4.40961       1.38616         4050.79195  0.00712  0.09846     0.01711  1.58562     16.68948   6478.03123   -19.29344  0.65007   8491.67274    3e-05  57958.52584   52.2364   0.28509  16.89765     57989.82 
     13.8152  1.81989  3.94562       1.51265         3670.33679  0.03494  0.11874     0.01565  1.41333     18.20697   3423.25514   -17.39374  0.52424   9499.35388  0.00089  57960.42554  52.31538   1.34175  16.89702  57990.01679 
    13.54373  1.86635  3.73581       1.54002         4212.06013  0.00104  0.10399     0.01082  1.45516      18.6178   3657.70821   -16.10555  1.05923   8779.45799   0.0023  57961.71373  52.25167   0.04035  16.87685      57986.0 
    13.72847   1.7475  3.84845        2.0043         4000.88038  0.01018  0.13847     0.01654  1.06187     16.65215   9714.10171   -16.45463  0.67087   8696.55447    2e-05  57961.36465  52.18921   0.34868  16.85655     57987.78 
    13.32192  1.46107  3.01537       1.44101         4132.36444  0.36033  0.13911     0.01329   1.1887     16.86061    4182.7764   -12.51257   1.2593   9403.68094    4e-05  57965.30671  52.27732  12.93589  16.88773     57989.82 
     14.0349  2.00099  5.86237       2.24545          3827.4557  0.00532  0.04812     0.01271  2.99557      19.3446   9621.33634   -22.83698  0.88785   7627.77586  0.01228   57954.9823  52.23298   0.26213   16.7928      57986.8 
    13.56547  1.68989  4.11714       1.67449         4024.02436  0.03836  0.06984     0.01023  2.21956     18.63966   3704.99138   -18.19774  1.51478   8603.98949  0.00242  57959.62154  52.29757   1.72366  16.90045      57986.0 
    13.54111  1.95099  3.91205       1.59346         4097.68065  0.40332  0.11244     0.01133  1.40759      18.8735   6185.01702   -14.38658   1.0451   8917.00855  0.00415   57963.4327  52.25977   15.4651   16.7598  57982.30622 
     13.9989  1.69606  4.19623        1.3498         4142.87015  0.29593  0.06859     0.01026  2.43042     18.10171   5581.63051   -14.53829   0.3499   9845.85851   0.0007  57963.28099  52.42718  13.68487  16.88198     57991.15 
     13.4521  1.93958  3.50611       2.26042          3730.0931  0.00702  0.11128     0.01034   1.3707     18.39663   7596.18163    -15.2042  1.23584   9041.14052  0.00138  57962.61508   52.2674   0.26634  16.79354  57990.01679 
    13.72499  1.80866  3.48095       2.14053         3535.11474  0.00233  0.11905     0.01141  1.13235     20.46828   3537.74313   -16.64113  0.62359   7818.77327  0.16331  57961.17815  52.10842   0.08184  16.75061      57986.8 
    13.72301   1.9771  4.21125        1.5958         4045.03509  0.19979  0.08618     0.01082  1.87741     16.28959   4362.46537    -13.0534  0.77885   9889.06295    1e-05  57964.76588  52.39442   8.49298  16.78038     57987.78 
    13.92373  1.81829  4.67601       1.71303         4069.20923  0.00196  0.11264     0.01982  1.13354     19.45837   5642.13963   -25.42211  0.67126     7090.596  0.01596  57952.39716  52.02369   0.06902  16.83253     57986.77 
    13.57236  1.67437  3.89442       1.79454         3903.22758  0.37111    0.101      0.0137  1.64796     18.09948   7237.24027   -15.78773  0.87211   9242.34937   0.0007  57962.03155  52.31598  15.07609    16.836     57989.82 
    13.56697  1.57932  3.96085       1.61154         4053.34888  0.00234  0.08374     0.01141  1.81621     18.10601   7310.63174   -24.10554  1.32314   7563.59408  0.00071  57953.71374  52.15665   0.09835  16.75948  57978.45093 
    13.37752  1.26981  3.48421       1.62524          3808.9461  0.46657  0.11196     0.01733  1.56553     17.70895   6604.31536    -16.9043  1.51997   9272.07673  0.00028  57960.91498  52.31076  18.60784  16.83932     57989.82 
    13.88239   1.8726  4.74958       1.39862         3991.20485  0.07871  0.09639     0.01584  1.63276     17.37021   7360.02994   -21.75751  0.69898    8215.8177  0.00013  57956.06177  52.21228   3.18701  16.78051     57990.82 
     13.7642  1.76434  4.35558       1.87856         4073.29543  0.00133   0.1171     0.01641  1.00113     16.34174   9255.36521   -24.46696  0.84983   6624.58637    1e-05  57953.35232   51.9419   0.04456  16.93669     57989.82 
    13.67622  1.77623  3.88374       2.08027          3734.1535  0.00327  0.23755     0.02871  0.65508     19.24838   6535.13983   -15.08381  0.70608   8693.05639  0.00984  57962.73547  52.08986   0.08924   16.8171     57991.15 
    13.65669  1.98017  4.27336       1.95918         3685.27511  0.14788  0.07988     0.01041  1.91062     19.21193   5514.70371   -16.91731   1.0215   8997.39153  0.00905  57960.90196  52.31493   6.32363  16.88655     57989.82 
    13.83929  1.96396  4.51325       1.98167         3677.19194  0.00692  0.08823     0.01242  1.87212     16.47675    4795.7747   -13.41283  0.66191   9463.13995    2e-05  57964.40645  52.35577   0.29382  16.89532     57987.78 
    13.47396   1.7832   3.6594       2.14043         3843.21264  0.00936  0.09646     0.01019  1.57082     19.45679   5224.42392   -14.78322  1.50425   8954.39197   0.0159  57963.03606  52.28101   0.37363  16.90199     57989.82 
    13.64309  1.73526  4.32178       1.82105         4072.55027  0.04502  0.07775      0.0121   1.9402     18.71306   5044.13871   -18.13093  1.12608   8510.78841  0.00287  57959.68835  52.26889   1.93507  16.83972     57989.82 
    13.83916  1.79001  4.80879       1.26644         4069.49092  0.00807  0.18672     0.03684    0.799     17.87326   5175.38406   -27.10877  0.98047   7365.31129  0.00041  57950.71051  51.98937   0.24321  16.82307  57990.01679 
    13.56734  1.66015  4.30545       1.66226          4039.5492  0.35058  0.07651     0.01164   1.9014     18.57276    7619.2425   -19.54979   1.4618   8171.71249  0.00208  57958.26949  52.23061  14.96754   16.8072     57991.15 
    13.60065  1.65948  3.77783       1.75761         3941.93838  0.01368   0.1109     0.01371  1.40119     19.53372    7869.3467   -17.22431  0.94331   8735.54632  0.01899  57960.59497  52.24116   0.52346  16.84495     57990.82 
