# STATUS =
# OBJECT = 2017gci
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2017-12-15 04:49:06.00
# MJD = 58102.20076389983
# EXPTIME = 2700.0
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3640.097
# MAX_WAVE = 9237.079
# COMMENT = Released as part of DR4
 Wavelength            Flux          Error 
   3640.097  -5.3555275e-18  4.7540146e-18 
  3645.6165  -1.6345797e-18  4.6605734e-18 
  3651.1362    9.683178e-18  4.6343232e-18 
   3656.656   1.3012617e-17  4.5825206e-18 
  3662.1758    7.460815e-18  4.3604197e-18 
  3667.6953    1.391037e-17   4.333443e-18 
   3673.215   3.5208662e-20  4.1013228e-18 
  3678.7349    8.323597e-18    4.14111e-18 
  3684.2546  1.13176076e-17  4.0744928e-18 
  3689.7742   6.1521368e-18   4.068361e-18 
   3695.294   1.5274676e-17  4.0755743e-18 
  3700.8137   1.6899849e-18   3.867061e-18 
  3706.3333   3.5826156e-18  3.8953287e-18 
   3711.853   1.2846297e-17  3.9773602e-18 
  3717.3728   1.7027518e-17  4.0978697e-18 
  3722.8926    5.842635e-18   4.041449e-18 
   3728.412  -1.8729456e-18  3.8790676e-18 
   3733.932   4.0319736e-18  3.7415497e-18 
  3739.4517   5.3954746e-18  3.6267217e-18 
  3744.9712    1.389238e-17  3.6226966e-18 
   3750.491   1.4008208e-17   3.481872e-18 
  3756.0107   1.1380542e-17  3.4195541e-18 
  3761.5305    1.034073e-17  3.3661859e-18 
    3767.05    7.948275e-18  3.3317505e-18 
  3772.5698   7.2784325e-18  3.2755333e-18 
  3778.0896   1.0706827e-17  3.2794146e-18 
  3783.6091   3.2717001e-18  3.1835223e-18 
   3789.129   4.3973107e-18  3.1657087e-18 
  3794.6487    8.454189e-18   3.083137e-18 
  3800.1685   8.5918795e-18  3.0590928e-18 
   3805.688   1.2484406e-17   3.115581e-18 
  3811.2078    4.407208e-18  2.9884456e-18 
  3816.7275   9.3027064e-18  3.0742354e-18 
   3822.247   5.8517408e-18  3.0474841e-18 
  3827.7668   1.0594614e-18  2.9219626e-18 
  3833.2866   1.0843507e-17   2.974052e-18 
  3838.8064   6.3211877e-18  2.8787647e-18 
   3844.326   1.5311644e-17   2.926296e-18 
  3849.8457    9.503746e-18  2.8382504e-18 
  3855.3655    9.540349e-18  2.7926064e-18 
   3860.885    7.269185e-18  2.7360932e-18 
  3866.4048    1.152701e-17  2.7096416e-18 
  3871.9246   1.3079498e-17   2.687427e-18 
  3877.4443   9.0125265e-18  2.6224047e-18 
  3882.9639   6.7687077e-18   2.553454e-18 
  3888.4836   1.1346529e-17  2.6270566e-18 
  3894.0034    8.250607e-18   2.565331e-18 
  3899.5232  1.14287145e-17  2.6181642e-18 
  3905.0427   1.6611999e-17  2.6702062e-18 
  3910.5625   1.0145999e-17  2.6222817e-18 
  3916.0823    6.127305e-18  2.5112707e-18 
  3921.6018   1.0387641e-17  2.5090034e-18 
  3927.1216    4.347653e-18   2.399617e-18 
  3932.6414   1.1580654e-17  2.4173065e-18 
  3938.1611    6.139176e-18   2.425875e-18 
  3943.6807    7.318102e-18  2.4454116e-18 
  3949.2004   1.2673849e-17  2.4474496e-18 
  3954.7202   1.2767426e-17  2.4189776e-18 
  3960.2397    9.257136e-18  2.3111552e-18 
  3965.7595   6.4317267e-18  2.2371757e-18 
  3971.2793    8.027644e-18  2.2764345e-18 
   3976.799    5.323111e-18  2.2590327e-18 
  3982.3186   9.1583965e-18  2.3311306e-18 
  3987.8384   1.2343395e-17  2.3460015e-18 
  3993.3582   1.3884839e-17   2.372185e-18 
  3998.8777   4.5356943e-18  2.2594405e-18 
  4004.3975    7.167205e-18    2.30265e-18 
  4009.9172    8.630861e-18   2.308869e-18 
   4015.437   1.3076289e-17  2.3560403e-18 
  4020.9565   6.2939106e-18  2.2830795e-18 
  4026.4763    7.474095e-18    2.26263e-18 
   4031.996   1.0756413e-17  2.2591657e-18 
  4037.5156   1.0302665e-17  2.2389604e-18 
  4043.0354   1.2720626e-17  2.2758522e-18 
  4048.5552   1.4736014e-17   2.308786e-18 
   4054.075  1.08898485e-17  2.2772357e-18 
  4059.5945   1.3072613e-17  2.2543875e-18 
  4065.1143    9.803908e-18  2.2059594e-18 
   4070.634   1.0514003e-17  2.2162646e-18 
  4076.1536   1.2017601e-17   2.193395e-18 
  4081.6733    8.538221e-18  2.1252975e-18 
   4087.193    9.069404e-18     2.1253e-18 
   4092.713   3.2607745e-18   2.036055e-18 
  4098.2324   7.1608645e-18  2.0554737e-18 
  4103.7524    9.072419e-18  2.0255689e-18 
   4109.272   8.0278615e-18  2.0208192e-18 
  4114.7915   4.5909773e-18  1.9820794e-18 
  4120.3115    7.140543e-18  2.0160013e-18 
   4125.831   6.7408673e-18  1.9944969e-18 
  4131.3506   6.5961285e-18  2.0368295e-18 
  4136.8706   6.3710336e-18  1.9734313e-18 
    4142.39   4.6561207e-18  1.9647275e-18 
  4147.9097    7.427565e-18  1.9871068e-18 
  4153.4297    7.414711e-18  1.9828692e-18 
   4158.949    8.570311e-18   2.009182e-18 
  4164.4688   1.1186356e-17  2.0474211e-18 
   4169.989   9.0977484e-18  2.0222328e-18 
  4175.5083   6.1971015e-18   1.985956e-18 
  4181.0283    6.465915e-18   1.950272e-18 
   4186.548   3.5683563e-19    1.88275e-18 
  4192.0674   6.6097815e-18  1.9073784e-18 
  4197.5874  1.03274095e-17   1.922893e-18 
