# STATUS =
# OBJECT = 2017gci
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2017-08-22 09:08:42.00
# MJD = 57987.38104170002
# EXPTIME = 1500.0
# AIRMASS = 1.791
# SLIT = 1.5
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3628.38183594
# MAX_WAVE = 9224.0850811
# COMMENT = --
    Wavelength          Flux 
 3633.90028095   7.02073e-16 
 3639.41872597   7.45029e-16 
 3644.93717098   7.75656e-16 
   3650.455616   7.57173e-16 
 3655.97406101   7.80413e-16 
 3661.49250603   8.01661e-16 
 3667.01095104   7.75853e-16 
 3672.52939606   7.72045e-16 
 3678.04784107   7.74927e-16 
 3683.56628609   7.74684e-16 
  3689.0847311   8.03868e-16 
 3694.60317612   7.82366e-16 
 3700.12162113   7.93444e-16 
 3705.64006615   7.74575e-16 
 3711.15851116   7.85585e-16 
 3716.67695618   7.91639e-16 
 3722.19540119   7.93722e-16 
 3727.71384621   8.00669e-16 
 3733.23229122   7.84874e-16 
 3738.75073624   8.04852e-16 
 3744.26918125   7.96081e-16 
 3749.78762627   7.94836e-16 
 3755.30607128   7.85396e-16 
  3760.8245163   7.97802e-16 
 3766.34296131   7.67891e-16 
 3771.86140633   7.52978e-16 
 3777.37985134   7.47838e-16 
 3782.89829636   7.53739e-16 
 3788.41674137   7.44797e-16 
 3793.93518639   7.61776e-16 
  3799.4536314   7.46066e-16 
 3804.97207642    7.6853e-16 
 3810.49052143   7.52872e-16 
 3816.00896645   7.73685e-16 
 3821.52741146   7.66498e-16 
 3827.04585648   7.68043e-16 
 3832.56430149   7.46579e-16 
 3838.08274651   7.46761e-16 
 3843.60119152   7.66441e-16 
 3849.11963654   7.59462e-16 
 3854.63808155   7.74372e-16 
 3860.15652657   7.49783e-16 
 3865.67497158   7.49495e-16 
  3871.1934166   7.42645e-16 
 3876.71186161   7.51109e-16 
 3882.23030663    7.6398e-16 
 3887.74875164   7.67856e-16 
 3893.26719666   7.41282e-16 
 3898.78564167    7.4537e-16 
