# STATUS =
# OBJECT = 2017gci
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2017-10-19 07:33:25.00
# MJD = 58045.31487269979
# EXPTIME = 2700.0
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3637.9558
# MAX_WAVE = 9234.315
# COMMENT = Released as part of DR4
 Wavelength           Flux           Error 
  3637.9558  1.5168164e-15   1.8617175e-17 
  3643.4749  1.5603369e-15   1.8689962e-17 
   3648.994  1.6675562e-15   1.8892676e-17 
  3654.5132   1.654244e-15    1.863016e-17 
  3660.0322  1.6386556e-15   1.8267136e-17 
  3665.5513  1.5938703e-15   1.7960915e-17 
  3671.0703  1.5815804e-15   1.7629158e-17 
  3676.5894  1.6308567e-15   1.7716189e-17 
  3682.1086  1.6693997e-15   1.7825836e-17 
  3687.6277  1.7020417e-15   1.7836734e-17 
  3693.1467  1.6855147e-15   1.7639769e-17 
  3698.6658  1.6511394e-15   1.7371969e-17 
  3704.1848  1.6062591e-15   1.6912237e-17 
   3709.704  1.6254645e-15   1.6938837e-17 
  3715.2231  1.6089769e-15   1.6802832e-17 
  3720.7422  1.5224928e-15    1.639113e-17 
  3726.2612  1.4409416e-15   1.5946975e-17 
  3731.7803  1.4138454e-15   1.5655624e-17 
  3737.2996  1.4508404e-15   1.5628345e-17 
  3742.8186  1.5232143e-15   1.5761955e-17 
  3748.3376  1.6226795e-15    1.597595e-17 
  3753.8567  1.6577218e-15   1.5938612e-17 
  3759.3757  1.7395438e-15   1.6094557e-17 
   3764.895  1.8222338e-15   1.6353778e-17 
   3770.414  1.9750689e-15   1.6842668e-17 
   3775.933  2.0120683e-15   1.6859569e-17 
  3781.4521  1.8928228e-15   1.6310284e-17 
  3786.9712   1.789172e-15   1.5777148e-17 
  3792.4905  1.8001347e-15     1.56864e-17 
  3798.0095    1.90755e-15   1.5980086e-17 
  3803.5286  1.8955625e-15   1.5895306e-17 
  3809.0476  1.7417275e-15   1.5216555e-17 
  3814.5667  1.5550559e-15    1.450168e-17 
   3820.086     1.3935e-15   1.3764418e-17 
   3825.605  1.2855558e-15  1.32321824e-17 
   3831.124  1.3328816e-15    1.338364e-17 
   3836.643  1.5158955e-15   1.3989022e-17 
  3842.1624  1.7485261e-15   1.4717547e-17 
  3847.6814  1.8291412e-15   1.4921026e-17 
  3853.2004  1.8143804e-15   1.4734686e-17 
  3858.7195  1.7440183e-15   1.4397216e-17 
  3864.2385  1.7804874e-15    1.442001e-17 
  3869.7578  1.7541061e-15   1.4186985e-17 
  3875.2769  1.6661335e-15   1.3812329e-17 
   3880.796   1.656125e-15  1.36839074e-17 
   3886.315  1.6963546e-15   1.3783004e-17 
   3891.834   1.832132e-15   1.4223225e-17 
  3897.3533  1.9576018e-15   1.4622391e-17 
  3902.8723   1.995423e-15   1.4725769e-17 
  3908.3914  2.0180895e-15   1.4707419e-17 
  3913.9104  1.9420814e-15   1.4642439e-17 
  3919.4294  1.5667719e-15   1.2965394e-17 
  3924.9487  1.2138927e-15   1.1523041e-17 
  3930.4678  1.0216489e-15   1.0663741e-17 
  3935.9868  1.1860143e-15   1.1358515e-17 
