          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 58094.662885   17.373  17.3995    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  58102.66444  18.4403  18.4668    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58110.657121  19.7328  19.7593    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58116.662002  19.4385   19.465    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58120.589641  19.6804  19.7069    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58122.660008  18.9938  19.0203    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58128.655435  20.0758  20.1023    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58134.653108   19.818  19.8445    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58138.661915    19.48  19.5065    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58144.666082  19.8359  19.8624    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58148.636378  19.8461  19.8726    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58150.605085  19.2916  19.3181    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58152.652754   19.821  19.8475    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58156.641254  19.8945   19.921    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58162.606191  19.6431  19.6696    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58176.592248  20.2064  20.2329    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
   58182.3736  17.5453      nan    -1.0        P48         ZTF       r   True      AB    True  2020ApJ...901...61L 
   58182.3748  19.6253      nan    -1.0        P48         ZTF       r   True      AB    True  2020ApJ...901...61L 
   58182.3951  15.3453      nan    -1.0        P48         ZTF       r   True      AB    True  2020ApJ...901...61L 
   58182.4084  18.8853      nan    -1.0        P48         ZTF       r   True      AB    True  2020ApJ...901...61L 
   58186.4052  20.7653      nan    -1.0        P48         ZTF       r   True      AB   False  2020ApJ...901...61L 
   58186.4059  20.4653      nan    -1.0        P48         ZTF       r   True      AB   False  2020ApJ...901...61L 
   58186.5103  20.2453      nan    -1.0        P48         ZTF       r   True      AB   False  2020ApJ...901...61L 
   58186.5127  20.5753      nan    -1.0        P48         ZTF       r   True      AB   False  2020ApJ...901...61L 
   58188.5246  19.8077  19.8342    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58194.532238  20.6279  20.6641    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58196.519647  20.4122  20.4484    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
   58198.3719  19.9753      nan    -1.0        P48         ZTF       r   True      AB   False  2020ApJ...901...61L 
   58198.3837  20.6453      nan    -1.0        P48         ZTF       r   True      AB   False  2020ApJ...901...61L 
    58199.322  19.1853      nan    -1.0        P48         ZTF       r   True      AB    True  2020ApJ...901...61L 
