# STATUS =
# OBJECT = 2018avk
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2018-05-14 00:00:00.00
# MJD = 58252.0
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2020ApJ...901...61L
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3086.9788
# MAX_WAVE = 10288.188
# COMMENT = --
 Wavelength          Flux        Error 
   3088.907   6.85996e-17  4.74054e-16 
  3090.8362   3.32161e-18  3.44032e-16 
  3092.7661   4.92002e-17  3.46821e-16 
  3094.6968   6.35084e-17  2.91821e-16 
  3096.6282   2.54745e-17  3.20229e-16 
  3098.5605    9.3406e-17    2.783e-16 
  3100.4939   3.73341e-17   2.9321e-16 
  3102.4277   1.47756e-16  2.48289e-16 
  3104.3625   1.00318e-16  2.64876e-16 
  3106.2981   1.72867e-17  2.13536e-16 
  3108.2346   8.20982e-17  2.28824e-16 
  3110.1719   6.03177e-17  2.19327e-16 
  3112.1101   1.45711e-16  2.13335e-16 
  3114.0488  -3.00934e-18  2.30455e-16 
  3115.9885   6.11582e-17  2.07308e-16 
   3117.929   1.07974e-16  1.72736e-16 
  3119.8701   9.96175e-17  2.04661e-16 
  3121.8123    9.6836e-17   1.5814e-16 
  3123.7551   7.18476e-17  1.33847e-16 
  3125.6987   1.08276e-16   1.3921e-16 
  3127.6433   1.98176e-16  1.61591e-16 
  3129.5884   1.61612e-16  1.76549e-16 
  3131.5344   1.21675e-16  1.63666e-16 
  3133.4812   1.36686e-16  1.76781e-16 
   3135.429   1.39815e-16  1.67952e-16 
  3137.3772   1.13269e-16  1.66138e-16 
  3139.3264   9.31835e-17  2.10491e-16 
  3141.2764   1.21321e-16  2.66097e-16 
  3143.2271   8.41575e-17  3.27651e-16 
  3145.1785   1.62202e-16  3.33803e-16 
  3147.1309   1.29053e-16  2.91993e-16 
  3149.0837   1.18643e-16  2.65557e-16 
  3151.0376   1.70478e-16  2.49216e-16 
  3152.9922   1.63869e-16  2.17064e-16 
  3154.9475   1.44671e-16  1.99828e-16 
  3156.9036   1.77737e-16  1.83632e-16 
  3158.8604   1.42742e-16  1.85922e-16 
  3160.8181   1.37578e-16  1.84609e-16 
  3162.7764   1.51145e-16  1.74825e-16 
  3164.7356   1.77242e-16  1.92731e-16 
  3166.6953    1.4135e-16  1.65268e-16 
   3168.656   1.54265e-16  1.29551e-16 
  3170.6174    1.6825e-16  1.44932e-16 
  3172.5796   1.38276e-16  1.30047e-16 
  3174.5425   1.53633e-16  1.23323e-16 
  3176.5061   1.93674e-16  1.31519e-16 
  3178.4702   1.84164e-16  1.23421e-16 
  3180.4353   2.28687e-16  1.04284e-16 
  3182.4011   1.74438e-16  1.22015e-16 
  3184.3679   1.70182e-16  1.25181e-16 
  3186.3352   1.94602e-16  1.22806e-16 
   3188.303   1.98848e-16  1.26743e-16 
   3190.272   1.96375e-16  1.33621e-16 
  3192.2415   1.62066e-16  1.10735e-16 
  3194.2117   1.98822e-16  1.15661e-16 
  3196.1826   1.69143e-16  1.19149e-16 
  3198.1543   1.76339e-16  1.14838e-16 
  3200.1267   1.53554e-16  1.08978e-16 
  3202.0996   1.56039e-16  1.11819e-16 
  3204.0735   2.05477e-16  1.23459e-16 
  3206.0481    1.7191e-16   1.6963e-16 
  3208.0232   1.52182e-16   2.1295e-16 
  3209.9993   1.68075e-16    2.602e-16 
  3211.9761   1.78414e-16  2.76485e-16 
  3213.9534   1.75999e-16  2.52542e-16 
  3215.9314   2.07956e-16  2.21299e-16 
  3217.9102   1.35086e-16  1.91551e-16 
  3219.8896   1.56363e-16  1.83714e-16 
  3221.8699   1.49155e-16  1.70057e-16 
  3223.8508   1.45232e-16  1.68992e-16 
  3225.8325   1.32605e-16  1.69146e-16 
  3227.8147   1.61686e-16  1.63103e-16 
  3229.7976   1.45561e-16  1.69068e-16 
  3231.7815   1.49529e-16  1.59564e-16 
  3233.7659   1.82156e-16  1.61681e-16 
  3235.7507   1.77233e-16  1.57739e-16 
  3237.7366   1.63121e-16  1.48448e-16 
  3239.7229   1.62052e-16  1.39443e-16 
  3241.7102   1.63782e-16  1.29123e-16 
   3243.698   1.42462e-16   1.2458e-16 
  3245.6863   1.41256e-16  1.17291e-16 
  3247.6755   1.27873e-16  9.99193e-17 
  3249.6653   1.40906e-16  9.83073e-17 
   3251.656   1.28803e-16  1.14961e-16 
  3253.6472   1.33171e-16  1.18803e-16 
  3255.6389   1.14431e-16  1.28662e-16 
  3257.6316   1.37061e-16  1.52394e-16 
  3259.6248   1.35184e-16  1.62175e-16 
  3261.6187   1.47818e-16  1.71088e-16 
   3263.613   1.37303e-16  1.63574e-16 
  3265.6084   1.68526e-16   1.5307e-16 
   3267.604   1.65187e-16  1.45694e-16 
  3269.6006   1.53945e-16   1.3823e-16 
  3271.5979   1.74336e-16  1.28421e-16 
  3273.5957   1.47848e-16  1.17232e-16 
   3275.594    1.4293e-16  1.12401e-16 
  3277.5933   1.44633e-16  1.08167e-16 
   3279.593   1.53575e-16  1.10845e-16 
  3281.5935   1.48252e-16  1.14464e-16 
  3283.5945   1.51668e-16  1.32742e-16 
  3285.5962   1.58029e-16  1.32096e-16 
  3287.5986   1.48496e-16  1.59363e-16 
  3289.6016   1.76997e-16  1.68558e-16 
  3291.6052   1.90998e-16  1.92644e-16 
  3293.6096   1.33729e-16  2.30792e-16 
  3295.6145   1.52343e-16  2.40074e-16 
  3297.6201    2.0522e-16  2.23269e-16 
  3299.6262   1.68901e-16  1.83008e-16 
  3301.6331   1.78062e-16   1.7006e-16 
