       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 58213.072    99.0  24.684  22.936  4639.27     3631.0       g 
 58213.072    99.0  24.734  22.985  4746.48     3631.0   g-P48 
 58213.072    99.0  24.891  23.136  5182.42     3631.0    cyan 
 58213.072    99.0  25.229  23.467  6141.12     3631.0       r 
 58213.072    99.0  25.281  23.519  6366.38     3631.0   r-P48 
 58213.072    99.0  25.362    23.6  6629.82     3631.0  orange 
 58213.072    99.0  25.598  23.835  7457.89     3631.0       i 
 58214.194  21.834  21.252  20.938  4639.27     3631.0       g 
 58214.194  21.883  21.299  20.986  4746.48     3631.0   g-P48 
 58214.194  22.039  21.447  21.136  5182.42     3631.0    cyan 
 58214.194  22.379  21.767  21.455  6141.12     3631.0       r 
 58214.194  22.431  21.817  21.504  6366.38     3631.0   r-P48 
 58214.194  22.513  21.895  21.582  6629.82     3631.0  orange 
 58214.194   22.75  22.124  21.809  7457.89     3631.0       i 
 58215.783  20.147  19.981  19.893  4639.27     3631.0       g 
 58215.783  20.193  20.025  19.937  4746.48     3631.0   g-P48 
 58215.783  20.338  20.167  20.072  5182.42     3631.0    cyan 
 58215.783   20.65  20.473  20.367  6141.12     3631.0       r 
 58215.783  20.698  20.519  20.413  6366.38     3631.0   r-P48 
 58215.783  20.775  20.594  20.488  6629.82     3631.0  orange 
 58215.783  20.995  20.809  20.702  7457.89     3631.0       i 
 58217.199  19.482  19.407   19.34  4639.27     3631.0       g 
 58217.199  19.522   19.45  19.382  4746.48     3631.0   g-P48 
 58217.199  19.655  19.581  19.513  5182.42     3631.0    cyan 
 58217.199  19.956   19.87  19.798  6141.12     3631.0       r 
 58217.199  20.002  19.915  19.842  6366.38     3631.0   r-P48 
 58217.199  20.077  19.989  19.915  6629.82     3631.0  orange 
 58217.199  20.288  20.198  20.122  7457.89     3631.0       i 
 58217.219  19.475  19.401  19.333  4639.27     3631.0       g 
 58217.219  19.516  19.444  19.376  4746.48     3631.0   g-P48 
 58217.219  19.649  19.575  19.507  5182.42     3631.0    cyan 
 58217.219  19.949  19.863  19.792  6141.12     3631.0       r 
 58217.219  19.995  19.908  19.835  6366.38     3631.0   r-P48 
 58217.219   20.07  19.982  19.908  6629.82     3631.0  orange 
 58217.219  20.281   20.19  20.115  7457.89     3631.0       i 
 58218.494  19.089  19.036  18.982  4639.27     3631.0       g 
 58218.494  19.131  19.077  19.024  4746.48     3631.0   g-P48 
 58218.494   19.26  19.204  19.151  5182.42     3631.0    cyan 
 58218.494  19.538  19.481  19.425  6141.12     3631.0       r 
 58218.494  19.582  19.525  19.468  6366.38     3631.0   r-P48 
 58218.494  19.654  19.596  19.538  6629.82     3631.0  orange 
 58218.494  19.861  19.801  19.737  7457.89     3631.0       i 
 58221.206  18.548  18.506  18.468  4639.27     3631.0       g 
 58221.206  18.586  18.545  18.506  4746.48     3631.0   g-P48 
 58221.206  18.701  18.661  18.623  5182.42     3631.0    cyan 
 58221.206  18.955  18.916  18.879  6141.12     3631.0       r 
 58221.206  18.995  18.956  18.918  6366.38     3631.0   r-P48 
 58221.206  19.062  19.024  18.986  6629.82     3631.0  orange 
 58221.206  19.254  19.215  19.177  7457.89     3631.0       i 
 58221.207  18.547  18.506  18.468  4639.27     3631.0       g 
 58221.207  18.585  18.544  18.506  4746.48     3631.0   g-P48 
 58221.207  18.701   18.66  18.622  5182.42     3631.0    cyan 
 58221.207  18.955  18.916  18.879  6141.12     3631.0       r 
 58221.207  18.995  18.956  18.918  6366.38     3631.0   r-P48 
 58221.207  19.062  19.023  18.986  6629.82     3631.0  orange 
 58221.207  19.254  19.214  19.176  7457.89     3631.0       i 
 58221.384  18.519  18.479  18.442  4639.27     3631.0       g 
 58221.384  18.557  18.517   18.48  4746.48     3631.0   g-P48 
 58221.384  18.673  18.632  18.595  5182.42     3631.0    cyan 
 58221.384  18.924  18.887  18.849  6141.12     3631.0       r 
 58221.384  18.965  18.926  18.889  6366.38     3631.0   r-P48 
 58221.384  19.032  18.994  18.957  6629.82     3631.0  orange 
 58221.384  19.222  19.184  19.147  7457.89     3631.0       i 
 58221.388  18.519  18.479  18.441  4639.27     3631.0       g 
 58221.388  18.557  18.516  18.479  4746.48     3631.0   g-P48 
 58221.388  18.672  18.632  18.594  5182.42     3631.0    cyan 
 58221.388  18.923  18.886  18.849  6141.12     3631.0       r 
 58221.388  18.964  18.926  18.888  6366.38     3631.0   r-P48 
 58221.388  19.031  18.993  18.956  6629.82     3631.0  orange 
 58221.388  19.221  19.183  19.146  7457.89     3631.0       i 
 58223.917  18.184  18.155  18.126  4639.27     3631.0       g 
 58223.917   18.22  18.191  18.162  4746.48     3631.0   g-P48 
 58223.917  18.324  18.297  18.269  5182.42     3631.0    cyan 
 58223.917  18.561  18.535  18.504  6141.12     3631.0       r 
 58223.917  18.598  18.572  18.541  6366.38     3631.0   r-P48 
 58223.917  18.664  18.636  18.605  6629.82     3631.0  orange 
 58223.917  18.843  18.818  18.787  7457.89     3631.0       i 
 58226.628  17.926  17.903  17.876  4639.27     3631.0       g 
 58226.628  17.959  17.935  17.909  4746.48     3631.0   g-P48 
 58226.628  18.055  18.032  18.007  5182.42     3631.0    cyan 
 58226.628  18.274  18.251  18.226  6141.12     3631.0       r 
 58226.628  18.308  18.287  18.262  6366.38     3631.0   r-P48 
 58226.628   18.37  18.349  18.324  6629.82     3631.0  orange 
 58226.628   18.54  18.521  18.496  7457.89     3631.0       i 
 58227.164  17.884  17.861  17.835  4639.27     3631.0       g 
 58227.164  17.917  17.894  17.868  4746.48     3631.0   g-P48 
 58227.164   18.01  17.989  17.964  5182.42     3631.0    cyan 
 58227.164  18.225  18.204  18.179  6141.12     3631.0       r 
 58227.164  18.259  18.239  18.215  6366.38     3631.0   r-P48 
 58227.164   18.32    18.3  18.276  6629.82     3631.0  orange 
 58227.164   18.49  18.471  18.446  7457.89     3631.0       i 
 58227.383  17.868  17.844  17.819  4639.27     3631.0       g 
 58227.383    17.9  17.877  17.852  4746.48     3631.0   g-P48 
 58227.383  17.992  17.972  17.947  5182.42     3631.0    cyan 
 58227.383  18.206  18.185  18.161  6141.12     3631.0       r 
 58227.383   18.24   18.22  18.196  6366.38     3631.0   r-P48 
 58227.383  18.301  18.282  18.257  6629.82     3631.0  orange 
 58227.383   18.47  18.451  18.426  7457.89     3631.0       i 
 58229.339  17.736  17.714  17.691  4639.27     3631.0       g 
 58229.339  17.766  17.746  17.722  4746.48     3631.0   g-P48 
 58229.339  17.851  17.832  17.812  5182.42     3631.0    cyan 
 58229.339  18.051  18.034  18.012  6141.12     3631.0       r 
 58229.339  18.084  18.067  18.045  6366.38     3631.0   r-P48 
 58229.339  18.143  18.126  18.104  6629.82     3631.0  orange 
 58229.339  18.307  18.289  18.267  7457.89     3631.0       i 
  58232.05  17.588  17.572  17.553  4639.27     3631.0       g 
  58232.05  17.617  17.601  17.582  4746.48     3631.0   g-P48 
  58232.05  17.694  17.679   17.66  5182.42     3631.0    cyan 
  58232.05  17.879  17.862  17.843  6141.12     3631.0       r 
  58232.05   17.91  17.893  17.874  6366.38     3631.0   r-P48 
  58232.05  17.965  17.949   17.93  6629.82     3631.0  orange 
  58232.05  18.121  18.102  18.083  7457.89     3631.0       i 
 58234.207  17.497  17.483  17.467  4639.27     3631.0       g 
 58234.207  17.524   17.51  17.494  4746.48     3631.0   g-P48 
 58234.207  17.594  17.581  17.565  5182.42     3631.0    cyan 
 58234.207  17.767   17.75  17.735  6141.12     3631.0       r 
 58234.207  17.796  17.779  17.764  6366.38     3631.0   r-P48 
 58234.207  17.849  17.833  17.817  6629.82     3631.0  orange 
 58234.207  17.999   17.98  17.962  7457.89     3631.0       i 
  58234.23  17.496  17.482  17.466  4639.27     3631.0       g 
  58234.23  17.523  17.509  17.493  4746.48     3631.0   g-P48 
  58234.23  17.593   17.58  17.564  5182.42     3631.0    cyan 
  58234.23  17.766  17.749  17.734  6141.12     3631.0       r 
  58234.23  17.795  17.778  17.763  6366.38     3631.0   r-P48 
  58234.23  17.848  17.832  17.816  6629.82     3631.0  orange 
  58234.23  17.997  17.979  17.961  7457.89     3631.0       i 
 58234.762  17.477  17.463  17.447  4639.27     3631.0       g 
 58234.762  17.503   17.49  17.474  4746.48     3631.0   g-P48 
 58234.762  17.572  17.559  17.543  5182.42     3631.0    cyan 
 58234.762  17.741  17.725  17.711  6141.12     3631.0       r 
 58234.762   17.77  17.754  17.739  6366.38     3631.0   r-P48 
 58234.762  17.823  17.806   17.79  6629.82     3631.0  orange 
 58234.762   17.97  17.952  17.934  7457.89     3631.0       i 
