# STATUS =
# OBJECT = 2018beh
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2018-05-11 23:24:18.00
# MJD = 58249.975208300166
# EXPTIME = 1800
# AIRMASS = 1.477
# SLIT = 1
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3338.26928711
# MAX_WAVE = 7458.14019299
# COMMENT = [Prev. spec info - createdby: nikola-UploadSet; modifiedby: nikola-UploadSet]
    Wavelength         Flux 
 3342.34836721  7.10979e-16 
 3346.42744732  6.75409e-16 
 3350.50652742  7.76475e-16 
 3354.58560753   6.7361e-16 
 3358.66468763  6.95663e-16 
 3362.74376774  7.09529e-16 
 3366.82284784  7.63871e-16 
 3370.90192795  7.13557e-16 
 3374.98100805  6.58858e-16 
 3379.06008816   6.4839e-16 
 3383.13916826  6.32148e-16 
 3387.21824837  5.95745e-16 
 3391.29732847  5.88138e-16 
 3395.37640858  6.08604e-16 
 3399.45548868   5.7784e-16 
 3403.53456879  5.84675e-16 
 3407.61364889  5.98129e-16 
   3411.692729  6.10408e-16 
  3415.7718091  6.11056e-16 
 3419.85088921   6.2268e-16 
 3423.92996931  5.96871e-16 
 3428.00904942  6.05836e-16 
 3432.08812952  5.47087e-16 
 3436.16720963  5.82463e-16 
 3440.24628973  6.12104e-16 
 3444.32536983  5.98023e-16 
 3448.40444994  5.81683e-16 
 3452.48353004  5.60182e-16 
 3456.56261015  5.54106e-16 
 3460.64169025  5.28671e-16 
 3464.72077036  5.82627e-16 
 3468.79985046  6.30861e-16 
 3472.87893057  6.07117e-16 
 3476.95801067  5.90592e-16 
 3481.03709078  5.88525e-16 
 3485.11617088  6.12794e-16 
 3489.19525099  6.16358e-16 
 3493.27433109  6.42309e-16 
  3497.3534112  6.03772e-16 
  3501.4324913  6.26862e-16 
 3505.51157141  6.23674e-16 
 3509.59065151  6.24902e-16 
 3513.66973162  6.76254e-16 
 3517.74881172   6.6019e-16 
 3521.82789183  6.31019e-16 
 3525.90697193  6.30863e-16 
 3529.98605204  6.24391e-16 
 3534.06513214  5.86431e-16 
 3538.14421225  6.04732e-16 
 3542.22329235  6.09672e-16 
 3546.30237246  5.85285e-16 
 3550.38145256  5.93584e-16 
 3554.46053267  5.76522e-16 
 3558.53961277  5.88856e-16 
 3562.61869287  5.39379e-16 
 3566.69777298  6.14851e-16 
 3570.77685308  5.86288e-16 
 3574.85593319  5.75273e-16 
 3578.93501329  5.38878e-16 
  3583.0140934  5.79133e-16 
  3587.0931735   5.6205e-16 
 3591.17225361  5.78724e-16 
 3595.25133371  5.90459e-16 
 3599.33041382  5.83901e-16 
 3603.40949392  5.81139e-16 
 3607.48857403   6.1731e-16 
 3611.56765413  5.78479e-16 
 3615.64673424  6.21686e-16 
 3619.72581434   6.0576e-16 
 3623.80489445  6.02477e-16 
 3627.88397455  6.05705e-16 
 3631.96305466  6.29051e-16 
 3636.04213476  6.13706e-16 
 3640.12121487  6.19087e-16 
 3644.20029497   6.0752e-16 
 3648.27937508  6.29011e-16 
 3652.35845518  6.35271e-16 
 3656.43753529  6.56255e-16 
 3660.51661539  6.34324e-16 
  3664.5956955  6.50441e-16 
  3668.6747756  6.48838e-16 
 3672.75385571    7.179e-16 
 3676.83293581  7.08255e-16 
 3680.91201591  6.69921e-16 
 3684.99109602   7.1416e-16 
 3689.07017612  7.05316e-16 
 3693.14925623  7.25491e-16 
 3697.22833633   7.1396e-16 
 3701.30741644  7.34833e-16 
 3705.38649654  7.69068e-16 
 3709.46557665  7.90224e-16 
 3713.54465675  8.11542e-16 
 3717.62373686  8.12968e-16 
 3721.70281696  8.28428e-16 
 3725.78189707  8.45851e-16 
 3729.86097717  8.36421e-16 
 3733.94005728  8.78227e-16 
 3738.01913738  8.35848e-16 
 3742.09821749  8.84416e-16 
 3746.17729759  8.57522e-16 
  3750.2563777  8.48133e-16 
  3754.3354578  8.52373e-16 
 3758.41453791   8.3311e-16 
 3762.49361801  8.46213e-16 
 3766.57269812  8.13961e-16 
 3770.65177822  8.32012e-16 
 3774.73085833  8.19757e-16 
 3778.80993843   8.2938e-16 
 3782.88901854  8.16965e-16 
 3786.96809864  7.97742e-16 
 3791.04717875  7.77018e-16 
 3795.12625885  7.50595e-16 
 3799.20533895  7.69869e-16 
 3803.28441906  7.37034e-16 
 3807.36349916  7.13595e-16 
