# STATUS =
# OBJECT = 2018bgv
# TELESCOPE = NOT
# INSTRUMENT = ALFOSC
# DATE-OBS = 2018-06-13 00:00:00.00
# MJD = 58282.0
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = 2020ApJ...901...61L
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = Medium
# MIN_WAVE = 3430.43
# MAX_WAVE = 9199.638
# COMMENT = --
 Wavelength           Flux 
   3433.147  -5.368769e-17 
   3435.866   2.342621e-17 
   3438.586    4.70986e-17 
   3441.309   6.681103e-17 
   3444.033    6.14545e-17 
    3446.76   -5.97615e-17 
   3449.488  -9.513516e-18 
   3452.219   1.132132e-16 
   3454.951  -6.846547e-17 
   3457.685  -6.334406e-17 
   3460.421   1.359389e-16 
   3463.159    1.54638e-18 
   3465.899  -7.139134e-18 
    3468.64  -2.170095e-17 
   3471.384  -5.630513e-18 
    3474.13  -5.036889e-17 
   3476.877   1.478406e-17 
   3479.626   -4.41436e-18 
   3482.377  -1.986657e-17 
   3485.131  -3.533662e-17 
   3487.885  -5.080528e-17 
   3490.643    6.88786e-17 
   3493.401   2.242007e-17 
   3496.162   4.769513e-17 
   3498.924   3.822258e-17 
   3501.689   2.498667e-17 
   3504.455   3.860211e-17 
   3507.223  -1.467868e-17 
   3509.993   6.447188e-17 
   3512.765   3.349694e-17 
   3515.538    3.52091e-17 
   3518.314   -1.35491e-18 
   3521.091   3.177025e-17 
    3523.87  -3.328832e-17 
   3526.652  -2.355703e-18 
   3529.434   6.082113e-17 
   3532.219   2.840952e-17 
   3535.006   7.648324e-18 
   3537.794   3.390219e-17 
   3540.584   4.065698e-17 
   3543.376   3.140448e-17 
    3546.17   2.214552e-17 
   3548.966   1.287927e-17 
   3551.763   9.894678e-18 
   3554.563   4.335182e-17 
   3557.364  -1.875947e-17 
   3560.167   7.964569e-17 
   3562.972   8.175042e-18 
   3565.778   7.690752e-17 
   3568.586   1.789647e-17 
   3571.397   5.401726e-17 
   3574.209   1.868821e-17 
   3577.022   2.216657e-17 
   3579.838    3.79307e-17 
   3582.655   1.901546e-17 
   3585.474  -2.641546e-17 
   3588.295   5.393577e-18 
   3591.118   2.060879e-17 
   3593.942   2.645933e-17 
   3596.769   2.039605e-17 
   3599.596   4.724241e-17 
   3602.426     3.0671e-17 
   3605.258   3.195586e-17 
   3608.091  -2.552694e-17 
   3610.926   4.612434e-17 
   3613.763   2.193073e-17 
