# STATUS =
# OBJECT = 2018bsz
# TELESCOPE = VLT-UT2
# INSTRUMENT = X-Shooter
# DATE-OBS = 2018-06-16 00:00:00.00
# MJD = 58285.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 1.741429e+00
3130.000000 1.780326e+00
3140.000000 1.666059e+00
3150.000000 1.622441e+00
3160.000000 1.635899e+00
3170.000000 1.567483e+00
3180.000000 1.555109e+00
3190.000000 1.598875e+00
3200.000000 1.578530e+00
3210.000000 1.613713e+00
3220.000000 1.556447e+00
3230.000000 1.529932e+00
3240.000000 1.612935e+00
3250.000000 1.534930e+00
3260.000000 1.577051e+00
3270.000000 1.607690e+00
3280.000000 1.613484e+00
3290.000000 1.615693e+00
3300.000000 1.674800e+00
3310.000000 1.666757e+00
3320.000000 1.686195e+00
3330.000000 1.677949e+00
3340.000000 1.662945e+00
3350.000000 1.682294e+00
3360.000000 1.651393e+00
3370.000000 1.678360e+00
3380.000000 1.627203e+00
3390.000000 1.589770e+00
3400.000000 1.621029e+00
3410.000000 1.569257e+00
3420.000000 1.587098e+00
3430.000000 1.607343e+00
3440.000000 1.566029e+00
3450.000000 1.589104e+00
3460.000000 1.580310e+00
3470.000000 1.569375e+00
3480.000000 1.556623e+00
3490.000000 1.578260e+00
3500.000000 1.551494e+00
3510.000000 1.561147e+00
3520.000000 1.536450e+00
3530.000000 1.556339e+00
3540.000000 1.546199e+00
3550.000000 1.591801e+00
3560.000000 1.545555e+00
3570.000000 1.552575e+00
3580.000000 1.506564e+00
3590.000000 1.537301e+00
3600.000000 1.542251e+00
3610.000000 1.554188e+00
3620.000000 1.557927e+00
3630.000000 1.565040e+00
3640.000000 1.611692e+00
3650.000000 1.603783e+00
3660.000000 1.596845e+00
3670.000000 1.625993e+00
3680.000000 1.604203e+00
3690.000000 1.574199e+00
3700.000000 1.572470e+00
3710.000000 1.555386e+00
3720.000000 1.559597e+00
3730.000000 1.581238e+00
3740.000000 1.497233e+00
3750.000000 1.483086e+00
3760.000000 1.455066e+00
3770.000000 1.467124e+00
3780.000000 1.428186e+00
3790.000000 1.437744e+00
3800.000000 1.460803e+00
3810.000000 1.450503e+00
3820.000000 1.447872e+00
3830.000000 1.433934e+00
3840.000000 1.442020e+00
3850.000000 1.457471e+00
3860.000000 1.459802e+00
3870.000000 1.458029e+00
3880.000000 1.445428e+00
3890.000000 1.464772e+00
3900.000000 1.470107e+00
3910.000000 1.462235e+00
3920.000000 1.469254e+00
3930.000000 1.435154e+00
3940.000000 1.431452e+00
3950.000000 1.416553e+00
3960.000000 1.381351e+00
3970.000000 1.396661e+00
3980.000000 1.382514e+00
3990.000000 1.399891e+00
4000.000000 1.384850e+00
4010.000000 1.377865e+00
4020.000000 1.386481e+00
4030.000000 1.401685e+00
4040.000000 1.385237e+00
4050.000000 1.402616e+00
4060.000000 1.381520e+00
4070.000000 1.384449e+00
4080.000000 1.348561e+00
4090.000000 1.321626e+00
4100.000000 1.303981e+00
4110.000000 1.297427e+00
4120.000000 1.293648e+00
4130.000000 1.274540e+00
4140.000000 1.263484e+00
4150.000000 1.254365e+00
4160.000000 1.264811e+00
4170.000000 1.264435e+00
4180.000000 1.256179e+00
4190.000000 1.251382e+00
4200.000000 1.255207e+00
4210.000000 1.261400e+00
4220.000000 1.280174e+00
4230.000000 1.292202e+00
4240.000000 1.282215e+00
4250.000000 1.266529e+00
4260.000000 1.258561e+00
4270.000000 1.255260e+00
4280.000000 1.256851e+00
4290.000000 1.253137e+00
4300.000000 1.249584e+00
4310.000000 1.233730e+00
4320.000000 1.228981e+00
4330.000000 1.242644e+00
4340.000000 1.247197e+00
4350.000000 1.250390e+00
4360.000000 1.252539e+00
4370.000000 1.254199e+00
4380.000000 1.262711e+00
4390.000000 1.254164e+00
4400.000000 1.251741e+00
4410.000000 1.263580e+00
4420.000000 1.262290e+00
4430.000000 1.273915e+00
4440.000000 1.276795e+00
4450.000000 1.263452e+00
