# STATUS =
# OBJECT = 2018bsz
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2018-08-03 00:50:43.00
# MJD = 58333.035219899844
# EXPTIME = 2700
# AIRMASS = 1.014
# SLIT = 1.0
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = Medium
# MIN_WAVE = 3338.26928711
# MAX_WAVE = 7458.14019299
# COMMENT = --
    Wavelength         Flux 
 3342.34836721  2.85963e-16 
 3346.42744732  3.34338e-16 
 3350.50652742  3.25837e-16 
 3354.58560753  3.75858e-16 
 3358.66468763  3.45246e-16 
 3362.74376774  3.70079e-16 
 3366.82284784  3.33791e-16 
 3370.90192795  3.65485e-16 
 3374.98100805  3.17865e-16 
 3379.06008816  3.82588e-16 
 3383.13916826  3.60425e-16 
 3387.21824837   3.4246e-16 
 3391.29732847  3.52924e-16 
 3395.37640858  3.53106e-16 
 3399.45548868  3.57099e-16 
 3403.53456879  3.82602e-16 
 3407.61364889  4.24562e-16 
   3411.692729  3.93365e-16 
  3415.7718091   3.9198e-16 
 3419.85088921  3.89194e-16 
 3423.92996931  3.96309e-16 
 3428.00904942   4.0174e-16 
 3432.08812952  3.81657e-16 
 3436.16720963  3.81859e-16 
 3440.24628973  3.74319e-16 
 3444.32536983  3.66235e-16 
 3448.40444994  3.60917e-16 
 3452.48353004  3.88102e-16 
 3456.56261015  3.84909e-16 
 3460.64169025  3.76839e-16 
 3464.72077036  3.94828e-16 
 3468.79985046  3.90179e-16 
 3472.87893057  4.23366e-16 
 3476.95801067   4.1069e-16 
 3481.03709078  4.25699e-16 
 3485.11617088  4.36999e-16 
 3489.19525099  4.06026e-16 
 3493.27433109  4.24463e-16 
  3497.3534112  4.25246e-16 
  3501.4324913  4.07356e-16 
 3505.51157141  4.09765e-16 
 3509.59065151  4.02444e-16 
 3513.66973162   4.1024e-16 
 3517.74881172  4.13051e-16 
 3521.82789183  3.88763e-16 
 3525.90697193  4.24739e-16 
 3529.98605204  4.11739e-16 
 3534.06513214   4.0483e-16 
 3538.14421225  3.93109e-16 
 3542.22329235  4.30535e-16 
 3546.30237246  4.15732e-16 
 3550.38145256  4.01781e-16 
 3554.46053267  4.16747e-16 
 3558.53961277  4.32964e-16 
 3562.61869287  4.01772e-16 
 3566.69777298  4.28065e-16 
 3570.77685308   3.9864e-16 
 3574.85593319  4.07571e-16 
 3578.93501329  4.11783e-16 
  3583.0140934  4.09231e-16 
  3587.0931735  3.59776e-16 
 3591.17225361  4.00576e-16 
 3595.25133371  4.27591e-16 
 3599.33041382  4.27863e-16 
 3603.40949392  4.31122e-16 
 3607.48857403  4.02893e-16 
