# STATUS =
# OBJECT = 2018bsz
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2019-01-26 08:24:34.00
# MJD = 58509.35039350018
# EXPTIME = 2700
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3641.3816
# MAX_WAVE = 9238.932
# COMMENT = Released as part of DR4
 Wavelength            Flux           Error 
  3641.3816     4.44252e-16    3.586193e-17 
  3646.9019   3.5402396e-16    3.527035e-17 
   3652.422    2.506229e-16    3.468316e-17 
  3657.9424    3.856919e-16   3.4310013e-17 
  3663.4626    2.344894e-16   3.2908272e-17 
   3668.983   2.9872147e-16   3.1898106e-17 
  3674.5032   2.8251177e-16   3.1143965e-17 
  3680.0234   3.0429235e-16    3.049179e-17 
  3685.5437    2.598647e-16   2.9583787e-17 
   3691.064   2.7852172e-16    2.893779e-17 
  3696.5842   2.9997614e-16    2.847873e-17 
  3702.1045   2.4858818e-16   2.7369939e-17 
  3707.6248     2.72609e-16    2.647316e-17 
   3713.145   2.8468714e-16   2.5597106e-17 
  3718.6653   3.1846856e-16   2.4615672e-17 
  3724.1855   2.2938865e-16   2.3476102e-17 
  3729.7058   1.9423062e-16   2.2531288e-17 
   3735.226   2.6847906e-16   2.2096019e-17 
  3740.7463   2.3565198e-16   2.1600624e-17 
  3746.2666   2.4382688e-16    2.145992e-17 
  3751.7869   2.4155132e-16   2.1266426e-17 
  3757.3071   2.0032573e-16   2.1343281e-17 
  3762.8274   1.9825703e-16   2.1453245e-17 
  3768.3477    2.339342e-16    2.134632e-17 
   3773.868   2.4259717e-16   2.1087653e-17 
  3779.3882   2.0523299e-16   2.0573661e-17 
  3784.9084   2.1868309e-16    2.007013e-17 
  3790.4287   2.3190762e-16    1.955953e-17 
   3795.949    2.174851e-16   1.8940763e-17 
  3801.4692    2.381912e-16    1.838824e-17 
  3806.9895    3.928519e-16   1.8079273e-17 
  3812.5098    5.154399e-16   1.7717143e-17 
    3818.03   5.8332046e-16    1.682451e-17 
  3823.5503    5.931796e-16   1.5998977e-17 
