# STATUS =
# OBJECT = 2018bsz
# TELESCOPE = VLT-UT2
# INSTRUMENT = X-Shooter
# DATE-OBS = 2018-07-02 00:00:00.00
# MJD = 58301.0
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3200.02
# MAX_WAVE = 24795.25
# COMMENT = --
 Wavelength          Flux        Error 
    3200.22   2.34255e-15  1.75277e-16 
    3200.42   2.26131e-15   1.7395e-16 
    3200.62   2.55585e-15  1.73741e-16 
    3200.82   2.32594e-15  1.71434e-16 
    3201.02    2.5591e-15  1.84353e-16 
    3201.22    2.5141e-15  1.82317e-16 
    3201.42   2.43748e-15  1.79462e-16 
    3201.62   2.38772e-15  1.79844e-16 
    3201.82   2.29766e-15     1.79e-16 
    3202.02   2.58369e-15  1.84687e-16 
    3202.22   2.54873e-15  1.82225e-16 
    3202.42   2.42469e-15  1.81529e-16 
    3202.62   2.32379e-15  1.82943e-16 
    3202.82   2.73099e-15  1.86293e-16 
    3203.02   2.74941e-15  1.82017e-16 
    3203.22   2.39886e-15  1.79082e-16 
    3203.42   2.44027e-15  1.78164e-16 
    3203.62   2.65831e-15  1.81227e-16 
    3203.82   2.60967e-15  1.79822e-16 
    3204.02   2.50918e-15  1.79204e-16 
    3204.22   2.51797e-15   1.7635e-16 
    3204.42   2.82512e-15  1.82733e-16 
    3204.62   2.51646e-15  1.77082e-16 
    3204.82   2.94008e-15  1.85046e-16 
    3205.02   2.60384e-15  1.78633e-16 
    3205.22   2.56466e-15  1.77608e-16 
    3205.42   2.61695e-15  1.80318e-16 
    3205.62   2.24588e-15  1.74469e-16 
    3205.82   2.44657e-15  1.72927e-16 
    3206.02   2.49344e-15  1.72063e-16 
    3206.22   2.34295e-15  1.69406e-16 
    3206.42   2.40104e-15  1.67903e-16 
    3206.62   2.80962e-15   1.7595e-16 
    3206.82   2.30885e-15  1.69945e-16 
    3207.02   2.02921e-15  1.65885e-16 
    3207.22   2.62767e-15  1.73551e-16 
    3207.42   2.86035e-15  1.78391e-16 
    3207.62   2.38629e-15  1.69926e-16 
    3207.82    2.4111e-15  1.70176e-16 
    3208.02   2.42047e-15  1.69421e-16 
    3208.22    2.6726e-15  1.74184e-16 
    3208.42   2.61582e-15  1.72338e-16 
    3208.62   2.48423e-15  1.69558e-16 
    3208.82   2.86354e-15  1.73819e-16 
    3209.02   2.57708e-15  1.68995e-16 
    3209.22     2.404e-15  1.64929e-16 
    3209.42   2.75879e-15  1.69085e-16 
    3209.62   2.90874e-15  1.73061e-16 
    3209.82   2.49533e-15  1.67152e-16 
    3210.02   2.53803e-15  1.67259e-16 
    3210.22   2.71515e-15  1.68162e-16 
    3210.42   2.58587e-15  1.66017e-16 
    3210.62     2.248e-15  1.60967e-16 
    3210.82   2.58424e-15  1.65319e-16 
    3211.02   2.66762e-15  1.64888e-16 
    3211.22   2.46003e-15  1.60201e-16 
    3211.42   2.31797e-15  1.59556e-16 
    3211.62    2.6125e-15  1.65574e-16 
    3211.82   2.48832e-15  1.57743e-16 
    3212.02   2.61866e-15  1.60505e-16 
    3212.22   2.33194e-15  1.55232e-16 
    3212.42   2.68863e-15  1.63238e-16 
    3212.62   2.60489e-15  1.58973e-16 
    3212.82    2.6265e-15  1.61748e-16 
    3213.02    2.5818e-15  1.61588e-16 
    3213.22    2.5282e-15  1.59893e-16 
    3213.42   2.88251e-15  1.64668e-16 
    3213.62   2.81082e-15  1.63459e-16 
    3213.82   2.63476e-15  1.57959e-16 
    3214.02   2.82463e-15  1.60883e-16 
