                MJD               R_low               R_med              R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
       57652.659796                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57656.41349493484                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57660.167193869675                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57663.92089280451                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57667.67459173935                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57671.42829067419                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57675.181989609024                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57678.93568854386                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
   57682.6893874787                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57686.443086413536                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57690.19678534837                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57693.95048428321                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57697.70418321805                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57701.457882152885                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57705.21158108772                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57708.96528002256                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
   57712.7189789574                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57716.47267789223                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57720.226376827064                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
   57723.9800757619                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57727.73377469674                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57731.487473631576                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57735.24117256641                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57738.99487150125                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57742.74857043609                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57746.502269370925                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57750.25596830576                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
   57754.0096672406                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57757.76336617544                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57761.517065110274                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57765.27076404511                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
  57769.02446297995                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
 57772.778161914786                 0.0                 0.0                 0.0                 nan                 nan                 nan   6.283526815487307e+27   9.905212119667206e+27  1.5727993115938486e+28 
