# STATUS =
# OBJECT = 2018don
# TELESCOPE = LT
# INSTRUMENT = SPRAT
# DATE-OBS = 2018-05-16 00:00:00.00
# MJD = 58254.01
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 nan
3700.000000 nan
3710.000000 nan
3720.000000 nan
3730.000000 nan
3740.000000 nan
3750.000000 nan
3760.000000 nan
3770.000000 1.084125e-01
3780.000000 2.180068e-01
3790.000000 3.010068e-01
3800.000000 4.215880e-01
3810.000000 6.062684e-01
3820.000000 7.671352e-01
3830.000000 8.886220e-01
3840.000000 9.444462e-01
3850.000000 8.345901e-01
3860.000000 7.971760e-01
3870.000000 7.346651e-01
3880.000000 6.970576e-01
3890.000000 5.764579e-01
3900.000000 5.448451e-01
3910.000000 5.352998e-01
3920.000000 5.320435e-01
3930.000000 5.392244e-01
3940.000000 6.078956e-01
3950.000000 6.851500e-01
3960.000000 8.053730e-01
3970.000000 9.185036e-01
3980.000000 9.714713e-01
3990.000000 9.437474e-01
4000.000000 8.603608e-01
4010.000000 8.870902e-01
4020.000000 8.266377e-01
4030.000000 8.066136e-01
4040.000000 8.082528e-01
4050.000000 8.185525e-01
4060.000000 8.539558e-01
4070.000000 9.226732e-01
4080.000000 9.764878e-01
4090.000000 9.843073e-01
4100.000000 9.951200e-01
4110.000000 1.029788e+00
4120.000000 1.094930e+00
4130.000000 1.090108e+00
4140.000000 1.019367e+00
4150.000000 1.013288e+00
4160.000000 9.845881e-01
4170.000000 9.581900e-01
4180.000000 9.762349e-01
4190.000000 9.517047e-01
4200.000000 9.176685e-01
4210.000000 9.027933e-01
4220.000000 9.345310e-01
4230.000000 9.079001e-01
4240.000000 8.692930e-01
4250.000000 8.347876e-01
4260.000000 8.207380e-01
4270.000000 8.095657e-01
4280.000000 7.935715e-01
4290.000000 7.722481e-01
4300.000000 7.783628e-01
4310.000000 7.712103e-01
4320.000000 7.895197e-01
4330.000000 8.479086e-01
4340.000000 8.648446e-01
4350.000000 8.833230e-01
4360.000000 9.238307e-01
4370.000000 9.390353e-01
4380.000000 9.085057e-01
4390.000000 9.089773e-01
4400.000000 9.101765e-01
4410.000000 8.962536e-01
4420.000000 8.856731e-01
4430.000000 8.910793e-01
4440.000000 8.813605e-01
4450.000000 9.089610e-01
4460.000000 9.321119e-01
4470.000000 9.917063e-01
4480.000000 1.051254e+00
4490.000000 1.081840e+00
4500.000000 1.144997e+00
4510.000000 1.152961e+00
4520.000000 1.162807e+00
4530.000000 1.167856e+00
4540.000000 1.185517e+00
4550.000000 1.196395e+00
4560.000000 1.213450e+00
4570.000000 1.180079e+00
4580.000000 1.151233e+00
4590.000000 1.144649e+00
4600.000000 1.152083e+00
4610.000000 1.131563e+00
4620.000000 1.156460e+00
4630.000000 1.143808e+00
4640.000000 1.134370e+00
4650.000000 1.118552e+00
4660.000000 1.100420e+00
4670.000000 1.096587e+00
4680.000000 1.073500e+00
4690.000000 1.055668e+00
