          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
      58305.4    19.84      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58305.44    21.12      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
 58315.581485  20.3596  20.8318    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
  58316.32199   21.094     21.5    -1.0       Gaia        Gaia       G   True      AB   False                 Gaia 
 58319.560698  19.8726  20.2183    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58321.567693  19.5584  19.9041    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
     58323.42    21.15      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58326.45    20.14      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
      58329.4    20.39      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58332.45    20.69      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
 58335.539908  20.1324  20.6047    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
     58337.37    20.17      nan    0.18        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
 58337.530611  19.4321  19.7778    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
     58338.38    19.62      nan    0.06        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58338.38    19.75      nan    0.07        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58340.35    18.99      nan    0.08        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
     58340.35    19.01      nan    0.15        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
 58341.501473  19.1615  19.5072   0.207      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
      58342.4    18.71      nan    0.04        P48         ZTF       g  False      AB   False  2023ApJ...943...41C 
